,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1534344297646116865,2022-06-08 01:19:21+00:00,True,@FlipsSavvy @metabloxx @flufworld @partybear @seekers_xyz @altstatemachine @futureversexyz @aaronmcdnz @SharaSenderoff WOW,0,0,3,0,,"{'mentions': [{'start': 0, 'end': 11, 'username': 'FlipsSavvy', 'id': '1212901344152932355'}, {'start': 12, 'end': 22, 'username': 'metabloxx', 'id': '1456911831562219521'}, {'start': 23, 'end': 33, 'username': 'flufworld', 'id': '1412964808249405449'}, {'start': 34, 'end': 44, 'username': 'partybear', 'id': '1450714156613574660'}, {'start': 45, 'end': 57, 'username': 'seekers_xyz', 'id': '1483956707575603200'}, {'start': 58, 'end': 74, 'username': 'altstatemachine', 'id': '1374934393140117506'}, {'start': 75, 'end': 90, 'username': 'futureversexyz', 'id': '1531314934184677376'}, {'start': 91, 'end': 102, 'username': 'aaronmcdnz', 'id': '116652043'}, {'start': 103, 'end': 118, 'username': 'SharaSenderoff', 'id': '23507991'}]}"
1,1534316793350742016,2022-06-07 23:30:04+00:00,False,"See ya in 30 minutes, Snugglers. Don't miss this. 

https://t.co/pnhGwTZQlw",0,0,6,0,,"{'urls': [{'start': 52, 'end': 75, 'url': 'https://t.co/pnhGwTZQlw', 'expanded_url': 'https://twitter.com/i/spaces/1vOxwyaPlBLGB?s=20', 'display_url': 'twitter.com/i/spaces/1vOxw…'}]}"
2,1534290367486611456,2022-06-07 21:45:04+00:00,False,"Reminders: set.

See you in the Future... tonight. 👇

#OpenMetaverse

https://t.co/pnhGwTZQlw",1,0,6,0,,"{'urls': [{'start': 70, 'end': 93, 'url': 'https://t.co/pnhGwTZQlw', 'expanded_url': 'https://twitter.com/i/spaces/1vOxwyaPlBLGB?s=20', 'display_url': 'twitter.com/i/spaces/1vOxw…'}], 'hashtags': [{'start': 54, 'end': 68, 'tag': 'OpenMetaverse'}]}"
3,1534256626974195724,2022-06-07 19:30:59+00:00,False,"RT @DrugReceipts: #NotAllWhoWander are lost… they're part of The Found! 🤖

In honor of our partnership with Seekers, we're giving away this…",98,0,0,0,,"{'hashtags': [{'start': 18, 'end': 34, 'tag': 'NotAllWhoWander'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'DrugReceipts', 'id': '1321665988308459520'}]}"
4,1534248565710770182,2022-06-07 18:58:57+00:00,False,"Everyone's got a story... write your own in the upcoming #DRxDrugWars. 😉

The Broken Bombers by @GwenTaquet. 

Build your fantasy Drug Wars set at https://t.co/C2qAE01DRF.

#DRxDrugWars https://t.co/VqkxiZRN7a",5,2,14,0,{'media_keys': ['3_1534248563437359104']},"{'urls': [{'start': 147, 'end': 170, 'url': 'https://t.co/C2qAE01DRF', 'expanded_url': 'http://drugreceipts.com/dw', 'display_url': 'drugreceipts.com/dw'}, {'start': 186, 'end': 209, 'url': 'https://t.co/VqkxiZRN7a', 'expanded_url': 'https://twitter.com/DrugReceipts/status/1534248565710770182/photo/1', 'display_url': 'pic.twitter.com/VqkxiZRN7a', 'media_key': '3_1534248563437359104'}], 'hashtags': [{'start': 57, 'end': 69, 'tag': 'DRxDrugWars'}, {'start': 173, 'end': 185, 'tag': 'DRxDrugWars'}], 'mentions': [{'start': 96, 'end': 107, 'username': 'GwenTaquet', 'id': '1362849330915250176'}]}"
5,1534226544821948416,2022-06-07 17:31:27+00:00,False,"Did you catch the last SQE episode on wearables in the metaverse featuring @tjbredemeyer?

Watch: https://t.co/cTV4TY3z6M

The SQE Podcast returns this Thursday, June 6 at 8 PM CST with special guests from the @melteverything collective!

#NFTCommunity https://t.co/ioeChRPPlf",4,1,12,1,{'media_keys': ['7_1534226461225373698']},"{'urls': [{'start': 98, 'end': 121, 'url': 'https://t.co/cTV4TY3z6M', 'expanded_url': 'https://www.youtube.com/watch?v=QSi7BFlXjQ8', 'display_url': 'youtube.com/watch?v=QSi7BF…'}, {'start': 253, 'end': 276, 'url': 'https://t.co/ioeChRPPlf', 'expanded_url': 'https://twitter.com/DrugReceipts/status/1534226544821948416/video/1', 'display_url': 'pic.twitter.com/ioeChRPPlf', 'media_key': '7_1534226461225373698'}], 'hashtags': [{'start': 239, 'end': 252, 'tag': 'NFTCommunity'}], 'mentions': [{'start': 75, 'end': 88, 'username': 'tjbredemeyer', 'id': '272054922'}, {'start': 210, 'end': 225, 'username': 'melteverything', 'id': '3118456038'}]}"
6,1534202895863791618,2022-06-07 15:57:29+00:00,False,"Looks like this @seeker_xyz found themselves a luxurious new paint job.
Any guesses on what the Seekers might find next? 👀

#NotAllWhoWander #OpenMetaverse https://t.co/WFi0YHqiLL",4,1,33,0,{'media_keys': ['7_1534202828205457410']},"{'urls': [{'start': 156, 'end': 179, 'url': 'https://t.co/WFi0YHqiLL', 'expanded_url': 'https://twitter.com/DrugReceipts/status/1534202895863791618/video/1', 'display_url': 'pic.twitter.com/WFi0YHqiLL', 'media_key': '7_1534202828205457410'}], 'hashtags': [{'start': 124, 'end': 140, 'tag': 'NotAllWhoWander'}, {'start': 141, 'end': 155, 'tag': 'OpenMetaverse'}], 'mentions': [{'start': 16, 'end': 27, 'username': 'Seeker_XYZ', 'id': '821206257193226240'}]}"
7,1534143292530692097,2022-06-07 12:00:38+00:00,False,GM! 💊,2,10,32,0,,
8,1533989489105850369,2022-06-07 01:49:29+00:00,False,"RT @DrugReceipts: The metaverse is already here… and Gen Z knows it! Don’t get left in the dust! 💨

The latest episode of the Stop Question…",4,0,0,0,,"{'annotations': [{'start': 53, 'end': 57, 'probability': 0.7799, 'type': 'Person', 'normalized_text': 'Gen Z'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'DrugReceipts', 'id': '1321665988308459520'}]}"
9,1533871340662423555,2022-06-06 18:00:00+00:00,False,"#NotAllWhoWander are lost… they're part of The Found! 🤖

In honor of our partnership with Seekers, we're giving away this Seeker w/ a Rainbow Cap Sticker!

To enter:
💊 Follow us &amp; @seekers_xyz
💊 RT this post 
💊 Tag 3 mind-altering friends

Ends Mon. June 13 @ 8 PM CST! https://t.co/RTFsGU1JJj",98,93,111,11,{'media_keys': ['7_1533849541421715457']},"{'urls': [{'start': 274, 'end': 297, 'url': 'https://t.co/RTFsGU1JJj', 'expanded_url': 'https://twitter.com/DrugReceipts/status/1533871340662423555/video/1', 'display_url': 'pic.twitter.com/RTFsGU1JJj', 'media_key': '7_1533849541421715457'}], 'hashtags': [{'start': 0, 'end': 16, 'tag': 'NotAllWhoWander'}], 'mentions': [{'start': 184, 'end': 196, 'username': 'seekers_xyz', 'id': '1483956707575603200'}]}"
10,1533861612360290305,2022-06-06 17:21:20+00:00,False,"RT @Linear_Bever: These bots are beautiful 😍.
#TheFound is one amazing concept which has the sole aim of directing towards ensuring #decent…",3,0,0,0,,"{'hashtags': [{'start': 46, 'end': 55, 'tag': 'TheFound'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'Linear_Bever', 'id': '274869136'}]}"
11,1533851852638412806,2022-06-06 16:42:33+00:00,False,Nice banner! 💪💊🤖💪 https://t.co/kUuHFbg6AE,5,1,24,1,,"{'urls': [{'start': 18, 'end': 41, 'url': 'https://t.co/kUuHFbg6AE', 'expanded_url': 'https://twitter.com/rollablazer/status/1533583984625844224', 'display_url': 'twitter.com/rollablazer/st…'}]}"
12,1533839645036974080,2022-06-06 15:54:03+00:00,False,"The metaverse is already here… and Gen Z knows it! Don’t get left in the dust! 💨

The latest episode of the Stop Questioning Everything podcast is available now! 

https://t.co/FLluM2OXXf https://t.co/N0Pfe6YEm6",4,0,17,1,{'media_keys': ['7_1533839588606758915']},"{'urls': [{'start': 164, 'end': 187, 'url': 'https://t.co/FLluM2OXXf', 'expanded_url': 'http://youtube.com/drugreceipts', 'display_url': 'youtube.com/drugreceipts'}, {'start': 188, 'end': 211, 'url': 'https://t.co/N0Pfe6YEm6', 'expanded_url': 'https://twitter.com/DrugReceipts/status/1533839645036974080/video/1', 'display_url': 'pic.twitter.com/N0Pfe6YEm6', 'media_key': '7_1533839588606758915'}], 'annotations': [{'start': 35, 'end': 39, 'probability': 0.7007, 'type': 'Person', 'normalized_text': 'Gen Z'}, {'start': 109, 'end': 143, 'probability': 0.3505, 'type': 'Other', 'normalized_text': 'Stop Questioning Everything podcast'}]}"
