,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1508428829479550977,2022-03-28 13:00:32+00:00,True,"In two weeks we will release Episode 4.

What’s in store for the reader and the young Gadiran?",1,0,13,0,,
1,1508428827923521545,2022-03-28 13:00:32+00:00,True,"To learn more about the story arc, check out this thread:

https://t.co/I46s3wgr76",1,1,8,0,,"{'urls': [{'start': 59, 'end': 82, 'url': 'https://t.co/I46s3wgr76', 'expanded_url': 'https://twitter.com/Edenhorde/status/1498297159430643712?s=20&t=SNtyx9cXSXwEA8ybT4CVoA', 'display_url': 'twitter.com/Edenhorde/stat…'}]}"
2,1508428826392641543,2022-03-28 13:00:32+00:00,True,"If you wish to learn more about the items in these episodes we suggest you read this thread:

https://t.co/2Eg8eVswaw",1,1,6,0,,"{'urls': [{'start': 94, 'end': 117, 'url': 'https://t.co/2Eg8eVswaw', 'expanded_url': 'https://twitter.com/Edenhorde/status/1503373727500627968?s=20&t=AmOfULTg-TgYw1r7VU-Keg', 'display_url': 'twitter.com/Edenhorde/stat…'}]}"
3,1508428824966430722,2022-03-28 13:00:31+00:00,True,"To be eligible for this choice, you need to hold an Edenhorde NFT and the Sundial Collectible in your inventory. 

You have until the 8th of April 15:00 CET to interact with this chapter.",1,1,9,1,,"{'annotations': [{'start': 52, 'end': 64, 'probability': 0.432, 'type': 'Product', 'normalized_text': 'Edenhorde NFT'}]}"
4,1508428823532081154,2022-03-28 13:00:31+00:00,True,"As always, we have uniquely crafted background music and sound design accompanying the text by @celiablythe and watercolor illustrations by Andy Ristaino (@skronked)

Only in this chapter, Edenhorde holders who have a sundial in their inventory will have a choice to make 🤔",0,1,13,0,,"{'annotations': [{'start': 140, 'end': 152, 'probability': 0.9779, 'type': 'Person', 'normalized_text': 'Andy Ristaino'}], 'mentions': [{'start': 95, 'end': 107, 'username': 'CeliaBlythe', 'id': '1480987512504045568'}, {'start': 155, 'end': 164, 'username': 'skronked', 'id': '174697966'}]}"
5,1508428822223507460,2022-03-28 13:00:31+00:00,True,"You can read the full story here ⬇️

https://t.co/TwfD3nhpbX",0,1,7,0,,"{'urls': [{'start': 37, 'end': 60, 'url': 'https://t.co/TwfD3nhpbX', 'expanded_url': 'http://edenhorde.world/episodes/three', 'display_url': 'edenhorde.world/episodes/three'}]}"
6,1508428820839161856,2022-03-28 13:00:30+00:00,True,"In this chapter, we join our brave Gadiran Allafred (accompanied by a group of Larriks) on a journey deep into Edenhorde in search of Babbumatta. 🍃",0,1,11,0,,
7,1508428817831968773,2022-03-28 13:00:30+00:00,False,"THIRD EPISODE IS LIVE

Our journey through the world of Edenhorde continues.

Head over to https://t.co/TwfD3nhpbX for the third instalment. ✨

More below! 🧵 https://t.co/ctO9nI7Djl",44,6,135,3,{'media_keys': ['3_1508427479949664271']},"{'urls': [{'start': 91, 'end': 114, 'url': 'https://t.co/TwfD3nhpbX', 'expanded_url': 'http://edenhorde.world/episodes/three', 'display_url': 'edenhorde.world/episodes/three'}, {'start': 158, 'end': 181, 'url': 'https://t.co/ctO9nI7Djl', 'expanded_url': 'https://twitter.com/Edenhorde/status/1508428817831968773/photo/1', 'display_url': 'pic.twitter.com/ctO9nI7Djl'}]}"
8,1508405201618841602,2022-03-28 11:26:39+00:00,False,"RT @JovianNodes: Weekends are for the outdoors.

About to lead a hike up Mount Puntu. Wish me luck and don’t crash the market while I’m gon…",3,0,0,0,,"{'annotations': [{'start': 73, 'end': 83, 'probability': 0.3832, 'type': 'Place', 'normalized_text': 'Mount Puntu'}], 'mentions': [{'start': 3, 'end': 15, 'username': 'JovianNodes', 'id': '4511375414'}]}"
9,1508159168783523841,2022-03-27 19:09:00+00:00,False,"Ready for tomorrow?

@celiablythe has sharpened her pen once again

@skronked has unleashed his creative spirits once again

There’s uniquely composed music &amp; sound design once again

And that’s not all..",14,7,128,0,,"{'mentions': [{'start': 21, 'end': 33, 'username': 'CeliaBlythe', 'id': '1480987512504045568'}, {'start': 68, 'end': 77, 'username': 'skronked', 'id': '174697966'}]}"
10,1508069577720270859,2022-03-27 13:13:00+00:00,False,From two dimensions to three.,22,23,170,2,,
11,1507980952747880448,2022-03-27 07:20:50+00:00,True,@PersimmonIO 🐟,0,0,5,0,,"{'mentions': [{'start': 0, 'end': 12, 'username': 'PersimmonIO', 'id': '1400704236761993218'}]}"
12,1507980806274355202,2022-03-27 07:20:15+00:00,False,RT @_helladom: This was way too much fun to build and record LMAO @Edenhorde #EdenhordePuppetContest https://t.co/z5lZyVU9e0,22,0,0,0,{'media_keys': ['7_1507784124110544899']},"{'hashtags': [{'start': 77, 'end': 100, 'tag': 'EdenhordePuppetContest'}], 'urls': [{'start': 101, 'end': 124, 'url': 'https://t.co/z5lZyVU9e0', 'expanded_url': 'https://twitter.com/_helladom/status/1507784178632331273/video/1', 'display_url': 'pic.twitter.com/z5lZyVU9e0'}], 'mentions': [{'start': 3, 'end': 13, 'username': '_helladom', 'id': '1148522842343890944'}, {'start': 66, 'end': 76, 'username': 'Edenhorde', 'id': '1470745276382072835'}]}"
13,1507946768574656512,2022-03-27 05:05:00+00:00,False,"One account we recommend to follow when diving into the world of @Edenhorde is that of our dear friend @edenhorde5166, thanks for all that you do ✨ 

https://t.co/JEQkgNsvyC",0,0,29,0,,"{'urls': [{'start': 150, 'end': 173, 'url': 'https://t.co/JEQkgNsvyC', 'expanded_url': 'https://twitter.com/edenhorde5166/status/1507046302621777927?s=20&t=uy8hCx6AoNAncuf9IUrzEg', 'display_url': 'twitter.com/edenhorde5166/…'}], 'mentions': [{'start': 65, 'end': 75, 'username': 'Edenhorde', 'id': '1470745276382072835'}, {'start': 103, 'end': 117, 'username': 'edenhorde5166', 'id': '1504962032000540672'}]}"
14,1507804215732809735,2022-03-26 19:38:33+00:00,True,"@MagicEden Not sure whether the images these guys are posting are real, but they are claiming to be verified on your marketplace. 

Please be cautious.",0,0,9,0,,"{'mentions': [{'start': 0, 'end': 10, 'username': 'MagicEden', 'id': '1433121559057559555'}]}"
15,1507804214424227847,2022-03-26 19:38:33+00:00,False,"IMPERSONATOR ALERT! ⚠️

We've been made aware of some collection copying our collection and selling it as theirs. 

This is NOT Edenhorde, and you should NOT participate in this project. 

Please all report @ForagerTribe to get this taken down.",6,7,35,0,,"{'mentions': [{'start': 207, 'end': 220, 'username': 'ForagerTribe', 'id': '1477653731835584515'}]}"
16,1507785708949458954,2022-03-26 18:25:00+00:00,False,"Allafred’s old morning routine ⬇️ 

🚶‍♂️ Sneak past his sleeping little brothers and sisters

🍱  Collect a neatly wrapped bundle of food for his first meal.

🛶  Then a short walk from their modest house in the Nalboran district to the jetty and then onto the boat.

What’s yours?",4,4,50,0,,
17,1507738994045554692,2022-03-26 15:19:23+00:00,False,"RT @edenhorde5166: Let's look at popular traits of Babbumatta and how many are still for sale. I also look at interesting traits combos.
Th…",7,0,0,0,,"{'mentions': [{'start': 3, 'end': 17, 'username': 'edenhorde5166', 'id': '1504962032000540672'}]}"
18,1507709958435086349,2022-03-26 13:24:00+00:00,False,Who has been with us since the puzzle days?,8,43,177,0,,
19,1507596460317200393,2022-03-26 05:53:00+00:00,False,Some things may not be what they seem to be.,14,10,132,0,,
20,1507437159221018627,2022-03-25 19:20:00+00:00,False,"We summoned @meritcirclorr to represent @Edenhorde during the @ChibiLabs poker tournament this Saturday.

Will you be around? https://t.co/MU49ohGE6r",5,4,58,1,,"{'urls': [{'start': 126, 'end': 149, 'url': 'https://t.co/MU49ohGE6r', 'expanded_url': 'https://twitter.com/ChibiLabs/status/1507061568621752326', 'display_url': 'twitter.com/ChibiLabs/stat…'}], 'mentions': [{'start': 12, 'end': 26, 'username': 'meritcirclorr', 'id': '1000314619209150464'}, {'start': 40, 'end': 50, 'username': 'Edenhorde', 'id': '1470745276382072835'}, {'start': 62, 'end': 72, 'username': 'ChibiLabs', 'id': '1032952115134717952'}]}"
21,1507392871418245124,2022-03-25 16:24:01+00:00,False,"Stepping into the world of Edenhorde, where would you head first?

🏔️   Mount Puntu
🏰   Gadira
🌲   A Babbumattan village
🏕️   A Larrik encampment",9,30,91,0,,
22,1507312591760154658,2022-03-25 11:05:01+00:00,False,"The next episode of the Edenhorde interactive story is being released on Monday. 

This episode will bring our hero some traveling companions, and a choice. 🤔 

Stay tuned!",36,2,162,2,,"{'annotations': [{'start': 24, 'end': 50, 'probability': 0.2731, 'type': 'Other', 'normalized_text': 'Edenhorde interactive story'}]}"
23,1507269444917248007,2022-03-25 08:13:34+00:00,False,RT @CapitalAgeX: #edenhorde 🧢 https://t.co/v3l2tyTEgw,3,0,0,0,{'media_keys': ['3_1501989153503956993']},"{'hashtags': [{'start': 17, 'end': 27, 'tag': 'edenhorde'}], 'urls': [{'start': 30, 'end': 53, 'url': 'https://t.co/v3l2tyTEgw', 'expanded_url': 'https://twitter.com/CapitalAgeX/status/1501989157526200326/photo/1', 'display_url': 'pic.twitter.com/v3l2tyTEgw'}], 'mentions': [{'start': 3, 'end': 15, 'username': 'CapitalAgeX', 'id': '1445779963202867209'}]}"
24,1507095912866320391,2022-03-24 20:44:00+00:00,False,"One of the Oru Guardians @JovianNodes has a passion for Mushroom Babbumatta.

To celebrate us working with @spriteclubNFT, he decided to give away one of his precious friends. See below how you can participate! https://t.co/qvT1SAHdyO",7,1,46,1,,"{'urls': [{'start': 211, 'end': 234, 'url': 'https://t.co/qvT1SAHdyO', 'expanded_url': 'https://twitter.com/JovianNodes/status/1506338217745805319', 'display_url': 'twitter.com/JovianNodes/st…'}], 'mentions': [{'start': 25, 'end': 37, 'username': 'JovianNodes', 'id': '4511375414'}, {'start': 107, 'end': 121, 'username': 'spriteclubNFT', 'id': '1448797529584320523'}]}"
25,1507033506068803590,2022-03-24 16:36:01+00:00,False,"There have been 2/8 chapters released so far.

Do you need a little refresher on everything that has happened? @andy_whorehole did a great job narrating and summarizing the first two chapters! https://t.co/eBJxhWthCd",7,4,60,0,,"{'urls': [{'start': 193, 'end': 216, 'url': 'https://t.co/eBJxhWthCd', 'expanded_url': 'https://twitter.com/andy_whorehole/status/1506979141752557580', 'display_url': 'twitter.com/andy_whorehole…'}], 'mentions': [{'start': 111, 'end': 126, 'username': 'andy_whorehole', 'id': '1495076951379296271'}]}"
