,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1536329634996006918,2022-06-13 12:48:23+00:00,False,RT @MuskTeflon: Gm https://t.co/Naebw1PFQ9,13,0,0,0,{'media_keys': ['3_1536301211019669504']},"{'urls': [{'start': 19, 'end': 42, 'url': 'https://t.co/Naebw1PFQ9', 'expanded_url': 'https://twitter.com/MuskTeflon/status/1536301215146860544/photo/1', 'display_url': 'pic.twitter.com/Naebw1PFQ9', 'media_key': '3_1536301211019669504'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'MuskTeflon', 'id': '1078022022175830016'}]}"
1,1536303014746722307,2022-06-13 11:02:36+00:00,False,RT @Benjinftsmemes: @ElftownWTF Right team i got big 12 hours going thru the knitty gritty will come back to u guys soon with progress,22,0,0,0,,"{'mentions': [{'start': 3, 'end': 18, 'username': 'Benjinftsmemes', 'id': '1479635687162875904'}, {'start': 20, 'end': 31, 'username': 'ElftownWTF', 'id': '1530637784108736518'}]}"
2,1536302520284368897,2022-06-13 11:00:38+00:00,True,@mauriceX1111 @skillskape2017 @ChiliDotPalm 😂,0,1,4,0,,"{'mentions': [{'start': 0, 'end': 13, 'username': 'mauriceX1111', 'id': '1455561478065508356'}, {'start': 14, 'end': 29, 'username': 'skillskape2017', 'id': '1481203110630539264'}, {'start': 30, 'end': 43, 'username': 'ChiliDotPalm', 'id': '63794583'}]}"
3,1536288600702205954,2022-06-13 10:05:19+00:00,False,"RT @XxstoicsxX: I am so proud of our community! We shall be rising soon, there is no such thing as good or bad propaganda, only propaganda…",15,0,0,0,,"{'mentions': [{'start': 3, 'end': 14, 'username': 'XxstoicsxX', 'id': '1515398859748487172'}]}"
4,1536281259168649216,2022-06-13 09:36:09+00:00,False,"Elves Vs Goblins?

In a full circle turn of events @Benjinftsmemes  has agreed to to lead us to victory!!

We will not stand down - THERE IS SUCH A THING AS AN UPWARD SPIRAL!!!!! https://t.co/tPsD1OPK2Y",52,46,164,3,{'media_keys': ['3_1536281253783142401']},"{'urls': [{'start': 179, 'end': 202, 'url': 'https://t.co/tPsD1OPK2Y', 'expanded_url': 'https://twitter.com/ElftownWTF/status/1536281259168649216/photo/1', 'display_url': 'pic.twitter.com/tPsD1OPK2Y', 'media_key': '3_1536281253783142401'}], 'mentions': [{'start': 51, 'end': 66, 'username': 'Benjinftsmemes', 'id': '1479635687162875904'}]}"
5,1536276708000681984,2022-06-13 09:18:04+00:00,True,@skillskape2017 @ChiliDotPalm Is it possible that we are struggling? That 10k negative comments got us down?,0,6,4,0,,"{'mentions': [{'start': 0, 'end': 15, 'username': 'skillskape2017', 'id': '1481203110630539264'}, {'start': 16, 'end': 29, 'username': 'ChiliDotPalm', 'id': '63794583'}]}"
6,1536266547282554880,2022-06-13 08:37:41+00:00,False,"Elf Town will stand strong!!

The Army is uniting and the paths are being rewritten. 

Along with our good friend @ChiliDotPalm the evolution shall be swift and bright for all Loyal Elves https://t.co/iiC6LNuKRz",38,29,141,0,{'media_keys': ['3_1536266542534492161']},"{'urls': [{'start': 188, 'end': 211, 'url': 'https://t.co/iiC6LNuKRz', 'expanded_url': 'https://twitter.com/ElftownWTF/status/1536266547282554880/photo/1', 'display_url': 'pic.twitter.com/iiC6LNuKRz', 'media_key': '3_1536266542534492161'}], 'mentions': [{'start': 114, 'end': 127, 'username': 'ChiliDotPalm', 'id': '63794583'}], 'annotations': [{'start': 0, 'end': 7, 'probability': 0.3477, 'type': 'Organization', 'normalized_text': 'Elf Town'}]}"
7,1536261882734120960,2022-06-13 08:19:09+00:00,True,@EPIC_JiMsTeR What’s rigged?,0,1,0,0,,"{'mentions': [{'start': 0, 'end': 13, 'username': 'EPIC_JiMsTeR', 'id': '718888197158252549'}]}"
8,1536261323524554752,2022-06-13 08:16:56+00:00,False,"RT @ChiliDotPalm: This drawing was inspired by the fun, childlike excitement that we all felt in the mystery of @ElftownWTF  I’ve had alot…",18,0,0,0,,"{'mentions': [{'start': 3, 'end': 16, 'username': 'ChiliDotPalm', 'id': '63794583'}, {'start': 112, 'end': 123, 'username': 'ElftownWTF', 'id': '1530637784108736518'}]}"
9,1536125443132227586,2022-06-12 23:17:00+00:00,False,https://t.co/2jXHAuqeWB,7,7,25,0,,"{'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/2jXHAuqeWB', 'expanded_url': 'https://twitter.com/i/spaces/1mnxedQnAwEJX', 'display_url': 'twitter.com/i/spaces/1mnxe…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1536113659482501120/Qz7uOGu7?format=jpg&name=orig', 'width': 1200, 'height': 630}, {'url': 'https://pbs.twimg.com/news_img/1536113659482501120/Qz7uOGu7?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Happening now: elf reunite', 'description': 'Benji’s space · 9 listening · Where live audio conversations happen', 'unwound_url': 'https://twitter.com/i/spaces/1mnxedQnAwEJX'}]}"
