,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1526981030292230144,2022-05-18 17:40:22+00:00,False,"🐱 KENOKO WL GIVEAWAY 👹 

10 KENOKO WL SPOTS

To Enter:
1️⃣ - Follow @Kenoko_NFT
2️⃣ - Like &amp; RT &amp; tag 3 friends
3️⃣ - Join the discord: https://t.co/Uyd3m0qztk",19,15,22,1,,"{'mentions': [{'start': 68, 'end': 79, 'username': 'Kenoko_NFT', 'id': '1513457003380760576'}], 'urls': [{'start': 144, 'end': 167, 'url': 'https://t.co/Uyd3m0qztk', 'expanded_url': 'https://discord.gg/msFrdA5RRx', 'display_url': 'discord.gg/msFrdA5RRx'}]}"
1,1526589095295602689,2022-05-17 15:42:57+00:00,False,"End of Days! A complete on-chain battle experience you do not want to miss! $200k in liquidity + we cover all the gas fees for each round! 🚀Want to win a free mint?

1⃣ ♥️ + RT
2⃣ Tag 3 friends
3⃣ Follow @EndofDays_NFT 
4⃣ Join Discord: https://t.co/9HIIRtxySU

#NFTGiveaways https://t.co/UwdfCa4NRk",83,81,97,4,{'media_keys': ['7_1526589007773126661']},"{'mentions': [{'start': 204, 'end': 218, 'username': 'EndofDays_NFT', 'id': '1480254733415714817'}], 'urls': [{'start': 237, 'end': 260, 'url': 'https://t.co/9HIIRtxySU', 'expanded_url': 'https://discord.gg/endofdays', 'display_url': 'discord.gg/endofdays'}, {'start': 276, 'end': 299, 'url': 'https://t.co/UwdfCa4NRk', 'expanded_url': 'https://twitter.com/EndofDays_NFT/status/1526589095295602689/video/1', 'display_url': 'pic.twitter.com/UwdfCa4NRk', 'media_key': '7_1526589007773126661'}], 'hashtags': [{'start': 262, 'end': 275, 'tag': 'NFTGiveaways'}]}"
2,1525128505289080832,2022-05-13 14:59:05+00:00,True,"@MysticMen_ Winners 🏆
• @goldenkelechi1
• @Sinaa2081

✔️ https://t.co/ZqM2XKh5Wu",0,2,9,0,,"{'mentions': [{'start': 0, 'end': 11, 'username': 'MysticMen_', 'id': '1518977087427784705'}, {'start': 24, 'end': 39, 'username': 'goldenkelechi1', 'id': '3348095249'}, {'start': 42, 'end': 52, 'username': 'Sinaa2081', 'id': '1501552600805789696'}], 'urls': [{'start': 57, 'end': 80, 'url': 'https://t.co/ZqM2XKh5Wu', 'expanded_url': 'https://twitterpicker.com/d/yafc7f93', 'display_url': 'twitterpicker.com/d/yafc7f93'}]}"
3,1525128309331222531,2022-05-13 14:58:19+00:00,False,"🚀Meta Gladiators X End of Days 🚀

🎁3x End of Days: Ragnarok WL Spots
🎁3x Meta Gladiators WL Spots

1⃣Must Follow
@EndofDays_NFT
@MetaGladiators

2⃣Like, Retweet, and Tag 3 friends

Winners in 24hrs 🎉

#NFTGiveaway #Metaverse https://t.co/KTkIxpDWfh",16,11,27,0,{'media_keys': ['7_1525128208512741378']},"{'mentions': [{'start': 113, 'end': 127, 'username': 'EndofDays_NFT', 'id': '1480254733415714817'}, {'start': 128, 'end': 143, 'username': 'MetaGladiators', 'id': '1493273248376791041'}], 'urls': [{'start': 225, 'end': 248, 'url': 'https://t.co/KTkIxpDWfh', 'expanded_url': 'https://twitter.com/EndofDays_NFT/status/1525128309331222531/video/1', 'display_url': 'pic.twitter.com/KTkIxpDWfh', 'media_key': '7_1525128208512741378'}], 'hashtags': [{'start': 201, 'end': 213, 'tag': 'NFTGiveaway'}, {'start': 214, 'end': 224, 'tag': 'Metaverse'}]}"
4,1524815590560411649,2022-05-12 18:15:41+00:00,False,"RT @CoffeeCupZNFT: ☕️CoffeeCupZ &amp; End of Days: Ragnarök🏆

🎁Collab Prizes🎁
15 WL spots from End of Days: Ragnarök
&amp; 
15 WL spots from Coffee…",16,0,0,0,,"{'mentions': [{'start': 3, 'end': 17, 'username': 'CoffeeCupZNFT', 'id': '1516537320727584777'}]}"
5,1524785122746114058,2022-05-12 16:14:37+00:00,True,"@HikageNFT Winners 🏆
• @crybabujgd - Hikage
• @MarissaTwiggs - Hikage
• @SybilVerell - Hikage
• @Jesse_Ekeh19 - Hikage
• @OfodumStephanie - Hikage
• @Valeri87099935
• @savvas25311250
• @haseebkhan063
• @18374972wer
• @Stephen77561620

✔️ https://t.co/91nLibGetZ",2,3,6,0,,"{'mentions': [{'start': 0, 'end': 10, 'username': 'HikageNFT', 'id': '1515370101876400135'}, {'start': 23, 'end': 34, 'username': 'crybabujgd', 'id': '279993273'}, {'start': 46, 'end': 60, 'username': 'MarissaTwiggs', 'id': '1503372023669661698'}, {'start': 72, 'end': 84, 'username': 'SybilVerell', 'id': '1503371516532166664'}, {'start': 121, 'end': 137, 'username': 'OfodumStephanie', 'id': '1316684849542057985'}, {'start': 149, 'end': 164, 'username': 'Valeri87099935', 'id': '1503373139593637889'}, {'start': 167, 'end': 182, 'username': 'savvas25311250', 'id': '1395829605513236487'}, {'start': 185, 'end': 199, 'username': 'haseebkhan063', 'id': '1474883948480245760'}, {'start': 202, 'end': 214, 'username': '18374972wer', 'id': '1506873572257501194'}, {'start': 217, 'end': 233, 'username': 'Stephen77561620', 'id': '1503371901187592197'}], 'urls': [{'start': 238, 'end': 261, 'url': 'https://t.co/91nLibGetZ', 'expanded_url': 'https://twitterpicker.com/d/26wdy795', 'display_url': 'twitterpicker.com/d/26wdy795'}]}"
6,1524764630727663617,2022-05-12 14:53:11+00:00,False,"RT @SquidooNFT: 🎁 Raganarök x Squidoo 🎁

We have partnered with End of days: Ragnarök to do a double giveaway!

3x Ragnarök WL
3x Squidoo W…",239,0,0,0,,"{'mentions': [{'start': 3, 'end': 14, 'username': 'SquidooNFT', 'id': '1496356513123749890'}]}"
7,1524430970216062977,2022-05-11 16:47:20+00:00,True,"Winners 🏆
• @HunterMoriks
• @KatzeKatzen
• @yemrem63

✔️ https://t.co/uUU7pFo42c",3,4,8,0,,"{'mentions': [{'start': 12, 'end': 25, 'username': 'HunterMoriks', 'id': '1232831340975837184'}, {'start': 28, 'end': 40, 'username': 'KatzeKatzen', 'id': '981590239620640768'}, {'start': 43, 'end': 52, 'username': 'yemrem63', 'id': '1248573008882675713'}], 'urls': [{'start': 57, 'end': 80, 'url': 'https://t.co/uUU7pFo42c', 'expanded_url': 'https://twitterpicker.com/d/39uuzfc9', 'display_url': 'twitterpicker.com/d/39uuzfc9'}]}"
8,1524423433542463488,2022-05-11 16:17:23+00:00,False,"RT @ReigningBearsLC: Reigning Bears LC x End of Days

🚨 PRIZES 🚨
5x End of Days
5x Reigning Bears LC WL

To Enter:
1⃣ Follow @ReigningBears…",18,0,0,0,,"{'mentions': [{'start': 3, 'end': 19, 'username': 'ReigningBearsLC', 'id': '1477891547035168769'}]}"
9,1524422688239865857,2022-05-11 16:14:25+00:00,False,"RT @giveskees: Broskees 🤝 End of Days - Ragnarok

3x WhiteList giveaway 🎉

How to enter? 
1⃣ Follow 
@BroskeesNFTs @giveskees @EndofDays_NF…",210,0,0,0,,"{'mentions': [{'start': 3, 'end': 13, 'username': 'giveskees', 'id': '1510963198719111168'}, {'start': 101, 'end': 114, 'username': 'BroskeesNFTs', 'id': '1490207965399367680'}, {'start': 115, 'end': 125, 'username': 'giveskees', 'id': '1510963198719111168'}], 'annotations': [{'start': 41, 'end': 62, 'probability': 0.5029, 'type': 'Product', 'normalized_text': 'Ragnarok 3x WhiteList'}]}"
