,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1536731341143699456,2022-06-14 15:24:37+00:00,False,"🐬  Flippr x Haro Buru 🐂

3x WL spots for @HaroBuru 

Must:
- Follow @FlipprTool + @HaroBuru 
- Like ❤️ and RT ♻️ 
- Tag 3 friends 

Winners in 24h https://t.co/UFfhX5yRr0",230,212,226,3,{'media_keys': ['3_1536730760316526593']},"{'mentions': [{'start': 41, 'end': 50, 'username': 'HaroBuru', 'id': '1515891517541429258'}, {'start': 68, 'end': 79, 'username': 'FlipprTool', 'id': '1492064143134064644'}, {'start': 82, 'end': 91, 'username': 'HaroBuru', 'id': '1515891517541429258'}], 'urls': [{'start': 147, 'end': 170, 'url': 'https://t.co/UFfhX5yRr0', 'expanded_url': 'https://twitter.com/FlipprTool/status/1536731341143699456/photo/1', 'display_url': 'pic.twitter.com/UFfhX5yRr0', 'media_key': '3_1536730760316526593'}]}"
1,1536729475517272065,2022-06-14 15:17:12+00:00,True,"@0xElectricsheep Winners 🏆
• @czz4214
• @0xVselect
• @fudindindun
Congrats, please DM us your Discord ID and wallet address within 24hrs.
✔️ https://t.co/nttercEuQx",2,2,7,0,,"{'mentions': [{'start': 0, 'end': 16, 'username': '0xElectricsheep', 'id': '1508807973904293891'}, {'start': 29, 'end': 37, 'username': 'czz4214', 'id': '1090240280551288832'}, {'start': 40, 'end': 50, 'username': '0xVselect', 'id': '1502106400910020612'}, {'start': 53, 'end': 65, 'username': 'fudindindun', 'id': '1436185195959386113'}], 'urls': [{'start': 141, 'end': 164, 'url': 'https://t.co/nttercEuQx', 'expanded_url': 'https://twitterpicker.com/d/jxag7c3k', 'display_url': 'twitterpicker.com/d/jxag7c3k'}]}"
2,1536570532312645634,2022-06-14 04:45:37+00:00,False,"🐬  Flippr x Yu Gi Yn 👹

2x WL spots for @Yu_Gi_Yn 

Must:
- Follow @FlipprTool + @Yu_Gi_Yn 
- Like ❤️ and RT ♻️ 
- Tag 3 friends 

Winners in 24h https://t.co/oZSssInEYm",556,431,594,7,{'media_keys': ['3_1536570287361097728']},"{'mentions': [{'start': 40, 'end': 49, 'username': 'Yu_Gi_Yn', 'id': '1516606800774135813'}, {'start': 67, 'end': 78, 'username': 'FlipprTool', 'id': '1492064143134064644'}, {'start': 81, 'end': 90, 'username': 'Yu_Gi_Yn', 'id': '1516606800774135813'}], 'urls': [{'start': 146, 'end': 169, 'url': 'https://t.co/oZSssInEYm', 'expanded_url': 'https://twitter.com/FlipprTool/status/1536570532312645634/photo/1', 'display_url': 'pic.twitter.com/oZSssInEYm', 'media_key': '3_1536570287361097728'}]}"
3,1536567586585866240,2022-06-14 04:33:55+00:00,True,"@heroesofes Winners 🏆
• @zineb_en_y
• @3ddyMoon
• @GameHill866
Congrats, please DM us your Discord ID + wallet address within 24hrs.
✔️ https://t.co/ayKF51MhWN",2,2,9,0,,"{'mentions': [{'start': 0, 'end': 11, 'username': 'heroesofes', 'id': '1507191416480436225'}, {'start': 24, 'end': 35, 'username': 'zineb_en_y', 'id': '1510537735257444356'}, {'start': 38, 'end': 47, 'username': '3ddyMoon', 'id': '1502873159220940802'}, {'start': 50, 'end': 62, 'username': 'GameHill866', 'id': '1463487293562437633'}], 'urls': [{'start': 136, 'end': 159, 'url': 'https://t.co/ayKF51MhWN', 'expanded_url': 'https://twitterpicker.com/d/ztccy8rm', 'display_url': 'twitterpicker.com/d/ztccy8rm', 'status': 404, 'unwound_url': 'https://twitterpicker.com/d/ztccy8rm'}]}"
4,1536372347808100352,2022-06-13 15:38:06+00:00,False,"🐬  Flippr x Electric Sheep ⚔️

3x WL spots for @0xElectricsheep 

Must:
- Follow @FlipprTool + @0xElectricsheep 
- Like ❤️ and RT ♻️ 
- Tag 3 friends 

Winners in 24h https://t.co/S4HjWyFSf1",383,300,405,3,{'media_keys': ['3_1536372007272448000']},"{'mentions': [{'start': 47, 'end': 63, 'username': '0xElectricsheep', 'id': '1508807973904293891'}, {'start': 81, 'end': 92, 'username': 'FlipprTool', 'id': '1492064143134064644'}, {'start': 95, 'end': 111, 'username': '0xElectricsheep', 'id': '1508807973904293891'}], 'urls': [{'start': 167, 'end': 190, 'url': 'https://t.co/S4HjWyFSf1', 'expanded_url': 'https://twitter.com/FlipprTool/status/1536372347808100352/photo/1', 'display_url': 'pic.twitter.com/S4HjWyFSf1', 'media_key': '3_1536372007272448000'}]}"
5,1536371187349000192,2022-06-13 15:33:30+00:00,True,"@lasthopium Winners 🏆
• @BannerHidalgo5
• @frogleyl8962
• @xianyanggg
Congrats, please DM us your discord ID and wallet address within 24hrs.
✔️ https://t.co/ClNOktb454",2,0,5,0,,"{'mentions': [{'start': 0, 'end': 11, 'username': 'lasthopium', 'id': '1479130537583284224'}, {'start': 24, 'end': 39, 'username': 'BannerHidalgo5', 'id': '1400113746'}, {'start': 42, 'end': 55, 'username': 'frogleyl8962', 'id': '3418444666'}, {'start': 58, 'end': 69, 'username': 'xianyanggg', 'id': '832932122482466818'}], 'urls': [{'start': 145, 'end': 168, 'url': 'https://t.co/ClNOktb454', 'expanded_url': 'https://twitterpicker.com/d/4km8dh2n', 'display_url': 'twitterpicker.com/d/4km8dh2n'}]}"
6,1536183805555658758,2022-06-13 03:08:54+00:00,False,"🐬  Flippr x Extraterrestrial Societies 👽

3x WL spots for @heroesofes , 70x more in @FlipprTool Marketplace!

Must:
- Follow @FlipprTool + @heroesofes 
- Like ❤️ and RT ♻️ 
- Tag 3 friends 

Winners in 24h https://t.co/rCMKQYAMN2",260,226,259,1,{'media_keys': ['7_1536183166691848193']},"{'mentions': [{'start': 58, 'end': 69, 'username': 'heroesofes', 'id': '1507191416480436225'}, {'start': 84, 'end': 95, 'username': 'FlipprTool', 'id': '1492064143134064644'}, {'start': 125, 'end': 136, 'username': 'FlipprTool', 'id': '1492064143134064644'}, {'start': 139, 'end': 150, 'username': 'heroesofes', 'id': '1507191416480436225'}], 'urls': [{'start': 206, 'end': 229, 'url': 'https://t.co/rCMKQYAMN2', 'expanded_url': 'https://twitter.com/FlipprTool/status/1536183805555658758/video/1', 'display_url': 'pic.twitter.com/rCMKQYAMN2', 'media_key': '7_1536183166691848193'}]}"
7,1536001430381023233,2022-06-12 15:04:13+00:00,False,"🐬  Flippr x Last Hopium🔑

3x WL spots for @lasthopium , 60x more in @FlipprTool Marketplace!

Must:
- Follow @FlipprTool + @lasthopium 
- Like ❤️ and RT ♻️ 
- Tag 3 friends 

Winners in 24h https://t.co/vUhxfBmuy1",868,840,911,3,{'media_keys': ['7_1536001070727852032']},"{'mentions': [{'start': 42, 'end': 53, 'username': 'lasthopium', 'id': '1479130537583284224'}, {'start': 68, 'end': 79, 'username': 'FlipprTool', 'id': '1492064143134064644'}, {'start': 109, 'end': 120, 'username': 'FlipprTool', 'id': '1492064143134064644'}, {'start': 123, 'end': 134, 'username': 'lasthopium', 'id': '1479130537583284224'}], 'urls': [{'start': 190, 'end': 213, 'url': 'https://t.co/vUhxfBmuy1', 'expanded_url': 'https://twitter.com/FlipprTool/status/1536001430381023233/video/1', 'display_url': 'pic.twitter.com/vUhxfBmuy1', 'media_key': '7_1536001070727852032'}]}"
8,1536001003140661250,2022-06-12 15:02:31+00:00,True,"@ChimpsNFT @Aloominati_NFT Winners 🏆
• @Moonoi0261
• @elgntail
• @1Jhsw5shj7kUmiu
Congrats, please DM us your Discord ID and wallet address within 12hrs.
✔️ https://t.co/iWj09Uv8tp",0,1,12,0,,"{'mentions': [{'start': 0, 'end': 10, 'username': 'ChimpsNFT', 'id': '1529510093636931585'}, {'start': 11, 'end': 26, 'username': 'Aloominati_NFT', 'id': '3569830699'}, {'start': 39, 'end': 50, 'username': 'Moonoi0261', 'id': '1340640751055618048'}, {'start': 53, 'end': 62, 'username': 'elgntail', 'id': '1299972593357918208'}, {'start': 65, 'end': 81, 'username': '1Jhsw5shj7kUmiu', 'id': '1329828227263520768'}], 'urls': [{'start': 157, 'end': 180, 'url': 'https://t.co/iWj09Uv8tp', 'expanded_url': 'https://twitterpicker.com/d/x9vff6ra', 'display_url': 'twitterpicker.com/d/x9vff6ra', 'status': 404, 'unwound_url': 'https://twitterpicker.com/d/x9vff6ra'}]}"
9,1535665109422718976,2022-06-11 16:47:48+00:00,False,"These lil chimps are taking over the Jungleverse 🌴

Giving away 3 @ChimpsNFT FREE MINTS! 🐒 With 45 more in @FlipprTool marketplace!

To enter: 
🍌 Follow @FlipprTool, @ChimpsNFT &amp; @Aloominati_NFT  
🍌 Like &amp; RT 
🍌 Tag 3 degens

Announced in 24 hours 🙉 https://t.co/4OgUdguxlr",1467,1097,1522,11,{'media_keys': ['3_1535664934109204482']},"{'mentions': [{'start': 66, 'end': 76, 'username': 'ChimpsNFT', 'id': '1529510093636931585'}, {'start': 107, 'end': 118, 'username': 'FlipprTool', 'id': '1492064143134064644'}, {'start': 153, 'end': 164, 'username': 'FlipprTool', 'id': '1492064143134064644'}, {'start': 166, 'end': 176, 'username': 'ChimpsNFT', 'id': '1529510093636931585'}, {'start': 183, 'end': 198, 'username': 'Aloominati_NFT', 'id': '3569830699'}], 'urls': [{'start': 258, 'end': 281, 'url': 'https://t.co/4OgUdguxlr', 'expanded_url': 'https://twitter.com/FlipprTool/status/1535665109422718976/photo/1', 'display_url': 'pic.twitter.com/4OgUdguxlr', 'media_key': '3_1535664934109204482'}]}"
