,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1508437168615686144,2022-03-28 13:33:41+00:00,False,"‼️Fortune Friends Club x Aneroverse‼️

🚨 ANEROVERSE WHITELIST GIVEAWAY🚨

Rules :
1. Follow @FortuneFriends_ @AneroVerse 
2. Like &amp; Retweet!
3. Tag 3 friends ✅ https://t.co/296sHrPGbU",3345,2654,3357,10,{'media_keys': ['3_1508436333684953089']},"{'mentions': [{'start': 91, 'end': 107, 'username': 'FortuneFriends_', 'id': '1462264065644924932'}, {'start': 108, 'end': 119, 'username': 'AneroVerse', 'id': '1483312147555917828'}], 'urls': [{'start': 163, 'end': 186, 'url': 'https://t.co/296sHrPGbU', 'expanded_url': 'https://twitter.com/FortuneFriends_/status/1508437168615686144/photo/1', 'display_url': 'pic.twitter.com/296sHrPGbU'}]}"
1,1508420490570121216,2022-03-28 12:27:24+00:00,False,"We're coming for you, Singapore 😉",20,13,109,1,,"{'annotations': [{'start': 22, 'end': 30, 'probability': 0.9337, 'type': 'Place', 'normalized_text': 'Singapore'}]}"
2,1508332807898091524,2022-03-28 06:38:59+00:00,False,"RT @QueenBao_: it is almost the end of the quarter so i'm reflecting on the cool stuff thats happened the last few months.

trying to celeb…",18,0,0,0,,"{'mentions': [{'start': 3, 'end': 13, 'username': 'QueenBao_', 'id': '1451715658232700931'}]}"
3,1508288268831379460,2022-03-28 03:42:00+00:00,True,"@RiceDayGG Winners 🏆
• @mrGalbraithX
• @TheOGMetaRaider
• @LFGMANOW

Please contact us within 24hrs with your Eth address and discord id with #",2,1,11,0,,"{'mentions': [{'start': 0, 'end': 10, 'username': 'RiceDayGG', 'id': '1468277302228180999'}, {'start': 23, 'end': 36, 'username': 'mrGalbraithX', 'id': '174251165'}, {'start': 39, 'end': 55, 'username': 'TheOGMetaRaider', 'id': '1465313436020219907'}, {'start': 58, 'end': 67, 'username': 'LFGMANOW', 'id': '1494538709047267329'}]}"
4,1508084857259556866,2022-03-27 14:13:43+00:00,True,"@GummiesGangNFT Winners 🏆
• @CryptoLeonlsj
• @Noah_halohalo
• @Skh9075

Congrats! Do drop us your ETH Address in 24hrs!",2,2,11,0,,"{'mentions': [{'start': 0, 'end': 15, 'username': 'GummiesGangNFT', 'id': '1494937774402662400'}, {'start': 28, 'end': 42, 'username': 'CryptoLeonlsj', 'id': '1472177133225385991'}, {'start': 45, 'end': 59, 'username': 'Noah_halohalo', 'id': '1505536319405293568'}, {'start': 62, 'end': 70, 'username': 'Skh9075', 'id': '1489130968199925761'}]}"
5,1507992696044290048,2022-03-27 08:07:30+00:00,False,"🍚Fortune Friends Club x RiceDay 🍚

The all-time beloved Asian food Rice and Bao have merged!

Rice Day has given us 3x Rice List to share the love!

To enter:
🍙 Like &amp; Retweet this post
🍙 Follow both @FortuneFriends_ &amp; @RiceDayGG 
🍙 Tag your Grain friends! https://t.co/ZOqDBP8al7",458,454,508,4,{'media_keys': ['3_1507990840979124225']},"{'mentions': [{'start': 204, 'end': 220, 'username': 'FortuneFriends_', 'id': '1462264065644924932'}, {'start': 227, 'end': 237, 'username': 'RiceDayGG', 'id': '1468277302228180999'}], 'urls': [{'start': 265, 'end': 288, 'url': 'https://t.co/ZOqDBP8al7', 'expanded_url': 'https://twitter.com/FortuneFriends_/status/1507992696044290048/photo/1', 'display_url': 'pic.twitter.com/ZOqDBP8al7'}]}"
6,1507848086554824704,2022-03-26 22:32:52+00:00,False,"Trader, Investor or Collector? 🧐

Join us here with @BaoBeiNFT and @brnenft soon! 

 https://t.co/RJHBlEU6ra",4,0,20,0,,"{'mentions': [{'start': 52, 'end': 62, 'username': 'BaoBeiNFT', 'id': '1468325475131203586'}, {'start': 67, 'end': 75, 'username': 'brnenft', 'id': '1456033370756947973'}], 'urls': [{'start': 85, 'end': 108, 'url': 'https://t.co/RJHBlEU6ra', 'expanded_url': 'https://twitter.com/i/spaces/1OyKADBBvQexb', 'display_url': 'twitter.com/i/spaces/1OyKA…'}]}"
7,1507847589265551360,2022-03-26 22:30:54+00:00,True,"Sadly champ won’t be able to make today - life emergencies.

Show still goes on! We’ll be having him back soon anyway.",1,0,11,0,,
8,1507750254745370624,2022-03-26 16:04:08+00:00,True,"@DavidChoiMusic @HappyVoicesNFT Winner 🏆: @vintage_river

Please DM us your discord ID with # and ETH Address in 24hrs!",0,0,5,1,,"{'mentions': [{'start': 0, 'end': 15, 'username': 'DavidChoiMusic', 'id': '8848642'}, {'start': 16, 'end': 31, 'username': 'HappyVoicesNFT', 'id': '1467015108484206596'}, {'start': 42, 'end': 56, 'username': 'vintage_river', 'id': '1456300452488749063'}]}"
9,1507745390447128580,2022-03-26 15:44:48+00:00,False,"RT @spriteclubNFT: Fortune Friends Club 🤍
@FortuneFriends_ https://t.co/pr8iRGUcGq",10,0,0,0,{'media_keys': ['3_1507742689785262085']},"{'mentions': [{'start': 3, 'end': 17, 'username': 'spriteclubNFT', 'id': '1448797529584320523'}, {'start': 42, 'end': 58, 'username': 'FortuneFriends_', 'id': '1462264065644924932'}], 'urls': [{'start': 59, 'end': 82, 'url': 'https://t.co/pr8iRGUcGq', 'expanded_url': 'https://twitter.com/spriteclubNFT/status/1507742693274882055/photo/1', 'display_url': 'pic.twitter.com/pr8iRGUcGq'}]}"
