,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1525162053601619968,2022-05-13 17:12:24+00:00,False,"RT @PSouthyarra: Gas at $37. Finally picked up a Kuma!!
@KumaverseNFT
#kumafollowkuma https://t.co/5h3AJmYMB8",5,0,0,0,{'media_keys': ['3_1525018685836251137']},"{'urls': [{'start': 86, 'end': 109, 'url': 'https://t.co/5h3AJmYMB8', 'expanded_url': 'https://twitter.com/PSouthyarra/status/1525018688403152896/photo/1', 'display_url': 'pic.twitter.com/5h3AJmYMB8', 'media_key': '3_1525018685836251137'}], 'mentions': [{'start': 3, 'end': 15, 'username': 'PSouthyarra', 'id': '1266683586352013313'}, {'start': 56, 'end': 69, 'username': 'KumaverseNFT', 'id': '927441991'}], 'hashtags': [{'start': 70, 'end': 85, 'tag': 'kumafollowkuma'}]}"
1,1525161970525249536,2022-05-13 17:12:04+00:00,False,RT @treem0n_: @PSouthyarra @KumaverseNFT Gangggg https://t.co/ia7sB2kbQl,2,0,0,0,{'media_keys': ['3_1525152530157666305']},"{'urls': [{'start': 49, 'end': 72, 'url': 'https://t.co/ia7sB2kbQl', 'expanded_url': 'https://twitter.com/treem0n_/status/1525152534322618368/photo/1', 'display_url': 'pic.twitter.com/ia7sB2kbQl', 'media_key': '3_1525152530157666305'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'treem0n_', 'id': '1620902034'}, {'start': 14, 'end': 26, 'username': 'PSouthyarra', 'id': '1266683586352013313'}, {'start': 27, 'end': 40, 'username': 'KumaverseNFT', 'id': '927441991'}]}"
2,1525067099973881858,2022-05-13 10:55:05+00:00,False,RT @HENHERDARNATH: Watch how @KumaverseNFT handle BearMarket 😎 https://t.co/hrwY2Sl7sg,7,0,0,0,{'media_keys': ['16_1525066607852425217']},"{'urls': [{'start': 63, 'end': 86, 'url': 'https://t.co/hrwY2Sl7sg', 'expanded_url': 'https://twitter.com/HENHERDARNATH/status/1525066619306713090/photo/1', 'display_url': 'pic.twitter.com/hrwY2Sl7sg', 'media_key': '16_1525066607852425217'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'HENHERDARNATH', 'id': '81181774'}, {'start': 29, 'end': 42, 'username': 'KumaverseNFT', 'id': '927441991'}]}"
3,1525062911257096192,2022-05-13 10:38:26+00:00,False,"RT @nglkhloe: .@MikoInEth Here is your wallpaper Miko-sensei! 🐻

I will choose 3 Kumas under this tweet and make a personalized one for the…",15,0,0,0,,"{'mentions': [{'start': 3, 'end': 12, 'username': 'nglkhloe', 'id': '1524110754613444608'}, {'start': 15, 'end': 25, 'username': 'MikoInEth', 'id': '1346259016888926208'}]}"
4,1525062872740425728,2022-05-13 10:38:17+00:00,False,RT @eednarg: So Bearish on @KumaverseNFT,2,0,0,0,,"{'mentions': [{'start': 3, 'end': 11, 'username': 'eednarg', 'id': '1446841765181345795'}, {'start': 27, 'end': 40, 'username': 'KumaverseNFT', 'id': '927441991'}]}"
5,1525023445230456832,2022-05-13 08:01:37+00:00,False,"Kumaverse x Woman of Tomorrow

 3 whitelist spot

1️⃣ Like and RT 
2️⃣ Follow @women_of_tmw &amp; @KumaverseNFT
 &amp; join https://t.co/ZvSOrvvVUV 
3️⃣ Tag 3 friends below!

Winners will be announced in 24h!

#NFT #NFTGiveaway https://t.co/GY1ZJcLIPZ",36,37,50,0,{'media_keys': ['3_1525023408932950017']},"{'urls': [{'start': 124, 'end': 147, 'url': 'https://t.co/ZvSOrvvVUV', 'expanded_url': 'https://discord.gg/tPW9qFcW', 'display_url': 'discord.gg/tPW9qFcW', 'status': 200, 'title': 'Discord - A New Way to Chat with Friends & Communities', 'description': 'Discord is the easiest way to communicate over voice, video, and text. Chat, hang out, and stay close with your friends and communities.', 'unwound_url': 'https://discord.com/invite/tPW9qFcW'}, {'start': 228, 'end': 251, 'url': 'https://t.co/GY1ZJcLIPZ', 'expanded_url': 'https://twitter.com/KumaverseNFT/status/1525023445230456832/photo/1', 'display_url': 'pic.twitter.com/GY1ZJcLIPZ', 'media_key': '3_1525023408932950017'}], 'mentions': [{'start': 78, 'end': 91, 'username': 'women_of_tmw', 'id': '1469329231301775369'}, {'start': 98, 'end': 111, 'username': 'KumaverseNFT', 'id': '927441991'}], 'hashtags': [{'start': 210, 'end': 214, 'tag': 'NFT'}, {'start': 215, 'end': 227, 'tag': 'NFTGiveaway'}]}"
6,1525005082428706816,2022-05-13 06:48:39+00:00,False,RT @Erickan95048502: @RaflorsNFT @KumaverseNFT Trippytoadz and kuma https://t.co/GH4FH51IUD,2,0,0,0,"{'media_keys': ['3_1524740635911389185', '3_1524740745114304512']}","{'urls': [{'start': 68, 'end': 91, 'url': 'https://t.co/GH4FH51IUD', 'expanded_url': 'https://twitter.com/Erickan95048502/status/1524740754895413249/photo/1', 'display_url': 'pic.twitter.com/GH4FH51IUD', 'media_key': '3_1524740635911389185'}, {'start': 68, 'end': 91, 'url': 'https://t.co/GH4FH51IUD', 'expanded_url': 'https://twitter.com/Erickan95048502/status/1524740754895413249/photo/1', 'display_url': 'pic.twitter.com/GH4FH51IUD', 'media_key': '3_1524740745114304512'}], 'mentions': [{'start': 3, 'end': 19, 'username': 'Erickan95048502', 'id': '1392846291143585792'}, {'start': 21, 'end': 32, 'username': 'RaflorsNFT', 'id': '1487354422468354053'}, {'start': 33, 'end': 46, 'username': 'KumaverseNFT', 'id': '927441991'}]}"
7,1524985617062367232,2022-05-13 05:31:18+00:00,False,RT @0xElm0: What the fuck inspired this song https://t.co/aRHAE0P7Zw,1366,0,0,0,{'media_keys': ['7_1524634158756204548']},"{'urls': [{'start': 45, 'end': 68, 'url': 'https://t.co/aRHAE0P7Zw', 'expanded_url': 'https://twitter.com/0xElm0/status/1524634244487729153/video/1', 'display_url': 'pic.twitter.com/aRHAE0P7Zw', 'media_key': '7_1524634158756204548'}], 'mentions': [{'start': 3, 'end': 10, 'username': '0xElm0', 'id': '2813474546'}]}"
8,1524946325648777216,2022-05-13 02:55:10+00:00,True,"Congratulation to the winner!!

You won 1 Keystone Pro 🔥

@NVTHVNxR 

Please DM us to claim your prize
https://t.co/1JsNCMWG6B",0,1,3,0,,"{'urls': [{'start': 103, 'end': 126, 'url': 'https://t.co/1JsNCMWG6B', 'expanded_url': 'https://twitterpicker.com/d/vvk7z8z5', 'display_url': 'twitterpicker.com/d/vvk7z8z5'}], 'mentions': [{'start': 58, 'end': 67, 'username': 'NVTHVNxR', 'id': '2413479570'}]}"
9,1524934197185740800,2022-05-13 02:06:59+00:00,True,"Congratulation to the winners!! (11-20)

@Travereum 
@plsmokeweed
@vincodan 
@fatomiluyiolan1 
@Turkish4972 
@Vietnamrawhair 
@pisces147 
@_nrctcs 
@Chiagozie4real 
@klaangd 

Please DM your Discord ID, thank you!

https://t.co/1ZQ5Xi7HuH",1,3,5,0,,"{'urls': [{'start': 215, 'end': 238, 'url': 'https://t.co/1ZQ5Xi7HuH', 'expanded_url': 'https://twitterpicker.com/d/tu63zwhr', 'display_url': 'twitterpicker.com/d/tu63zwhr', 'status': 404, 'unwound_url': 'https://twitterpicker.com/d/tu63zwhr'}], 'mentions': [{'start': 41, 'end': 51, 'username': 'Travereum', 'id': '1403096207702904834'}, {'start': 53, 'end': 65, 'username': 'plsmokeweed', 'id': '1508878357508890624'}, {'start': 66, 'end': 75, 'username': 'vincodan', 'id': '443219681'}, {'start': 77, 'end': 93, 'username': 'fatomiluyiolan1', 'id': '1010215617666961409'}, {'start': 95, 'end': 107, 'username': 'Turkish4972', 'id': '1499183733949218816'}, {'start': 109, 'end': 124, 'username': 'Vietnamrawhair', 'id': '1474343225443950597'}, {'start': 126, 'end': 136, 'username': 'pisces147', 'id': '210766157'}, {'start': 138, 'end': 146, 'username': '_nrctcs', 'id': '1494312147744346116'}, {'start': 148, 'end': 163, 'username': 'Chiagozie4real', 'id': '1428533888'}, {'start': 165, 'end': 173, 'username': 'klaangd', 'id': '1459210996380475393'}]}"
