,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1527031560775553024,2022-05-18 21:01:09+00:00,False,"💰 IT’S TIME MONEY FAM 

💰 

The Allow List Sale is now live, you can mint here:
https://t.co/EB8ANGt7IA

See the collection on OpenSea:
https://t.co/f1LF9iEI1K https://t.co/3LtlmQ7mqI",35,13,83,5,{'media_keys': ['16_1527028685588545537']},"{'urls': [{'start': 80, 'end': 103, 'url': 'https://t.co/EB8ANGt7IA', 'expanded_url': 'https://www.moneybagsnft.io/mint', 'display_url': 'moneybagsnft.io/mint'}, {'start': 136, 'end': 159, 'url': 'https://t.co/f1LF9iEI1K', 'expanded_url': 'https://opensea.io/collection/moneybagsofficial', 'display_url': 'opensea.io/collection/mon…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1527031604132061186/8zFb730M?format=jpg&name=orig', 'width': 1400, 'height': 400}, {'url': 'https://pbs.twimg.com/news_img/1527031604132061186/8zFb730M?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'MoneyBags Official - Collection | OpenSea', 'description': '5,555 animated Money Bags here to pump your bag! 💰 A team dedicated to giving back to the people of web3. Dope art, initial ETH rewards, 10 weeks of community rewards, staking feature, education for future success and a launchpad for growth and exposure. Join us in building a space where WAGMI is not just an idea but a core belief! 🤑', 'unwound_url': 'https://opensea.io/collection/moneybagsofficial'}, {'start': 160, 'end': 183, 'url': 'https://t.co/3LtlmQ7mqI', 'expanded_url': 'https://twitter.com/MoneyBagsNFT/status/1527031560775553024/photo/1', 'display_url': 'pic.twitter.com/3LtlmQ7mqI', 'media_key': '16_1527028685588545537'}]}"
1,1526991535337836544,2022-05-18 18:22:06+00:00,True,@roomonthebroom All rewards in Phase 1 and 2 of the roadmap are based on percentages 😊,0,0,0,0,,"{'mentions': [{'start': 0, 'end': 15, 'username': 'roomonthebroom', 'id': '18156794'}]}"
2,1526938269216215041,2022-05-18 14:50:27+00:00,True,@bellahadid We’re here waiting for you Queen 😜,0,1,9,0,,"{'mentions': [{'start': 0, 'end': 11, 'username': 'bellahadid', 'id': '171682388'}]}"
3,1526937814771769345,2022-05-18 14:48:38+00:00,True,@mackythewacky Tick tock baby! 🤍,0,0,2,0,,"{'mentions': [{'start': 0, 'end': 14, 'username': 'mackythewacky', 'id': '1478913223785164801'}]}"
4,1526933763917197312,2022-05-18 14:32:33+00:00,True,COUNTING DOWN TEAM!! 🤑,1,7,29,1,,
5,1526819571058868224,2022-05-18 06:58:47+00:00,True,@AshleyWomenNFT LETS CHANGE THE GAME 💎💯🔥,5,2,24,0,,"{'mentions': [{'start': 0, 'end': 15, 'username': 'AshleyWomenNFT', 'id': '1462619790229446659'}]}"
6,1526704613562273792,2022-05-17 23:21:59+00:00,False,"LESS THAN 24 HOURS UNTIL MINT! 🤑

And there is some BIG things in the works!

This guy is a 1/1 who will be blessing you with the gift of 50eth* if come across him! 💎 

In celebration we are giving away 3x Money Bags NFT!

✅ Follow @MoneyBagsNFT 
✅ Like, RT &amp; tag 3 friends! https://t.co/2REUziK0kI",548,515,633,14,{'media_keys': ['16_1526704600526376960']},"{'annotations': [{'start': 139, 'end': 143, 'probability': 0.3686, 'type': 'Person', 'normalized_text': '50eth'}], 'urls': [{'start': 279, 'end': 302, 'url': 'https://t.co/2REUziK0kI', 'expanded_url': 'https://twitter.com/MoneyBagsNFT/status/1526704613562273792/photo/1', 'display_url': 'pic.twitter.com/2REUziK0kI', 'media_key': '16_1526704600526376960'}], 'mentions': [{'start': 232, 'end': 245, 'username': 'MoneyBagsNFT', 'id': '1497135092338069504'}]}"
7,1526503061853569027,2022-05-17 10:01:05+00:00,True,@MindblowonNFT @samsungID Team work makes the dream work! And we see some solid builders 💪💯,0,0,19,0,,"{'mentions': [{'start': 0, 'end': 14, 'username': 'MindblowonNFT', 'id': '1479963153546940417'}, {'start': 15, 'end': 25, 'username': 'samsungID', 'id': '237230213'}]}"
8,1526499513510244358,2022-05-17 09:46:59+00:00,True,@Forgot3thWorlds 🤑🤑🤑,0,0,9,0,,"{'mentions': [{'start': 0, 'end': 16, 'username': 'Forgot3thWorlds', 'id': '1471046450217775107'}]}"
9,1526499177785487360,2022-05-17 09:45:39+00:00,True,@KarafuruNFT Sheeeesh 😏,5,1,22,0,,"{'mentions': [{'start': 0, 'end': 12, 'username': 'KarafuruNFT', 'id': '1478581829271654400'}]}"
10,1526400240768540674,2022-05-17 03:12:31+00:00,True,You guys don’t forget this did you 😏🤑💰,6,5,51,0,,
11,1526194243974225920,2022-05-16 13:33:57+00:00,True,@garyvee What ever your cooking up for us 😜,1,0,25,0,,"{'mentions': [{'start': 0, 'end': 8, 'username': 'garyvee', 'id': '5768872'}]}"
12,1526193766754725890,2022-05-16 13:32:03+00:00,True,@bergenfox You get it 😜,0,0,2,0,,"{'mentions': [{'start': 0, 'end': 10, 'username': 'bergenfox', 'id': '27274161'}]}"
13,1526166686835040258,2022-05-16 11:44:27+00:00,False,"Locked and loaded baby! We're so excited to see who will take home those payday rewards🤑

Only 2 days until mint now! 💰 https://t.co/I9TqoCAO2m",39,23,153,6,{'media_keys': ['16_1526162260418252800']},"{'urls': [{'start': 120, 'end': 143, 'url': 'https://t.co/I9TqoCAO2m', 'expanded_url': 'https://twitter.com/MoneyBagsNFT/status/1526166686835040258/photo/1', 'display_url': 'pic.twitter.com/I9TqoCAO2m', 'media_key': '16_1526162260418252800'}]}"
14,1525830540217266176,2022-05-15 13:28:44+00:00,True,"5/5 
If you're looking at minting in the 'Public Sale' portion of the mint, none of this applies to you.

Happy Sunday everyone 🌞",1,2,22,0,,
15,1525830538518568962,2022-05-15 13:28:43+00:00,True,"4/5
There will me a 'Master' list released shortly after closing wallet submission where you can check your wallets are locked in and ready to go! 🤝💰",1,1,21,0,,
16,1525830536933031936,2022-05-15 13:28:43+00:00,True,"3/5
If you've won an external giveaway or bought an Allow List spot off another projects marketplace you don't need to do anything at this stage (read post below 👇)",1,2,17,0,,
17,1525830535465078786,2022-05-15 13:28:42+00:00,True,"2/5
After that we will be shutting down wallet collection, from there we will be getting ready to start lining everything up for mint starting on the 18th of May at 5pm EST 🎉",1,1,17,0,,
