,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1533841210854342658,2022-06-06 16:00:16+00:00,True,"Remember to cash in your pouch of coins on our Discord, we're extending the time window for you to purchase Flopmazing prizes! In the meantime, you can still earn more through events, Twitter raids, activity, fan arts, and others! 🤩",3,0,14,0,,"{'annotations': [{'start': 184, 'end': 190, 'probability': 0.5862, 'type': 'Product', 'normalized_text': 'Twitter'}]}"
1,1533839142416633857,2022-06-06 15:52:03+00:00,False,"This concludes the END of Floppy Olympics! Thank you everyone who joined the games &amp; made these past 8 weeks nothing short of fun, wholesomeness &amp; healthy competition ❤️🔥💪

#FloppyNFT #NFTart #NFTcommunity #NFT https://t.co/0FMb5EZimW",11,5,46,4,{'media_keys': ['7_1533832856379609088']},"{'urls': [{'start': 219, 'end': 242, 'url': 'https://t.co/0FMb5EZimW', 'expanded_url': 'https://twitter.com/NftFloppy/status/1533839142416633857/video/1', 'display_url': 'pic.twitter.com/0FMb5EZimW', 'media_key': '7_1533832856379609088'}], 'annotations': [{'start': 26, 'end': 40, 'probability': 0.4832, 'type': 'Other', 'normalized_text': 'Floppy Olympics'}], 'hashtags': [{'start': 181, 'end': 191, 'tag': 'FloppyNFT'}, {'start': 192, 'end': 199, 'tag': 'NFTart'}, {'start': 200, 'end': 213, 'tag': 'NFTcommunity'}, {'start': 214, 'end': 218, 'tag': 'NFT'}]}"
2,1533430021540691969,2022-06-05 12:46:21+00:00,False,RT @lance_bubb: #NewNFTProfilePic just keep adding lol!! Thank you @NftFloppy for my free floppy https://t.co/5rKXO91V6F,5,0,0,0,{'media_keys': ['3_1533084343047954439']},"{'urls': [{'start': 97, 'end': 120, 'url': 'https://t.co/5rKXO91V6F', 'expanded_url': 'https://twitter.com/lance_bubb/status/1533084348425158657/photo/1', 'display_url': 'pic.twitter.com/5rKXO91V6F', 'media_key': '3_1533084343047954439'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'lance_bubb', 'id': '1357818212428169220'}, {'start': 67, 'end': 77, 'username': 'NftFloppy', 'id': '1466323549765783555'}], 'hashtags': [{'start': 16, 'end': 33, 'tag': 'NewNFTProfilePic'}]}"
3,1533429996685266945,2022-06-05 12:46:15+00:00,False,"RT @LegitWheats: I have a lot of @NftFloppy but when you see a Bitcoin Hyper near floor, I feel obligated to scoop it up lmao #FloppyNFT #F…",7,0,0,0,,"{'annotations': [{'start': 63, 'end': 75, 'probability': 0.5446, 'type': 'Product', 'normalized_text': 'Bitcoin Hyper'}], 'mentions': [{'start': 3, 'end': 15, 'username': 'LegitWheats', 'id': '3384455175'}, {'start': 33, 'end': 43, 'username': 'NftFloppy', 'id': '1466323549765783555'}], 'hashtags': [{'start': 126, 'end': 136, 'tag': 'FloppyNFT'}]}"
4,1533131469769437184,2022-06-04 17:00:01+00:00,False,"Floppy Toy Updates ✨ We're in the tooling phase! This is where Floppy parts are made into metal mold for mass production. Everything will then be reattached seamlessly into a full vinyl toy! 🐰

#FloppyNFT #NFTart #NFTcommunity https://t.co/neZjRjID72",18,9,56,0,"{'media_keys': ['3_1533013660364247040', '3_1533015131558293504']}","{'urls': [{'start': 227, 'end': 250, 'url': 'https://t.co/neZjRjID72', 'expanded_url': 'https://twitter.com/NftFloppy/status/1533131469769437184/photo/1', 'display_url': 'pic.twitter.com/neZjRjID72', 'media_key': '3_1533013660364247040'}, {'start': 227, 'end': 250, 'url': 'https://t.co/neZjRjID72', 'expanded_url': 'https://twitter.com/NftFloppy/status/1533131469769437184/photo/1', 'display_url': 'pic.twitter.com/neZjRjID72', 'media_key': '3_1533015131558293504'}], 'hashtags': [{'start': 194, 'end': 204, 'tag': 'FloppyNFT'}, {'start': 205, 'end': 212, 'tag': 'NFTart'}, {'start': 213, 'end': 226, 'tag': 'NFTcommunity'}]}"
5,1532881963777859585,2022-06-04 00:28:34+00:00,False,"RT @MiletimeCinema: Since it seeeeeems that we're back in the cute meta here, shouldn't you take a peek at @NftFloppy ? 

#FloppyFam https:…",14,0,0,0,,"{'mentions': [{'start': 3, 'end': 18, 'username': 'MiletimeCinema', 'id': '2241778874'}, {'start': 107, 'end': 117, 'username': 'NftFloppy', 'id': '1466323549765783555'}], 'hashtags': [{'start': 122, 'end': 132, 'tag': 'FloppyFam'}]}"
6,1532778726320005121,2022-06-03 17:38:20+00:00,False,RT @TheJTheoryShow: Come talk NFTs with @NftFloppy ! https://t.co/L9D2nKfK9r,3,0,0,0,,"{'urls': [{'start': 53, 'end': 76, 'url': 'https://t.co/L9D2nKfK9r', 'expanded_url': 'https://twitter.com/i/spaces/1LyGBoLDBzkJN', 'display_url': 'twitter.com/i/spaces/1LyGB…'}], 'annotations': [{'start': 30, 'end': 33, 'probability': 0.4822, 'type': 'Person', 'normalized_text': 'NFTs'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'TheJTheoryShow', 'id': '1356794494457425923'}, {'start': 40, 'end': 50, 'username': 'NftFloppy', 'id': '1466323549765783555'}]}"
7,1532759627825557504,2022-06-03 16:22:27+00:00,False,"RT @Kngl19_: @LowkeyDippie @DippiesNFT Guess this guys a bit late, got stuck in a box 🤷‍♂️😁 @NftFloppy https://t.co/i3WDozPuHN",4,0,0,0,{'media_keys': ['3_1531401837676462080']},"{'urls': [{'start': 103, 'end': 126, 'url': 'https://t.co/i3WDozPuHN', 'expanded_url': 'https://twitter.com/Kngl19_/status/1531401840809713666/photo/1', 'display_url': 'pic.twitter.com/i3WDozPuHN', 'media_key': '3_1531401837676462080'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'Kngl19_', 'id': '1488806274150146049'}, {'start': 13, 'end': 26, 'username': 'LowkeyDippie', 'id': '3026569511'}, {'start': 27, 'end': 38, 'username': 'DippiesNFT', 'id': '1451581974871781384'}, {'start': 92, 'end': 102, 'username': 'NftFloppy', 'id': '1466323549765783555'}]}"
8,1532404269567004681,2022-06-02 16:50:23+00:00,False,"For those who missed the 1st wallet snapshot of our free mint, we’ve taken a 2nd snapshot which you can now mint for free! (for holders of 3 Floppys &amp; above) ✨🚀

Official mint site: https://t.co/Cw2M9yE1zo

Hit refresh on the website. Please mint on this site only 🚨",7,3,16,0,,"{'urls': [{'start': 186, 'end': 209, 'url': 'https://t.co/Cw2M9yE1zo', 'expanded_url': 'http://floppynft.io/mint', 'display_url': 'floppynft.io/mint'}]}"
9,1532402352208039943,2022-06-02 16:42:46+00:00,False,RT @Mandalamintnft: #NewNFTProfilePic @NftFloppy #3 https://t.co/7pYqVtojws,6,0,0,0,{'media_keys': ['3_1532119934549073924']},"{'urls': [{'start': 52, 'end': 75, 'url': 'https://t.co/7pYqVtojws', 'expanded_url': 'https://twitter.com/Mandalamintnft/status/1532119937711489025/photo/1', 'display_url': 'pic.twitter.com/7pYqVtojws', 'media_key': '3_1532119934549073924'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'Mandalamintnft', 'id': '1470819346662535183'}, {'start': 38, 'end': 48, 'username': 'NftFloppy', 'id': '1466323549765783555'}], 'hashtags': [{'start': 20, 'end': 37, 'tag': 'NewNFTProfilePic'}]}"
10,1532039851226173441,2022-06-01 16:42:19+00:00,False,"It's the FINAL WEEK OF FLOPLYMPICS 🏅 For the final week's event, we're playing ""Where's Floppy?"" on our Discord! The grand prize is Floppy X @AnimoNFT 1/1 ✨ 

Who's in for the last push for the 1/1 &amp; Floppy Coins? LFG, Flop Fam! 🚀

#FloppyNFT #NFT #NFTcommunity https://t.co/pE1i0W2GYW",12,5,27,4,{'media_keys': ['7_1532035490370637824']},"{'urls': [{'start': 266, 'end': 289, 'url': 'https://t.co/pE1i0W2GYW', 'expanded_url': 'https://twitter.com/NftFloppy/status/1532039851226173441/video/1', 'display_url': 'pic.twitter.com/pE1i0W2GYW', 'media_key': '7_1532035490370637824'}], 'mentions': [{'start': 141, 'end': 150, 'username': 'AnimoNFT', 'id': '1437830526312796161'}], 'hashtags': [{'start': 236, 'end': 246, 'tag': 'FloppyNFT'}, {'start': 247, 'end': 251, 'tag': 'NFT'}, {'start': 252, 'end': 265, 'tag': 'NFTcommunity'}]}"
