,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1539080119041544192,2022-06-21 02:57:49+00:00,False,RT @KushKongz11: Just Burned 37 to you @OccultTower - faithless is he that says farewell when the road darkens @CullenColors https://t.co/4…,11,0,0,0,,"{'mentions': [{'start': 3, 'end': 15, 'username': 'KushKongz11', 'id': '1413533978645057536'}, {'start': 39, 'end': 51, 'username': 'OccultTower', 'id': '1533184058112454657'}, {'start': 111, 'end': 124, 'username': 'CullenColors', 'id': '1055814370582818816'}]}"
1,1539050281861718017,2022-06-21 00:59:16+00:00,False,RT @OccultTowerTeam: Come discuss our token in a community AMA. We will address any commonly asked questions when the space ended.,9,0,0,0,,"{'mentions': [{'start': 3, 'end': 19, 'username': 'OccultTowerTeam', 'id': '1536727727541170176'}]}"
2,1539046484376662017,2022-06-21 00:44:10+00:00,False,"ǟɖʋɛռȶʊʀɛʀֆ, օʋɛʀ ֆɛʋɛռ-ɦʊռɖʀɛɖ ֆɛʋɛռȶʏ-ֆɛʋɛռ օƈƈʊʟȶ, օʀ ʍօʀɛ ȶɦǟռ ȶɛռ քɛʀƈɛռȶ օʄ օʊʀ ʀǟռӄֆ, ɦǟʋɛ ʝօɨռɛɖ ȶɦɛ ɛȶɛʀռǟʟ ʄʟǟʍɛ.

ʍǟռʏ ǟʀɛ ֆʟɛɛքɨռɢ օռ օʊʀ ʝօʊʀռɛʏ. ֆօօռ ȶɦɛʏ աɨʟʟ աǟӄɛ. ȶɦɨֆ ɨֆ ֆȶɨʟʟ ɮʊȶ ȶɦɛ ɮɛɢɨռռɨռɢ.",16,2,43,0,,
3,1539028389188624384,2022-06-20 23:32:16+00:00,False,"RT @FogoNFT: Well, dont see innovation in NFTs very often anymore. Especially not on a free mint.

@OccultTower put out their $CINDER token…",17,0,0,0,,"{'cashtags': [{'start': 126, 'end': 133, 'tag': 'CINDER'}], 'annotations': [{'start': 42, 'end': 45, 'probability': 0.3796, 'type': 'Place', 'normalized_text': 'NFTs'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'FogoNFT', 'id': '1414975073069375492'}, {'start': 99, 'end': 111, 'username': 'OccultTower', 'id': '1533184058112454657'}]}"
4,1539023044311584768,2022-06-20 23:11:02+00:00,False,RT @LaPittera: So after i bought into @OccultTower i thought it is a degen move. Got really quite there. Then the storyline and awesome med…,13,0,0,0,,"{'mentions': [{'start': 3, 'end': 13, 'username': 'LaPittera', 'id': '1530851182545092609'}, {'start': 38, 'end': 50, 'username': 'OccultTower', 'id': '1533184058112454657'}]}"
5,1539021782643945473,2022-06-20 23:06:01+00:00,False,"RT @OccultTowerTeam: As far as we know, we are the first ever #Burn2Earn project.

Spread the word and lets keep innovating....",20,0,0,0,,"{'mentions': [{'start': 3, 'end': 19, 'username': 'OccultTowerTeam', 'id': '1536727727541170176'}], 'hashtags': [{'start': 62, 'end': 72, 'tag': 'Burn2Earn'}]}"
6,1539009304107159553,2022-06-20 22:16:26+00:00,False,RT @OccultTowerTeam: Here are the tokenomics in a cleaner font. Feel free to place your questions below. AMA. https://t.co/7dTvTBPRS2,15,0,0,0,{'media_keys': ['3_1539009204484116480']},"{'urls': [{'start': 110, 'end': 133, 'url': 'https://t.co/7dTvTBPRS2', 'expanded_url': 'https://twitter.com/OccultTowerTeam/status/1539009235857526785/photo/1', 'display_url': 'pic.twitter.com/7dTvTBPRS2', 'media_key': '3_1539009204484116480'}], 'mentions': [{'start': 3, 'end': 19, 'username': 'OccultTowerTeam', 'id': '1536727727541170176'}]}"
7,1539008759820853249,2022-06-20 22:14:16+00:00,False,"RT @OccultTower: ƈօռɢʀǟȶʊʟǟȶɨօռֆ, ǟɖʋɛռȶʊʀɛʀֆ. քǟȶɨɛռƈɛ աɨʟʟ ɮɛ ʀɛաǟʀɖɛɖ. https://t.co/CNeQ84DQXa",19,0,0,0,{'media_keys': ['3_1539008307674816513']},"{'urls': [{'start': 74, 'end': 97, 'url': 'https://t.co/CNeQ84DQXa', 'expanded_url': 'https://twitter.com/OccultTower/status/1539008320354193408/photo/1', 'display_url': 'pic.twitter.com/CNeQ84DQXa', 'media_key': '3_1539008307674816513'}], 'mentions': [{'start': 3, 'end': 15, 'username': 'OccultTower', 'id': '1533184058112454657'}]}"
8,1539008320354193408,2022-06-20 22:12:31+00:00,False,"ƈօռɢʀǟȶʊʟǟȶɨօռֆ, ǟɖʋɛռȶʊʀɛʀֆ. քǟȶɨɛռƈɛ աɨʟʟ ɮɛ ʀɛաǟʀɖɛɖ. https://t.co/CNeQ84DQXa",19,5,48,0,{'media_keys': ['3_1539008307674816513']},"{'urls': [{'start': 57, 'end': 80, 'url': 'https://t.co/CNeQ84DQXa', 'expanded_url': 'https://twitter.com/OccultTower/status/1539008320354193408/photo/1', 'display_url': 'pic.twitter.com/CNeQ84DQXa', 'media_key': '3_1539008307674816513'}]}"
9,1539007886881193984,2022-06-20 22:10:48+00:00,True,"աɨȶɦ ռօ ɦɛֆɨȶǟȶɨօռ, ȶɦɛ ʊռռǟʍɛɖ աǟʀʀɨօʀ քʀɨɛɖ օքɛռ ȶɦɛ ƈɦɛֆȶ. 

ȶօ ɦɨֆ ֆʊʀքʀɨֆɛ, ȶɦɛʀɛ աɛʀɛ ռօ ȶʀɛǟֆʊʀɛֆ ɦɨɖɖɛռ աɨȶɦɨռ, ɮʊȶ ɨռֆȶɛǟɖ ǟ ֆɨռɢʟɛ ɖʊֆȶʏ ǟռɖ ȶօʀռ ֆƈʀօʟʟ. 

ȶɦɛ աǟʀʀɨօʀ ֆȶʊɖɨɛɖ ȶɦɛ ֆƈʀօʟʟ, ɮʊȶ աɨȶɦօʊȶ աǟʀռɨռɢ ɨȶ ƈօʍɮʊֆȶɛɖ ɨռȶօ ǟ քɨʟɛ օʄ ƈɨռɖɛʀֆ օռ ȶɦɛ ʄʟօօʀ.",4,1,28,0,,
