,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1536870328227577856,2022-06-15 00:36:54+00:00,False,RT @OkayDuckYC: LFG!!! ODYC EGG NFT MINT IS LIVE!!!!  https://t.co/FDxJq144Wu,31,0,0,0,,"{'annotations': [{'start': 23, 'end': 39, 'probability': 0.5269, 'type': 'Product', 'normalized_text': 'ODYC EGG NFT MINT'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'OkayDuckYC', 'id': '1511757121544667144'}], 'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/FDxJq144Wu', 'expanded_url': 'https://twitter.com/i/spaces/1RDxlgQmnllJL', 'display_url': 'twitter.com/i/spaces/1RDxl…'}]}"
1,1536845178257870848,2022-06-14 22:56:58+00:00,False,RT @WTFart_V2: @OkayDuckYC https://t.co/tcelLi6ofu,18,0,0,0,{'media_keys': ['3_1536842752595460099']},"{'mentions': [{'start': 3, 'end': 13, 'username': 'WTFart_V2', 'id': '1213329536810532864'}, {'start': 15, 'end': 26, 'username': 'OkayDuckYC', 'id': '1511757121544667144'}], 'urls': [{'start': 27, 'end': 50, 'url': 'https://t.co/tcelLi6ofu', 'expanded_url': 'https://twitter.com/WTFart_V2/status/1536842787987103747/photo/1', 'display_url': 'pic.twitter.com/tcelLi6ofu', 'media_key': '3_1536842752595460099'}]}"
2,1536845112679862272,2022-06-14 22:56:42+00:00,False,"RT @RockettMaann: NO! NO! NO! Or should I say QUACK QUACK QUACK! 🦆 
@OkayDuckYC https://t.co/lE8EHv7ww4",11,0,0,0,{'media_keys': ['3_1536844724270575616']},"{'mentions': [{'start': 3, 'end': 16, 'username': 'RockettMaann', 'id': '291518783'}, {'start': 68, 'end': 79, 'username': 'OkayDuckYC', 'id': '1511757121544667144'}], 'urls': [{'start': 80, 'end': 103, 'url': 'https://t.co/lE8EHv7ww4', 'expanded_url': 'https://twitter.com/RockettMaann/status/1536844729576329217/photo/1', 'display_url': 'pic.twitter.com/lE8EHv7ww4', 'media_key': '3_1536844724270575616'}]}"
3,1536821783675871232,2022-06-14 21:24:00+00:00,False,LFG!!! ODYC EGG NFT MINT IS LIVE!!!!  https://t.co/FDxJq144Wu,31,4,50,6,,"{'annotations': [{'start': 7, 'end': 23, 'probability': 0.5572, 'type': 'Product', 'normalized_text': 'ODYC EGG NFT MINT'}], 'urls': [{'start': 38, 'end': 61, 'url': 'https://t.co/FDxJq144Wu', 'expanded_url': 'https://twitter.com/i/spaces/1RDxlgQmnllJL', 'display_url': 'twitter.com/i/spaces/1RDxl…'}]}"
4,1536804623696072704,2022-06-14 20:15:49+00:00,True,"Egg Minting Site 

https://t.co/w8opMO7mfu",5,0,16,1,,"{'urls': [{'start': 19, 'end': 42, 'url': 'https://t.co/w8opMO7mfu', 'expanded_url': 'https://www.okayduckyachtclub.xyz/', 'display_url': 'okayduckyachtclub.xyz'}]}"
5,1536801833049460737,2022-06-14 20:04:44+00:00,False,Egg Mint Party 🥚🦆🫐! https://t.co/1Pp6CKW4QC,25,7,47,2,,"{'urls': [{'start': 20, 'end': 43, 'url': 'https://t.co/1Pp6CKW4QC', 'expanded_url': 'https://twitter.com/i/spaces/1dRKZlQnRWAJB', 'display_url': 'twitter.com/i/spaces/1dRKZ…'}]}"
6,1536784655092940800,2022-06-14 18:56:28+00:00,False,"RT @GeorgeArtwell: ""Okay Duck Yacht Club""'s Ducklings ODYC EGG's #NFT are MINTING NOW!!! OFFICIAL @OkayDuckYC's minting website --&gt;  https:…",18,0,0,0,,"{'hashtags': [{'start': 65, 'end': 69, 'tag': 'NFT'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'GeorgeArtwell', 'id': '2504828107'}, {'start': 98, 'end': 109, 'username': 'OkayDuckYC', 'id': '1511757121544667144'}]}"
7,1536778047890014208,2022-06-14 18:30:13+00:00,False,"RT @GeorgeArtwell: #14Jun El Minting Publico de las #NFT ""Ducklings ODYC"" de @OkayDuckYC esta abierto! 0.02 eth por 🥚 y puedes mintear hast…",14,0,0,0,,"{'annotations': [{'start': 58, 'end': 71, 'probability': 0.6608, 'type': 'Person', 'normalized_text': 'Ducklings ODYC'}], 'hashtags': [{'start': 19, 'end': 25, 'tag': '14Jun'}, {'start': 52, 'end': 56, 'tag': 'NFT'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'GeorgeArtwell', 'id': '2504828107'}, {'start': 77, 'end': 88, 'username': 'OkayDuckYC', 'id': '1511757121544667144'}]}"
8,1536773688221175809,2022-06-14 18:12:53+00:00,False,"RT @OkayDuckYC: ""Long quacking night 🤦 I'm still in my rubber ducky 🐤  pajamas. Need to get changed and start the day""

🦆 Ducks fly togethe…",64,0,0,0,,"{'mentions': [{'start': 3, 'end': 14, 'username': 'OkayDuckYC', 'id': '1511757121544667144'}]}"
9,1536768772060717060,2022-06-14 17:53:21+00:00,False,"RT @NftArtGoil: Okay, I'm now a proud member of the @OkayDuckYC crew, too. My heart just grows bigger 😉 

#trolltown #odyc #TROLLFAM #NFT h…",22,0,0,0,,"{'hashtags': [{'start': 106, 'end': 116, 'tag': 'trolltown'}, {'start': 117, 'end': 122, 'tag': 'odyc'}, {'start': 123, 'end': 132, 'tag': 'TROLLFAM'}, {'start': 133, 'end': 137, 'tag': 'NFT'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'NftArtGoil', 'id': '1533717101948567552'}, {'start': 52, 'end': 63, 'username': 'OkayDuckYC', 'id': '1511757121544667144'}]}"
