,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1508492035015462913,2022-03-28 17:11:42+00:00,True,"@ZombyWorld Winners 🏆
• @JayTheGats
• @mitTimk
• @NFT_Weng

For the winners, please DM @RoborovskiNFT your DiscordID and wallet address

✔️ https://t.co/bxuKsdGy57",3,1,9,0,,"{'urls': [{'start': 140, 'end': 163, 'url': 'https://t.co/bxuKsdGy57', 'expanded_url': 'https://twitterpicker.com/d/y2y78vnv', 'display_url': 'twitterpicker.com/d/y2y78vnv'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'ZombyWorld', 'id': '1476412010728288260'}, {'start': 24, 'end': 35, 'username': 'JayTheGats', 'id': '1502506853707956225'}, {'start': 38, 'end': 46, 'username': 'mitTimk', 'id': '1491389134300237830'}, {'start': 49, 'end': 58, 'username': 'NFT_Weng', 'id': '1496807003506630664'}, {'start': 87, 'end': 101, 'username': 'RoborovskiNFT', 'id': '1475311616753225731'}]}"
1,1508123451575308293,2022-03-27 16:47:05+00:00,False,"🐹  Roborovski x ZombyWorld 🧪

ZombyWorld has given us 3x ZombyList (WL) for Robofam!

To enter:
🧪 Like &amp; Retweet this post
🧪 Follow both @RoborovskiNFT and @ZombyWorld
🧪 Tag 3 friends

Winners in 24H! ⏳ https://t.co/69HMczLm0l",823,795,868,2,{'media_keys': ['3_1508123446454079491']},"{'urls': [{'start': 207, 'end': 230, 'url': 'https://t.co/69HMczLm0l', 'expanded_url': 'https://twitter.com/RoborovskiNFT/status/1508123451575308293/photo/1', 'display_url': 'pic.twitter.com/69HMczLm0l'}], 'mentions': [{'start': 141, 'end': 155, 'username': 'RoborovskiNFT', 'id': '1475311616753225731'}, {'start': 160, 'end': 171, 'username': 'ZombyWorld', 'id': '1476412010728288260'}]}"
2,1508119154959790091,2022-03-27 16:30:00+00:00,False,"When you know weekend's gonna end but you spend all day doing nothing and now you regret it.

#Roborovski #RoboJournal https://t.co/bIyt9VOsKo",18,14,94,1,{'media_keys': ['16_1507937492963835905']},"{'urls': [{'start': 119, 'end': 142, 'url': 'https://t.co/bIyt9VOsKo', 'expanded_url': 'https://twitter.com/RoborovskiNFT/status/1508119154959790091/photo/1', 'display_url': 'pic.twitter.com/bIyt9VOsKo'}], 'hashtags': [{'start': 94, 'end': 105, 'tag': 'Roborovski'}, {'start': 106, 'end': 118, 'tag': 'RoboJournal'}]}"
3,1508107183527198722,2022-03-27 15:42:26+00:00,True,"@RiceDayGG Winners 🏆
• @superpikapp
• @Brendauola
• @Tamekia_pokrov
• @easynft777_
• @DarkhexS

For the winners, please DM @RoborovskiNFT your DiscordID and wallet address

✔️ https://t.co/gHTI21OvEQ",1,1,8,0,,"{'urls': [{'start': 176, 'end': 199, 'url': 'https://t.co/gHTI21OvEQ', 'expanded_url': 'https://twitterpicker.com/d/8grc3uzn', 'display_url': 'twitterpicker.com/d/8grc3uzn'}], 'mentions': [{'start': 0, 'end': 10, 'username': 'RiceDayGG', 'id': '1468277302228180999'}, {'start': 23, 'end': 35, 'username': 'superpikapp', 'id': '3066961489'}, {'start': 38, 'end': 49, 'username': 'Brendauola', 'id': '1429327549184741379'}, {'start': 52, 'end': 67, 'username': 'Tamekia_pokrov', 'id': '1429248249647570952'}, {'start': 70, 'end': 82, 'username': 'easynft777_', 'id': '879590701796913152'}, {'start': 85, 'end': 94, 'username': 'DarkhexS', 'id': '4837290434'}, {'start': 123, 'end': 137, 'username': 'RoborovskiNFT', 'id': '1475311616753225731'}]}"
4,1507915315107168260,2022-03-27 03:00:01+00:00,False,"We are so stoked to see our Twitter followers' growth day by day. We want to remind you that you can join our Discord as well to meet &amp; have a good time with our amazing community!

See you inside 👋https://t.co/JR5C7cEcJJ

#RoboTeam",13,6,36,0,,"{'annotations': [{'start': 28, 'end': 34, 'probability': 0.7571, 'type': 'Product', 'normalized_text': 'Twitter'}], 'urls': [{'start': 202, 'end': 225, 'url': 'https://t.co/JR5C7cEcJJ', 'expanded_url': 'https://discord.com/invite/roborovskinft', 'display_url': 'discord.com/invite/roborov…'}], 'hashtags': [{'start': 227, 'end': 236, 'tag': 'RoboTeam'}]}"
5,1507743478423629824,2022-03-26 15:37:12+00:00,True,@venncit 🤫,0,0,2,0,,"{'mentions': [{'start': 0, 'end': 8, 'username': 'venncit', 'id': '1947943585'}]}"
6,1507743368948105218,2022-03-26 15:36:46+00:00,True,@itsnobledean I knew it!,0,0,0,0,,"{'mentions': [{'start': 0, 'end': 13, 'username': 'itsnobledean', 'id': '1176541605450395649'}]}"
7,1507742905297174530,2022-03-26 15:34:55+00:00,False,"🐹 Roborovski x RiceDay 🍚

Rice Day has given us 5x Rice List (WL) for Robofam!

To enter:
🍙 Like &amp; Retweet this post
🍙 Follow both @RoborovskiNFT and @RiceDayGG 
🍙 Tag your Grain friends!

Ends in 24H! ⏳ https://t.co/JpcKnUULBp",646,606,660,2,{'media_keys': ['3_1507742879095345152']},"{'urls': [{'start': 208, 'end': 231, 'url': 'https://t.co/JpcKnUULBp', 'expanded_url': 'https://twitter.com/RoborovskiNFT/status/1507742905297174530/photo/1', 'display_url': 'pic.twitter.com/JpcKnUULBp'}], 'mentions': [{'start': 135, 'end': 149, 'username': 'RoborovskiNFT', 'id': '1475311616753225731'}, {'start': 154, 'end': 164, 'username': 'RiceDayGG', 'id': '1468277302228180999'}]}"
8,1507737891039895558,2022-03-26 15:15:00+00:00,False,"Oh no😲

One of aquariums in Pet Shop was broken from last night! All fish inside it were gone.

What do you guys think is the cause?

#Roborovski #RoboJournal #NFTCommunity https://t.co/TfsfKhuvgc",15,13,52,3,{'media_keys': ['3_1507659872082440193']},"{'urls': [{'start': 173, 'end': 196, 'url': 'https://t.co/TfsfKhuvgc', 'expanded_url': 'https://twitter.com/RoborovskiNFT/status/1507737891039895558/photo/1', 'display_url': 'pic.twitter.com/TfsfKhuvgc'}], 'hashtags': [{'start': 134, 'end': 145, 'tag': 'Roborovski'}, {'start': 146, 'end': 158, 'tag': 'RoboJournal'}, {'start': 159, 'end': 172, 'tag': 'NFTCommunity'}]}"
9,1507719961531514887,2022-03-26 14:03:45+00:00,True,"@TrapMonkie Winners 🏆
• @kunekorcun
• @Nbnm36789260
• @claudrich603
• @carlozAE
• @boyoyeh

For the winners Please DM @RoborovskiNFT your DiscordID and wallet address

✔️ https://t.co/249muevcbG",0,2,7,0,,"{'urls': [{'start': 171, 'end': 194, 'url': 'https://t.co/249muevcbG', 'expanded_url': 'https://twitterpicker.com/d/7efajt5s', 'display_url': 'twitterpicker.com/d/7efajt5s'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'TrapMonkie', 'id': '1418842036854214658'}, {'start': 24, 'end': 35, 'username': 'kunekorcun', 'id': '3043454267'}, {'start': 38, 'end': 51, 'username': 'Nbnm36789260', 'id': '1492384726623334402'}, {'start': 54, 'end': 67, 'username': 'claudrich603', 'id': '856181484306223104'}, {'start': 70, 'end': 79, 'username': 'carlozAE', 'id': '1480158309370183680'}, {'start': 82, 'end': 90, 'username': 'boyoyeh', 'id': '1461202934428205056'}, {'start': 118, 'end': 132, 'username': 'RoborovskiNFT', 'id': '1475311616753225731'}]}"
