,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1533863938416427009,2022-06-06 17:30:35+00:00,False,"As the bathwater is about to drop below freezing point, the ducks are preparing to explore new horizons... Will the ducks find a warm planet to settle on? 💫 https://t.co/MtYrzP0kwb",35,12,132,0,{'media_keys': ['3_1533863200424443911']},"{'urls': [{'start': 157, 'end': 180, 'url': 'https://t.co/MtYrzP0kwb', 'expanded_url': 'https://twitter.com/RubberDuckBP/status/1533863938416427009/photo/1', 'display_url': 'pic.twitter.com/MtYrzP0kwb', 'media_key': '3_1533863200424443911'}]}"
1,1533477353904545793,2022-06-05 15:54:26+00:00,False,We're excited to invite you to join us on a journey across the galaxy at our Space Party in 2 weeks! 💛💫 https://t.co/8Akzer2lNu,67,32,186,3,{'media_keys': ['3_1533477254512226305']},"{'urls': [{'start': 104, 'end': 127, 'url': 'https://t.co/8Akzer2lNu', 'expanded_url': 'https://twitter.com/RubberDuckBP/status/1533477353904545793/photo/1', 'display_url': 'pic.twitter.com/8Akzer2lNu', 'media_key': '3_1533477254512226305'}], 'annotations': [{'start': 77, 'end': 87, 'probability': 0.2914, 'type': 'Other', 'normalized_text': 'Space Party'}]}"
2,1533422456639201280,2022-06-05 12:16:17+00:00,False,"RT @OwenWolvers: I see duck, I press follow. https://t.co/xPJxeUqRCi",9,0,0,0,{'media_keys': ['3_1533422207753502720']},"{'urls': [{'start': 45, 'end': 68, 'url': 'https://t.co/xPJxeUqRCi', 'expanded_url': 'https://twitter.com/OwenWolvers/status/1533422211943567360/photo/1', 'display_url': 'pic.twitter.com/xPJxeUqRCi', 'media_key': '3_1533422207753502720'}], 'mentions': [{'start': 3, 'end': 15, 'username': 'OwenWolvers', 'id': '1103221184915783680'}]}"
3,1533056415937576961,2022-06-04 12:01:47+00:00,False,RT @thegalshir: Happy #PrideMonth! 🌈 Reply with your duck for a custom rainbow background! https://t.co/OQDz8eKKhc,15,0,0,0,{'media_keys': ['3_1533054713393971202']},"{'urls': [{'start': 91, 'end': 114, 'url': 'https://t.co/OQDz8eKKhc', 'expanded_url': 'https://twitter.com/thegalshir/status/1533054927056130048/photo/1', 'display_url': 'pic.twitter.com/OQDz8eKKhc', 'media_key': '3_1533054713393971202'}], 'hashtags': [{'start': 22, 'end': 33, 'tag': 'PrideMonth'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'thegalshir', 'id': '2438767100'}]}"
4,1532832359061590016,2022-06-03 21:11:27+00:00,False,RT @DavetheoneTech: #NewProfilePic https://t.co/NoNdTO5zvH,5,0,0,0,{'media_keys': ['3_1532749129339834368']},"{'urls': [{'start': 35, 'end': 58, 'url': 'https://t.co/NoNdTO5zvH', 'expanded_url': 'https://twitter.com/DavetheoneTech/status/1532749133924253703/photo/1', 'display_url': 'pic.twitter.com/NoNdTO5zvH', 'media_key': '3_1532749129339834368'}], 'hashtags': [{'start': 20, 'end': 34, 'tag': 'NewProfilePic'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'DavetheoneTech', 'id': '887451653129031681'}]}"
5,1532819259822428163,2022-06-03 20:19:24+00:00,True,"@MERICAN_RADASS @thegalshir Obviously, quack!",0,0,2,0,,"{'mentions': [{'start': 0, 'end': 15, 'username': 'MERICAN_RADASS', 'id': '1444038332858699783'}, {'start': 16, 'end': 27, 'username': 'thegalshir', 'id': '2438767100'}]}"
6,1532734156882554881,2022-06-03 14:41:14+00:00,False,"We are excited for what we're building for the next phase of the ducks. More art, more tech, and we continue to push dynamic NFTs forward in an entire new way. 

Wen sneak peek?",60,18,193,2,,
7,1532384989144391680,2022-06-02 15:33:46+00:00,False,"Next party, June 19! 

The Freeze is approaching fast... at the party we will reveal something incredibly important that will help your duckies prepare for the upcoming ice age... 🎒 https://t.co/QBrVXLAb7N",54,19,144,3,{'media_keys': ['3_1532364936562843649']},"{'urls': [{'start': 182, 'end': 205, 'url': 'https://t.co/QBrVXLAb7N', 'expanded_url': 'https://twitter.com/RubberDuckBP/status/1532384989144391680/photo/1', 'display_url': 'pic.twitter.com/QBrVXLAb7N', 'media_key': '3_1532364936562843649'}]}"
8,1532040747461054464,2022-06-01 16:45:52+00:00,True,@Jishai soon 👀,1,5,35,0,,"{'mentions': [{'start': 0, 'end': 7, 'username': 'Jishai', 'id': '186957728'}]}"
9,1532040671556681729,2022-06-01 16:45:34+00:00,False,RT @Jishai: wen can I leak some alpha on what's next for the duckies?! 👀,12,0,0,0,,"{'mentions': [{'start': 3, 'end': 10, 'username': 'Jishai', 'id': '186957728'}]}"
