,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1535829189051396096,2022-06-12 03:39:47+00:00,False,"Poker is about 30minutes away! Come join us in the Ruggies discord, don't have to hold a Ruggie to join us.",2,0,8,0,,
1,1534398212760543232,2022-06-08 04:53:36+00:00,False,"Here is the calendar for this week
Come hang out in the discord for info on how we buy your rugged NFT's! https://t.co/rQ3guuNaz0",3,0,19,0,{'media_keys': ['3_1534397463552999426']},"{'urls': [{'start': 106, 'end': 129, 'url': 'https://t.co/rQ3guuNaz0', 'expanded_url': 'https://twitter.com/RuggiesOfficial/status/1534398212760543232/photo/1', 'display_url': 'pic.twitter.com/rQ3guuNaz0', 'media_key': '3_1534397463552999426'}]}"
2,1533737748737445888,2022-06-06 09:09:09+00:00,False,"RT @cryptohjun: @RuggiesOfficial is the project everyone's sleeping on!
Everyones talking about utilities and you know what @RuggiesOfficia…",7,0,0,0,,"{'mentions': [{'start': 3, 'end': 14, 'username': 'cryptohjun', 'id': '1471074155600695300'}, {'start': 16, 'end': 32, 'username': 'RuggiesOfficial', 'id': '1486887097164173312'}]}"
3,1532958266371649537,2022-06-04 05:31:46+00:00,False,Feeling a little colorful this month 👀,9,2,27,0,,
4,1532514361817694208,2022-06-03 00:07:51+00:00,False,"We got rugged, but we’re back https://t.co/khUBLsB0kQ",2,0,4,1,,"{'urls': [{'start': 30, 'end': 53, 'url': 'https://t.co/khUBLsB0kQ', 'expanded_url': 'https://twitter.com/i/spaces/1mrGmarlaZkGy', 'display_url': 'twitter.com/i/spaces/1mrGm…'}]}"
5,1532485381299482624,2022-06-02 22:12:41+00:00,False,"The Estates are a next-gen metaverse-compatible NFT housing project, where every NFT has an accompanying 3D file that can be uploaded into compatible metaverses. 

To enter:
-Follow @TheEstatesNFT &amp; @ruggiesoffical
-Like &amp; Retweet
-Tag 3 Friends

Winner in 24 Hrs https://t.co/uYEcKcax7e",10,4,18,0,{'media_keys': ['3_1532485368200581120']},"{'mentions': [{'start': 182, 'end': 196, 'username': 'TheEstatesNFT', 'id': '1497112939781787654'}], 'urls': [{'start': 272, 'end': 295, 'url': 'https://t.co/uYEcKcax7e', 'expanded_url': 'https://twitter.com/RuggiesOfficial/status/1532485381299482624/photo/1', 'display_url': 'pic.twitter.com/uYEcKcax7e', 'media_key': '3_1532485368200581120'}]}"
6,1532244256215093249,2022-06-02 06:14:33+00:00,True,"@solo_xo_888 @Candy_Man315 Rug reporting sir. Not the figurative part, just the literal PFP part ;)",0,0,3,0,,"{'mentions': [{'start': 0, 'end': 12, 'username': 'solo_xo_888', 'id': '1483054327208022016'}, {'start': 13, 'end': 26, 'username': 'Candy_Man315', 'id': '1435575243033153536'}]}"
7,1531510940893601793,2022-05-31 05:40:37+00:00,False,Here is the calendar for this week! Some cool spaces happening - If any of the times change we will let you know. https://t.co/FY33yMDUyV,6,0,13,0,{'media_keys': ['3_1531510915371307008']},"{'urls': [{'start': 114, 'end': 137, 'url': 'https://t.co/FY33yMDUyV', 'expanded_url': 'https://twitter.com/RuggiesOfficial/status/1531510940893601793/photo/1', 'display_url': 'pic.twitter.com/FY33yMDUyV', 'media_key': '3_1531510915371307008'}]}"
8,1531061043614470144,2022-05-29 23:52:53+00:00,False,"Just picked up 4 @FlipprTool passes for our project. We're always looking for ways to add more utility, and with the generation of $FLIP and being able to potentially use our wallet funds to mass bid on collections, there is a lot of value to be had by holding",10,6,39,0,,"{'mentions': [{'start': 17, 'end': 28, 'username': 'FlipprTool', 'id': '1492064143134064644'}], 'cashtags': [{'start': 131, 'end': 136, 'tag': 'FLIP'}]}"
9,1530638320891572225,2022-05-28 19:53:08+00:00,False,"Poker tournament starts in 20 mins! LFG! Registration starts now - get in the discord and hang out with us in the voice channel! 

You could win ETH and Ruggies! https://t.co/QlS8eAM1o4",5,2,20,0,{'media_keys': ['3_1530638226515427328']},"{'annotations': [{'start': 153, 'end': 159, 'probability': 0.2858, 'type': 'Person', 'normalized_text': 'Ruggies'}], 'urls': [{'start': 162, 'end': 185, 'url': 'https://t.co/QlS8eAM1o4', 'expanded_url': 'https://twitter.com/RuggiesOfficial/status/1530638320891572225/photo/1', 'display_url': 'pic.twitter.com/QlS8eAM1o4', 'media_key': '3_1530638226515427328'}]}"
