,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1508549743454023682,2022-03-28 21:01:00+00:00,True,@graveyardfalls Heroes are the worst.,31,12,98,1,,"{'mentions': [{'start': 0, 'end': 15, 'username': 'graveyardfalls', 'id': '1505435538576183297'}]}"
1,1508546462380036096,2022-03-28 20:47:58+00:00,False,RT @graveyardfalls: Tomorrow...solve this puzzle. You won't but you can try anyway. Any interaction will be considered for WL. But they're…,218,0,0,0,,"{'mentions': [{'start': 3, 'end': 18, 'username': 'graveyardfalls', 'id': '1505435538576183297'}]}"
2,1508306786645790726,2022-03-28 04:55:35+00:00,False,RT @PureCapsaiciNFT: Where my villains at? @SOVillains #NFT https://t.co/S0mZcjAFTB,38,0,0,0,"{'media_keys': ['3_1508179770659549189', '3_1508179773469696011']}","{'urls': [{'start': 60, 'end': 83, 'url': 'https://t.co/S0mZcjAFTB', 'expanded_url': 'https://twitter.com/PureCapsaiciNFT/status/1508179774937649153/photo/1', 'display_url': 'pic.twitter.com/S0mZcjAFTB'}, {'start': 60, 'end': 83, 'url': 'https://t.co/S0mZcjAFTB', 'expanded_url': 'https://twitter.com/PureCapsaiciNFT/status/1508179774937649153/photo/1', 'display_url': 'pic.twitter.com/S0mZcjAFTB'}], 'hashtags': [{'start': 55, 'end': 59, 'tag': 'NFT'}], 'mentions': [{'start': 3, 'end': 19, 'username': 'PureCapsaiciNFT', 'id': '1472048477236609027'}, {'start': 43, 'end': 54, 'username': 'SOVillains', 'id': '1477537094213898240'}]}"
3,1508194208133234688,2022-03-27 21:28:14+00:00,False,Absolutely love this https://t.co/7OOYc8o7E4,32,2,145,0,,"{'urls': [{'start': 21, 'end': 44, 'url': 'https://t.co/7OOYc8o7E4', 'expanded_url': 'https://twitter.com/socrabeats/status/1508060950473150469', 'display_url': 'twitter.com/socrabeats/sta…'}]}"
4,1508187509469065218,2022-03-27 21:01:37+00:00,False,"RT @anefftee: Happy Sunday. 
Where my SOV fam at?

@SOVillains 
#SOVillains #NFT https://t.co/fEZfF8pR5B",54,0,0,0,{'media_keys': ['3_1508098327270809600']},"{'urls': [{'start': 81, 'end': 104, 'url': 'https://t.co/fEZfF8pR5B', 'expanded_url': 'https://twitter.com/anefftee/status/1508098329988804609/photo/1', 'display_url': 'pic.twitter.com/fEZfF8pR5B'}], 'hashtags': [{'start': 64, 'end': 75, 'tag': 'SOVillains'}, {'start': 76, 'end': 80, 'tag': 'NFT'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'anefftee', 'id': '1492280516858585090'}, {'start': 51, 'end': 62, 'username': 'SOVillains', 'id': '1477537094213898240'}]}"
5,1508179949722632192,2022-03-27 20:31:35+00:00,False,This can’t be good… https://t.co/gEwYgCk3O1,157,49,374,4,,"{'urls': [{'start': 20, 'end': 43, 'url': 'https://t.co/gEwYgCk3O1', 'expanded_url': 'https://twitter.com/graveyardfalls/status/1508179873088507908', 'display_url': 'twitter.com/graveyardfalls…'}]}"
6,1507908887160098817,2022-03-27 02:34:28+00:00,False,Hmm… https://t.co/98ZVj1GMmf,99,23,253,1,,"{'urls': [{'start': 5, 'end': 28, 'url': 'https://t.co/98ZVj1GMmf', 'expanded_url': 'https://twitter.com/graveyardfalls/status/1507908666556526597', 'display_url': 'twitter.com/graveyardfalls…'}]}"
7,1507815332550889472,2022-03-26 20:22:43+00:00,False,"RT @mrecby: HAPPY FRIDAY. Me and @DonToliver getting VILLAINOUS on a FRIDAY!!!! Let’s go VILLAINS!!!

@SOVillains @heyKevD @0xMylo 

#Villa…",41,0,0,0,,"{'mentions': [{'start': 3, 'end': 10, 'username': 'mrecby', 'id': '38931277'}, {'start': 33, 'end': 44, 'username': 'DonToliver', 'id': '328933964'}, {'start': 102, 'end': 113, 'username': 'SOVillains', 'id': '1477537094213898240'}, {'start': 114, 'end': 122, 'username': 'heyKevD', 'id': '202060822'}, {'start': 123, 'end': 130, 'username': '0xMylo', 'id': '1230052893258067968'}]}"
8,1507808055538315265,2022-03-26 19:53:48+00:00,False,"RT @KimchiBlock: It’s not much but I have enough on CEX to do a decent floor sweep. I’m looking at 👀 

@DegenToonz 
@FelineFiendz 
@ToonSqu…",146,0,0,0,,"{'annotations': [{'start': 52, 'end': 54, 'probability': 0.5491, 'type': 'Product', 'normalized_text': 'CEX'}], 'mentions': [{'start': 3, 'end': 15, 'username': 'KimchiBlock', 'id': '1000748367306084352'}, {'start': 103, 'end': 114, 'username': 'DegenToonz', 'id': '1446017317465321473'}, {'start': 116, 'end': 129, 'username': 'FelineFiendz', 'id': '1484371403486887939'}]}"
9,1507469463133720582,2022-03-25 21:28:22+00:00,False,RT @samsstonks: Just a few of my different personalities😈 @SOVillains #VillainsIRL #SOVillains https://t.co/PjC02cNHi3,46,0,0,0,"{'media_keys': ['3_1507441573319122946', '3_1507441573327523842', '3_1507441573323280408']}","{'urls': [{'start': 95, 'end': 118, 'url': 'https://t.co/PjC02cNHi3', 'expanded_url': 'https://twitter.com/samsstonks/status/1507441577634971650/photo/1', 'display_url': 'pic.twitter.com/PjC02cNHi3'}, {'start': 95, 'end': 118, 'url': 'https://t.co/PjC02cNHi3', 'expanded_url': 'https://twitter.com/samsstonks/status/1507441577634971650/photo/1', 'display_url': 'pic.twitter.com/PjC02cNHi3'}, {'start': 95, 'end': 118, 'url': 'https://t.co/PjC02cNHi3', 'expanded_url': 'https://twitter.com/samsstonks/status/1507441577634971650/photo/1', 'display_url': 'pic.twitter.com/PjC02cNHi3'}], 'hashtags': [{'start': 70, 'end': 82, 'tag': 'VillainsIRL'}, {'start': 83, 'end': 94, 'tag': 'SOVillains'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'samsstonks', 'id': '1075914128869519360'}, {'start': 58, 'end': 69, 'username': 'SOVillains', 'id': '1477537094213898240'}]}"
