,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1535343793494433792,2022-06-10 19:31:00+00:00,False,Beep boop... something is coming... 🤖 #sadbots #3dNFTs #GLB #oncyber https://t.co/AES9DpO4Oe,12,2,24,2,{'media_keys': ['7_1535181235525300224']},"{'urls': [{'start': 69, 'end': 92, 'url': 'https://t.co/AES9DpO4Oe', 'expanded_url': 'https://twitter.com/SadBotsNFT/status/1535343793494433792/video/1', 'display_url': 'pic.twitter.com/AES9DpO4Oe', 'media_key': '7_1535181235525300224'}], 'hashtags': [{'start': 38, 'end': 46, 'tag': 'sadbots'}, {'start': 47, 'end': 54, 'tag': '3dNFTs'}, {'start': 55, 'end': 59, 'tag': 'GLB'}, {'start': 60, 'end': 68, 'tag': 'oncyber'}]}"
1,1533280319968686080,2022-06-05 02:51:29+00:00,False,"We're excited to announce that we've partnered with Herbert Smith Freehills, one of the most internationally recognized law firms to deliver the official Sad Bots derivative rights. These will be outlined in our terms and conditions and in an official notice for our holders! 📃 https://t.co/TbyLV2r5LZ",6,1,15,1,{'media_keys': ['3_1533280315598180355']},"{'urls': [{'start': 278, 'end': 301, 'url': 'https://t.co/TbyLV2r5LZ', 'expanded_url': 'https://twitter.com/SadBotsNFT/status/1533280319968686080/photo/1', 'display_url': 'pic.twitter.com/TbyLV2r5LZ', 'media_key': '3_1533280315598180355'}], 'annotations': [{'start': 52, 'end': 74, 'probability': 0.9648, 'type': 'Person', 'normalized_text': 'Herbert Smith Freehills'}]}"
2,1532368275396448256,2022-06-02 14:27:21+00:00,False,"We are super excited for our first AWESOME SATURDAY party!! 
Can't wait to meet our frens at @AwesomeApesNFT  🎉🤖 https://t.co/OZojrqy6vU",2,0,9,0,,"{'urls': [{'start': 113, 'end': 136, 'url': 'https://t.co/OZojrqy6vU', 'expanded_url': 'https://twitter.com/AwesomeApesNFT/status/1532367581692280833', 'display_url': 'twitter.com/AwesomeApesNFT…'}], 'mentions': [{'start': 93, 'end': 108, 'username': 'AwesomeApesNFT', 'id': '1438894812720074754'}]}"
3,1532007430229753856,2022-06-01 14:33:29+00:00,True,"@PlanetSlyNFT @TheSlyStallone Winners 🏆
• @MaddKingMaddox
• @ThatRaynKing
• @GutanZoran
• @Sith_Coin
• @nenad_s92

🎉 Congratulations! You will receive a DM for further instructions on how to claim your WL :) https://t.co/PyEX43NXmg",2,1,6,0,{'media_keys': ['3_1532007419064483840']},"{'urls': [{'start': 208, 'end': 231, 'url': 'https://t.co/PyEX43NXmg', 'expanded_url': 'https://twitter.com/SadBotsNFT/status/1532007430229753856/photo/1', 'display_url': 'pic.twitter.com/PyEX43NXmg', 'media_key': '3_1532007419064483840'}], 'mentions': [{'start': 0, 'end': 13, 'username': 'PlanetSlyNFT', 'id': '1491176985929797632'}, {'start': 14, 'end': 29, 'username': 'TheSlyStallone', 'id': '183310940'}, {'start': 42, 'end': 57, 'username': 'MaddKingMaddox', 'id': '828002408'}, {'start': 60, 'end': 73, 'username': 'ThatRaynKing', 'id': '1463838767790313476'}, {'start': 76, 'end': 87, 'username': 'GutanZoran', 'id': '1409662547037392897'}, {'start': 90, 'end': 100, 'username': 'Sith_Coin', 'id': '1390654773863624710'}, {'start': 103, 'end': 113, 'username': 'nenad_s92', 'id': '1021673790684758016'}]}"
4,1531531073334947840,2022-05-31 07:00:37+00:00,False,"Hey frens! 

We will be hosting a mental health AMA: 🍃 
@SadBotsNFT x @AwesomeApesNFT 

With: @thedreamisnow_ @Avatar333_ 
Anxiety?😢
Scams? ⚠️

⏰EST: 8pm Tuesday, 31st of May 

🎁Giving away 1 Sad Bot NFT and 1 Awesomes Apes NFT

Link: 
https://t.co/Kso76bimmI",12,1,20,1,,"{'urls': [{'start': 236, 'end': 259, 'url': 'https://t.co/Kso76bimmI', 'expanded_url': 'https://twitter.com/i/spaces/1eaKbNAbjkeKX', 'display_url': 'twitter.com/i/spaces/1eaKb…'}], 'mentions': [{'start': 56, 'end': 67, 'username': 'SadBotsNFT', 'id': '1460134658004324352'}, {'start': 70, 'end': 85, 'username': 'AwesomeApesNFT', 'id': '1438894812720074754'}, {'start': 94, 'end': 109, 'username': 'thedreamisnow_', 'id': '108509344'}, {'start': 110, 'end': 121, 'username': 'Avatar333_', 'id': '1434658907943624708'}]}"
5,1531274966834237440,2022-05-30 14:02:56+00:00,False,"🥊PLANET SLY x Sad Bots 🤖
We are giving away 5 Whitelist spots from @PlanetSlyNFT ! 

To Enter:
✅Follow @SadBotsNFT, @PlanetSlyNFT &amp; @TheSlyStallone
✅Like &amp; Retweet
✅Tag 3 friends
Join their Discord: https://t.co/0NNHHGmobx
⏰Ends in 24H 
Good luck! https://t.co/Ntod7vL4aL",23,20,32,0,{'media_keys': ['3_1531274845648199681']},"{'urls': [{'start': 207, 'end': 230, 'url': 'https://t.co/0NNHHGmobx', 'expanded_url': 'https://discord.gg/planetsly', 'display_url': 'discord.gg/planetsly'}, {'start': 256, 'end': 279, 'url': 'https://t.co/Ntod7vL4aL', 'expanded_url': 'https://twitter.com/SadBotsNFT/status/1531274966834237440/photo/1', 'display_url': 'pic.twitter.com/Ntod7vL4aL', 'media_key': '3_1531274845648199681'}], 'mentions': [{'start': 67, 'end': 80, 'username': 'PlanetSlyNFT', 'id': '1491176985929797632'}, {'start': 103, 'end': 114, 'username': 'SadBotsNFT', 'id': '1460134658004324352'}, {'start': 116, 'end': 129, 'username': 'PlanetSlyNFT', 'id': '1491176985929797632'}, {'start': 136, 'end': 151, 'username': 'TheSlyStallone', 'id': '183310940'}]}"
6,1530828817203224576,2022-05-29 08:30:06+00:00,True,"@USPOOKEDME Winners 🏆
• @divyanshmehtafb
• @TeenaJoshi15

✔️ https://t.co/cAYAJ8o9UZ 

Congratulations! We will DM you with further instructions 🤖",0,0,2,0,,"{'urls': [{'start': 61, 'end': 84, 'url': 'https://t.co/cAYAJ8o9UZ', 'expanded_url': 'https://twitterpicker.com/d/36xscxm8', 'display_url': 'twitterpicker.com/d/36xscxm8'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'USPOOKEDME', 'id': '1522043516826058758'}, {'start': 24, 'end': 40, 'username': 'divyanshmehtafb', 'id': '1512655562924003328'}, {'start': 43, 'end': 56, 'username': 'TeenaJoshi15', 'id': '1470594280896884736'}]}"
7,1530461645381980160,2022-05-28 08:11:05+00:00,False,"👻 SPOOKED! x Sad Bots 🤖

Do you get spooked easily? 
#Solana 

🎁 We are giving away 2 x WL spots
To enter:
✅Follow @USPOOKEDME &amp; @SadBotsNFT 
✅Like❤️ &amp; RT 🔁 
✅Tag 3 friends!

⏰ 24 hours! https://t.co/K27xST5wPA",32,32,36,0,{'media_keys': ['3_1530461614612545537']},"{'urls': [{'start': 195, 'end': 218, 'url': 'https://t.co/K27xST5wPA', 'expanded_url': 'https://twitter.com/SadBotsNFT/status/1530461645381980160/photo/1', 'display_url': 'pic.twitter.com/K27xST5wPA', 'media_key': '3_1530461614612545537'}], 'hashtags': [{'start': 53, 'end': 60, 'tag': 'Solana'}], 'mentions': [{'start': 115, 'end': 126, 'username': 'USPOOKEDME', 'id': '1522043516826058758'}, {'start': 133, 'end': 144, 'username': 'SadBotsNFT', 'id': '1460134658004324352'}]}"
8,1530436744679948288,2022-05-28 06:32:08+00:00,False,"Hello #SadBotsNFT gang, 

Let's look at a summary of our current trends here at Sad Bots. 🤖

Thank you to our amazing community for all the continued support. It's going to be an exciting next month! 📈🚀

#NFT #trends #NFTWorlds #OpenSea https://t.co/JG5izkqjIk",14,5,27,1,{'media_keys': ['3_1530435905953353731']},"{'urls': [{'start': 237, 'end': 260, 'url': 'https://t.co/JG5izkqjIk', 'expanded_url': 'https://twitter.com/SadBotsNFT/status/1530436744679948288/photo/1', 'display_url': 'pic.twitter.com/JG5izkqjIk', 'media_key': '3_1530435905953353731'}], 'hashtags': [{'start': 6, 'end': 17, 'tag': 'SadBotsNFT'}, {'start': 204, 'end': 208, 'tag': 'NFT'}, {'start': 209, 'end': 216, 'tag': 'trends'}, {'start': 217, 'end': 227, 'tag': 'NFTWorlds'}, {'start': 228, 'end': 236, 'tag': 'OpenSea'}]}"
9,1529119139272372224,2022-05-24 15:16:27+00:00,True,"@_MiniverseNFT Winners 🏆
• @22ilya
• @3Q2OP

Congratulations! 🎉 You will be DM'd with further instructions on how to claim the WL :) https://t.co/fg7fp71dvp",0,0,2,0,{'media_keys': ['3_1529119122771935233']},"{'urls': [{'start': 133, 'end': 156, 'url': 'https://t.co/fg7fp71dvp', 'expanded_url': 'https://twitter.com/SadBotsNFT/status/1529119139272372224/photo/1', 'display_url': 'pic.twitter.com/fg7fp71dvp', 'media_key': '3_1529119122771935233'}], 'mentions': [{'start': 0, 'end': 14, 'username': '_MiniverseNFT', 'id': '1500868364754993155'}, {'start': 27, 'end': 34, 'username': '22ilya', 'id': '188003545'}, {'start': 37, 'end': 43, 'username': '3Q2OP', 'id': '1249677097536126976'}]}"
