,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1533961939390369792,2022-06-07 00:00:00+00:00,False,"🤖GRIDCRAFT x SATOSHI RUNNERS👾

We are giving away 3 x Gridcraft WL spots to our Twitter community💜

🏪The $SATOSHI Marketplace also received WL spots😱

To enter:
1️⃣ Follow @Gridcraft, @SatoshiRunnerz &amp; @0xFocus!
2️⃣ Like &amp; RT
3️⃣ Tag 3 frens

24h! https://t.co/rab0a3NnCC",184,175,200,0,{'media_keys': ['3_1531911305158086661']},"{'urls': [{'start': 256, 'end': 279, 'url': 'https://t.co/rab0a3NnCC', 'expanded_url': 'https://twitter.com/SatoshiRunnerz/status/1533961939390369792/photo/1', 'display_url': 'pic.twitter.com/rab0a3NnCC', 'media_key': '3_1531911305158086661'}], 'mentions': [{'start': 172, 'end': 182, 'username': 'Gridcraft', 'id': '1312867200571707393'}, {'start': 184, 'end': 199, 'username': 'SatoshiRunnerz', 'id': '1466245939891515395'}, {'start': 206, 'end': 214, 'username': '0xFocus', 'id': '1462215173461135366'}], 'annotations': [{'start': 82, 'end': 88, 'probability': 0.4324, 'type': 'Product', 'normalized_text': 'Twitter'}]}"
1,1533795846688493569,2022-06-06 13:00:01+00:00,False,"🌳OAK PARADISE x NEKOZUMA x SATOSHI RUNNERS👾

Giving away 2x Oak Paradise + 2x Nekozuma WL spots to our Twitter community💜

🏪The $SATOSHI Marketplace also received WL spots😱

To enter:
1️⃣ Follow @OakParadiseNFT, @SatoshiRunnerz &amp; @NekozumaNFT
2️⃣ Like &amp; RT
3️⃣ Tag 3 frens

24h! https://t.co/ZmmTBEzhPz",2784,2616,2718,2,"{'media_keys': ['3_1533724463002701824', '3_1533724463002718208']}","{'urls': [{'start': 287, 'end': 310, 'url': 'https://t.co/ZmmTBEzhPz', 'expanded_url': 'https://twitter.com/SatoshiRunnerz/status/1533795846688493569/photo/1', 'display_url': 'pic.twitter.com/ZmmTBEzhPz', 'media_key': '3_1533724463002701824'}, {'start': 287, 'end': 310, 'url': 'https://t.co/ZmmTBEzhPz', 'expanded_url': 'https://twitter.com/SatoshiRunnerz/status/1533795846688493569/photo/1', 'display_url': 'pic.twitter.com/ZmmTBEzhPz', 'media_key': '3_1533724463002718208'}], 'mentions': [{'start': 195, 'end': 210, 'username': 'OakParadiseNFT', 'id': '1511124612217720843'}, {'start': 212, 'end': 227, 'username': 'SatoshiRunnerz', 'id': '1466245939891515395'}, {'start': 234, 'end': 246, 'username': 'NekozumaNFT', 'id': '1523233838096297984'}]}"
2,1533650617557610497,2022-06-06 03:22:55+00:00,False,RT @GalerieFfm: @operationSIN Of course @SatoshiRunnerz 🥂💚 https://t.co/N1RpW3JxrK,9,0,0,0,{'media_keys': ['7_1533600758603599877']},"{'urls': [{'start': 59, 'end': 82, 'url': 'https://t.co/N1RpW3JxrK', 'expanded_url': 'https://twitter.com/GalerieFfm/status/1533600864623001600/video/1', 'display_url': 'pic.twitter.com/N1RpW3JxrK', 'media_key': '7_1533600758603599877'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'GalerieFfm', 'id': '1493508817144975361'}, {'start': 16, 'end': 29, 'username': 'operationSIN', 'id': '1531886206950293504'}, {'start': 40, 'end': 55, 'username': 'SatoshiRunnerz', 'id': '1466245939891515395'}]}"
3,1533506449669648385,2022-06-05 17:50:03+00:00,False,RT @jim_dimwit: @pranksy @SatoshiRunnerz less than 150 of 7777 listed! One of the strongest #HODL communities in the space and for good rea…,12,0,0,0,,"{'hashtags': [{'start': 92, 'end': 97, 'tag': 'HODL'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'jim_dimwit', 'id': '1483820870007025665'}, {'start': 16, 'end': 24, 'username': 'pranksy', 'id': '2621412174'}, {'start': 25, 'end': 40, 'username': 'SatoshiRunnerz', 'id': '1466245939891515395'}]}"
4,1532945070365716480,2022-06-04 04:39:20+00:00,False,"RT @dstprNFT: I’m seeing a lot of servers where people grind for those WL spots. Please stop doing that, not worth your time and health. Ju…",33,0,0,0,,"{'mentions': [{'start': 3, 'end': 12, 'username': 'dstprNFT', 'id': '1511650606800424960'}]}"
5,1532607291975147521,2022-06-03 06:17:07+00:00,True,"@TheBubblewrld @0xFocus Winners 🏆
• @Amaliakhykhy
• @hikudra

✔️ https://t.co/94EnnhoqVn 

Congrats ! Please Dm @SatoshiMoonBox your Discord ID and address :)",0,1,3,0,,"{'urls': [{'start': 65, 'end': 88, 'url': 'https://t.co/94EnnhoqVn', 'expanded_url': 'https://twitterpicker.com/d/yg5rsm8h', 'display_url': 'twitterpicker.com/d/yg5rsm8h'}], 'mentions': [{'start': 0, 'end': 14, 'username': 'TheBubblewrld', 'id': '1511181523755622400'}, {'start': 15, 'end': 23, 'username': '0xFocus', 'id': '1462215173461135366'}, {'start': 36, 'end': 49, 'username': 'Amaliakhykhy', 'id': '894839918'}, {'start': 52, 'end': 60, 'username': 'hikudra', 'id': '751240608535150592'}, {'start': 112, 'end': 127, 'username': 'SatoshiMoonBox', 'id': '1510413882610880521'}]}"
6,1532607274891771904,2022-06-03 06:17:03+00:00,True,"@GiftOfMidas @0xFocus Winners 🏆
• @nikhil_johnson
• @cookeeeth

✔️ https://t.co/8Iqch11p9S 

Congrats ! Please Dm @SatoshiMoonBox your Discord ID and address :)",0,1,5,0,,"{'urls': [{'start': 67, 'end': 90, 'url': 'https://t.co/8Iqch11p9S', 'expanded_url': 'https://twitterpicker.com/d/n6j7fuy9', 'display_url': 'twitterpicker.com/d/n6j7fuy9'}], 'mentions': [{'start': 0, 'end': 12, 'username': 'GiftOfMidas', 'id': '1529174842263707648'}, {'start': 13, 'end': 21, 'username': '0xFocus', 'id': '1462215173461135366'}, {'start': 34, 'end': 49, 'username': 'nikhil_johnson', 'id': '912450895'}, {'start': 52, 'end': 62, 'username': 'cookeeeth', 'id': '1505586557557915657'}, {'start': 114, 'end': 129, 'username': 'SatoshiMoonBox', 'id': '1510413882610880521'}]}"
7,1532267843927961600,2022-06-02 07:48:16+00:00,True,"@satoshiisland @0xFocus Winners 🏆
• @battle2rage
• @BengulDemiray

✔️ https://t.co/b5KHuw7ScD 

Congrats ! Please DM @SatoshiMoonBox with Discord ID and address :)",1,0,9,1,,"{'urls': [{'start': 70, 'end': 93, 'url': 'https://t.co/b5KHuw7ScD', 'expanded_url': 'https://twitterpicker.com/d/ratkk2rj', 'display_url': 'twitterpicker.com/d/ratkk2rj'}], 'mentions': [{'start': 0, 'end': 14, 'username': 'satoshiisland', 'id': '1041123252741918721'}, {'start': 15, 'end': 23, 'username': '0xFocus', 'id': '1462215173461135366'}, {'start': 36, 'end': 48, 'username': 'battle2rage', 'id': '2309116413'}, {'start': 51, 'end': 65, 'username': 'BengulDemiray', 'id': '1526991801684529160'}, {'start': 117, 'end': 132, 'username': 'SatoshiMoonBox', 'id': '1510413882610880521'}]}"
8,1532267563895271424,2022-06-02 07:47:10+00:00,True,"@CamoChameleonC @0xFocus Winners 🏆
• @ESTEBAN231279
• @Ludinho_tga

✔️ https://t.co/hq7KbkJIV3 

Congrats ! Please DM @SatoshiMoonBox your Discord ID and SOL address :)",0,0,3,0,,"{'urls': [{'start': 71, 'end': 94, 'url': 'https://t.co/hq7KbkJIV3', 'expanded_url': 'https://twitterpicker.com/d/2agha295', 'display_url': 'twitterpicker.com/d/2agha295'}], 'mentions': [{'start': 0, 'end': 15, 'username': 'CamoChameleonC', 'id': '1514390476807450628'}, {'start': 16, 'end': 24, 'username': '0xFocus', 'id': '1462215173461135366'}, {'start': 37, 'end': 51, 'username': 'ESTEBAN231279', 'id': '194838592'}, {'start': 54, 'end': 66, 'username': 'Ludinho_tga', 'id': '301160654'}, {'start': 118, 'end': 133, 'username': 'SatoshiMoonBox', 'id': '1510413882610880521'}]}"
9,1532247648027103232,2022-06-02 06:28:01+00:00,True,"@WhitelistPing Winners 🏆
• @VeraCredible
• @neverfearon
• @xkmwj8930

✔️ https://t.co/BEd2Isn5TP 

Congrats! Please DM @SatoshiMoonBox Discord ID and address :)",1,0,8,0,,"{'urls': [{'start': 73, 'end': 96, 'url': 'https://t.co/BEd2Isn5TP', 'expanded_url': 'https://twitterpicker.com/d/7rz34y97', 'display_url': 'twitterpicker.com/d/7rz34y97'}], 'mentions': [{'start': 0, 'end': 14, 'username': 'WhitelistPing', 'id': '1510108768159387654'}, {'start': 27, 'end': 40, 'username': 'VeraCredible', 'id': '1862684936'}, {'start': 43, 'end': 55, 'username': 'neverfearon', 'id': '1461563182984486915'}, {'start': 58, 'end': 68, 'username': 'xkmwj8930', 'id': '1517917603938770944'}, {'start': 119, 'end': 134, 'username': 'SatoshiMoonBox', 'id': '1510413882610880521'}]}"
