,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1527374991645622272,2022-05-19 19:45:49+00:00,True,@crypts_legend @xsondx @JVN4D 🙏,0,3,1,0,,"{'mentions': [{'start': 0, 'end': 14, 'username': 'crypts_legend', 'id': '1496500303365083139'}, {'start': 15, 'end': 22, 'username': 'xsondx', 'id': '2185484966'}, {'start': 23, 'end': 29, 'username': 'JVN4D', 'id': '761282679732068352'}]}"
1,1527374810975973378,2022-05-19 19:45:06+00:00,False,RT @Mupf08: Minted 🥳 https://t.co/zhtskcTvLI,7,0,0,0,{'media_keys': ['3_1527307186174578688']},"{'urls': [{'start': 21, 'end': 44, 'url': 'https://t.co/zhtskcTvLI', 'expanded_url': 'https://twitter.com/Mupf08/status/1527307188426842112/photo/1', 'display_url': 'pic.twitter.com/zhtskcTvLI', 'media_key': '3_1527307186174578688'}], 'mentions': [{'start': 3, 'end': 10, 'username': 'Mupf08', 'id': '1487195798161047552'}]}"
2,1527303100851048449,2022-05-19 15:00:09+00:00,False,"MINT ANNOUNCEMENT

Whitelist mint is live now!
https://t.co/8GaHxSD3Rd

WL &amp; RL are able to mint! https://t.co/NjzFBJl2HF",45,12,99,5,{'media_keys': ['16_1527301279726415872']},"{'urls': [{'start': 47, 'end': 70, 'url': 'https://t.co/8GaHxSD3Rd', 'expanded_url': 'https://mint.reseauclo.com', 'display_url': 'mint.reseauclo.com'}, {'start': 102, 'end': 125, 'url': 'https://t.co/NjzFBJl2HF', 'expanded_url': 'https://twitter.com/SixthReseau/status/1527303100851048449/photo/1', 'display_url': 'pic.twitter.com/NjzFBJl2HF', 'media_key': '16_1527301279726415872'}]}"
3,1527301793746546694,2022-05-19 14:54:58+00:00,False,Privateshow 🔴 https://t.co/jdy1mwFgJO,14,3,34,0,,"{'urls': [{'start': 14, 'end': 37, 'url': 'https://t.co/jdy1mwFgJO', 'expanded_url': 'https://twitter.com/i/spaces/1PlKQaypmNWKE', 'display_url': 'twitter.com/i/spaces/1PlKQ…'}]}"
4,1527242798109433862,2022-05-19 11:00:32+00:00,True,"@TobiJB02 No, will be in 2h",0,6,3,0,,"{'mentions': [{'start': 0, 'end': 9, 'username': 'TobiJB02', 'id': '1453120333213540360'}]}"
5,1527066106569052162,2022-05-18 23:18:25+00:00,True,"@Joannapichonn We have tomorrow 24h WL mint? 
But with time you are right..",0,4,0,0,,"{'mentions': [{'start': 0, 'end': 14, 'username': 'Joannapichonn', 'id': '1236644077'}]}"
6,1527046604502487040,2022-05-18 22:00:56+00:00,True,@TobiJB02 Yes,0,3,2,0,,"{'mentions': [{'start': 0, 'end': 9, 'username': 'TobiJB02', 'id': '1453120333213540360'}]}"
7,1527016498639818759,2022-05-18 20:01:18+00:00,False,"6..5..4..3..2..1..🚀 WE ARE LIVE!

Official Links:
https://t.co/aD0JoJ41ZI
https://t.co/PiEaChmeiW

Smart-contract:
https://t.co/WkgfXrXipb https://t.co/Q24oSAnAgI",147,88,234,4,{'media_keys': ['16_1527014828342235137']},"{'urls': [{'start': 50, 'end': 73, 'url': 'https://t.co/aD0JoJ41ZI', 'expanded_url': 'https://mint.reseauclo.com/', 'display_url': 'mint.reseauclo.com', 'status': 200, 'title': 'Sixth Réseau Lost Identity - Mint', 'unwound_url': 'https://mint.reseauclo.com/'}, {'start': 74, 'end': 97, 'url': 'https://t.co/PiEaChmeiW', 'expanded_url': 'https://opensea.io/collection/sixthreseau-lost-identities', 'display_url': 'opensea.io/collection/six…'}, {'start': 115, 'end': 138, 'url': 'https://t.co/WkgfXrXipb', 'expanded_url': 'https://etherscan.io/address/0xbea3026f13a9d944f87fea6be910e23a2e0fcc58', 'display_url': 'etherscan.io/address/0xbea3…'}, {'start': 139, 'end': 162, 'url': 'https://t.co/Q24oSAnAgI', 'expanded_url': 'https://twitter.com/SixthReseau/status/1527016498639818759/photo/1', 'display_url': 'pic.twitter.com/Q24oSAnAgI', 'media_key': '16_1527014828342235137'}]}"
8,1527010112497401863,2022-05-18 19:35:55+00:00,True,@c3stroo Public goes online in 25min :D tomorrow Private 1,1,6,9,0,,"{'mentions': [{'start': 0, 'end': 8, 'username': 'c3stroo', 'id': '2935669120'}]}"
9,1526987968417878018,2022-05-18 18:07:56+00:00,False,"RT @NFTFlip_AI: 🚨PUBLIC SALE🚨

➡️Dutch Auction
✅Start Time : 5/18 4PM EST
✅Price : Starts at 0.4 ETH, goes down 0.0175 ETH every 20 minutes…",40,0,0,0,,"{'mentions': [{'start': 3, 'end': 14, 'username': 'NFTFlip_AI', 'id': '1505842811572469765'}]}"
10,1526976613585408003,2022-05-18 17:22:49+00:00,True,@k_eszteer Please in our discord :),0,2,0,0,,"{'mentions': [{'start': 0, 'end': 10, 'username': 'k_eszteer', 'id': '1459492924106973184'}]}"
11,1526970443625807876,2022-05-18 16:58:18+00:00,True,@julienbgs ?,0,3,1,0,,"{'mentions': [{'start': 0, 'end': 10, 'username': 'julienbgs', 'id': '383409974'}]}"
12,1526963423292149761,2022-05-18 16:30:24+00:00,True,"@Niclas_Jeff @Jokerredempt Later today: Public
Tomorrow: WL",0,5,5,0,,"{'mentions': [{'start': 0, 'end': 12, 'username': 'Niclas_Jeff', 'id': '3161208880'}, {'start': 13, 'end': 26, 'username': 'Jokerredempt', 'id': '1260229853590192129'}]}"
13,1526963063101980675,2022-05-18 16:28:58+00:00,False,RT @Jokerredempt: Ich werde dieses wunderschöne Werk für 1010 Eth auf den Markt stellen ich hoffe ihr lasst eine favorisierung da begeben S…,16,0,0,0,,"{'mentions': [{'start': 3, 'end': 16, 'username': 'Jokerredempt', 'id': '1260229853590192129'}]}"
14,1526946816545243137,2022-05-18 15:24:25+00:00,True,https://t.co/0zgSJsNATQ,35,9,106,0,{'media_keys': ['16_1526946760672923648']},"{'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/0zgSJsNATQ', 'expanded_url': 'https://twitter.com/SixthReseau/status/1526946816545243137/photo/1', 'display_url': 'pic.twitter.com/0zgSJsNATQ', 'media_key': '16_1526946760672923648'}]}"
15,1526946075474546693,2022-05-18 15:21:28+00:00,True,+ Sorry for all the participants from the first giveaway; we just removed it because we wanted to use the proper link!,18,12,74,0,,
16,1526945855688826885,2022-05-18 15:20:35+00:00,False,"PRIORITY SALE IS NOW LIVE. 🔥⚡️

Minting page: https://t.co/QmcAqOXPFl
Opensea: https://t.co/ygUexIIBII

GIVEAWAY: 2 x Free Mint

- RT &amp; Like",759,176,822,4,,"{'urls': [{'start': 46, 'end': 69, 'url': 'https://t.co/QmcAqOXPFl', 'expanded_url': 'https://www.mint.reseauclo.com/', 'display_url': 'mint.reseauclo.com'}, {'start': 79, 'end': 102, 'url': 'https://t.co/ygUexIIBII', 'expanded_url': 'http://opensea.io/collection/sixthreseau-lost-identities', 'display_url': 'opensea.io/collection/six…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1526941601712463873/WvN_CXNz?format=jpg&name=orig', 'width': 1400, 'height': 400}, {'url': 'https://pbs.twimg.com/news_img/1526941601712463873/WvN_CXNz?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'SixthReseau Lost Identities - Collection | OpenSea', 'description': 'Welcome to the home of SixthReseau Lost Identities on OpenSea. Discover the best items in this collection.', 'unwound_url': 'https://opensea.io/collection/sixthreseau-lost-identities'}]}"
17,1526942749802614785,2022-05-18 15:08:15+00:00,True,"@SixthReseaue @dannyzitcha REPORT HIM, he's a faker!",0,6,0,0,,"{'mentions': [{'start': 0, 'end': 13, 'username': 'SixthReseaue', 'id': '586919704'}, {'start': 14, 'end': 26, 'username': 'dannyzitcha', 'id': '163860085'}]}"
18,1526935921060417537,2022-05-18 14:41:07+00:00,True,@1Skysurfer939 @Epic_Vengeance_ @TripleXCoiner @SeanCahiII @k_eszteer @SalvadorSHO13 @OshodiMr @_FlipsM @jerrycchuang @ordinarytechii @Sophia_459 If @SeanCahiII agrees it's ok we know that @1Skysurfer939 also supports for months!,0,10,7,0,,"{'mentions': [{'start': 0, 'end': 14, 'username': '1Skysurfer939', 'id': '1484873633860304897'}, {'start': 15, 'end': 31, 'username': 'Epic_Vengeance_', 'id': '930417962493861889'}, {'start': 32, 'end': 46, 'username': 'TripleXCoiner', 'id': '1215089672591835136'}, {'start': 47, 'end': 58, 'username': 'SeanCahiII', 'id': '1483379909905076225'}, {'start': 59, 'end': 69, 'username': 'k_eszteer', 'id': '1459492924106973184'}, {'start': 70, 'end': 84, 'username': 'SalvadorSHO13', 'id': '321603412'}, {'start': 85, 'end': 94, 'username': 'OshodiMr', 'id': '1416780799471456257'}, {'start': 95, 'end': 103, 'username': '_FlipsM', 'id': '51658317'}, {'start': 104, 'end': 117, 'username': 'jerrycchuang', 'id': '7818052'}, {'start': 118, 'end': 133, 'username': 'ordinarytechii', 'id': '1495043428471963648'}, {'start': 134, 'end': 145, 'username': 'Sophia_459', 'id': '1490644874366009346'}, {'start': 149, 'end': 160, 'username': 'SeanCahiII', 'id': '1483379909905076225'}, {'start': 189, 'end': 203, 'username': '1Skysurfer939', 'id': '1484873633860304897'}]}"
19,1526935699542376450,2022-05-18 14:40:14+00:00,True,"FreemintWinner 🏆: @IridescentXin

✔️ https://t.co/nvWHhLBkrM 

Please contact our discord tickets

@TripleXCoiner @SeanCahiII Please send your ETH address here under this tweet if you see that.",6,13,38,0,,"{'urls': [{'start': 37, 'end': 60, 'url': 'https://t.co/nvWHhLBkrM', 'expanded_url': 'https://twitterpicker.com/d/d72ru6r4', 'display_url': 'twitterpicker.com/d/d72ru6r4'}], 'mentions': [{'start': 18, 'end': 32, 'username': 'IridescentXin', 'id': '2235226513'}, {'start': 99, 'end': 113, 'username': 'TripleXCoiner', 'id': '1215089672591835136'}, {'start': 114, 'end': 125, 'username': 'SeanCahiII', 'id': '1483379909905076225'}]}"
20,1526934793807712257,2022-05-18 14:36:38+00:00,True,"Priority Winners @TripleXCoiner @SeanCahiII

WL Winners: @k_eszteer @SalvadorSHO13 @OshodiMr @_FlipsM @jerrycchuang @ordinarytechii @Sophia_459

Freemint, will be raffled after this tweet!",16,24,67,1,,"{'mentions': [{'start': 17, 'end': 31, 'username': 'TripleXCoiner', 'id': '1215089672591835136'}, {'start': 32, 'end': 43, 'username': 'SeanCahiII', 'id': '1483379909905076225'}, {'start': 57, 'end': 67, 'username': 'k_eszteer', 'id': '1459492924106973184'}, {'start': 68, 'end': 82, 'username': 'SalvadorSHO13', 'id': '321603412'}, {'start': 83, 'end': 92, 'username': 'OshodiMr', 'id': '1416780799471456257'}, {'start': 93, 'end': 101, 'username': '_FlipsM', 'id': '51658317'}, {'start': 102, 'end': 115, 'username': 'jerrycchuang', 'id': '7818052'}, {'start': 116, 'end': 131, 'username': 'ordinarytechii', 'id': '1495043428471963648'}, {'start': 132, 'end': 143, 'username': 'Sophia_459', 'id': '1490644874366009346'}]}"
21,1526916889225601024,2022-05-18 13:25:29+00:00,True,@thehat2k5 ❤️,0,0,1,0,,"{'mentions': [{'start': 0, 'end': 10, 'username': 'thehat2k5', 'id': '1090076294'}]}"
22,1526878551223455747,2022-05-18 10:53:09+00:00,True,@NftManoj5 You still got chances:),0,2,1,0,,"{'mentions': [{'start': 0, 'end': 10, 'username': 'NftManoj5', 'id': '1394900711607988226'}]}"
23,1526868303297273857,2022-05-18 10:12:26+00:00,False,"GM, the first big day is here.  👀🚀

We are so insanely excited, our new website is online at https://t.co/I1JfZagL5T , but don't be surprised, there are still a few adjustments to be made today.

Thank you for all the support ✨",57,23,192,2,,"{'urls': [{'start': 93, 'end': 116, 'url': 'https://t.co/I1JfZagL5T', 'expanded_url': 'http://reseauclo.com', 'display_url': 'reseauclo.com'}]}"
