,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1533824061217701891,2022-06-06 14:52:07+00:00,False,GM Skelet Train 💀 We will be doing a twitter space with our friends @meta_morphies tonight at 6pm PST! We hope you can make it! 🎉🔥 https://t.co/sKVcqvhVPD,5,1,8,0,,"{'urls': [{'start': 131, 'end': 154, 'url': 'https://t.co/sKVcqvhVPD', 'expanded_url': 'https://twitter.com/i/spaces/1DXGyDpNpZLKM', 'display_url': 'twitter.com/i/spaces/1DXGy…'}], 'mentions': [{'start': 68, 'end': 82, 'username': 'meta_morphies', 'id': '1484495445783199747'}]}"
1,1533661167196860416,2022-06-06 04:04:50+00:00,False,RT @based_buck: @SquatFT @SkeletGuys LFG https://t.co/uPD7hdUyyv,2,0,0,0,{'media_keys': ['3_1533656809805856770']},"{'urls': [{'start': 41, 'end': 64, 'url': 'https://t.co/uPD7hdUyyv', 'expanded_url': 'https://twitter.com/based_buck/status/1533656814918713344/photo/1', 'display_url': 'pic.twitter.com/uPD7hdUyyv', 'media_key': '3_1533656809805856770'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'based_buck', 'id': '328814521'}, {'start': 16, 'end': 24, 'username': 'SquatFT', 'id': '946258109751627776'}, {'start': 25, 'end': 36, 'username': 'SkeletGuys', 'id': '1462974895298469888'}]}"
2,1533655433595871232,2022-06-06 03:42:03+00:00,True,@based_buck @SquatFT details in the whale giveaway channel in discord 🔥🔥🫡,0,2,2,0,,"{'mentions': [{'start': 0, 'end': 11, 'username': 'based_buck', 'id': '328814521'}, {'start': 12, 'end': 20, 'username': 'SquatFT', 'id': '946258109751627776'}]}"
3,1533655359419604993,2022-06-06 03:41:46+00:00,False,RT @SquatFT: My @SkeletGuys #Whale hoodie is en route! Stoked to rock this bad guy! #Skelet https://t.co/CVIWjO1DOJ,5,0,0,0,{'media_keys': ['3_1533652882544726018']},"{'hashtags': [{'start': 28, 'end': 34, 'tag': 'Whale'}, {'start': 84, 'end': 91, 'tag': 'Skelet'}], 'urls': [{'start': 92, 'end': 115, 'url': 'https://t.co/CVIWjO1DOJ', 'expanded_url': 'https://twitter.com/SquatFT/status/1533653095699255296/photo/1', 'display_url': 'pic.twitter.com/CVIWjO1DOJ', 'media_key': '3_1533652882544726018'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'SquatFT', 'id': '946258109751627776'}, {'start': 16, 'end': 27, 'username': 'SkeletGuys', 'id': '1462974895298469888'}]}"
4,1533604606504099840,2022-06-06 00:20:05+00:00,False,"#Skeletary by @NessyTheRilla will be dropping on Apple Music and Spotify this week! 👀🔥💀

https://t.co/8pmuVDYAmg",3,1,5,1,,"{'hashtags': [{'start': 0, 'end': 10, 'tag': 'Skeletary'}], 'urls': [{'start': 89, 'end': 112, 'url': 'https://t.co/8pmuVDYAmg', 'expanded_url': 'https://youtu.be/uerQSmtVsIU', 'display_url': 'youtu.be/uerQSmtVsIU'}], 'annotations': [{'start': 49, 'end': 59, 'probability': 0.4976, 'type': 'Product', 'normalized_text': 'Apple Music'}, {'start': 65, 'end': 71, 'probability': 0.7103, 'type': 'Product', 'normalized_text': 'Spotify'}], 'mentions': [{'start': 14, 'end': 28, 'username': 'NessyTheRilla', 'id': '1500331711032352769'}]}"
5,1533599188327362560,2022-06-05 23:58:34+00:00,False,"RT @KhyleSocrates: Just grabbed my whale hoodie in tan!🐳

#skeletguys #skelettrain #skelets
#NFT #NFTs #NFTCommunity #NFTProject",4,0,0,0,,"{'hashtags': [{'start': 58, 'end': 69, 'tag': 'skeletguys'}, {'start': 70, 'end': 82, 'tag': 'skelettrain'}, {'start': 83, 'end': 91, 'tag': 'skelets'}, {'start': 92, 'end': 96, 'tag': 'NFT'}, {'start': 97, 'end': 102, 'tag': 'NFTs'}, {'start': 103, 'end': 116, 'tag': 'NFTCommunity'}, {'start': 117, 'end': 128, 'tag': 'NFTProject'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'KhyleSocrates', 'id': '282342683'}]}"
6,1533599170816225280,2022-06-05 23:58:29+00:00,False,RT @reyesnfts: Go claim yours if you’re a whale!,2,0,0,0,,"{'mentions': [{'start': 3, 'end': 13, 'username': 'reyesnfts', 'id': '1483495821870084096'}]}"
7,1533599154194112513,2022-06-05 23:58:25+00:00,False,RT @reyesnfts: @SkeletGuys whale Hoodie looking fire!!! If you own more than 20 skelets its free!!!! https://t.co/cTR2mInkwT https://t.co/Z…,3,0,0,0,,"{'urls': [{'start': 101, 'end': 124, 'url': 'https://t.co/cTR2mInkwT', 'expanded_url': 'https://www.skeletshop.com', 'display_url': 'skeletshop.com'}], 'mentions': [{'start': 3, 'end': 13, 'username': 'reyesnfts', 'id': '1483495821870084096'}, {'start': 15, 'end': 26, 'username': 'SkeletGuys', 'id': '1462974895298469888'}]}"
8,1533576051833438208,2022-06-05 22:26:37+00:00,False,"We have released our Skelet Whale hoodie! 🐳💀 Free claim for our Whale holders (20+ Skelet Guys) is live as well! 🔥🫡

https://t.co/EsA1HtKvUX https://t.co/Myrc6eqr3s",6,0,15,2,"{'media_keys': ['3_1533576044967366656', '3_1533576044975837185', '3_1533576045001027584']}","{'urls': [{'start': 117, 'end': 140, 'url': 'https://t.co/EsA1HtKvUX', 'expanded_url': 'https://www.skeletshop.com/product/skelet-whale-hoodie', 'display_url': 'skeletshop.com/product/skelet…'}, {'start': 141, 'end': 164, 'url': 'https://t.co/Myrc6eqr3s', 'expanded_url': 'https://twitter.com/SkeletGuys/status/1533576051833438208/photo/1', 'display_url': 'pic.twitter.com/Myrc6eqr3s', 'media_key': '3_1533576044967366656'}, {'start': 141, 'end': 164, 'url': 'https://t.co/Myrc6eqr3s', 'expanded_url': 'https://twitter.com/SkeletGuys/status/1533576051833438208/photo/1', 'display_url': 'pic.twitter.com/Myrc6eqr3s', 'media_key': '3_1533576044975837185'}, {'start': 141, 'end': 164, 'url': 'https://t.co/Myrc6eqr3s', 'expanded_url': 'https://twitter.com/SkeletGuys/status/1533576051833438208/photo/1', 'display_url': 'pic.twitter.com/Myrc6eqr3s', 'media_key': '3_1533576045001027584'}], 'annotations': [{'start': 21, 'end': 39, 'probability': 0.476, 'type': 'Product', 'normalized_text': 'Skelet Whale hoodie'}]}"
9,1533494616862752774,2022-06-05 17:03:02+00:00,False,LOVE TO OUR FAM AT BEANIEZ ❤️💀 https://t.co/U0RdgHYGrk,1,1,11,0,,"{'urls': [{'start': 31, 'end': 54, 'url': 'https://t.co/U0RdgHYGrk', 'expanded_url': 'https://twitter.com/beanieznft/status/1533487340911575042', 'display_url': 'twitter.com/beanieznft/sta…'}]}"
