,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1533529738081353729,2022-06-05 19:22:35+00:00,False,Drop your Star here with the hashtag #Starcatchers for a chance to be the next preview of @arialxjade's elevated design 🌟 https://t.co/ab4hUHb24U,72,268,263,1,{'media_keys': ['3_1533529734713335810']},"{'urls': [{'start': 122, 'end': 145, 'url': 'https://t.co/ab4hUHb24U', 'expanded_url': 'https://twitter.com/StarcatchersNFT/status/1533529738081353729/photo/1', 'display_url': 'pic.twitter.com/ab4hUHb24U', 'media_key': '3_1533529734713335810'}], 'mentions': [{'start': 90, 'end': 101, 'username': 'arialxjade', 'id': '276659820'}], 'hashtags': [{'start': 37, 'end': 50, 'tag': 'Starcatchers'}]}"
1,1533245077975355392,2022-06-05 00:31:27+00:00,False,.@CarsonDrake79 this one’s for you 💫 https://t.co/D1aoa2x5ki,30,13,139,1,{'media_keys': ['16_1533245053509980160']},"{'urls': [{'start': 37, 'end': 60, 'url': 'https://t.co/D1aoa2x5ki', 'expanded_url': 'https://twitter.com/StarcatchersNFT/status/1533245077975355392/photo/1', 'display_url': 'pic.twitter.com/D1aoa2x5ki', 'media_key': '16_1533245053509980160'}], 'mentions': [{'start': 1, 'end': 15, 'username': 'CarsonDrake79', 'id': '762064259861721088'}]}"
2,1532893022047854592,2022-06-04 01:12:30+00:00,False,RT @28Lorito: Scooped up a @StarcatchersNFT.  That new art from @arialxjade looks 🔥🔥. See ya at Peak! #NFTNYC2022 https://t.co/PZWwM6lGhC,31,0,0,0,{'media_keys': ['3_1532875180862803968']},"{'urls': [{'start': 114, 'end': 137, 'url': 'https://t.co/PZWwM6lGhC', 'expanded_url': 'https://twitter.com/28Lorito/status/1532876750178471937/photo/1', 'display_url': 'pic.twitter.com/PZWwM6lGhC', 'media_key': '3_1532875180862803968'}], 'mentions': [{'start': 3, 'end': 12, 'username': '28Lorito', 'id': '259957825'}, {'start': 27, 'end': 43, 'username': 'StarcatchersNFT', 'id': '1478907585935904768'}, {'start': 64, 'end': 75, 'username': 'arialxjade', 'id': '276659820'}], 'hashtags': [{'start': 102, 'end': 113, 'tag': 'NFTNYC2022'}]}"
3,1532752719873597440,2022-06-03 15:55:00+00:00,False,"and so, we burn. 🔥

check our disc for details.",72,38,326,10,,
4,1532744311145742337,2022-06-03 15:21:35+00:00,False,RT @ethmaurice: @SageStormDavis @TradingFemale @goblingrlzwtf @adultarts @BoringOneNFT @BoredBoynft @StarcatchersNFT @arialxjade Our entire…,10,0,0,0,,"{'mentions': [{'start': 3, 'end': 14, 'username': 'ethmaurice', 'id': '1210239572547981313'}, {'start': 16, 'end': 31, 'username': 'SageStormDavis', 'id': '1158503623720153095'}, {'start': 32, 'end': 46, 'username': 'TradingFemale', 'id': '1392119830107488261'}, {'start': 47, 'end': 61, 'username': 'goblingrlzwtf', 'id': '1528872327328346113'}, {'start': 62, 'end': 72, 'username': 'adultarts', 'id': '1317225065411346432'}, {'start': 73, 'end': 86, 'username': 'BoringOneNFT', 'id': '1513420410053832706'}, {'start': 87, 'end': 99, 'username': 'BoredBoynft', 'id': '1417828666495553538'}, {'start': 100, 'end': 116, 'username': 'StarcatchersNFT', 'id': '1478907585935904768'}, {'start': 117, 'end': 128, 'username': 'arialxjade', 'id': '276659820'}]}"
5,1532737729590599682,2022-06-03 14:55:26+00:00,False,drip. 💧 https://t.co/W9NNYpsKsa,50,15,214,2,{'media_keys': ['16_1532736897226874882']},"{'urls': [{'start': 8, 'end': 31, 'url': 'https://t.co/W9NNYpsKsa', 'expanded_url': 'https://twitter.com/StarcatchersNFT/status/1532737729590599682/photo/1', 'display_url': 'pic.twitter.com/W9NNYpsKsa', 'media_key': '16_1532736897226874882'}]}"
6,1532512971552849923,2022-06-03 00:02:19+00:00,False,Join me in my Space! https://t.co/Kq6uz5KD7r,7,2,44,1,,"{'urls': [{'start': 21, 'end': 44, 'url': 'https://t.co/Kq6uz5KD7r', 'expanded_url': 'https://twitter.com/i/spaces/1LyGBoLZNYkJN', 'display_url': 'twitter.com/i/spaces/1LyGB…'}]}"
7,1532476827167358976,2022-06-02 21:38:42+00:00,False,"RT @yo_superdope: 🍑Bootyshakers #10 - @arialxjade 
And the final piece from our WARM BUNS 🔥

24hr auction starting now!!
https://t.co/yCMsW…",43,0,0,0,,"{'mentions': [{'start': 3, 'end': 16, 'username': 'yo_superdope', 'id': '1479138823720161280'}, {'start': 38, 'end': 49, 'username': 'arialxjade', 'id': '276659820'}]}"
8,1532463895343947788,2022-06-02 20:47:19+00:00,False,RT @NYDoorman: #NewNFTProfilePic NFT by @StarcatchersNFT in anticipation of the June 20th party at PEAK. Let’s party amongst the ✨ https://…,26,0,0,0,,"{'mentions': [{'start': 3, 'end': 13, 'username': 'NYDoorman', 'id': '577148164'}, {'start': 40, 'end': 56, 'username': 'StarcatchersNFT', 'id': '1478907585935904768'}], 'hashtags': [{'start': 15, 'end': 32, 'tag': 'NewNFTProfilePic'}]}"
9,1532408596083814402,2022-06-02 17:07:34+00:00,False,"RT @yo_superdope: TOMORROW! We're chatting with our latest Bootyshaker, @arialxjade! 🌟Hold on to your butts, and set those reminders, becau…",7,0,0,0,,"{'mentions': [{'start': 3, 'end': 16, 'username': 'yo_superdope', 'id': '1479138823720161280'}, {'start': 72, 'end': 83, 'username': 'arialxjade', 'id': '276659820'}]}"
10,1532398653645545479,2022-06-02 16:28:04+00:00,False,"On tonight with @PeopleOf_Earth — come hear what it means to be an Earthling on Ethereum and their plans to do what they can for the planet! 🌍

https://t.co/Kq6uz5t1IR",19,7,44,3,,"{'urls': [{'start': 144, 'end': 167, 'url': 'https://t.co/Kq6uz5t1IR', 'expanded_url': 'https://twitter.com/i/spaces/1LyGBoLZNYkJN', 'display_url': 'twitter.com/i/spaces/1LyGB…'}], 'mentions': [{'start': 16, 'end': 31, 'username': 'PeopleOf_Earth', 'id': '1493219818304122880'}], 'annotations': [{'start': 80, 'end': 87, 'probability': 0.405, 'type': 'Organization', 'normalized_text': 'Ethereum'}]}"
11,1532377347709878273,2022-06-02 15:03:24+00:00,False,"RT @yo_superdope: Our last WARM BUN is about to come out of the oven:
 @arialxjade!
💪 And Giga is her star child. 

TODAY
06.02.22 🍑2:30pm…",11,0,0,0,,"{'mentions': [{'start': 3, 'end': 16, 'username': 'yo_superdope', 'id': '1479138823720161280'}, {'start': 71, 'end': 82, 'username': 'arialxjade', 'id': '276659820'}]}"
12,1532190461821128705,2022-06-02 02:40:47+00:00,False,glowed up fr 🌟 https://t.co/8IxWtYVyE1,81,36,474,4,"{'media_keys': ['3_1532190360235126784', '3_1532190404166176771']}","{'urls': [{'start': 15, 'end': 38, 'url': 'https://t.co/8IxWtYVyE1', 'expanded_url': 'https://twitter.com/StarcatchersNFT/status/1532190461821128705/photo/1', 'display_url': 'pic.twitter.com/8IxWtYVyE1', 'media_key': '3_1532190360235126784'}, {'start': 15, 'end': 38, 'url': 'https://t.co/8IxWtYVyE1', 'expanded_url': 'https://twitter.com/StarcatchersNFT/status/1532190461821128705/photo/1', 'display_url': 'pic.twitter.com/8IxWtYVyE1', 'media_key': '3_1532190404166176771'}]}"
13,1532019849194373120,2022-06-01 15:22:50+00:00,False,"RT @yo_superdope: Bootyshaker #10 - 👀 Who dis?

TOMORROW
06.02.22 🍑2:30pm PST / 5:30pm EST
24hr auction no reserve, starting at .1 ETH

#NF…",12,0,0,0,,"{'mentions': [{'start': 3, 'end': 16, 'username': 'yo_superdope', 'id': '1479138823720161280'}]}"
14,1531343872034410497,2022-05-30 18:36:44+00:00,False,"RT @YokeeNFT: This next partner is a project with actual stars ⭐️, we love how they handle themselves in the space and overcome any challen…",67,0,0,0,,"{'mentions': [{'start': 3, 'end': 12, 'username': 'YokeeNFT', 'id': '1506503844863176706'}]}"
15,1530263065303781377,2022-05-27 19:02:00+00:00,False,Peak ‘stache. Ready to ride? 🧔 https://t.co/ORMCvBiFtG,38,16,215,2,"{'media_keys': ['3_1530038346831040518', '3_1530038364098990080']}","{'urls': [{'start': 31, 'end': 54, 'url': 'https://t.co/ORMCvBiFtG', 'expanded_url': 'https://twitter.com/StarcatchersNFT/status/1530263065303781377/photo/1', 'display_url': 'pic.twitter.com/ORMCvBiFtG', 'media_key': '3_1530038346831040518'}, {'start': 31, 'end': 54, 'url': 'https://t.co/ORMCvBiFtG', 'expanded_url': 'https://twitter.com/StarcatchersNFT/status/1530263065303781377/photo/1', 'display_url': 'pic.twitter.com/ORMCvBiFtG', 'media_key': '3_1530038364098990080'}]}"
16,1529606340020252672,2022-05-25 23:32:24+00:00,True,"Forum for Discussion:
https://t.co/gsA4aqDHuE

Community Vote (must be a holder to vote): 
https://t.co/5lMRz0NHWf",2,0,103,0,,"{'urls': [{'start': 22, 'end': 45, 'url': 'https://t.co/gsA4aqDHuE', 'expanded_url': 'https://forum.starcatchers.io/', 'display_url': 'forum.starcatchers.io', 'images': [{'url': 'https://pbs.twimg.com/news_img/1529606387181002754/L5NLtkWJ?format=jpg&name=orig', 'width': 2048, 'height': 2048}, {'url': 'https://pbs.twimg.com/news_img/1529606387181002754/L5NLtkWJ?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Starcatchers', 'description': 'This is for community voting based discussion. Powered by Discourse, best viewed with JavaScript', 'unwound_url': 'https://forum.starcatchers.io/'}, {'start': 91, 'end': 114, 'url': 'https://t.co/5lMRz0NHWf', 'expanded_url': 'https://snapshot.org/#/starcatcherscommunity.eth/proposal/0x13900a814c28e2c55b28a34d16345211c46b967575a179d2e1fdb0fd98381691', 'display_url': 'snapshot.org/#/starcatchers…'}]}"
17,1529606338724126720,2022-05-25 23:32:24+00:00,False,"Today’s the day. We just launched our community vote on how to implement @arialxjade’s new collection. Will your current Stars be swallowed by a black hole, lost to the void, or will they exist in a parallel dimension as shadows of your new ones? You decide. One week to vote. 💫 https://t.co/LwllU2gT0l",41,19,179,1,{'media_keys': ['3_1529605076490371074']},"{'urls': [{'start': 279, 'end': 302, 'url': 'https://t.co/LwllU2gT0l', 'expanded_url': 'https://twitter.com/StarcatchersNFT/status/1529606338724126720/photo/1', 'display_url': 'pic.twitter.com/LwllU2gT0l', 'media_key': '3_1529605076490371074'}], 'mentions': [{'start': 73, 'end': 84, 'username': 'arialxjade', 'id': '276659820'}]}"
18,1529580367098830849,2022-05-25 21:49:12+00:00,False,Spaces starting a little early today! Come listen to @ethmaurice and @arialxjade talk about all things Star related! ✨ https://t.co/TMXISAmIqP,12,0,37,0,,"{'urls': [{'start': 119, 'end': 142, 'url': 'https://t.co/TMXISAmIqP', 'expanded_url': 'https://twitter.com/Whiskers_NFT/status/1529499387361218571', 'display_url': 'twitter.com/Whiskers_NFT/s…'}], 'mentions': [{'start': 53, 'end': 64, 'username': 'ethmaurice', 'id': '1210239572547981313'}, {'start': 69, 'end': 80, 'username': 'arialxjade', 'id': '276659820'}]}"
19,1529570128223948800,2022-05-25 21:08:31+00:00,False,"RT @Whiskers_NFT: Chatting with Starcatchers in a few hours about what they’ve been building recently, come stop by!

https://t.co/2ZZuBnGY…",15,0,0,0,,"{'mentions': [{'start': 3, 'end': 16, 'username': 'Whiskers_NFT', 'id': '1482140323132362753'}], 'annotations': [{'start': 32, 'end': 43, 'probability': 0.6168, 'type': 'Person', 'normalized_text': 'Starcatchers'}]}"
20,1529193536968589312,2022-05-24 20:12:04+00:00,False,👶🌟 https://t.co/gsNxXnTdpq,83,22,395,2,{'media_keys': ['3_1529193436888301577']},"{'urls': [{'start': 3, 'end': 26, 'url': 'https://t.co/gsNxXnTdpq', 'expanded_url': 'https://twitter.com/StarcatchersNFT/status/1529193536968589312/photo/1', 'display_url': 'pic.twitter.com/gsNxXnTdpq', 'media_key': '3_1529193436888301577'}]}"
21,1529193152506216450,2022-05-24 20:10:33+00:00,False,Tonight with @GlitchiesNFT: on the move from the Multiverse to the Metaverse and the value of community in Web3. 💜💫 https://t.co/LLlMYZ5RVi,21,3,62,0,,"{'urls': [{'start': 116, 'end': 139, 'url': 'https://t.co/LLlMYZ5RVi', 'expanded_url': 'https://twitter.com/ggDaydreams/status/1529192962726297600', 'display_url': 'twitter.com/ggDaydreams/st…'}], 'mentions': [{'start': 13, 'end': 26, 'username': 'GlitchiesNFT', 'id': '1510648847734693889'}]}"
22,1528874058875559937,2022-05-23 23:02:35+00:00,False,Join me in my Space! https://t.co/PNuMuPHWAo,2,1,22,0,,"{'urls': [{'start': 21, 'end': 44, 'url': 'https://t.co/PNuMuPHWAo', 'expanded_url': 'https://twitter.com/i/spaces/1kvKpAOlLDgGE', 'display_url': 'twitter.com/i/spaces/1kvKp…'}]}"
23,1528802331394973698,2022-05-23 18:17:34+00:00,False,"On tonight with @EverybodysFun — talking toons, toys, and world domination👀🌎

https://t.co/PNuMuPHWAo",5,3,33,1,,"{'urls': [{'start': 78, 'end': 101, 'url': 'https://t.co/PNuMuPHWAo', 'expanded_url': 'https://twitter.com/i/spaces/1kvKpAOlLDgGE', 'display_url': 'twitter.com/i/spaces/1kvKp…'}], 'mentions': [{'start': 16, 'end': 30, 'username': 'EverybodysFun', 'id': '1490208822471786496'}]}"
24,1528446565244805120,2022-05-22 18:43:52+00:00,False,Stars love a good dance party. Thank you for the cameo @0xClaylings!💫 (0:22) https://t.co/ID2vVxwbax,23,4,88,0,,"{'urls': [{'start': 77, 'end': 100, 'url': 'https://t.co/ID2vVxwbax', 'expanded_url': 'https://twitter.com/0xClaylings/status/1528427771793444864', 'display_url': 'twitter.com/0xClaylings/st…'}], 'mentions': [{'start': 55, 'end': 67, 'username': '0xClaylings', 'id': '1417675534847381506'}]}"
25,1528159259044749312,2022-05-21 23:42:13+00:00,False,"RT @ethbuds902: Gm to the BEST #NFTCommumity 💫 

@StarcatchersNFT ☕️ ☀️ https://t.co/1O8MJ5lPeM",21,0,0,0,{'media_keys': ['3_1527997083629797377']},"{'urls': [{'start': 72, 'end': 95, 'url': 'https://t.co/1O8MJ5lPeM', 'expanded_url': 'https://twitter.com/ethbuds902/status/1527997086423306240/photo/1', 'display_url': 'pic.twitter.com/1O8MJ5lPeM', 'media_key': '3_1527997083629797377'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'ethbuds902', 'id': '1500344491433238531'}, {'start': 49, 'end': 65, 'username': 'StarcatchersNFT', 'id': '1478907585935904768'}], 'hashtags': [{'start': 31, 'end': 44, 'tag': 'NFTCommumity'}]}"
26,1528116483070492672,2022-05-21 20:52:15+00:00,False,"We're proud to announce that we'll be using @chainpass's ticketing platform for our token-gated event at NFT NYC. https://t.co/D3lHAC0pLD

Chainpass is giving away five Starcatchers (!), which will double as tickets to the event.

Follow @chainpass and 🔁 this to be eligible!",239,34,217,4,,"{'urls': [{'start': 114, 'end': 137, 'url': 'https://t.co/D3lHAC0pLD', 'expanded_url': 'https://www.chainpass.xyz/', 'display_url': 'chainpass.xyz'}], 'mentions': [{'start': 44, 'end': 54, 'username': 'chainpass', 'id': '1499504037128859672'}, {'start': 238, 'end': 248, 'username': 'chainpass', 'id': '1499504037128859672'}], 'annotations': [{'start': 105, 'end': 111, 'probability': 0.7658, 'type': 'Place', 'normalized_text': 'NFT NYC'}]}"
27,1528052884683771904,2022-05-21 16:39:32+00:00,False,"It’s confirmed. Edge NYC, the highest outdoor sky deck in the Western Hemisphere, is the venue for our premier activation at NFT NYC 2022. We’re partnering with @VinnieHager, @Whiskers_NFT and @spriteclubNFT to bring you a stellar blowout of an event. Visit our Disc for details! https://t.co/OopQ8F8Lyc",145,62,538,31,"{'media_keys': ['3_1528052694556065792', '3_1528052786813980675']}","{'urls': [{'start': 280, 'end': 303, 'url': 'https://t.co/OopQ8F8Lyc', 'expanded_url': 'https://twitter.com/StarcatchersNFT/status/1528052884683771904/photo/1', 'display_url': 'pic.twitter.com/OopQ8F8Lyc', 'media_key': '3_1528052694556065792'}, {'start': 280, 'end': 303, 'url': 'https://t.co/OopQ8F8Lyc', 'expanded_url': 'https://twitter.com/StarcatchersNFT/status/1528052884683771904/photo/1', 'display_url': 'pic.twitter.com/OopQ8F8Lyc', 'media_key': '3_1528052786813980675'}], 'mentions': [{'start': 161, 'end': 173, 'username': 'VinnieHager', 'id': '271184018'}, {'start': 175, 'end': 188, 'username': 'Whiskers_NFT', 'id': '1482140323132362753'}, {'start': 193, 'end': 207, 'username': 'spriteclubNFT', 'id': '1448797529584320523'}], 'annotations': [{'start': 21, 'end': 23, 'probability': 0.4737, 'type': 'Place', 'normalized_text': 'NYC'}, {'start': 62, 'end': 79, 'probability': 0.5777, 'type': 'Place', 'normalized_text': 'Western Hemisphere'}, {'start': 125, 'end': 131, 'probability': 0.2827, 'type': 'Place', 'normalized_text': 'NFT NYC'}]}"
28,1527767167676170241,2022-05-20 21:44:11+00:00,False,"Talking Super Dudes with @SOVillains — this next drop is anything but ordinary 😈

 https://t.co/UfT5AtH1mi",22,3,63,1,,"{'urls': [{'start': 83, 'end': 106, 'url': 'https://t.co/UfT5AtH1mi', 'expanded_url': 'https://twitter.com/i/spaces/1YqGoprldRBJv', 'display_url': 'twitter.com/i/spaces/1YqGo…'}], 'mentions': [{'start': 25, 'end': 36, 'username': 'SOVillains', 'id': '1477537094213898240'}]}"
