,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1536700269718818816,2022-06-14 13:21:09+00:00,False,"RT @Streetlab_bot: BIG BUY 📈 Streetlab Genesis #1844 sold for 0.25 ETH! 📈
Buyer: nax1805
Seller: Martin_Bank2
Platform: OpenSea
https://t.c…",9,0,0,0,,"{'mentions': [{'start': 3, 'end': 17, 'username': 'Streetlab_bot', 'id': '1533568659142107136'}]}"
1,1536699624966209536,2022-06-14 13:18:35+00:00,False,"RT @Streetlab_io: 1/ 🧐ZOOM IN: a very important utility of Streetlab Genesis Collection
 
👉𝗦𝘁𝗿𝗲𝗲𝘁𝗹𝗮𝗯 𝗚𝗲𝗻𝗲𝘀𝗶𝘀 𝗛𝗼𝗹𝗱𝗲𝗿𝘀 𝘄𝗶𝗹𝗹 𝗵𝗮𝘃𝗲 ""𝗽𝗿𝗶𝘃𝗶𝗹𝗲𝗴𝗲𝗱…",380,0,0,0,,"{'mentions': [{'start': 3, 'end': 16, 'username': 'Streetlab_io', 'id': '1448406800303276035'}], 'annotations': [{'start': 60, 'end': 87, 'probability': 0.6214, 'type': 'Product', 'normalized_text': 'Streetlab Genesis Collection'}]}"
2,1536640310880632833,2022-06-14 09:22:54+00:00,True,@niftyjutsu READY ✊ https://t.co/Nkz38zCPii,5,2,17,0,{'media_keys': ['3_1536640230199017474']},"{'mentions': [{'start': 0, 'end': 11, 'username': 'niftyjutsu', 'id': '1415809544274337793'}], 'urls': [{'start': 20, 'end': 43, 'url': 'https://t.co/Nkz38zCPii', 'expanded_url': 'https://twitter.com/Streetlab_io/status/1536640310880632833/photo/1', 'display_url': 'pic.twitter.com/Nkz38zCPii', 'media_key': '3_1536640230199017474'}]}"
3,1536631692844228609,2022-06-14 08:48:39+00:00,False,"RT @gman_kings: @Streetlab_io Graffiti &amp; Street Art exists without money ✅

We painted illegally for 10, 20, 30+ years &amp; never considered g…",4,0,0,0,,"{'mentions': [{'start': 3, 'end': 14, 'username': 'gman_kings', 'id': '1364283653937901568'}, {'start': 16, 'end': 29, 'username': 'Streetlab_io', 'id': '1448406800303276035'}]}"
4,1536631482432770048,2022-06-14 08:47:49+00:00,True,"@carlosmarcialt Can't stop, won't stop!

LFG ✊❤️‍🔥",0,0,6,0,,"{'mentions': [{'start': 0, 'end': 15, 'username': 'carlosmarcialt', 'id': '729816362'}]}"
5,1536593010674237441,2022-06-14 06:14:56+00:00,False,"GM ☕️

Even when ETH goes down the #StreetArtNFT vibe is up only 📈✊

What a community 🫂",38,33,153,3,,"{'hashtags': [{'start': 35, 'end': 48, 'tag': 'StreetArtNFT'}]}"
6,1536476231557910530,2022-06-13 22:30:54+00:00,True,"&amp; let's not forget to mention @niftyjutsu, the amazing Artist who made this skull head from our logo. 

Proper Legend ❤️‍🔥 https://t.co/XDcUFV3T3i",13,5,43,0,{'media_keys': ['16_1536476200989769728']},"{'mentions': [{'start': 34, 'end': 45, 'username': 'niftyjutsu', 'id': '1415809544274337793'}], 'urls': [{'start': 127, 'end': 150, 'url': 'https://t.co/XDcUFV3T3i', 'expanded_url': 'https://twitter.com/Streetlab_io/status/1536476231557910530/photo/1', 'display_url': 'pic.twitter.com/XDcUFV3T3i', 'media_key': '16_1536476200989769728'}]}"
7,1536475687254646790,2022-06-13 22:28:44+00:00,False,RT @JackLacura: 5. I am talking about @LITWTF  @DegeneracyNFT  @rektguyNFT  (aka @DegenzNFT ) and @Streetlab_io. The common thread that uni…,13,0,0,0,,"{'mentions': [{'start': 3, 'end': 14, 'username': 'JackLacura', 'id': '1413937240150056960'}, {'start': 38, 'end': 45, 'username': 'LITWTF', 'id': '1465618724841406470'}, {'start': 47, 'end': 61, 'username': 'DegeneracyNFT', 'id': '1484542298939609089'}, {'start': 63, 'end': 74, 'username': 'rektguyNFT', 'id': '1532281329496248321'}, {'start': 81, 'end': 91, 'username': 'DegenzNFT', 'id': '1402777814223437827'}, {'start': 98, 'end': 111, 'username': 'Streetlab_io', 'id': '1448406800303276035'}]}"
8,1536475660541116423,2022-06-13 22:28:38+00:00,False,This is properly EPIC 🙏 https://t.co/5wDrzRjQTe,20,6,69,0,,"{'urls': [{'start': 24, 'end': 47, 'url': 'https://t.co/5wDrzRjQTe', 'expanded_url': 'https://twitter.com/JackLacura/status/1536450154949226497', 'display_url': 'twitter.com/JackLacura/sta…'}]}"
9,1536281458595217409,2022-06-13 09:36:57+00:00,False,"RT @_rubywaves_: @punk6529 @Streetlab_io This team is building REAL utility with REAL purpose.
If you like street art and you want to help…",10,0,0,0,,"{'mentions': [{'start': 3, 'end': 15, 'username': '_rubywaves_', 'id': '1453045455823200260'}, {'start': 17, 'end': 26, 'username': 'punk6529', 'id': '1388487332093997057'}, {'start': 27, 'end': 40, 'username': 'Streetlab_io', 'id': '1448406800303276035'}]}"
