,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1508618148915818496,2022-03-29 01:32:50+00:00,False,RT @PatJCreative: Come join the @TastyBonesNFT Spaces &amp; let’s talk about the mistakes and lessons we’ve learned in our NFT journeys! This w…,17,0,0,0,,"{'mentions': [{'start': 3, 'end': 16, 'username': 'PatJCreative', 'id': '1049094029462462464'}, {'start': 32, 'end': 46, 'username': 'TastyBonesNFT', 'id': '1469294270301360128'}]}"
1,1508618112807018500,2022-03-29 01:32:41+00:00,False,RT @se7en_xocial: Been waiting for the opportunity to join the @TastyBonesNFT community and I am so happy and proud that the moment has arr…,9,0,0,0,,"{'mentions': [{'start': 3, 'end': 16, 'username': 'se7en_xocial', 'id': '1495713034886647812'}, {'start': 63, 'end': 77, 'username': 'TastyBonesNFT', 'id': '1469294270301360128'}]}"
2,1508617469191090177,2022-03-29 01:30:08+00:00,False,"RT @varan_io: .@TastyBonesNFT showing early interest from our tweet.

VaranBot loaded…

We’re viewing heavy resistance near .9 ETH and a bi…",17,0,0,0,,"{'mentions': [{'start': 3, 'end': 12, 'username': 'varan_io', 'id': '1457460851816878085'}, {'start': 15, 'end': 29, 'username': 'TastyBonesNFT', 'id': '1469294270301360128'}]}"
3,1508617146930106376,2022-03-29 01:28:51+00:00,False,"RT @libby_nft: just collected my @TastyBonesNFT food offering this morning !! an egg omelette for my speedy :”) 🤩

now both my bone and pal…",5,0,0,0,,"{'mentions': [{'start': 3, 'end': 13, 'username': 'libby_nft', 'id': '1478706398871519232'}, {'start': 33, 'end': 47, 'username': 'TastyBonesNFT', 'id': '1469294270301360128'}]}"
4,1508610534270115841,2022-03-29 01:02:34+00:00,False,RT @Engr_Ayes: “This demon getting ready to steal some of your food” https://t.co/fiFZlVnObW,7,0,0,0,{'media_keys': ['3_1508296115787296769']},"{'urls': [{'start': 69, 'end': 92, 'url': 'https://t.co/fiFZlVnObW', 'expanded_url': 'https://twitter.com/Engr_Ayes/status/1508296333152907266/photo/1', 'display_url': 'pic.twitter.com/fiFZlVnObW'}], 'mentions': [{'start': 3, 'end': 13, 'username': 'Engr_Ayes', 'id': '1239193402500993025'}]}"
5,1508610525684396032,2022-03-29 01:02:32+00:00,True,@Engr_Ayes 👀,0,0,1,0,,"{'mentions': [{'start': 0, 'end': 10, 'username': 'Engr_Ayes', 'id': '1239193402500993025'}]}"
6,1508610417743990785,2022-03-29 01:02:06+00:00,False,"RT @SuvorSuvor: wearing glasses is nice, but you can't see anything👀
Full handmade costume😎
Holder entry!
find 10 differences if you can
#B…",9,0,0,0,,"{'mentions': [{'start': 3, 'end': 14, 'username': 'SuvorSuvor', 'id': '783225745963360256'}]}"
7,1508609457428738052,2022-03-29 00:58:17+00:00,False,"RT @fungible_mike: I'm in #BeYourBone #BYB competition!
Tryed to replicate my bone #1049 as clearly and beautifully as possible
Let's see:…",19,0,0,0,,"{'hashtags': [{'start': 26, 'end': 37, 'tag': 'BeYourBone'}, {'start': 38, 'end': 42, 'tag': 'BYB'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'fungible_mike', 'id': '1448193860841189380'}]}"
8,1508478054670090240,2022-03-28 16:16:09+00:00,False,"RT @AKalkhamis: Can anyone show me where my mouth is?!! Cuz I’ve put the Tempura on my head but I’m still hungry 😅🤣
#funnybone ??! 😜
@Tasty…",16,0,0,0,,"{'hashtags': [{'start': 116, 'end': 126, 'tag': 'funnybone'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'AKalkhamis', 'id': '226372864'}]}"
9,1508477085756452868,2022-03-28 16:12:18+00:00,False,"RT @GiovanniDeccle5: What is the best food for my tasty? Obviously the pizza, without pineapple. But a pizza made in Naples, Italy.🇮🇹
#BYB…",11,0,0,0,,"{'annotations': [{'start': 117, 'end': 122, 'probability': 0.992, 'type': 'Place', 'normalized_text': 'Naples'}, {'start': 125, 'end': 129, 'probability': 0.6238, 'type': 'Place', 'normalized_text': 'Italy'}], 'hashtags': [{'start': 134, 'end': 138, 'tag': 'BYB'}], 'mentions': [{'start': 3, 'end': 19, 'username': 'GiovanniDeccle5', 'id': '1478308486748553217'}]}"
10,1508477073974734856,2022-03-28 16:12:15+00:00,False,"RT @GreazyMtbll: “I could’ve dropped my CROISSANT!”

Got my @TastyBonesNFT food offering this morning!! https://t.co/5lBowdFuTJ",10,0,0,0,{'media_keys': ['3_1508441313364123648']},"{'urls': [{'start': 104, 'end': 127, 'url': 'https://t.co/5lBowdFuTJ', 'expanded_url': 'https://twitter.com/GreazyMtbll/status/1508441322293768197/photo/1', 'display_url': 'pic.twitter.com/5lBowdFuTJ'}], 'mentions': [{'start': 3, 'end': 15, 'username': 'GreazyMtbll', 'id': '1457796292252512256'}, {'start': 60, 'end': 74, 'username': 'TastyBonesNFT', 'id': '1469294270301360128'}]}"
11,1508476920387629057,2022-03-28 16:11:38+00:00,False,"RT @nifty_1337: This is my @TastyBonesNFT. There are many others like it, but this one is mine. My Funny Bone is my best friend. It is my l…",9,0,0,0,,"{'mentions': [{'start': 3, 'end': 14, 'username': 'nifty_1337', 'id': '62096167'}, {'start': 27, 'end': 41, 'username': 'TastyBonesNFT', 'id': '1469294270301360128'}]}"
12,1508472886498979840,2022-03-28 15:55:36+00:00,False,"RT @Denzer98: Cosplaying for @TastyBonesNFT!

Presenting my ordinary Funny Bone #1268 and me (ordinary but with an avocado trait &gt;.&lt;). 

Th…",13,0,0,0,,"{'mentions': [{'start': 3, 'end': 12, 'username': 'Denzer98', 'id': '782402538880368640'}, {'start': 29, 'end': 43, 'username': 'TastyBonesNFT', 'id': '1469294270301360128'}]}"
13,1508472820254216197,2022-03-28 15:55:21+00:00,False,RT @zdfrp: 🔥❤️‍🔥🔥 @TastyBonesNFT https://t.co/e3E2tUdu6o,17,0,0,0,{'media_keys': ['16_1508462422176137218']},"{'urls': [{'start': 33, 'end': 56, 'url': 'https://t.co/e3E2tUdu6o', 'expanded_url': 'https://twitter.com/zdfrp/status/1508462694935932931/photo/1', 'display_url': 'pic.twitter.com/e3E2tUdu6o'}], 'mentions': [{'start': 3, 'end': 9, 'username': 'zdfrp', 'id': '96500143'}, {'start': 18, 'end': 32, 'username': 'TastyBonesNFT', 'id': '1469294270301360128'}]}"
14,1508464339908390914,2022-03-28 15:21:39+00:00,False,"RT @saltykitkardano: I’m ready to report to the graveyard shift and do my food deliveries for @TastyBonesNFT💀🪦

When they said to prepare m…",29,0,0,0,,"{'mentions': [{'start': 3, 'end': 19, 'username': 'saltykitkardano', 'id': '1494297139429593090'}, {'start': 94, 'end': 108, 'username': 'TastyBonesNFT', 'id': '1469294270301360128'}]}"
15,1508440500134547463,2022-03-28 13:46:55+00:00,False,"RT @genie_sweeps: 50 NFTs Swept using Genie 🧞

  🧹 50x  Tasty Bones

  💸 Total Value 33.3525 ETH, $111,600 

Buyer: 0x92b1...1598

https://…",50,0,0,0,,"{'annotations': [{'start': 38, 'end': 68, 'probability': 0.5522, 'type': 'Product', 'normalized_text': 'Genie 🧞 🧹 50x Tasty Bones'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'genie_sweeps', 'id': '1455254546763194368'}]}"
16,1508440412452646913,2022-03-28 13:46:34+00:00,False,RT @MohorMotivation: @TastyBonesNFT they knew I love pizza so they offered it!  XO 🚀🚀🚀 #wheretonext https://t.co/OJyi3tqich,11,0,0,0,{'media_keys': ['3_1508439699928477703']},"{'urls': [{'start': 100, 'end': 123, 'url': 'https://t.co/OJyi3tqich', 'expanded_url': 'https://twitter.com/MohorMotivation/status/1508439703262937093/photo/1', 'display_url': 'pic.twitter.com/OJyi3tqich'}], 'hashtags': [{'start': 87, 'end': 99, 'tag': 'wheretonext'}], 'mentions': [{'start': 3, 'end': 19, 'username': 'MohorMotivation', 'id': '1354284365455319044'}, {'start': 21, 'end': 35, 'username': 'TastyBonesNFT', 'id': '1469294270301360128'}]}"
17,1508440378487160833,2022-03-28 13:46:26+00:00,False,"RT @Nikhil031089: Beat the summer season with a coconut. Where are my @TastyBonesNFT fam!??.
#bonefollowsbone #tastybones https://t.co/fh42…",13,0,0,0,,"{'hashtags': [{'start': 93, 'end': 109, 'tag': 'bonefollowsbone'}, {'start': 110, 'end': 121, 'tag': 'tastybones'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'Nikhil031089', 'id': '270921726'}, {'start': 70, 'end': 84, 'username': 'TastyBonesNFT', 'id': '1469294270301360128'}]}"
18,1508430109610438661,2022-03-28 13:05:38+00:00,False,RT @0xRasmusNFT: Pro tip: some really cheap Speedy Bones @TastyBonesNFT since the big @Coniunio sweep didn‘t include any of them👀,14,0,0,0,,"{'mentions': [{'start': 3, 'end': 15, 'username': '0xRasmusNFT', 'id': '1475814900534587394'}, {'start': 57, 'end': 71, 'username': 'TastyBonesNFT', 'id': '1469294270301360128'}, {'start': 86, 'end': 95, 'username': 'Coniunio', 'id': '1468860643600175106'}]}"
19,1508429008072937472,2022-03-28 13:01:15+00:00,False,"RT @PatJCreative: Hey @TastyBonesNFT holders!

Starting in week 3 the food offering GIVEAWAY BOARD will be live &amp; those who collected food…",51,0,0,0,,"{'mentions': [{'start': 3, 'end': 16, 'username': 'PatJCreative', 'id': '1049094029462462464'}, {'start': 22, 'end': 36, 'username': 'TastyBonesNFT', 'id': '1469294270301360128'}]}"
20,1508428986640060417,2022-03-28 13:01:10+00:00,False,"RT @artbyjazi: 3D Meaty Bones #957 for @Kyzef.
@TastyBonesNFT @royallabsio https://t.co/tX5W4ydqko",17,0,0,0,{'media_keys': ['3_1508144452598214669']},"{'urls': [{'start': 75, 'end': 98, 'url': 'https://t.co/tX5W4ydqko', 'expanded_url': 'https://twitter.com/artbyjazi/status/1508428693630164996/photo/1', 'display_url': 'pic.twitter.com/tX5W4ydqko'}], 'mentions': [{'start': 3, 'end': 13, 'username': 'artbyjazi', 'id': '1188944277117771776'}, {'start': 39, 'end': 45, 'username': 'Kyzef', 'id': '1262722155357200385'}, {'start': 47, 'end': 61, 'username': 'TastyBonesNFT', 'id': '1469294270301360128'}, {'start': 62, 'end': 74, 'username': 'royallabsio', 'id': '1453534633048494086'}]}"
21,1508423888287387650,2022-03-28 12:40:54+00:00,False,"RT @defivillage: My Tasty Bones 🦴🦴🦴
@TastyBonesNFT https://t.co/8J7Nh6rNBL",19,0,0,0,"{'media_keys': ['3_1508423258349400066', '3_1508423287126499328', '3_1508423317942054914']}","{'urls': [{'start': 51, 'end': 74, 'url': 'https://t.co/8J7Nh6rNBL', 'expanded_url': 'https://twitter.com/defivillage/status/1508423811309666312/photo/1', 'display_url': 'pic.twitter.com/8J7Nh6rNBL'}, {'start': 51, 'end': 74, 'url': 'https://t.co/8J7Nh6rNBL', 'expanded_url': 'https://twitter.com/defivillage/status/1508423811309666312/photo/1', 'display_url': 'pic.twitter.com/8J7Nh6rNBL'}, {'start': 51, 'end': 74, 'url': 'https://t.co/8J7Nh6rNBL', 'expanded_url': 'https://twitter.com/defivillage/status/1508423811309666312/photo/1', 'display_url': 'pic.twitter.com/8J7Nh6rNBL'}], 'mentions': [{'start': 3, 'end': 15, 'username': 'defivillage', 'id': '1364503924296753157'}, {'start': 36, 'end': 50, 'username': 'TastyBonesNFT', 'id': '1469294270301360128'}]}"
22,1508416052882931718,2022-03-28 12:09:46+00:00,False,"RT @prix_eth: I’m usually not promoting individual projects but y'all should take a serious look at @Coniunio.

Floor is 0.4 right now and…",18,0,0,0,,"{'mentions': [{'start': 3, 'end': 12, 'username': 'prix_eth', 'id': '936453408663527424'}, {'start': 100, 'end': 109, 'username': 'Coniunio', 'id': '1468860643600175106'}]}"
23,1508415817037205512,2022-03-28 12:08:50+00:00,False,RT @terryfung1990: My Rab Bone collected ChocoBanana pancakes. Fat af ~ 🤪🤓 @TastyBonesNFT https://t.co/OqBB3lllpn,9,0,0,0,{'media_keys': ['3_1508415264765145095']},"{'urls': [{'start': 90, 'end': 113, 'url': 'https://t.co/OqBB3lllpn', 'expanded_url': 'https://twitter.com/terryfung1990/status/1508415523364941827/photo/1', 'display_url': 'pic.twitter.com/OqBB3lllpn'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'terryfung1990', 'id': '157410250'}, {'start': 75, 'end': 89, 'username': 'TastyBonesNFT', 'id': '1469294270301360128'}]}"
24,1508415790814359556,2022-03-28 12:08:44+00:00,False,"RT @Comple_Eth: @Coniunio That is a nice @TastyBonesNFT sweep frens! Welcome, glad to have you on board! https://t.co/gMYUxXPRoj",10,0,0,0,"{'media_keys': ['3_1508410257613201409', '3_1508410257629921281']}","{'urls': [{'start': 105, 'end': 128, 'url': 'https://t.co/gMYUxXPRoj', 'expanded_url': 'https://twitter.com/Comple_Eth/status/1508410262055002120/photo/1', 'display_url': 'pic.twitter.com/gMYUxXPRoj'}, {'start': 105, 'end': 128, 'url': 'https://t.co/gMYUxXPRoj', 'expanded_url': 'https://twitter.com/Comple_Eth/status/1508410262055002120/photo/1', 'display_url': 'pic.twitter.com/gMYUxXPRoj'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'Comple_Eth', 'id': '1442878968349315078'}, {'start': 16, 'end': 25, 'username': 'Coniunio', 'id': '1468860643600175106'}, {'start': 41, 'end': 55, 'username': 'TastyBonesNFT', 'id': '1469294270301360128'}]}"
