,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1537555622253584384,2022-06-16 22:00:01+00:00,False,"Mint is LIVE NOW ✨

Founders Pass Mint Link: https://t.co/FeG46ay561 https://t.co/7THXI540Jm",71,36,190,6,{'media_keys': ['7_1537554482808213515']},"{'urls': [{'start': 45, 'end': 68, 'url': 'https://t.co/FeG46ay561', 'expanded_url': 'http://www.bubblehouse.com/bubbleworld/founderspass', 'display_url': 'bubblehouse.com/bubbleworld/fo…', 'status': 200, 'title': 'Founders Pass', 'description': 'Collect what you love and meet new people doing it!', 'unwound_url': 'https://www.bubblehouse.com/bubbleworld/founderspass'}, {'start': 69, 'end': 92, 'url': 'https://t.co/7THXI540Jm', 'expanded_url': 'https://twitter.com/TheBubblewrld/status/1537555622253584384/video/1', 'display_url': 'pic.twitter.com/7THXI540Jm', 'media_key': '7_1537554482808213515'}]}"
1,1537465771101671427,2022-06-16 16:02:59+00:00,False,"🔔 6 HOURS UNTIL MINT 🔔

Season 1 begins shortly… Here’s a sneak peak of the Seraphim: Water. 

Founders Pass Mint Link: https://t.co/FeG46aPGuB

Remember, the ONLY place you’ll be asked to transact is on https://t.co/eBxP5lkU5H https://t.co/hczuFlo5Nt",94,24,275,4,{'media_keys': ['3_1537464749587369987']},"{'urls': [{'start': 120, 'end': 143, 'url': 'https://t.co/FeG46aPGuB', 'expanded_url': 'http://www.bubblehouse.com/bubbleworld/founderspass', 'display_url': 'bubblehouse.com/bubbleworld/fo…', 'status': 200, 'title': 'Founders Pass', 'description': 'Collect what you love and meet new people doing it!', 'unwound_url': 'https://www.bubblehouse.com/bubbleworld/founderspass'}, {'start': 204, 'end': 227, 'url': 'https://t.co/eBxP5lkU5H', 'expanded_url': 'http://www.bubblehouse.com', 'display_url': 'bubblehouse.com', 'status': 200, 'title': 'Bubblehouse', 'description': 'Collect what you love and meet new people doing it!', 'unwound_url': 'https://www.bubblehouse.com/'}, {'start': 228, 'end': 251, 'url': 'https://t.co/hczuFlo5Nt', 'expanded_url': 'https://twitter.com/TheBubblewrld/status/1537465771101671427/photo/1', 'display_url': 'pic.twitter.com/hczuFlo5Nt', 'media_key': '3_1537464749587369987'}]}"
2,1537193339228921858,2022-06-15 22:00:26+00:00,False,"24 Hours till WL Mint 👑

WL Verify: https://t.co/UXaU9oCB1V

Mint Link: https://t.co/YmyGwTFz3o https://t.co/9tUSHxsy1O",84,20,257,4,{'media_keys': ['7_1537193315191357440']},"{'urls': [{'start': 36, 'end': 59, 'url': 'https://t.co/UXaU9oCB1V', 'expanded_url': 'https://www.bubblehouse.com/wl', 'display_url': 'bubblehouse.com/wl', 'status': 200, 'title': 'Founders Pass Whitelist', 'description': 'Collect what you love and meet new people doing it!', 'unwound_url': 'https://www.bubblehouse.com/wl'}, {'start': 72, 'end': 95, 'url': 'https://t.co/YmyGwTFz3o', 'expanded_url': 'https://www.bubblehouse.com/bubbleworld/founderspass', 'display_url': 'bubblehouse.com/bubbleworld/fo…'}, {'start': 96, 'end': 119, 'url': 'https://t.co/9tUSHxsy1O', 'expanded_url': 'https://twitter.com/TheBubblewrld/status/1537193339228921858/video/1', 'display_url': 'pic.twitter.com/9tUSHxsy1O', 'media_key': '7_1537193315191357440'}]}"
3,1537186103173828613,2022-06-15 21:31:41+00:00,False,https://t.co/dbbfDGPGn8,37,16,106,1,,"{'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/dbbfDGPGn8', 'expanded_url': 'https://twitter.com/i/spaces/1jMKgeQObzWJL', 'display_url': 'twitter.com/i/spaces/1jMKg…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1537186106072043522/KKvqXQ70?format=jpg&name=orig', 'width': 1200, 'height': 630}, {'url': 'https://pbs.twimg.com/news_img/1537186106072043522/KKvqXQ70?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Scheduled: The Journey to Begin', 'description': 'Bubbleworld | Minting June 16th’s space · Where live audio conversations happen', 'unwound_url': 'https://twitter.com/i/spaces/1jMKgeQObzWJL'}]}"
4,1536831643461238784,2022-06-14 22:03:11+00:00,True,"The Babygators are about good vibes &amp; perspective. You shall see the Babygators evolve into adults. Babygator IP proceeds shared with holders. Full details soon ✨

Duo State (2 pass) = Guaranteed WL to every collection
1 pass = Guaranteed WL To 50% of collections

Enjoy 👑",69,20,236,0,,
5,1536831639677960192,2022-06-14 22:03:10+00:00,False,"Season 1 of Bubbleworld.

Queue the first collection: 
The Babygators!

The creator has dedicated his life to this character, with a community over 650K followers and amazing IP.

Raffling a FREE Executive Pass to those who interact with post 💛 https://t.co/jQ2Aq11Dov",1412,855,2143,24,{'media_keys': ['7_1536830969516269568']},"{'urls': [{'start': 245, 'end': 268, 'url': 'https://t.co/jQ2Aq11Dov', 'expanded_url': 'https://twitter.com/TheBubblewrld/status/1536831639677960192/video/1', 'display_url': 'pic.twitter.com/jQ2Aq11Dov', 'media_key': '7_1536830969516269568'}]}"
6,1536755920415465475,2022-06-14 17:02:17+00:00,False,"🚨 Whitelist Verification to Mint: 

All must have completed verification at https://t.co/UXaU9oCB1V in order to be able to mint!

WL Mint Date: June 16th 6pm ET
(Your WL role/address alone won’t let you mint!) https://t.co/aAfwZpgbjm",79,26,230,5,{'media_keys': ['3_1536755917009608709']},"{'urls': [{'start': 76, 'end': 99, 'url': 'https://t.co/UXaU9oCB1V', 'expanded_url': 'https://www.bubblehouse.com/wl', 'display_url': 'bubblehouse.com/wl', 'status': 200, 'title': 'Founders Pass Whitelist', 'description': 'Collect what you love and meet new people doing it!', 'unwound_url': 'https://www.bubblehouse.com/wl'}, {'start': 210, 'end': 233, 'url': 'https://t.co/aAfwZpgbjm', 'expanded_url': 'https://twitter.com/TheBubblewrld/status/1536755920415465475/photo/1', 'display_url': 'pic.twitter.com/aAfwZpgbjm', 'media_key': '3_1536755917009608709'}]}"
7,1536399550562312192,2022-06-13 17:26:12+00:00,True,Token core utility: Payment/trading using token significantly cheaper than ETH/credit card 🧾,7,4,83,0,,
8,1536399547374927877,2022-06-13 17:26:11+00:00,False,"FP Utility #4: Token Airdrop + Staking

Token drop for holders after Season 1 (~Q4 '22) 👑

Staking (delisting auto stakes) begins time of mint + Duo State holders receive ~2.5x rewards.

Massive token rewards for those who stake all the way from mint to token sale ✨ https://t.co/LmA1OGhK2W",105,24,301,1,{'media_keys': ['7_1536399524092121090']},"{'urls': [{'start': 267, 'end': 290, 'url': 'https://t.co/LmA1OGhK2W', 'expanded_url': 'https://twitter.com/TheBubblewrld/status/1536399547374927877/video/1', 'display_url': 'pic.twitter.com/LmA1OGhK2W', 'media_key': '7_1536399524092121090'}]}"
9,1535701165941350400,2022-06-11 19:11:04+00:00,False,"FP Utility #3: Mystery Boxes

Holders receive FREE drops containing exclusive NFTs, rare items, events, experiences, and other 👑

So far we’ve seen: NBA courtside, NFT Quavo backstage,https://t.co/lf7Xjosw3t flights + more!

Duo State (2 passes) = Diamond Chests 🤐 https://t.co/Y1RO3vFeAN",138,34,410,1,{'media_keys': ['7_1535701123461525507']},"{'urls': [{'start': 184, 'end': 207, 'url': 'https://t.co/lf7Xjosw3t', 'expanded_url': 'http://NFT.NYC', 'display_url': 'NFT.NYC'}, {'start': 265, 'end': 288, 'url': 'https://t.co/Y1RO3vFeAN', 'expanded_url': 'https://twitter.com/TheBubblewrld/status/1535701165941350400/video/1', 'display_url': 'pic.twitter.com/Y1RO3vFeAN', 'media_key': '7_1535701123461525507'}]}"
