,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1538562088527855616,2022-06-19 16:39:21+00:00,False,"RT @Pharrell: Thanks for spending #Juneteenth weekend with me and my Phriends 🙏🏾 Day 3 of @sitw is here, let's go! https://t.co/QYKEPVSB64",181,0,0,0,"{'media_keys': ['3_1538537823845896195', '3_1538537823854264320', '3_1538537824005267456', '3_1538537824189808640']}","{'hashtags': [{'start': 34, 'end': 45, 'tag': 'Juneteenth'}], 'urls': [{'start': 115, 'end': 138, 'url': 'https://t.co/QYKEPVSB64', 'expanded_url': 'https://twitter.com/Pharrell/status/1538537881685442560/photo/1', 'display_url': 'pic.twitter.com/QYKEPVSB64', 'media_key': '3_1538537823845896195'}, {'start': 115, 'end': 138, 'url': 'https://t.co/QYKEPVSB64', 'expanded_url': 'https://twitter.com/Pharrell/status/1538537881685442560/photo/1', 'display_url': 'pic.twitter.com/QYKEPVSB64', 'media_key': '3_1538537823854264320'}, {'start': 115, 'end': 138, 'url': 'https://t.co/QYKEPVSB64', 'expanded_url': 'https://twitter.com/Pharrell/status/1538537881685442560/photo/1', 'display_url': 'pic.twitter.com/QYKEPVSB64', 'media_key': '3_1538537824005267456'}, {'start': 115, 'end': 138, 'url': 'https://t.co/QYKEPVSB64', 'expanded_url': 'https://twitter.com/Pharrell/status/1538537881685442560/photo/1', 'display_url': 'pic.twitter.com/QYKEPVSB64', 'media_key': '3_1538537824189808640'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'Pharrell', 'id': '338084918'}, {'start': 90, 'end': 95, 'username': 'sitw', 'id': '1090384667952394241'}]}"
1,1537926481778593796,2022-06-17 22:33:41+00:00,False,"If you’re attending @SITW Festival courtesy of your #GODA mint pass, DM us.. we’re tryna see something 👀",1,1,18,0,,"{'hashtags': [{'start': 52, 'end': 57, 'tag': 'GODA'}], 'mentions': [{'start': 20, 'end': 25, 'username': 'sitw', 'id': '1090384667952394241'}]}"
2,1537669840374210560,2022-06-17 05:33:53+00:00,False,RT @warontheworm: @NFThrone @TheGoda_io Goda time,2,0,0,0,,"{'mentions': [{'start': 3, 'end': 16, 'username': 'warontheworm', 'id': '1394209560815079433'}, {'start': 18, 'end': 27, 'username': 'NFThrone', 'id': '1461850677412605952'}, {'start': 28, 'end': 39, 'username': 'TheGoda_io', 'id': '1491181301075886084'}]}"
3,1537669730915520512,2022-06-17 05:33:27+00:00,False,"RT @DappRadar: 🔥 In the June 2022 edition of DappRadar’s New Dapps Report, we dive deeper into the @TheGoda_io Mint Pass Collection, which…",8,0,0,0,,"{'mentions': [{'start': 3, 'end': 13, 'username': 'DappRadar', 'id': '962293079012241408'}, {'start': 99, 'end': 110, 'username': 'TheGoda_io', 'id': '1491181301075886084'}]}"
4,1537617423607681024,2022-06-17 02:05:35+00:00,False,RT @techyNFT: @NFThrone @TheGoda_io Let's GODA!!,2,0,0,0,,"{'mentions': [{'start': 3, 'end': 12, 'username': 'techyNFT', 'id': '774746429902483456'}, {'start': 14, 'end': 23, 'username': 'NFThrone', 'id': '1461850677412605952'}, {'start': 24, 'end': 35, 'username': 'TheGoda_io', 'id': '1491181301075886084'}]}"
5,1537612288240361480,2022-06-17 01:45:11+00:00,False,"RT @NFThrone: Happy to be a new member of @TheGoda_io 
🔥☄️ https://t.co/pfC5Vru9Np",5,0,0,0,{'media_keys': ['7_1537606665771667456']},"{'urls': [{'start': 59, 'end': 82, 'url': 'https://t.co/pfC5Vru9Np', 'expanded_url': 'https://twitter.com/NFThrone/status/1537606802673647618/video/1', 'display_url': 'pic.twitter.com/pfC5Vru9Np', 'media_key': '7_1537606665771667456'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'NFThrone', 'id': '1461850677412605952'}, {'start': 42, 'end': 53, 'username': 'TheGoda_io', 'id': '1491181301075886084'}]}"
6,1537527821727322114,2022-06-16 20:09:33+00:00,True,@MeekMill https://t.co/GQfqKo9O9D #NinasSuperCoolWorld ❕,0,0,5,0,,"{'hashtags': [{'start': 34, 'end': 54, 'tag': 'NinasSuperCoolWorld'}], 'urls': [{'start': 10, 'end': 33, 'url': 'https://t.co/GQfqKo9O9D', 'expanded_url': 'http://Discord.gg/TheGoda', 'display_url': 'Discord.gg/TheGoda'}], 'mentions': [{'start': 0, 'end': 9, 'username': 'MeekMill', 'id': '20567939'}]}"
7,1537527684992999425,2022-06-16 20:09:00+00:00,False,RT @MeekMill: Shout out to Nina Chanel nft collection coming out!!!!! Send me the linkkkkkk so I can buy the “the meek shall inherit the ea…,96,0,0,0,,"{'annotations': [{'start': 27, 'end': 37, 'probability': 0.6401, 'type': 'Person', 'normalized_text': 'Nina Chanel'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'MeekMill', 'id': '20567939'}]}"
8,1537503592952827904,2022-06-16 18:33:16+00:00,False,RT @omahahahahahaha: Nina the goat couldn’t stop myself from getting another https://t.co/LSCU2sTUIA,9,0,0,0,"{'media_keys': ['3_1537239695662321664', '3_1537239695666532353']}","{'urls': [{'start': 77, 'end': 100, 'url': 'https://t.co/LSCU2sTUIA', 'expanded_url': 'https://twitter.com/omahahahahahaha/status/1537239699667922944/photo/1', 'display_url': 'pic.twitter.com/LSCU2sTUIA', 'media_key': '3_1537239695662321664'}, {'start': 77, 'end': 100, 'url': 'https://t.co/LSCU2sTUIA', 'expanded_url': 'https://twitter.com/omahahahahahaha/status/1537239699667922944/photo/1', 'display_url': 'pic.twitter.com/LSCU2sTUIA', 'media_key': '3_1537239695666532353'}], 'annotations': [{'start': 21, 'end': 24, 'probability': 0.9737, 'type': 'Person', 'normalized_text': 'Nina'}], 'mentions': [{'start': 3, 'end': 19, 'username': 'omahahahahahaha', 'id': '1275534147868520448'}]}"
9,1537485071304859649,2022-06-16 17:19:40+00:00,True,@Pharrell @sitw Our mint pass holders will definitely be in the building!,0,0,10,0,,"{'mentions': [{'start': 0, 'end': 9, 'username': 'Pharrell', 'id': '338084918'}, {'start': 10, 'end': 15, 'username': 'sitw', 'id': '1090384667952394241'}]}"
10,1537477642932338689,2022-06-16 16:50:09+00:00,False,"RT @cryptotabnft: Love traditional art? #NFT is the way to go! 🎨

@TheGoda_io is a platform for modern traditional artists that want to ent…",8,0,0,0,,"{'hashtags': [{'start': 40, 'end': 44, 'tag': 'NFT'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'cryptotabnft', 'id': '1483381297091428352'}, {'start': 66, 'end': 77, 'username': 'TheGoda_io', 'id': '1491181301075886084'}]}"
11,1537476289015201797,2022-06-16 16:44:46+00:00,False,Don’t Sleep❕❕ https://t.co/Z8geo6KQbY,2,0,17,0,,"{'urls': [{'start': 14, 'end': 37, 'url': 'https://t.co/Z8geo6KQbY', 'expanded_url': 'https://twitter.com/eb7/status/1537239561532715008', 'display_url': 'twitter.com/eb7/status/153…'}]}"
12,1537462706860699649,2022-06-16 15:50:48+00:00,False,RT @andwhew: 🔥🔥🔥 Looking forward to the first drop @TheGoda_io,5,0,0,0,,"{'mentions': [{'start': 3, 'end': 11, 'username': 'andwhew', 'id': '1437126625863344136'}, {'start': 51, 'end': 62, 'username': 'TheGoda_io', 'id': '1491181301075886084'}]}"
13,1537269721665527808,2022-06-16 03:03:57+00:00,False,"RT @themikepac: Been watching since mint, good vibes trading doods w/ @toddkramer1, they’ve assembled a insane team (yeh, doxxed - @ninacha…",10,0,0,0,,"{'mentions': [{'start': 3, 'end': 14, 'username': 'themikepac', 'id': '163878470'}, {'start': 70, 'end': 82, 'username': 'toddkramer1', 'id': '251083948'}]}"
