,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1536874197305237505,2022-06-15 00:52:17+00:00,False,"**Uncanny Items**

What’s your favorite Uncanny Item?

A few of our favorites below!
#TheUncannyNFT #StayUncanny https://t.co/MNMb1gz7an",21,14,52,2,{'media_keys': ['3_1536874193601560576']},"{'hashtags': [{'start': 85, 'end': 99, 'tag': 'TheUncannyNFT'}, {'start': 100, 'end': 112, 'tag': 'StayUncanny'}], 'urls': [{'start': 113, 'end': 136, 'url': 'https://t.co/MNMb1gz7an', 'expanded_url': 'https://twitter.com/TheUncannyClub/status/1536874197305237505/photo/1', 'display_url': 'pic.twitter.com/MNMb1gz7an', 'media_key': '3_1536874193601560576'}]}"
1,1536748872437055496,2022-06-14 16:34:17+00:00,False,"**UNCANNY LORE**

The Uncanny Vol. II: Reels &amp; Rods

Available now in our Discord! https://t.co/47en3CoUc9 #StayUncanny https://t.co/OMRDdsRU3h",16,1,39,2,{'media_keys': ['3_1536748731193860096']},"{'annotations': [{'start': 16, 'end': 52, 'probability': 0.2134, 'type': 'Product', 'normalized_text': 'The Uncanny Vol. II: Reels & Rods'}], 'hashtags': [{'start': 111, 'end': 123, 'tag': 'StayUncanny'}], 'urls': [{'start': 87, 'end': 110, 'url': 'https://t.co/47en3CoUc9', 'expanded_url': 'https://discord.gg/ebBp8pRAt4', 'display_url': 'discord.gg/ebBp8pRAt4'}, {'start': 124, 'end': 147, 'url': 'https://t.co/OMRDdsRU3h', 'expanded_url': 'https://twitter.com/TheUncannyClub/status/1536748872437055496/photo/1', 'display_url': 'pic.twitter.com/OMRDdsRU3h', 'media_key': '3_1536748731193860096'}]}"
2,1536397131359170561,2022-06-13 17:16:35+00:00,False,"🎉Giving away Uncanny #35🎉
To enter this #NFTGiveway 👇🏻

Join us for The UCC Board Meeting Tonight!

1️⃣ Follow @TheUncannyClub 
2️⃣ Like and Retweet
3️⃣ Tag 3 Friends
4️⃣ Be in the Twitter Spaces

Set a reminder below! 
https://t.co/AL0mPJdDxe
#TheUncannyNFT #StayUncanny",123,115,150,3,,"{'mentions': [{'start': 111, 'end': 126, 'username': 'TheUncannyClub', 'id': '1493016880092749830'}], 'hashtags': [{'start': 40, 'end': 51, 'tag': 'NFTGiveway'}, {'start': 244, 'end': 258, 'tag': 'TheUncannyNFT'}, {'start': 259, 'end': 271, 'tag': 'StayUncanny'}], 'urls': [{'start': 220, 'end': 243, 'url': 'https://t.co/AL0mPJdDxe', 'expanded_url': 'https://twitter.com/i/spaces/1gqGvlERbNlxB', 'display_url': 'twitter.com/i/spaces/1gqGv…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1536397133057863680/qMIfY5Gs?format=jpg&name=orig', 'width': 1200, 'height': 630}, {'url': 'https://pbs.twimg.com/news_img/1536397133057863680/qMIfY5Gs?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Scheduled: UCC BOARD MEETING', 'description': 'THE UNCANNY COUNTRY CLUB’s space · Where live audio conversations happen', 'unwound_url': 'https://twitter.com/i/spaces/1gqGvlERbNlxB'}]}"
3,1536362278769008642,2022-06-13 14:58:06+00:00,False,"**BOARD MEETING XIII**

Join us tonight for The UCC Board Meeting XIII!

JUNE 13, 8:00PM EST, TWITTER SPACES.
#StayUncanny #TheUncannyNFT https://t.co/vfUraTMTzN",43,15,85,3,{'media_keys': ['3_1536362082534412290']},"{'hashtags': [{'start': 110, 'end': 122, 'tag': 'StayUncanny'}, {'start': 123, 'end': 137, 'tag': 'TheUncannyNFT'}], 'urls': [{'start': 138, 'end': 161, 'url': 'https://t.co/vfUraTMTzN', 'expanded_url': 'https://twitter.com/TheUncannyClub/status/1536362278769008642/photo/1', 'display_url': 'pic.twitter.com/vfUraTMTzN', 'media_key': '3_1536362082534412290'}]}"
4,1535290082005078017,2022-06-10 15:57:34+00:00,False,"**FOREVER UNCANNY**

Always moving forward, building, and delivering for every Uncanny member.

#StayUncanny #TheUncannyNFT https://t.co/wzZFLIPlG5",88,21,195,4,{'media_keys': ['3_1535290073440215041']},"{'hashtags': [{'start': 96, 'end': 108, 'tag': 'StayUncanny'}, {'start': 109, 'end': 123, 'tag': 'TheUncannyNFT'}], 'urls': [{'start': 124, 'end': 147, 'url': 'https://t.co/wzZFLIPlG5', 'expanded_url': 'https://twitter.com/TheUncannyClub/status/1535290082005078017/photo/1', 'display_url': 'pic.twitter.com/wzZFLIPlG5', 'media_key': '3_1535290073440215041'}]}"
5,1535017072702509057,2022-06-09 21:52:44+00:00,False,You’re making popcorn? https://t.co/NUpWCb3vVZ,16,6,63,0,,"{'urls': [{'start': 23, 'end': 46, 'url': 'https://t.co/NUpWCb3vVZ', 'expanded_url': 'https://twitter.com/Jendovahkiin/status/1535009312405348369', 'display_url': 'twitter.com/Jendovahkiin/s…'}]}"
6,1535016634003382278,2022-06-09 21:50:59+00:00,True,"Winner 🏆: @ApeGeneral_

✔️ https://t.co/q8PRXoog02

Congrats, jump in support in discord!!!",3,1,18,1,,"{'mentions': [{'start': 10, 'end': 22, 'username': 'ApeGeneral_', 'id': '1488638436705648640'}], 'urls': [{'start': 27, 'end': 50, 'url': 'https://t.co/q8PRXoog02', 'expanded_url': 'https://twitterpicker.com/d/2wevwtrj', 'display_url': 'twitterpicker.com/d/2wevwtrj'}]}"
7,1534942997267337216,2022-06-09 16:58:23+00:00,False,"RT @400Drums: 📢10 Project Community MegaSpaces📢
@NewWaveSurfClub @CoolLadyClub @TheUncannyClub @StrayBearsNFT 
@EggCoNFT @PineappleSalty @A…",8,0,0,0,,"{'mentions': [{'start': 3, 'end': 12, 'username': '400Drums', 'id': '1486105015664193546'}, {'start': 48, 'end': 64, 'username': 'NewWaveSurfClub', 'id': '1498793897362960389'}, {'start': 65, 'end': 78, 'username': 'CoolLadyClub', 'id': '1414601360444641280'}, {'start': 79, 'end': 94, 'username': 'TheUncannyClub', 'id': '1493016880092749830'}, {'start': 95, 'end': 109, 'username': 'StrayBearsNFT', 'id': '1433420317481865217'}, {'start': 111, 'end': 120, 'username': 'EggCoNFT', 'id': '1489825553616195585'}, {'start': 121, 'end': 136, 'username': 'PineappleSalty', 'id': '1047102328652804096'}]}"
8,1534583920485879809,2022-06-08 17:11:32+00:00,True,@jimmobluebus Cod says thank you!,0,1,5,0,,"{'mentions': [{'start': 0, 'end': 13, 'username': 'jimmobluebus', 'id': '1462053465459412999'}]}"
9,1534576189800587264,2022-06-08 16:40:49+00:00,False,"**LETS GET WEIRD**

Join The Uncanny Country Club Today!

#StayUncanny #TheUncannyNFT https://t.co/oIq4pVlOSW",76,14,177,5,{'media_keys': ['3_1534575605777420290']},"{'hashtags': [{'start': 58, 'end': 70, 'tag': 'StayUncanny'}, {'start': 71, 'end': 85, 'tag': 'TheUncannyNFT'}], 'urls': [{'start': 86, 'end': 109, 'url': 'https://t.co/oIq4pVlOSW', 'expanded_url': 'https://twitter.com/TheUncannyClub/status/1534576189800587264/photo/1', 'display_url': 'pic.twitter.com/oIq4pVlOSW', 'media_key': '3_1534575605777420290'}]}"
