,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1534022627995439104,2022-06-07 04:01:09+00:00,False,"💫Nubbies 🤝 Wabi Sabi Collective💫

Nubbies is expanding their family with their Gen 2!🍭

3x Moonlist giveaway courtesy of the team!

To enter:
💫 Follow @Nubbiesnft &amp; @WabiSabiNFT
💫 RT + Like
💫 Tag 3 Friends and join their discord https://t.co/l88UaXjwUQ
 
Winners in 24h!⏰ https://t.co/r2pSWnAuuH",184,169,187,0,{'media_keys': ['3_1534022581384138753']},"{'mentions': [{'start': 151, 'end': 162, 'username': 'NubbiesNFT', 'id': '1483008308097449985'}, {'start': 169, 'end': 181, 'username': 'WabiSabiNFT', 'id': '1484199942390689793'}], 'urls': [{'start': 233, 'end': 256, 'url': 'https://t.co/l88UaXjwUQ', 'expanded_url': 'https://discord.com/nubbiesnft', 'display_url': 'discord.com/nubbiesnft'}, {'start': 276, 'end': 299, 'url': 'https://t.co/r2pSWnAuuH', 'expanded_url': 'https://twitter.com/WabiSabiNFT/status/1534022627995439104/photo/1', 'display_url': 'pic.twitter.com/r2pSWnAuuH', 'media_key': '3_1534022581384138753'}]}"
1,1534020814789439488,2022-06-07 03:53:57+00:00,True,"@Kenoko_NFT Winners 🏆
• @8HappyBoi
• @wooot666
• @pinkinblueberry
• @morgothaka
• @NAESNFT

Check your DMs!",2,1,4,0,,"{'mentions': [{'start': 0, 'end': 11, 'username': 'Kenoko_NFT', 'id': '1513457003380760576'}, {'start': 24, 'end': 34, 'username': '8HappyBoi', 'id': '1164190568'}, {'start': 37, 'end': 46, 'username': 'wooot666', 'id': '1478817720493752323'}, {'start': 49, 'end': 65, 'username': 'pinkinblueberry', 'id': '1518099231965331456'}, {'start': 68, 'end': 79, 'username': 'morgothaka', 'id': '839958577779470336'}, {'start': 82, 'end': 90, 'username': 'NAESNFT', 'id': '1506316249839845376'}]}"
2,1534017685675069440,2022-06-07 03:41:31+00:00,True,"@mm3nft @MarilynMonroe Winners 🏆
• @roykatong_roy
• @EienKami
• @TheLoneWolfNFT

Check your DMs!",0,0,5,0,,"{'mentions': [{'start': 0, 'end': 7, 'username': 'mm3nft', 'id': '1508438141052592138'}, {'start': 8, 'end': 22, 'username': 'MarilynMonroe', 'id': '262860125'}, {'start': 35, 'end': 49, 'username': 'roykatong_roy', 'id': '203519983'}, {'start': 52, 'end': 61, 'username': 'EienKami', 'id': '897949952881512448'}, {'start': 64, 'end': 79, 'username': 'TheLoneWolfNFT', 'id': '1438949899802927107'}]}"
3,1533995045820329984,2022-06-07 02:11:33+00:00,False,"🍭Kazuki x Wabi Sabi Collective🍭

We are happy to announce we are giving away 2x WL spots courtesy of the team ❤️

To enter:
1️⃣Follow @Kazuki_NFT + @WabiSabiNFT
2️⃣RT &amp; Like
3️⃣Tag 3 Friends

Winners announced in 24 hours. Good luck!🍀 https://t.co/FSDN9lxNyN",102,91,106,1,{'media_keys': ['3_1533984223727480832']},"{'annotations': [{'start': 11, 'end': 30, 'probability': 0.2414, 'type': 'Organization', 'normalized_text': 'Wabi Sabi Collective'}], 'mentions': [{'start': 134, 'end': 145, 'username': 'Kazuki_NFT', 'id': '1524458890355638273'}, {'start': 148, 'end': 160, 'username': 'WabiSabiNFT', 'id': '1484199942390689793'}], 'urls': [{'start': 239, 'end': 262, 'url': 'https://t.co/FSDN9lxNyN', 'expanded_url': 'https://twitter.com/WabiSabiNFT/status/1533995045820329984/photo/1', 'display_url': 'pic.twitter.com/FSDN9lxNyN', 'media_key': '3_1533984223727480832'}]}"
4,1533983172840415234,2022-06-07 01:24:23+00:00,True,"@WealthyWolvesIO Winners 🏆
• @MGamingsoft
• @cryptic1406
• @4Manwe

Check your DMs!",0,1,3,0,,"{'mentions': [{'start': 0, 'end': 16, 'username': 'WealthyWolvesIO', 'id': '1526317230832730112'}, {'start': 29, 'end': 41, 'username': 'MGamingsoft', 'id': '1425888880671158275'}, {'start': 44, 'end': 56, 'username': 'cryptic1406', 'id': '1470809696038572037'}, {'start': 59, 'end': 66, 'username': '4Manwe', 'id': '890175958711500800'}]}"
5,1533841201501069313,2022-06-06 16:00:14+00:00,False,"We're entering a long-term partnership with @Llamaverse_!

🍭 Wabis will get partner access to Alpha Sharks
🦙 Llamas will have access to Wabi Sabi’s Alpha Sessions and have honorary land in our upcoming Wabiverse game

We’re super excited to work with Llamaverse moving forward! https://t.co/0M2NGxtDNM",243,125,403,31,{'media_keys': ['3_1533822689533513729']},"{'annotations': [{'start': 95, 'end': 106, 'probability': 0.4488, 'type': 'Organization', 'normalized_text': 'Alpha Sharks'}, {'start': 138, 'end': 163, 'probability': 0.6157, 'type': 'Organization', 'normalized_text': 'Wabi Sabi’s Alpha Sessions'}], 'mentions': [{'start': 44, 'end': 56, 'username': 'Llamaverse_', 'id': '1445462402577809408'}], 'urls': [{'start': 278, 'end': 301, 'url': 'https://t.co/0M2NGxtDNM', 'expanded_url': 'https://twitter.com/WabiSabiNFT/status/1533841201501069313/photo/1', 'display_url': 'pic.twitter.com/0M2NGxtDNM', 'media_key': '3_1533822689533513729'}]}"
6,1533818386324393986,2022-06-06 14:29:34+00:00,False,"🍭Wabi Sabi Collective x Hertz City🍭

🎉Hertz Whitelist Giveaway🎉 

Giving away 3x WL spot from @Hertz_city

To Enter:
1️⃣ Follow @WabiSabiNFT, @Hertz_city &amp; @hinsofficial
2️⃣ Like and Retweet
3️⃣ Tag 3 friends

Ends in 24 hours! https://t.co/3Ych5q9Fxt",1562,1506,1581,5,{'media_keys': ['3_1533817904914784257']},"{'mentions': [{'start': 94, 'end': 105, 'username': 'Hertz_city', 'id': '1518810422442266629'}, {'start': 128, 'end': 140, 'username': 'WabiSabiNFT', 'id': '1484199942390689793'}, {'start': 142, 'end': 153, 'username': 'Hertz_city', 'id': '1518810422442266629'}, {'start': 160, 'end': 173, 'username': 'HinsOfficial', 'id': '1518811301769662464'}], 'urls': [{'start': 232, 'end': 255, 'url': 'https://t.co/3Ych5q9Fxt', 'expanded_url': 'https://twitter.com/WabiSabiNFT/status/1533818386324393986/photo/1', 'display_url': 'pic.twitter.com/3Ych5q9Fxt', 'media_key': '3_1533817904914784257'}]}"
7,1533674072080408576,2022-06-06 04:56:07+00:00,False,"🐰PowPow 🤝 Wabi Sabi Collective🍭 

We are givving away 1 FREE MINT and 3 WLs for PowPow Originals 🍭 

To enter:
✅  Follow @PowPowNFT &amp; @WabiSabiNFT
✅  RT + Like
✅  Tag 3 Friends

Ends in 24h ⏰
Winners will be tagged by @PowPowNFT 🐰 https://t.co/q5L53jj1ED",1462,1411,1477,1,{'media_keys': ['3_1533673652582944769']},"{'mentions': [{'start': 121, 'end': 131, 'username': 'PowPowNFT', 'id': '1488882965497225216'}, {'start': 138, 'end': 150, 'username': 'WabiSabiNFT', 'id': '1484199942390689793'}, {'start': 222, 'end': 232, 'username': 'PowPowNFT', 'id': '1488882965497225216'}], 'urls': [{'start': 235, 'end': 258, 'url': 'https://t.co/q5L53jj1ED', 'expanded_url': 'https://twitter.com/WabiSabiNFT/status/1533674072080408576/photo/1', 'display_url': 'pic.twitter.com/q5L53jj1ED', 'media_key': '3_1533673652582944769'}]}"
8,1533664358240161792,2022-06-06 04:17:31+00:00,False,"🐱KENOKO WL GIVEAWAY👹 

5 KENOKO WL SPOTS

To Enter:
1️⃣ - Follow @Kenoko_NFT
2️⃣ - Like &amp; RT &amp; tag 3 friends
3️⃣ - Join the discord: https://t.co/D0duXYOtWN

24H ⏰ https://t.co/nx6OSrT70v",218,212,220,0,{'media_keys': ['3_1533664330956189696']},"{'mentions': [{'start': 65, 'end': 76, 'username': 'Kenoko_NFT', 'id': '1513457003380760576'}], 'urls': [{'start': 141, 'end': 164, 'url': 'https://t.co/D0duXYOtWN', 'expanded_url': 'https://discord.gg/msFrdA5RRx', 'display_url': 'discord.gg/msFrdA5RRx'}, {'start': 172, 'end': 195, 'url': 'https://t.co/nx6OSrT70v', 'expanded_url': 'https://twitter.com/WabiSabiNFT/status/1533664358240161792/photo/1', 'display_url': 'pic.twitter.com/nx6OSrT70v', 'media_key': '3_1533664330956189696'}]}"
9,1533639223386853376,2022-06-06 02:37:39+00:00,False,"🍭Wabi Sabi Collective   X MM3 WL GIVEAWAY🎉

🏆Prizes : 3x @mm3nft WL SPOTS

MM3 is here to building a community that mirrors @MarilynMonroe's values. 🙌👏👍

To Enter :
1⃣Follow @mm3nft +  @WabiSabiNFT
2⃣RT + Like 
3⃣Tag 3 Friends

24 hours🎉
 #Giveaways #MarilynMonroe https://t.co/Ir1mcfqRxh",147,149,150,0,{'media_keys': ['3_1533639194878193665']},"{'mentions': [{'start': 57, 'end': 64, 'username': 'mm3nft', 'id': '1508438141052592138'}, {'start': 124, 'end': 138, 'username': 'MarilynMonroe', 'id': '262860125'}, {'start': 174, 'end': 181, 'username': 'mm3nft', 'id': '1508438141052592138'}, {'start': 185, 'end': 197, 'username': 'WabiSabiNFT', 'id': '1484199942390689793'}], 'hashtags': [{'start': 239, 'end': 249, 'tag': 'Giveaways'}, {'start': 250, 'end': 264, 'tag': 'MarilynMonroe'}], 'urls': [{'start': 265, 'end': 288, 'url': 'https://t.co/Ir1mcfqRxh', 'expanded_url': 'https://twitter.com/WabiSabiNFT/status/1533639223386853376/photo/1', 'display_url': 'pic.twitter.com/Ir1mcfqRxh', 'media_key': '3_1533639194878193665'}]}"
