,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1534316009854627840,2022-06-07 23:26:57+00:00,False,"🌊Wave Catchers x Hushpuppiesnft🌊

We’re giving away 2 whitelist spots from our friends at 
@hushpuppiesnft!

To enter:
🤙🏻 Follow 
@WaveCatchersNFT
 &amp; 
@hushpuppiesnft 
&amp;
@0xWux
 
🤙🏻 Like + RT
🤙🏻 Tag 2 Frens

Winners announced in 24hrs! 🌊 https://t.co/R2JvqHhmUu",32,29,36,0,{'media_keys': ['3_1534315823808106497']},"{'urls': [{'start': 246, 'end': 269, 'url': 'https://t.co/R2JvqHhmUu', 'expanded_url': 'https://twitter.com/WaveCatchersNFT/status/1534316009854627840/photo/1', 'display_url': 'pic.twitter.com/R2JvqHhmUu', 'media_key': '3_1534315823808106497'}], 'mentions': [{'start': 91, 'end': 106, 'username': 'hushpuppiesnft', 'id': '1476676109294923778'}, {'start': 130, 'end': 146, 'username': 'WaveCatchersNFT', 'id': '1490850736275558400'}, {'start': 155, 'end': 170, 'username': 'hushpuppiesnft', 'id': '1476676109294923778'}, {'start': 178, 'end': 184, 'username': '0xWux', 'id': '1434432697242251266'}]}"
1,1533269223685775361,2022-06-05 02:07:24+00:00,False,"We're happy to announce that we are raffling 3 NFT's that we feel have good upside potential on our Website this week. These NFT's will be held as raffles to be used with $COCO 

Art of The Seasons - FP 1.4 E 
Project NanoPass - 1.82 E
PXN - .65 E
 
Stay Wavy 🌊 https://t.co/4SqSqxbmEI",20,7,43,1,"{'media_keys': ['3_1533267059986997249', '3_1533267483804610560', '3_1533268174942048256']}","{'urls': [{'start': 262, 'end': 285, 'url': 'https://t.co/4SqSqxbmEI', 'expanded_url': 'https://twitter.com/WaveCatchersNFT/status/1533269223685775361/photo/1', 'display_url': 'pic.twitter.com/4SqSqxbmEI', 'media_key': '3_1533267059986997249'}, {'start': 262, 'end': 285, 'url': 'https://t.co/4SqSqxbmEI', 'expanded_url': 'https://twitter.com/WaveCatchersNFT/status/1533269223685775361/photo/1', 'display_url': 'pic.twitter.com/4SqSqxbmEI', 'media_key': '3_1533267483804610560'}, {'start': 262, 'end': 285, 'url': 'https://t.co/4SqSqxbmEI', 'expanded_url': 'https://twitter.com/WaveCatchersNFT/status/1533269223685775361/photo/1', 'display_url': 'pic.twitter.com/4SqSqxbmEI', 'media_key': '3_1533268174942048256'}], 'cashtags': [{'start': 171, 'end': 176, 'tag': 'COCO'}]}"
2,1531819206261366785,2022-06-01 02:05:33+00:00,False,"🚨Big Announcement🚨

Yesterday we posted a huge announcement in our Discord! Any person with 10 or more WaveCatcher NFT's will have access to a private minting bot starting Friday! We are currently working on developing a WaveCatchers node, so keep your eyes open 👀",12,7,41,1,,
3,1528043386317377537,2022-05-21 16:01:47+00:00,False,"Gm everybody, today is a beautiful day! #wave #WC4L",5,11,33,0,,"{'hashtags': [{'start': 40, 'end': 45, 'tag': 'wave'}, {'start': 46, 'end': 51, 'tag': 'WC4L'}]}"
4,1526972208781963268,2022-05-18 17:05:19+00:00,False,"RT @arcticfoxpups: Touching 350 mints! 

One free mint for our friends holding @WaveCatchersNFT @OnChainMonkey @AnonymiceNFT @OnChainKevinN…",4,0,0,0,,"{'mentions': [{'start': 3, 'end': 17, 'username': 'arcticfoxpups', 'id': '1505873338400268292'}, {'start': 79, 'end': 95, 'username': 'WaveCatchersNFT', 'id': '1490850736275558400'}, {'start': 96, 'end': 110, 'username': 'OnChainMonkey', 'id': '1437036457042989061'}, {'start': 111, 'end': 124, 'username': 'AnonymiceNFT', 'id': '1433838329284472837'}]}"
5,1526637804838608897,2022-05-17 18:56:30+00:00,False,The perfect beach day can’t be complete without having some #SOL 🌊🌊🌊 https://t.co/LbxhI3KPnK,5,4,24,0,{'media_keys': ['16_1526637797091815424']},"{'urls': [{'start': 69, 'end': 92, 'url': 'https://t.co/LbxhI3KPnK', 'expanded_url': 'https://twitter.com/WaveCatchersNFT/status/1526637804838608897/photo/1', 'display_url': 'pic.twitter.com/LbxhI3KPnK', 'media_key': '16_1526637797091815424'}], 'hashtags': [{'start': 60, 'end': 64, 'tag': 'SOL'}]}"
6,1525621392393256961,2022-05-14 23:37:39+00:00,False,"🌊Wave Catchers x MetroGrad 🌊

We’re giving away 3 whitelist spots from our friends at @MetroGradNFT !

To enter:
🤙🏻 Follow @WaveCatchersNFT &amp; @MetroGradNFT 
🤙🏻 Like + RT
🤙🏻 Tag 2 Frens

Winners announced in 24hrs! 🌊 https://t.co/SewAujD6B3",59,71,62,1,{'media_keys': ['3_1525621388182265857']},"{'urls': [{'start': 220, 'end': 243, 'url': 'https://t.co/SewAujD6B3', 'expanded_url': 'https://twitter.com/WaveCatchersNFT/status/1525621392393256961/photo/1', 'display_url': 'pic.twitter.com/SewAujD6B3', 'media_key': '3_1525621388182265857'}], 'mentions': [{'start': 86, 'end': 99, 'username': 'MetroGradNFT', 'id': '1507717481393176581'}, {'start': 123, 'end': 139, 'username': 'WaveCatchersNFT', 'id': '1490850736275558400'}, {'start': 146, 'end': 159, 'username': 'MetroGradNFT', 'id': '1507717481393176581'}]}"
7,1524751991779598336,2022-05-12 14:02:58+00:00,False,"Gm fam! Lets weather this storm together as a community! 
#WAGMI #WC4L https://t.co/oFT553CsSz",6,6,20,0,{'media_keys': ['16_1524751982895972352']},"{'urls': [{'start': 71, 'end': 94, 'url': 'https://t.co/oFT553CsSz', 'expanded_url': 'https://twitter.com/WaveCatchersNFT/status/1524751991779598336/photo/1', 'display_url': 'pic.twitter.com/oFT553CsSz', 'media_key': '16_1524751982895972352'}], 'hashtags': [{'start': 58, 'end': 64, 'tag': 'WAGMI'}, {'start': 65, 'end': 70, 'tag': 'WC4L'}]}"
8,1524566424714452992,2022-05-12 01:45:35+00:00,False,"🌊Wave Catchers x Slothopia 🌊

We’re giving away 1 whitelist spot from our friends at @Slothopia !

To enter:
🤙🏻 Follow @WaveCatchersNFT &amp; @Slothopia 
🤙🏻 Like + RT
🤙🏻 Tag 2 Frens

Winners announced in 24hrs! 🌊 https://t.co/Wkl2SQCmtl",115,117,108,0,{'media_keys': ['3_1524566417990991872']},"{'urls': [{'start': 213, 'end': 236, 'url': 'https://t.co/Wkl2SQCmtl', 'expanded_url': 'https://twitter.com/WaveCatchersNFT/status/1524566424714452992/photo/1', 'display_url': 'pic.twitter.com/Wkl2SQCmtl', 'media_key': '3_1524566417990991872'}], 'mentions': [{'start': 85, 'end': 95, 'username': 'Slothopia', 'id': '1509237796380286976'}, {'start': 119, 'end': 135, 'username': 'WaveCatchersNFT', 'id': '1490850736275558400'}, {'start': 142, 'end': 152, 'username': 'Slothopia', 'id': '1509237796380286976'}]}"
9,1524565979791073280,2022-05-12 01:43:49+00:00,True,"Winners 🏆
• @mianusama299
• @mrpetrate
• @zMyturnx
• @psiquecrypto
• @ShinnnNFT

✔️ https://t.co/cpf3AaNvcD

DM @LordDvzenith your eth address and discord ID! 🤙🏻",0,3,2,0,,"{'urls': [{'start': 84, 'end': 107, 'url': 'https://t.co/cpf3AaNvcD', 'expanded_url': 'https://twitterpicker.com/d/k2wahews', 'display_url': 'twitterpicker.com/d/k2wahews'}], 'mentions': [{'start': 12, 'end': 25, 'username': 'mianusama299', 'id': '2999583640'}, {'start': 28, 'end': 38, 'username': 'mrpetrate', 'id': '4829795962'}, {'start': 41, 'end': 50, 'username': 'zMyturnx', 'id': '1382534644038578176'}, {'start': 53, 'end': 66, 'username': 'psiquecrypto', 'id': '1251321841693659136'}, {'start': 69, 'end': 79, 'username': 'ShinnnNFT', 'id': '1425950476059615238'}, {'start': 112, 'end': 125, 'username': 'LordDvzenith', 'id': '1516524810334990337'}]}"
