,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1536881676596285440,2022-06-15 01:22:00+00:00,False,Good Night birds!🦉 https://t.co/RIZUPXjPHw,26,7,84,0,{'media_keys': ['3_1536866564963815424']},"{'urls': [{'start': 19, 'end': 42, 'url': 'https://t.co/RIZUPXjPHw', 'expanded_url': 'https://twitter.com/ainightbirds/status/1536881676596285440/photo/1', 'display_url': 'pic.twitter.com/RIZUPXjPHw', 'media_key': '3_1536866564963815424'}]}"
1,1536827804377092097,2022-06-14 21:47:56+00:00,False,"We would like to introduce Mac (@YouMakinMeCrzy) as the Project &amp; Community Leader of @AINightbirds🦉 🦉🦉Now our community is in good hands🤝
He will help us to grow, innovate, and set a standard for other projects!🚀
 #WAGMI #hoothoot https://t.co/4uYIaVWB4y",72,37,226,4,{'media_keys': ['3_1536827057476337666']},"{'hashtags': [{'start': 219, 'end': 225, 'tag': 'WAGMI'}, {'start': 226, 'end': 235, 'tag': 'hoothoot'}], 'urls': [{'start': 236, 'end': 259, 'url': 'https://t.co/4uYIaVWB4y', 'expanded_url': 'https://twitter.com/ainightbirds/status/1536827804377092097/photo/1', 'display_url': 'pic.twitter.com/4uYIaVWB4y', 'media_key': '3_1536827057476337666'}], 'mentions': [{'start': 32, 'end': 47, 'username': 'YouMakinMeCrzy', 'id': '1265521208877072384'}, {'start': 90, 'end': 103, 'username': 'ainightbirds', 'id': '1525927995973705729'}], 'annotations': [{'start': 27, 'end': 29, 'probability': 0.3925, 'type': 'Product', 'normalized_text': 'Mac'}]}"
2,1536801142176358401,2022-06-14 20:01:59+00:00,False,"RT @nhrastovic777: @ainightbirds Got my 4th one today, I really like the looks of it. In 4 days from 1 to 4. 
I strongly believe in this pr…",33,0,0,0,,"{'mentions': [{'start': 3, 'end': 17, 'username': 'nhrastovic777', 'id': '1437509749096988673'}, {'start': 19, 'end': 32, 'username': 'ainightbirds', 'id': '1525927995973705729'}]}"
3,1536766241100144640,2022-06-14 17:43:18+00:00,False,RT @TonyBNFTnewbie: @ainightbirds I just picked up my third one. I love what this team is doing and am excited for the future #steampunks #…,21,0,0,0,,"{'hashtags': [{'start': 126, 'end': 137, 'tag': 'steampunks'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'TonyBNFTnewbie', 'id': '1487799058550845445'}, {'start': 20, 'end': 33, 'username': 'ainightbirds', 'id': '1525927995973705729'}]}"
4,1536736253630095368,2022-06-14 15:44:08+00:00,False,"""One eye sees, the other feels.""
- Paul Klee https://t.co/yQ6SfQhbsc",59,7,220,3,{'media_keys': ['3_1536736212165308418']},"{'urls': [{'start': 45, 'end': 68, 'url': 'https://t.co/yQ6SfQhbsc', 'expanded_url': 'https://twitter.com/ainightbirds/status/1536736253630095368/photo/1', 'display_url': 'pic.twitter.com/yQ6SfQhbsc', 'media_key': '3_1536736212165308418'}], 'annotations': [{'start': 35, 'end': 43, 'probability': 0.9372, 'type': 'Person', 'normalized_text': 'Paul Klee'}]}"
5,1536717749786972161,2022-06-14 14:30:37+00:00,False,RT @NFTgoonie: Just picked up this beautiful @ainightbirds!! Excited for the future of this project and to see where the community and foun…,43,0,0,0,,"{'mentions': [{'start': 3, 'end': 13, 'username': 'NFTgoonie', 'id': '1407549249621999622'}, {'start': 45, 'end': 58, 'username': 'ainightbirds', 'id': '1525927995973705729'}]}"
6,1536717016719040515,2022-06-14 14:27:42+00:00,False,"RT @passiveuphoria: ""The Reclining Buddha""

@ainightbirds

#ainightbirds #moonbirds #woobirds #hoothoot #digitalart #AI #NFT #NFTs #NFTComm…",20,0,0,0,,"{'hashtags': [{'start': 59, 'end': 72, 'tag': 'ainightbirds'}, {'start': 73, 'end': 83, 'tag': 'moonbirds'}, {'start': 84, 'end': 93, 'tag': 'woobirds'}, {'start': 94, 'end': 103, 'tag': 'hoothoot'}, {'start': 104, 'end': 115, 'tag': 'digitalart'}, {'start': 116, 'end': 119, 'tag': 'AI'}, {'start': 120, 'end': 124, 'tag': 'NFT'}, {'start': 125, 'end': 130, 'tag': 'NFTs'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'passiveuphoria', 'id': '1462378450090532866'}, {'start': 44, 'end': 57, 'username': 'ainightbirds', 'id': '1525927995973705729'}]}"
7,1536668887521034243,2022-06-14 11:16:27+00:00,False,RT @MFchanders: @ainightbirds wallpapers let's goo https://t.co/qWrydcLCtX,23,0,0,0,{'media_keys': ['3_1536611672420253696']},"{'urls': [{'start': 51, 'end': 74, 'url': 'https://t.co/qWrydcLCtX', 'expanded_url': 'https://twitter.com/MFchanders/status/1536611676455219200/photo/1', 'display_url': 'pic.twitter.com/qWrydcLCtX', 'media_key': '3_1536611672420253696'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'MFchanders', 'id': '1506653783241093120'}, {'start': 16, 'end': 29, 'username': 'ainightbirds', 'id': '1525927995973705729'}]}"
8,1536520295414042624,2022-06-14 01:26:00+00:00,False,"The art you see in our tweets is actually a fraction of the art of the following collection😉
Good Night birds!🦉 https://t.co/pCAYScXSU7",107,21,371,4,{'media_keys': ['3_1536508045471240193']},"{'urls': [{'start': 112, 'end': 135, 'url': 'https://t.co/pCAYScXSU7', 'expanded_url': 'https://twitter.com/ainightbirds/status/1536520295414042624/photo/1', 'display_url': 'pic.twitter.com/pCAYScXSU7', 'media_key': '3_1536508045471240193'}]}"
9,1536432838987366400,2022-06-13 19:38:29+00:00,False,"Opensea verification - Done!☑️
#hoothoot #ainightbirds https://t.co/nOPcQEQ6BS",296,108,716,17,{'media_keys': ['3_1536432490574905344']},"{'hashtags': [{'start': 31, 'end': 40, 'tag': 'hoothoot'}, {'start': 41, 'end': 54, 'tag': 'ainightbirds'}], 'urls': [{'start': 55, 'end': 78, 'url': 'https://t.co/nOPcQEQ6BS', 'expanded_url': 'https://twitter.com/ainightbirds/status/1536432838987366400/photo/1', 'display_url': 'pic.twitter.com/nOPcQEQ6BS', 'media_key': '3_1536432490574905344'}]}"
