,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1537633613856002048,2022-06-17 03:09:56+00:00,False,"🚨 FINAL SALE has officially started! 🚨

Supply: 3861
Price: 0.09 Ξ
Limit: 2 per wallet

ALL OG/WL/ANYONE who signed up for the public raffle or opened a ticket in the past 12 hours has access to this sale. 

https://t.co/D41MgLxjiA

Good luck, Riders. 🌃🚈 

You’ve 12 hours. ⏳",34,9,66,3,,"{'urls': [{'start': 208, 'end': 231, 'url': 'https://t.co/D41MgLxjiA', 'expanded_url': 'https://mint.aneroverse.com/', 'display_url': 'mint.aneroverse.com', 'images': [{'url': 'https://pbs.twimg.com/news_img/1536908264100843521/XPLpfYZH?format=png&name=orig', 'width': 768, 'height': 195}, {'url': 'https://pbs.twimg.com/news_img/1536908264100843521/XPLpfYZH?format=png&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'ANEROVERSE', 'description': 'Come for the art, stay for the culture.', 'unwound_url': 'https://mint.aneroverse.com/'}]}"
1,1537474887438180352,2022-06-16 16:39:12+00:00,False,"The journey is just beginning... ⚡️🚆

#NFT https://t.co/VlfKyI67TM",86,26,325,5,{'media_keys': ['3_1537474741556195330']},"{'urls': [{'start': 43, 'end': 66, 'url': 'https://t.co/VlfKyI67TM', 'expanded_url': 'https://twitter.com/AneroVerse/status/1537474887438180352/photo/1', 'display_url': 'pic.twitter.com/VlfKyI67TM', 'media_key': '3_1537474741556195330'}], 'hashtags': [{'start': 38, 'end': 42, 'tag': 'NFT'}]}"
2,1537455056278151168,2022-06-16 15:20:24+00:00,True,"@Jasonli91881681 yes, it does :) latest updates always on our discord",0,0,0,0,,"{'mentions': [{'start': 0, 'end': 16, 'username': 'Jasonli91881681', 'id': '1502332163701755911'}]}"
3,1537442458493067265,2022-06-16 14:30:21+00:00,True,"To express our deepest love and appreciation, we will be airdropping an ᴀɴᴇʀᴏ NFT to you ✨

We will be taking two snapshots. 1) When the public sale ends (.5 hour from now), and 2) After mint is complete. You MUST be holding your #NFT(s) at these times to receive the reward❗️",10,6,63,1,,"{'hashtags': [{'start': 230, 'end': 234, 'tag': 'NFT'}]}"
4,1537442457037680645,2022-06-16 14:30:20+00:00,False,"🚨 Our WAITLIST sale (open to everyone who signed up) shall take place June 16th 8 PM PST - June 17th 8 AM PST 🚨

➡️ 0.09 ETH 
➡️ ~3800 supply
➡️ ONLY 2 mints per wallet

For those who have minted/bought secondary and held, we have a surprise 🎁

Check this out. 🧵:",33,11,133,7,,
5,1537273543930650624,2022-06-16 03:19:08+00:00,False,"🚨 https://t.co/D41MgLxjiA 🚨

Our public sale is now LIVE! 

From June 15th 8:00 PM PST - June 16th 8:00 AM PST. 

You will have the opportunity to mint at the price of 0.14 Ξ. 

IF you have won the public raffle or have a WL/OG, you will be able to participate in this sale❗️",42,18,120,4,,"{'urls': [{'start': 2, 'end': 25, 'url': 'https://t.co/D41MgLxjiA', 'expanded_url': 'https://mint.aneroverse.com/', 'display_url': 'mint.aneroverse.com', 'images': [{'url': 'https://pbs.twimg.com/news_img/1536908264100843521/XPLpfYZH?format=png&name=orig', 'width': 768, 'height': 195}, {'url': 'https://pbs.twimg.com/news_img/1536908264100843521/XPLpfYZH?format=png&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'ANEROVERSE', 'description': 'Come for the art, stay for the culture.', 'unwound_url': 'https://mint.aneroverse.com/'}]}"
6,1537121859162066944,2022-06-15 17:16:24+00:00,True,"Don’t worry if you did not win — anyone who signed up will have an opportunity to mint during the *waitlist* phase of the sale, if there is a remaining supply.

Stay tuned for updates 🔔",1,3,31,0,,
7,1537121858109284352,2022-06-15 17:16:23+00:00,True,"Riders, we heard you 🫡 To maximize accessibility and inclusivity, we chose to improve the number of public raffle winners so that more of you have a better opportunity to minting your ᴀɴᴇʀᴏ NFT. 👤

This method should encourage as many unique holders as possible 🔥",2,3,41,0,,
8,1537121856741855232,2022-06-15 17:16:23+00:00,False,"🚨 PUBLIC SALE LIVE JUNE 15TH 8 PM PST (&lt; 10 HOURS FROM NOW) 🚨

Raffle winners, you should be notified via https://t.co/SsS0kxyu4c if you have won OR you can manually check here: 

https://t.co/jgUKGR1snm",24,7,95,2,,"{'urls': [{'start': 109, 'end': 132, 'url': 'https://t.co/SsS0kxyu4c', 'expanded_url': 'http://premint.xyz', 'display_url': 'premint.xyz'}, {'start': 183, 'end': 206, 'url': 'https://t.co/jgUKGR1snm', 'expanded_url': 'https://docs.google.com/spreadsheets/d/1tqa9QgkcEGjDHKV-babswSO7AlhGQ6eR2gXoqb4752s/edit?usp=sharing', 'display_url': 'docs.google.com/spreadsheets/d…'}]}"
9,1537092060263632901,2022-06-15 15:17:59+00:00,True,"To further clarify, the exclusive NFT will be rewarded (airdropped) to those who mint their whitelist + hold (or, if you bought from the secondary market + hold).

More information on this soon...stay tuned for updates via Twitter and Discord.",4,4,36,0,,"{'annotations': [{'start': 223, 'end': 229, 'probability': 0.6918, 'type': 'Product', 'normalized_text': 'Twitter'}, {'start': 235, 'end': 241, 'probability': 0.5226, 'type': 'Product', 'normalized_text': 'Discord'}]}"
10,1537079359382687745,2022-06-15 14:27:31+00:00,True,"We are a brand that prides itself in creating the most gorgeous, detailed anime art that this space has ever seen — all thanks to @mangakaua983 ✨",7,3,71,0,,"{'mentions': [{'start': 130, 'end': 143, 'username': 'mangakaua983', 'id': '911741640850706432'}]}"
11,1537079358459895808,2022-06-15 14:27:31+00:00,True,"🚨 To further express our appreciation, we will be airdropping an exclusive NFT to those who choose to mint their whitelist! We will take a snapshot for holders unannounced to truly reward all of our firm believers! 🚨",17,8,86,2,,
12,1537079357012951040,2022-06-15 14:27:30+00:00,False,"The ᴀɴᴇʀᴏ team would like to thank you guys for your unwavering support ♥️ 

We have minted nearly a third of our whitelists and have about 13 hours left for the presale. ⏳

Considering the state of the market we are in, this is really meaningful. BUT…that’s not everything❗️",55,17,226,2,,"{'annotations': [{'start': 4, 'end': 8, 'probability': 0.469, 'type': 'Organization', 'normalized_text': 'ᴀɴᴇʀᴏ'}]}"
13,1536944022727565313,2022-06-15 05:29:44+00:00,False,"She's making her way Downtown 🛹🌃

Upon reveal, you will find that there are 250 LEGENDS out of the 7777 supply. These characters will either be rocking Gold, Platinum, or Diamond traits in a 3:2:1 ratio, respectively. 🌟 #NFT https://t.co/u3lTiKee3L",128,41,410,10,{'media_keys': ['3_1536944015920222208']},"{'urls': [{'start': 225, 'end': 248, 'url': 'https://t.co/u3lTiKee3L', 'expanded_url': 'https://twitter.com/AneroVerse/status/1536944022727565313/photo/1', 'display_url': 'pic.twitter.com/u3lTiKee3L', 'media_key': '3_1536944015920222208'}], 'hashtags': [{'start': 220, 'end': 224, 'tag': 'NFT'}]}"
