,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1525146807902294016,2022-05-13 16:11:49+00:00,False,"RT @irvinkwok96: GM!

Ringers the way I see them.
#316 - The frog 🐸 

This one from @m00se_nft collection is the first that I’m split betwe…",7,0,0,0,,"{'mentions': [{'start': 3, 'end': 15, 'username': 'irvinkwok96', 'id': '1479632796541124608'}, {'start': 84, 'end': 94, 'username': 'm00se_nft', 'id': '1352825947356094467'}]}"
1,1525142486775222274,2022-05-13 15:54:39+00:00,True,"""...Named “Cattleya” after my first rare orchid, this work is my Ode to Orchids—a mystical flower that brings me endless delight""

Read more: https://t.co/ulFrCt2SKX",0,0,2,0,,"{'urls': [{'start': 142, 'end': 165, 'url': 'https://t.co/ulFrCt2SKX', 'expanded_url': 'https://bensnell.medium.com/cattleya-7c943673d54f', 'display_url': 'bensnell.medium.com/cattleya-7c943…'}]}"
2,1525142485407776769,2022-05-13 15:54:38+00:00,True,"""Orchids come in all shapes, sizes, colors, textures, and scents—perhaps this is why they’ve entranced cultures dating back well over five millennia, becoming symbols of virility, beauty, peace, and prosperity in the process...."" 👇

Read more: https://t.co/ulFrCt2SKX",0,1,3,0,,"{'urls': [{'start': 244, 'end': 267, 'url': 'https://t.co/ulFrCt2SKX', 'expanded_url': 'https://bensnell.medium.com/cattleya-7c943673d54f', 'display_url': 'bensnell.medium.com/cattleya-7c943…'}]}"
3,1525142481712578561,2022-05-13 15:54:38+00:00,True,"There will be a conversation between Taipei Dangdai, Art Blocks, and Ben Snell following the project opening on May 20th at 11:30pm ET / May 21st at 11:30am GMT +8

Link to tune in TBA

👀Check out these sample outputs 👀 https://t.co/CXUpPIsWGv",0,1,2,0,"{'media_keys': ['3_1525142182050545664', '3_1525142182042157056', '3_1525142182054838273', '3_1525142182046334976']}","{'urls': [{'start': 220, 'end': 243, 'url': 'https://t.co/CXUpPIsWGv', 'expanded_url': 'https://twitter.com/artblocks_io/status/1525142481712578561/photo/1', 'display_url': 'pic.twitter.com/CXUpPIsWGv', 'media_key': '3_1525142182050545664'}, {'start': 220, 'end': 243, 'url': 'https://t.co/CXUpPIsWGv', 'expanded_url': 'https://twitter.com/artblocks_io/status/1525142481712578561/photo/1', 'display_url': 'pic.twitter.com/CXUpPIsWGv', 'media_key': '3_1525142182042157056'}, {'start': 220, 'end': 243, 'url': 'https://t.co/CXUpPIsWGv', 'expanded_url': 'https://twitter.com/artblocks_io/status/1525142481712578561/photo/1', 'display_url': 'pic.twitter.com/CXUpPIsWGv', 'media_key': '3_1525142182054838273'}, {'start': 220, 'end': 243, 'url': 'https://t.co/CXUpPIsWGv', 'expanded_url': 'https://twitter.com/artblocks_io/status/1525142481712578561/photo/1', 'display_url': 'pic.twitter.com/CXUpPIsWGv', 'media_key': '3_1525142182046334976'}], 'annotations': [{'start': 37, 'end': 50, 'probability': 0.5476, 'type': 'Place', 'normalized_text': 'Taipei Dangdai'}, {'start': 69, 'end': 77, 'probability': 0.9717, 'type': 'Person', 'normalized_text': 'Ben Snell'}]}"
4,1525142473152028672,2022-05-13 15:54:36+00:00,False,"Art Blocks is excited to present Cattleya by @snellicious_ at @taipeidangdai. Cattleya will release May 20th at 12pm ET / May 21st at 12am GMT +8 in Taipei. 

Project link: https://t.co/gLEaQvH4wo
Sample outputs: https://t.co/JPLC8OHOgn https://t.co/z58nBAqnWe",1,2,17,2,{'media_keys': ['3_1525139219743756289']},"{'urls': [{'start': 173, 'end': 196, 'url': 'https://t.co/gLEaQvH4wo', 'expanded_url': 'https://www.artblocks.io/project/308', 'display_url': 'artblocks.io/project/308', 'status': 200, 'title': 'Cattleya - Ben Snell | Art Blocks', 'description': 'Darwin’s Orchid wasn’t discovered by Darwin, but he correctly hypothesized that its long blooms, up to a foot and a half tall, coevolved with a moth with a very long tongue—just long enough to extract its nectar. This flower embodies the great variety of and fascination with the orchid family. Orchids come in all shapes, sizes, colors, textures and scents—perhaps this is why they’ve entranced cultures dating back well over five millennia, becoming symbols of virility, beauty, peace and prosperity in the process. Named “Cattleya” after my first rare orchid, this work is my Ode to Orchids—a mystical flower that brings me endless delight. Read more about my [inspiration & process↗](https://bensnell.medium.com/7c943673d54f) *Notes:* *— This project is intended to be run on modern devices, operating systems and browsers. Older ones may yield undesired or undefined behaviors.* *— This script includes a modified version of [glsl-fast-gaussian-blur](https://github.com/Jam3/glsl-fast-gaussian-b', 'unwound_url': 'https://www.artblocks.io/project/308'}, {'start': 213, 'end': 236, 'url': 'https://t.co/JPLC8OHOgn', 'expanded_url': 'https://artist-staging.artblocks.io/project/168', 'display_url': 'artist-staging.artblocks.io/project/168'}, {'start': 237, 'end': 260, 'url': 'https://t.co/z58nBAqnWe', 'expanded_url': 'https://twitter.com/artblocks_io/status/1525142473152028672/photo/1', 'display_url': 'pic.twitter.com/z58nBAqnWe', 'media_key': '3_1525139219743756289'}], 'mentions': [{'start': 45, 'end': 58, 'username': 'snellicious_', 'id': '2963620615'}, {'start': 62, 'end': 76, 'username': 'taipeidangdai', 'id': '964048500446003200'}], 'annotations': [{'start': 149, 'end': 154, 'probability': 0.9344, 'type': 'Place', 'normalized_text': 'Taipei'}]}"
5,1525101802634477570,2022-05-13 13:12:59+00:00,False,"RT @vamoss: I had an article approved to submit about Open Source Art 🎉.
So I want to bring as many views as possible to it. If you share y…",4,0,0,0,,"{'mentions': [{'start': 3, 'end': 10, 'username': 'vamoss', 'id': '14400221'}], 'annotations': [{'start': 54, 'end': 68, 'probability': 0.2549, 'type': 'Organization', 'normalized_text': 'Open Source Art'}]}"
6,1525081121091895298,2022-05-13 11:50:48+00:00,False,"RT @bendotk: 📢 Important 100 PRINT instructions!

To make a 100 PRINT draft pick, you must fill out this luma survey: https://t.co/btGSqrIS…",9,0,0,0,,"{'mentions': [{'start': 3, 'end': 11, 'username': 'bendotk', 'id': '436362160'}]}"
7,1524944682618347520,2022-05-13 02:48:39+00:00,True,"Project page: 

https://t.co/553GaDj23U",0,0,5,0,,"{'urls': [{'start': 16, 'end': 39, 'url': 'https://t.co/553GaDj23U', 'expanded_url': 'https://www.artblocks.io/project/302', 'display_url': 'artblocks.io/project/302'}]}"
8,1524944387402252288,2022-05-13 02:47:28+00:00,False,"Join us Friday, May 13th for our pre-drop talk with @jacobgoldart who will unpause their project Primordial at 10am PT/1pm ET! https://t.co/T9uBY3LoJR",1,1,11,0,,"{'urls': [{'start': 127, 'end': 150, 'url': 'https://t.co/T9uBY3LoJR', 'expanded_url': 'https://twitter.com/i/spaces/1ZkJzbkgVqZJv', 'display_url': 'twitter.com/i/spaces/1ZkJz…'}], 'mentions': [{'start': 52, 'end': 65, 'username': 'jacobgoldart', 'id': '196817282'}]}"
9,1524815238608171008,2022-05-12 18:14:17+00:00,True,"@robdixon @colesternberg @HerdbergJ Next Thursday we will have @DBochman, @durtis_eth, @bygbyrd1234 and @klaushubben ! https://t.co/yZXHHA7oDF",3,2,17,1,{'media_keys': ['3_1524813412152266753']},"{'urls': [{'start': 119, 'end': 142, 'url': 'https://t.co/yZXHHA7oDF', 'expanded_url': 'https://twitter.com/artblocks_io/status/1524815238608171008/photo/1', 'display_url': 'pic.twitter.com/yZXHHA7oDF', 'media_key': '3_1524813412152266753'}], 'mentions': [{'start': 0, 'end': 9, 'username': 'robdixon', 'id': '1334071'}, {'start': 10, 'end': 24, 'username': 'colesternberg', 'id': '49865764'}, {'start': 25, 'end': 35, 'username': 'HerdbergJ', 'id': '1355255986907471873'}, {'start': 63, 'end': 72, 'username': 'DBochman', 'id': '2184657146'}, {'start': 74, 'end': 85, 'username': 'durtis_eth', 'id': '1438382204787171330'}, {'start': 87, 'end': 99, 'username': 'bygbyrd1234', 'id': '1514697061022711818'}, {'start': 104, 'end': 116, 'username': 'klaushubben', 'id': '102815403'}]}"
