,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1536078543217643521,2022-06-12 20:10:38+00:00,False,"MINT + MARKETING AMA with @Radiance_United @RadhatterNFT  in 2 hours!

Live in our DISCORD: https://t.co/pZP8AynHdW",11,3,19,0,,"{'mentions': [{'start': 26, 'end': 42, 'username': 'Radiance_United', 'id': '1515881540852453379'}, {'start': 43, 'end': 56, 'username': 'RadhatterNFT', 'id': '21320411'}], 'urls': [{'start': 92, 'end': 115, 'url': 'https://t.co/pZP8AynHdW', 'expanded_url': 'http://discord.gg/triplesixjewels', 'display_url': 'discord.gg/triplesixjewels'}]}"
1,1535672988359708672,2022-06-11 17:19:06+00:00,False,"CRAB GAMES at 8PM BST
ETH + More prizes to be won! 👀
Don't miss it! https://t.co/pZP8AynHdW",2,0,9,0,,"{'urls': [{'start': 68, 'end': 91, 'url': 'https://t.co/pZP8AynHdW', 'expanded_url': 'http://discord.gg/triplesixjewels', 'display_url': 'discord.gg/triplesixjewels'}]}"
2,1534975203922657304,2022-06-09 19:06:21+00:00,False,"INSIDE T6 - THE BRAND. AMA STARTING NOW IN DISCORD.
https://t.co/pZP8AynHdW",4,0,16,3,,"{'urls': [{'start': 52, 'end': 75, 'url': 'https://t.co/pZP8AynHdW', 'expanded_url': 'http://discord.gg/triplesixjewels', 'display_url': 'discord.gg/triplesixjewels'}]}"
3,1534807512599482372,2022-06-09 08:00:01+00:00,False,"THE ASCENSION FESTIVAL IS OPEN! 🔥

 Join our discord to take part, win prizes and be part of the TRIPLE SIX family! 💎💫

https://t.co/pZP8AynHdW https://t.co/nuHZL6Ufjr",16,1,30,2,{'media_keys': ['3_1534779165169356800']},"{'annotations': [{'start': 0, 'end': 21, 'probability': 0.4314, 'type': 'Other', 'normalized_text': 'THE ASCENSION FESTIVAL'}], 'urls': [{'start': 120, 'end': 143, 'url': 'https://t.co/pZP8AynHdW', 'expanded_url': 'http://discord.gg/triplesixjewels', 'display_url': 'discord.gg/triplesixjewels'}, {'start': 144, 'end': 167, 'url': 'https://t.co/nuHZL6Ufjr', 'expanded_url': 'https://twitter.com/AscensionT6/status/1534807512599482372/photo/1', 'display_url': 'pic.twitter.com/nuHZL6Ufjr', 'media_key': '3_1534779165169356800'}]}"
4,1534774132247863296,2022-06-09 05:47:22+00:00,False,"BURNING IS LIVE. 🔥🔥🔥
https://t.co/8iWloCnLi3 https://t.co/RJRtLx8jzw",23,1,31,0,{'media_keys': ['3_1534773828022321154']},"{'urls': [{'start': 21, 'end': 44, 'url': 'https://t.co/8iWloCnLi3', 'expanded_url': 'http://triplesix.xyz/burning', 'display_url': 'triplesix.xyz/burning', 'images': [{'url': 'https://pbs.twimg.com/news_img/1534774136916086785/G8zLnz1L?format=jpg&name=orig', 'width': 1000, 'height': 1000}, {'url': 'https://pbs.twimg.com/news_img/1534774136916086785/G8zLnz1L?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'ASCENSION', 'unwound_url': 'https://triplesix.xyz/burning'}, {'start': 45, 'end': 68, 'url': 'https://t.co/RJRtLx8jzw', 'expanded_url': 'https://twitter.com/AscensionT6/status/1534774132247863296/photo/1', 'display_url': 'pic.twitter.com/RJRtLx8jzw', 'media_key': '3_1534773828022321154'}]}"
5,1534729359344513024,2022-06-09 02:49:27+00:00,False,"CHAOS.
https://t.co/H4ZgkVzF3R https://t.co/v7ZrGPpFkb",23,6,44,1,{'media_keys': ['3_1534729353258536964']},"{'urls': [{'start': 7, 'end': 30, 'url': 'https://t.co/H4ZgkVzF3R', 'expanded_url': 'http://triplesix.xyz', 'display_url': 'triplesix.xyz'}, {'start': 31, 'end': 54, 'url': 'https://t.co/v7ZrGPpFkb', 'expanded_url': 'https://twitter.com/AscensionT6/status/1534729359344513024/photo/1', 'display_url': 'pic.twitter.com/v7ZrGPpFkb', 'media_key': '3_1534729353258536964'}]}"
6,1534313386250469381,2022-06-07 23:16:32+00:00,True,@0xSmithhart It seems to be working for us!,0,0,0,0,,"{'mentions': [{'start': 0, 'end': 12, 'username': '0xSmithhart', 'id': '1471378619100385280'}]}"
7,1534149524188450817,2022-06-07 12:25:24+00:00,False,"The light appears to be getting closer… It’s almost time to ascend… 

https://t.co/cjxdnux8bI https://t.co/LF1qZZkKwH",37,4,56,0,{'media_keys': ['3_1534149517511213056']},"{'urls': [{'start': 70, 'end': 93, 'url': 'https://t.co/cjxdnux8bI', 'expanded_url': 'https://www.premint.xyz/ascensionpublic/', 'display_url': 'premint.xyz/ascensionpubli…'}, {'start': 94, 'end': 117, 'url': 'https://t.co/LF1qZZkKwH', 'expanded_url': 'https://twitter.com/AscensionT6/status/1534149524188450817/photo/1', 'display_url': 'pic.twitter.com/LF1qZZkKwH', 'media_key': '3_1534149517511213056'}]}"
8,1534145470120984577,2022-06-07 12:09:17+00:00,False,"RT @HomieGsNFT: 🎁GIVEAWAY 🎁
@AscensionT6 was kind enough to give Homies 20x WL spots!
We are giving away 5x on Twitter and 15x in our Disco…",27,0,0,0,,"{'annotations': [{'start': 113, 'end': 119, 'probability': 0.755, 'type': 'Product', 'normalized_text': 'Twitter'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'HomieGsNFT', 'id': '1399328424221573120'}, {'start': 28, 'end': 40, 'username': 'AscensionT6', 'id': '1490905933408575488'}]}"
9,1533926153500631040,2022-06-06 21:37:48+00:00,False,"MINT PRICES: 
MOLTEN: AIRDROP
DIAMOND: 0.01
GOLD: 0.025
SILVER: 0.035
WL: 0.055
PUBLIC: 0.065

More information in our Discord, including physicals in production ready for launch: https://t.co/pZP8AynHdW https://t.co/8SX4uyW81j",37,8,59,2,{'media_keys': ['3_1533925296071757825']},"{'urls': [{'start': 180, 'end': 203, 'url': 'https://t.co/pZP8AynHdW', 'expanded_url': 'http://discord.gg/triplesixjewels', 'display_url': 'discord.gg/triplesixjewels'}, {'start': 204, 'end': 227, 'url': 'https://t.co/8SX4uyW81j', 'expanded_url': 'https://twitter.com/AscensionT6/status/1533926153500631040/photo/1', 'display_url': 'pic.twitter.com/8SX4uyW81j', 'media_key': '3_1533925296071757825'}]}"
