,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1534047435672104961,2022-06-07 05:39:44+00:00,False,"gn toons 🌚 💜

what’s your favorite thing to watch when you’re going to bed? 📺 ⬇️",3,5,12,0,,
1,1533984538195550208,2022-06-07 01:29:48+00:00,False,"excited for our next marbles tournament?! top performers will be taking home special prizes 👀😊 join us this wednesday at 4:30 est on twitch

https://t.co/zPrxKO6mK7",6,7,19,2,,"{'urls': [{'start': 141, 'end': 164, 'url': 'https://t.co/zPrxKO6mK7', 'expanded_url': 'https://twitch.tv/cartoonsofficial', 'display_url': 'twitch.tv/cartoonsoffici…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1532388645923016704/eEkvSN60?format=png&name=orig', 'width': 300, 'height': 300}, {'url': 'https://pbs.twimg.com/news_img/1532388645923016704/eEkvSN60?format=png&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'CartoonsOfficial - Twitch', 'description': 'a community-driven nft collection.', 'unwound_url': 'https://www.twitch.tv/cartoonsofficial'}]}"
2,1533967060018950145,2022-06-07 00:20:21+00:00,False,"toon trivia 📺 🌈 ☁️ 

who took jimmy neutron’s mom and dad?",1,6,4,0,{'poll_ids': ['1533967059607990273']},"{'annotations': [{'start': 32, 'end': 44, 'probability': 0.9577, 'type': 'Person', 'normalized_text': 'jimmy neutron'}]}"
3,1533901711508574208,2022-06-06 20:00:41+00:00,False,"RT @cartoonsfanpage: 3 reasons I still own @cartoonsnft 🧵

#Toonies #CartoonsNFT",5,0,0,0,,"{'hashtags': [{'start': 59, 'end': 67, 'tag': 'Toonies'}, {'start': 68, 'end': 80, 'tag': 'CartoonsNFT'}], 'mentions': [{'start': 3, 'end': 19, 'username': 'cartoonsfanpage', 'id': '1533151187012268032'}, {'start': 43, 'end': 55, 'username': 'cartoonsnft', 'id': '1490826377355956225'}]}"
4,1533893355188326400,2022-06-06 19:27:28+00:00,False,what is one thing you want to accomplish this week? 🥰 🌈 ☁️,3,4,11,0,,
5,1533847704970727424,2022-06-06 16:26:05+00:00,False,"gm toons and happy monday☀️ ☕

tough times never last, but tough people do 💪 🥰

stay tough toonies &amp; never give up 💜",5,5,22,0,,
6,1533600827876659200,2022-06-06 00:05:04+00:00,False,"who’s winning game 2 of the nba finals? 🏀 

warriors  celtics   no idea       
   👇           👇          👇",9,21,25,0,,"{'annotations': [{'start': 28, 'end': 30, 'probability': 0.7349, 'type': 'Organization', 'normalized_text': 'nba'}]}"
7,1533572675632656386,2022-06-05 22:13:12+00:00,False,"RT @cartoonsfanpage: 🎁 *GIVEAWAY* 🎁

GM #Toonies! To mark the launch of this #FanPage I will be giving away this #CleanAF Top10% @cartoonsn…",53,0,0,0,,"{'hashtags': [{'start': 40, 'end': 48, 'tag': 'Toonies'}, {'start': 77, 'end': 85, 'tag': 'FanPage'}, {'start': 113, 'end': 121, 'tag': 'CleanAF'}], 'mentions': [{'start': 3, 'end': 19, 'username': 'cartoonsfanpage', 'id': '1533151187012268032'}]}"
8,1533496942839246848,2022-06-05 17:12:16+00:00,False,"gm toons ☀️ ☕

a little progress each day adds up to big results! 🥰

take this sunday to plan out the upcoming week so you can have a big week 💜",3,3,17,0,,
9,1533325487220461568,2022-06-05 05:50:58+00:00,False,"gn toonies 🌚 🌈 ☁️

did you know? 👀

up to 15% of the population are sleepwalkers 😴 💤

who has ever sleptwalk? 🛌🚶‍♂️",1,7,13,0,,
