,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1536447297822900225,2022-06-13 20:35:56+00:00,False,T minus 24 hours. 😈 https://t.co/1ZM2xPHUVg,30,5,111,2,{'media_keys': ['3_1536447280970186753']},"{'urls': [{'start': 20, 'end': 43, 'url': 'https://t.co/1ZM2xPHUVg', 'expanded_url': 'https://twitter.com/croquetclubnft/status/1536447297822900225/photo/1', 'display_url': 'pic.twitter.com/1ZM2xPHUVg', 'media_key': '3_1536447280970186753'}]}"
1,1534857368139444224,2022-06-09 11:18:07+00:00,False,🤝 https://t.co/rG7UkcnaxH,4,1,38,0,,"{'urls': [{'start': 2, 'end': 25, 'url': 'https://t.co/rG7UkcnaxH', 'expanded_url': 'https://twitter.com/thebrettway/status/1531349686631534592', 'display_url': 'twitter.com/thebrettway/st…'}]}"
2,1534856817129533441,2022-06-09 11:15:56+00:00,False,"Gents, please verify your ownership in the Discord, or book in your onboarding call through the vault. (Link on our website)

There will be no free area in our Discord. 🤝",10,1,62,0,,
3,1533820456599527424,2022-06-06 14:37:48+00:00,False,WEN VAULT!? https://t.co/2unqQtlzbu,36,11,145,4,{'media_keys': ['7_1533820322570543105']},"{'urls': [{'start': 12, 'end': 35, 'url': 'https://t.co/2unqQtlzbu', 'expanded_url': 'https://twitter.com/croquetclubnft/status/1533820456599527424/video/1', 'display_url': 'pic.twitter.com/2unqQtlzbu', 'media_key': '7_1533820322570543105'}]}"
4,1533776074689085447,2022-06-06 11:41:27+00:00,False,💎🙌 https://t.co/EY3kRxL8IV,7,4,58,1,,"{'urls': [{'start': 3, 'end': 26, 'url': 'https://t.co/EY3kRxL8IV', 'expanded_url': 'https://twitter.com/ZenBudha123/status/1533730438581215232', 'display_url': 'twitter.com/ZenBudha123/st…'}]}"
5,1533515623980056577,2022-06-05 18:26:30+00:00,True,@prismnavy_eth We’re telling the devs to do something,0,0,3,0,,"{'mentions': [{'start': 0, 'end': 14, 'username': 'prismnavy_eth', 'id': '1399291741593866241'}]}"
6,1533384678769676289,2022-06-05 09:46:10+00:00,False,"RT @cbassg16: I think it’s halarious how “NFT degens” we’re betting against @croquetclubnft and now the floor is 13 ETH. 

Quality of peopl…",28,0,0,0,,"{'mentions': [{'start': 3, 'end': 12, 'username': 'cbassg16', 'id': '2891015631'}, {'start': 76, 'end': 91, 'username': 'croquetclubnft', 'id': '1481227460691828740'}]}"
7,1533383974118096897,2022-06-05 09:43:22+00:00,False,🫡 https://t.co/bI3Ys2Dahw,4,2,55,1,,"{'urls': [{'start': 2, 'end': 25, 'url': 'https://t.co/bI3Ys2Dahw', 'expanded_url': 'https://twitter.com/cryptodan19/status/1533245459791515648', 'display_url': 'twitter.com/cryptodan19/st…'}]}"
8,1532818379177959424,2022-06-03 20:15:54+00:00,True,@CircaDiem https://t.co/nKP8bTeHxC,0,2,4,0,{'media_keys': ['16_1532818369510088704']},"{'urls': [{'start': 11, 'end': 34, 'url': 'https://t.co/nKP8bTeHxC', 'expanded_url': 'https://twitter.com/croquetclubnft/status/1532818379177959424/photo/1', 'display_url': 'pic.twitter.com/nKP8bTeHxC', 'media_key': '16_1532818369510088704'}], 'mentions': [{'start': 0, 'end': 10, 'username': 'CircaDiem', 'id': '56705497'}]}"
9,1532774660437327877,2022-06-03 17:22:11+00:00,False,"RT @yossylondon: and THERE WE HAVE IT !!!!! 5 @croquetclubnft passes !!!  if you dont know, dont worry... ;) LFG !!!  🚀 https://t.co/us2WVe…",26,0,0,0,,"{'mentions': [{'start': 3, 'end': 15, 'username': 'yossylondon', 'id': '327207833'}, {'start': 46, 'end': 61, 'username': 'croquetclubnft', 'id': '1481227460691828740'}]}"
