,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1537558532811259904,2022-06-16 22:11:35+00:00,False,"The FlickyGang mint will resume tomorrow:

⏰9 AM PST for Whitelist
🔔10 AM PST for Public mint

Due to high levels of interest, now ALL Flickys will get a voxel Flicky NFT by @TheSandboxGame instead of just the initial few! 🤖🦎🤳 https://t.co/M1aXHbNdBW",85,39,223,0,{'media_keys': ['3_1537558528981880834']},"{'mentions': [{'start': 174, 'end': 189, 'username': 'TheSandboxGame', 'id': '347831597'}], 'urls': [{'start': 227, 'end': 250, 'url': 'https://t.co/M1aXHbNdBW', 'expanded_url': 'https://twitter.com/flickplayapp/status/1537558532811259904/photo/1', 'display_url': 'pic.twitter.com/M1aXHbNdBW', 'media_key': '3_1537558528981880834'}]}"
1,1537467635092299776,2022-06-16 16:10:23+00:00,False,RT @TheSandboxGame: The FlickyGang by @flickplayapp mint day was delayed till tomorrow - 17 June at 9 AM PST for WL (10 AM PST for public m…,619,0,0,0,,"{'mentions': [{'start': 3, 'end': 18, 'username': 'TheSandboxGame', 'id': '347831597'}, {'start': 38, 'end': 51, 'username': 'flickplayapp', 'id': '1167255979945127936'}]}"
2,1537467624124186624,2022-06-16 16:10:21+00:00,True,@TheSandboxGame 🤳,0,1,5,0,,"{'mentions': [{'start': 0, 'end': 15, 'username': 'TheSandboxGame', 'id': '347831597'}]}"
3,1537449624448815104,2022-06-16 14:58:49+00:00,False,"We are live!! 🤳🎙

Join us for big news with our partners at @TheSandboxGame after they saw you all crashed our mint engine yesterday! 🤣🤳🔥

https://t.co/kcabJcFMxx",22,8,87,1,,"{'mentions': [{'start': 60, 'end': 75, 'username': 'TheSandboxGame', 'id': '347831597'}], 'urls': [{'start': 139, 'end': 162, 'url': 'https://t.co/kcabJcFMxx', 'expanded_url': 'https://twitter.com/i/spaces/1mrGmaQvYyVGy', 'display_url': 'twitter.com/i/spaces/1mrGm…'}]}"
4,1537403170648899588,2022-06-16 11:54:14+00:00,False,"GM! Crossing the portal was a mission for #FlickyGang due to the high volume of people trying to mint.

We paused mint but A BIG surprise is coming to WL holders who connect with Flicky 🎁🚀 

Join our AMA with @TheSandboxGame today at 8AM PST for details

https://t.co/kcabJcobFZ",113,79,261,0,,"{'mentions': [{'start': 209, 'end': 224, 'username': 'TheSandboxGame', 'id': '347831597'}], 'hashtags': [{'start': 42, 'end': 53, 'tag': 'FlickyGang'}], 'urls': [{'start': 255, 'end': 278, 'url': 'https://t.co/kcabJcobFZ', 'expanded_url': 'https://twitter.com/i/spaces/1mrGmaQvYyVGy', 'display_url': 'twitter.com/i/spaces/1mrGm…'}]}"
5,1537292121471737856,2022-06-16 04:32:57+00:00,False,"ℹ️ MINTING IS PAUSED

We had an overwhelming volume of people trying to mint resulting in an inconsistent minting experience for our community. We are working around the clock to address this situation.

Stay tuned for the upcoming information regarding next steps!",21,5,169,0,,
6,1537170708089946118,2022-06-15 20:30:30+00:00,True,@Avake25 absolutely everything is public inside of our discord :),0,0,0,0,,"{'mentions': [{'start': 0, 'end': 8, 'username': 'Avake25', 'id': '1464703931100114948'}]}"
7,1537154523189465088,2022-06-15 19:26:11+00:00,True,@0xMorpheus94 mint is live!,0,0,1,0,,"{'mentions': [{'start': 0, 'end': 13, 'username': '0xMorpheus94', 'id': '2437273284'}]}"
8,1537151862394306560,2022-06-15 19:15:37+00:00,False,"🔥⏰ MINT YOUR FLICKY NOW! 🔥⏰

https://t.co/bEq7qbw3jM https://t.co/xYBCCBnJ3O",25,1,224,0,{'media_keys': ['3_1537151856677474304']},"{'urls': [{'start': 29, 'end': 52, 'url': 'https://t.co/bEq7qbw3jM', 'expanded_url': 'http://FlickyGang.io', 'display_url': 'FlickyGang.io'}, {'start': 53, 'end': 76, 'url': 'https://t.co/xYBCCBnJ3O', 'expanded_url': 'https://twitter.com/flickplayapp/status/1537151862394306560/photo/1', 'display_url': 'pic.twitter.com/xYBCCBnJ3O', 'media_key': '3_1537151856677474304'}]}"
9,1537144603064909827,2022-06-15 18:46:46+00:00,False,"🦎 WHITELIST MINT IN 15 MINUTES ⏰

Thanks for your patience and good luck #FlickyGang 🤖🤳✨🕒

Reminder to avoid any links and only mint from:
➡️: https://t.co/bEq7qbw3jM https://t.co/ftvYyLUybA",26,8,209,0,{'media_keys': ['3_1537144296406646784']},"{'hashtags': [{'start': 73, 'end': 84, 'tag': 'FlickyGang'}], 'urls': [{'start': 143, 'end': 166, 'url': 'https://t.co/bEq7qbw3jM', 'expanded_url': 'http://FlickyGang.io', 'display_url': 'FlickyGang.io'}, {'start': 167, 'end': 190, 'url': 'https://t.co/ftvYyLUybA', 'expanded_url': 'https://twitter.com/flickplayapp/status/1537144603064909827/photo/1', 'display_url': 'pic.twitter.com/ftvYyLUybA', 'media_key': '3_1537144296406646784'}]}"
