,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1508572819797704705,2022-03-28 22:32:42+00:00,False,Our one and only @RajLahoti representing @frenlypandas at NFT LA! 🐼❤️ https://t.co/hXvqFjzbo2,15,9,63,1,,"{'urls': [{'start': 70, 'end': 93, 'url': 'https://t.co/hXvqFjzbo2', 'expanded_url': 'https://twitter.com/RajLahoti/status/1508569437305069571', 'display_url': 'twitter.com/RajLahoti/stat…'}], 'mentions': [{'start': 17, 'end': 27, 'username': 'RajLahoti', 'id': '1003667805848272901'}, {'start': 41, 'end': 54, 'username': 'frenlypandas', 'id': '1489073278753083392'}]}"
1,1508571700149235715,2022-03-28 22:28:15+00:00,False,Hands up if you're going to NFT LA! 🐼❤️ https://t.co/J8GrE3bUna,20,6,42,1,,"{'urls': [{'start': 40, 'end': 63, 'url': 'https://t.co/J8GrE3bUna', 'expanded_url': 'https://twitter.com/symboasis/status/1508544341911879682', 'display_url': 'twitter.com/symboasis/stat…'}]}"
2,1508229035612340231,2022-03-27 23:46:38+00:00,False,"RT @RajLahoti: Attending #NFTLA?

Join the @frenlypandas 🐼 NFT Community this Wednesday for a Sushi 🍣 Dinner. 

All details below 👇👇👇

http…",51,0,0,0,,"{'hashtags': [{'start': 25, 'end': 31, 'tag': 'NFTLA'}], 'mentions': [{'start': 3, 'end': 13, 'username': 'RajLahoti', 'id': '1003667805848272901'}, {'start': 43, 'end': 56, 'username': 'frenlypandas', 'id': '1489073278753083392'}]}"
3,1507978667724767234,2022-03-27 07:11:45+00:00,False,🙌 https://t.co/QCDZHDyXoC,14,1,74,0,,"{'urls': [{'start': 2, 'end': 25, 'url': 'https://t.co/QCDZHDyXoC', 'expanded_url': 'https://twitter.com/symboasis/status/1507789518627237889', 'display_url': 'twitter.com/symboasis/stat…'}]}"
4,1507549245523783680,2022-03-26 02:45:23+00:00,False,RT @afzainizam: Thanks @kryptiloid for commissioning me to create this for your @frenlypandas 4935 ! It will look great in the @TheSandboxG…,30,0,0,0,,"{'mentions': [{'start': 3, 'end': 14, 'username': 'afzainizam', 'id': '14404998'}, {'start': 23, 'end': 34, 'username': 'kryptiloid', 'id': '1395452963255201796'}, {'start': 80, 'end': 93, 'username': 'frenlypandas', 'id': '1489073278753083392'}]}"
5,1507278943912861698,2022-03-25 08:51:18+00:00,False,RT @symboasis: New daily inspiration from the @frenlypandas community! #PushinPanda #PushingP #FrenlyPandas #DailyPandaPic https://t.co/WR6…,23,0,0,0,,"{'hashtags': [{'start': 71, 'end': 83, 'tag': 'PushinPanda'}, {'start': 84, 'end': 93, 'tag': 'PushingP'}, {'start': 94, 'end': 107, 'tag': 'FrenlyPandas'}, {'start': 108, 'end': 122, 'tag': 'DailyPandaPic'}], 'mentions': [{'start': 3, 'end': 13, 'username': 'symboasis', 'id': '1496126527917883393'}, {'start': 46, 'end': 59, 'username': 'frenlypandas', 'id': '1489073278753083392'}]}"
6,1507227420361113602,2022-03-25 05:26:34+00:00,False,"🐼FRENLY ADVICE #3🐼

You know yourself better than anyone. Don't let anyone tell you who you are. You pave your own path.

#frenlypandas #pandamonium #frenlyadvice #pushinpanda https://t.co/qGbSW2AH2F",70,9,177,6,{'media_keys': ['3_1507227012486025217']},"{'hashtags': [{'start': 122, 'end': 135, 'tag': 'frenlypandas'}, {'start': 136, 'end': 148, 'tag': 'pandamonium'}, {'start': 149, 'end': 162, 'tag': 'frenlyadvice'}, {'start': 163, 'end': 175, 'tag': 'pushinpanda'}], 'urls': [{'start': 176, 'end': 199, 'url': 'https://t.co/qGbSW2AH2F', 'expanded_url': 'https://twitter.com/frenlypandas/status/1507227420361113602/photo/1', 'display_url': 'pic.twitter.com/qGbSW2AH2F'}]}"
7,1506954338123804672,2022-03-24 11:21:26+00:00,False,"RT @CabrahimNFT: Sniped Rank 1 @frenlypandas 2.1 ETH!

This was a free mint project 🤯

This project has blown me away with their community…",145,0,0,0,,"{'mentions': [{'start': 3, 'end': 15, 'username': 'CabrahimNFT', 'id': '1459288254944059399'}, {'start': 31, 'end': 44, 'username': 'frenlypandas', 'id': '1489073278753083392'}]}"
8,1506537941577113611,2022-03-23 07:46:50+00:00,False,"Frenly Pandas theme song?

WE LOVE IT 🐼❤️

#frenlypandas #pushinpanda #pandamonium https://t.co/2jxRY9eE8k",32,4,84,1,,"{'hashtags': [{'start': 43, 'end': 56, 'tag': 'frenlypandas'}, {'start': 57, 'end': 69, 'tag': 'pushinpanda'}, {'start': 70, 'end': 82, 'tag': 'pandamonium'}], 'annotations': [{'start': 0, 'end': 12, 'probability': 0.2984, 'type': 'Person', 'normalized_text': 'Frenly Pandas'}], 'urls': [{'start': 83, 'end': 106, 'url': 'https://t.co/2jxRY9eE8k', 'expanded_url': 'https://twitter.com/Musikavi1/status/1506537112820396032', 'display_url': 'twitter.com/Musikavi1/stat…'}]}"
9,1506471036824752133,2022-03-23 03:20:58+00:00,False,"🐼FRENLY ADVICE #3🐼

Be sure to check up on your frens - even a simple ""how are you"". Letting people know you care can make all the difference😁

#frenlypandas #pandamonium #frenlyadvice #pushinpanda https://t.co/CiPUuf2Wqs",84,20,205,4,{'media_keys': ['3_1506470020112871425']},"{'hashtags': [{'start': 144, 'end': 157, 'tag': 'frenlypandas'}, {'start': 158, 'end': 170, 'tag': 'pandamonium'}, {'start': 171, 'end': 184, 'tag': 'frenlyadvice'}, {'start': 185, 'end': 197, 'tag': 'pushinpanda'}], 'urls': [{'start': 198, 'end': 221, 'url': 'https://t.co/CiPUuf2Wqs', 'expanded_url': 'https://twitter.com/frenlypandas/status/1506471036824752133/photo/1', 'display_url': 'pic.twitter.com/CiPUuf2Wqs'}]}"
