,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1536898256650706944,2022-06-15 02:27:53+00:00,False,"Congratz to @seagull_eth for wining the MEME contest Goblin Egg...  GOB!!! You have 24 hrs to respond to my DM or its given up... 

@goblinainft #goblinfam #goblinai #goblinainft https://t.co/9LrrBrCwxK",23,10,86,2,{'media_keys': ['3_1536897939120877570']},"{'hashtags': [{'start': 145, 'end': 155, 'tag': 'goblinfam'}, {'start': 156, 'end': 165, 'tag': 'goblinai'}, {'start': 166, 'end': 178, 'tag': 'goblinainft'}], 'mentions': [{'start': 12, 'end': 24, 'username': 'seagull_eth', 'id': '1483953498811248640'}, {'start': 132, 'end': 144, 'username': 'goblinainft', 'id': '1529682546643963904'}], 'urls': [{'start': 179, 'end': 202, 'url': 'https://t.co/9LrrBrCwxK', 'expanded_url': 'https://twitter.com/goblinainft/status/1536898256650706944/photo/1', 'display_url': 'pic.twitter.com/9LrrBrCwxK', 'media_key': '3_1536897939120877570'}]}"
1,1536883199485194240,2022-06-15 01:28:03+00:00,True,"@goblinainft 👀😱Monster Gob👹

Discord Join Now: https://t.co/Xj1refGFkX

#goblinai #goblinaainft #goblins #nfts #nfts

If you missed the announcement watch this: https://t.co/GfAl9Gmm7y https://t.co/tJ72jLcDEi",53,16,128,0,{'media_keys': ['3_1536883039787098112']},"{'hashtags': [{'start': 72, 'end': 81, 'tag': 'goblinai'}, {'start': 82, 'end': 95, 'tag': 'goblinaainft'}, {'start': 96, 'end': 104, 'tag': 'goblins'}, {'start': 105, 'end': 110, 'tag': 'nfts'}, {'start': 111, 'end': 116, 'tag': 'nfts'}], 'mentions': [{'start': 0, 'end': 12, 'username': 'goblinainft', 'id': '1529682546643963904'}], 'urls': [{'start': 47, 'end': 70, 'url': 'https://t.co/Xj1refGFkX', 'expanded_url': 'http://discord.gg/3vdufGdt', 'display_url': 'discord.gg/3vdufGdt'}, {'start': 161, 'end': 184, 'url': 'https://t.co/GfAl9Gmm7y', 'expanded_url': 'https://youtu.be/k59IMHiRY_M', 'display_url': 'youtu.be/k59IMHiRY_M'}, {'start': 185, 'end': 208, 'url': 'https://t.co/tJ72jLcDEi', 'expanded_url': 'https://twitter.com/goblinainft/status/1536883199485194240/photo/1', 'display_url': 'pic.twitter.com/tJ72jLcDEi', 'media_key': '3_1536883039787098112'}]}"
2,1536838091997995009,2022-06-14 22:28:48+00:00,True,"@goblinainft Dis gob is 👀🔥

Discord Join Now: https://t.co/Xj1refGFkX

#goblinai #goblinaainft #goblins #nfts #nfts

If you missed the announcement watch this: https://t.co/GfAl9Gmm7y https://t.co/ZkwRCp9zUZ",75,20,197,4,{'media_keys': ['3_1536837987958288385']},"{'hashtags': [{'start': 71, 'end': 80, 'tag': 'goblinai'}, {'start': 81, 'end': 94, 'tag': 'goblinaainft'}, {'start': 95, 'end': 103, 'tag': 'goblins'}, {'start': 104, 'end': 109, 'tag': 'nfts'}, {'start': 110, 'end': 115, 'tag': 'nfts'}], 'mentions': [{'start': 0, 'end': 12, 'username': 'goblinainft', 'id': '1529682546643963904'}], 'urls': [{'start': 46, 'end': 69, 'url': 'https://t.co/Xj1refGFkX', 'expanded_url': 'http://discord.gg/3vdufGdt', 'display_url': 'discord.gg/3vdufGdt', 'images': [{'url': 'https://pbs.twimg.com/news_img/1536121801545175040/fGplJX_a?format=jpg&name=orig', 'width': 256, 'height': 256}, {'url': 'https://pbs.twimg.com/news_img/1536121801545175040/fGplJX_a?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Join the Robotico Ai Discord Server!', 'description': 'Check out the Robotico Ai community on Discord - hang out with 3 other members and enjoy free voice and text chat.', 'unwound_url': 'https://discord.com/invite/3vdufGdt'}, {'start': 160, 'end': 183, 'url': 'https://t.co/GfAl9Gmm7y', 'expanded_url': 'https://youtu.be/k59IMHiRY_M', 'display_url': 'youtu.be/k59IMHiRY_M', 'images': [{'url': 'https://pbs.twimg.com/news_img/1535881779957051392/PwDxGmzq?format=jpg&name=orig', 'width': 480, 'height': 360}, {'url': 'https://pbs.twimg.com/news_img/1535881779957051392/PwDxGmzq?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Goblin Ai Announcement - Changes - Eggs and Reveal Information', 'description': 'Watch the whole video for an update the Goblin Ai project!Opensea: https://opensea.io/collection/goblinaiTwitter: https://twitter.com/goblinainft', 'unwound_url': 'https://www.youtube.com/watch?v=k59IMHiRY_M&feature=youtu.be'}, {'start': 184, 'end': 207, 'url': 'https://t.co/ZkwRCp9zUZ', 'expanded_url': 'https://twitter.com/goblinainft/status/1536838091997995009/photo/1', 'display_url': 'pic.twitter.com/ZkwRCp9zUZ', 'media_key': '3_1536837987958288385'}]}"
3,1536818157729460224,2022-06-14 21:09:36+00:00,True,"@goblinainft 🧹🧹🧹🧹🧹🧹 

Discord Join Now: https://t.co/Xj1refGFkX

#goblinai #goblinaainft #goblins #nfts #nfts

If you missed the announcement watch this: https://t.co/GfAl9Gmm7y https://t.co/yCXAZAmfg3",143,27,252,2,{'media_keys': ['3_1536818102649753600']},"{'hashtags': [{'start': 65, 'end': 74, 'tag': 'goblinai'}, {'start': 75, 'end': 88, 'tag': 'goblinaainft'}, {'start': 89, 'end': 97, 'tag': 'goblins'}, {'start': 98, 'end': 103, 'tag': 'nfts'}, {'start': 104, 'end': 109, 'tag': 'nfts'}], 'mentions': [{'start': 0, 'end': 12, 'username': 'goblinainft', 'id': '1529682546643963904'}], 'urls': [{'start': 40, 'end': 63, 'url': 'https://t.co/Xj1refGFkX', 'expanded_url': 'http://discord.gg/3vdufGdt', 'display_url': 'discord.gg/3vdufGdt'}, {'start': 154, 'end': 177, 'url': 'https://t.co/GfAl9Gmm7y', 'expanded_url': 'https://youtu.be/k59IMHiRY_M', 'display_url': 'youtu.be/k59IMHiRY_M'}, {'start': 178, 'end': 201, 'url': 'https://t.co/yCXAZAmfg3', 'expanded_url': 'https://twitter.com/goblinainft/status/1536818157729460224/photo/1', 'display_url': 'pic.twitter.com/yCXAZAmfg3', 'media_key': '3_1536818102649753600'}]}"
4,1536668470795833344,2022-06-14 11:14:48+00:00,True,"@goblinainft STAR GOB?🧹🧹🧹🧹🧹🧹 

Discord Join Now: https://t.co/Xj1refGFkX

#goblinai #goblinaainft #goblins #nfts #nfts

If you missed the announcement watch this: https://t.co/GfAl9Gmm7y https://t.co/JozFDa9ZKf",95,25,248,3,{'media_keys': ['3_1536668355662204929']},"{'hashtags': [{'start': 74, 'end': 83, 'tag': 'goblinai'}, {'start': 84, 'end': 97, 'tag': 'goblinaainft'}, {'start': 98, 'end': 106, 'tag': 'goblins'}, {'start': 107, 'end': 112, 'tag': 'nfts'}, {'start': 113, 'end': 118, 'tag': 'nfts'}], 'mentions': [{'start': 0, 'end': 12, 'username': 'goblinainft', 'id': '1529682546643963904'}], 'urls': [{'start': 49, 'end': 72, 'url': 'https://t.co/Xj1refGFkX', 'expanded_url': 'http://discord.gg/3vdufGdt', 'display_url': 'discord.gg/3vdufGdt'}, {'start': 163, 'end': 186, 'url': 'https://t.co/GfAl9Gmm7y', 'expanded_url': 'https://youtu.be/k59IMHiRY_M', 'display_url': 'youtu.be/k59IMHiRY_M'}, {'start': 187, 'end': 210, 'url': 'https://t.co/JozFDa9ZKf', 'expanded_url': 'https://twitter.com/goblinainft/status/1536668470795833344/photo/1', 'display_url': 'pic.twitter.com/JozFDa9ZKf', 'media_key': '3_1536668355662204929'}]}"
5,1536624706752679936,2022-06-14 08:20:53+00:00,True,"@goblinainft EVIL GOB😱🧹🧹🧹🧹🧹🧹 

Discord Join Now: https://t.co/Xj1refGFkX

#goblinai #goblinaainft #goblins #nfts #nfts

If you missed the announcement watch this: https://t.co/GfAl9Gmm7y https://t.co/Ez32LRO6oY",101,20,272,5,{'media_keys': ['3_1536624583951798272']},"{'hashtags': [{'start': 74, 'end': 83, 'tag': 'goblinai'}, {'start': 84, 'end': 97, 'tag': 'goblinaainft'}, {'start': 98, 'end': 106, 'tag': 'goblins'}, {'start': 107, 'end': 112, 'tag': 'nfts'}, {'start': 113, 'end': 118, 'tag': 'nfts'}], 'mentions': [{'start': 0, 'end': 12, 'username': 'goblinainft', 'id': '1529682546643963904'}], 'urls': [{'start': 49, 'end': 72, 'url': 'https://t.co/Xj1refGFkX', 'expanded_url': 'http://discord.gg/3vdufGdt', 'display_url': 'discord.gg/3vdufGdt'}, {'start': 163, 'end': 186, 'url': 'https://t.co/GfAl9Gmm7y', 'expanded_url': 'https://youtu.be/k59IMHiRY_M', 'display_url': 'youtu.be/k59IMHiRY_M'}, {'start': 187, 'end': 210, 'url': 'https://t.co/Ez32LRO6oY', 'expanded_url': 'https://twitter.com/goblinainft/status/1536624706752679936/photo/1', 'display_url': 'pic.twitter.com/Ez32LRO6oY', 'media_key': '3_1536624583951798272'}]}"
6,1536609348327071744,2022-06-14 07:19:52+00:00,True,"@goblinainft🧹🧹🧹🧹🧹🧹 

Discord Join Now: https://t.co/Xj1refGFkX

#goblinai #goblinaainft #goblins #nfts #nfts

If you missed the announcement watch this: https://t.co/GfAl9Gmm7y https://t.co/FyNSxALoYz",87,22,244,2,{'media_keys': ['3_1536609278802350080']},"{'hashtags': [{'start': 64, 'end': 73, 'tag': 'goblinai'}, {'start': 74, 'end': 87, 'tag': 'goblinaainft'}, {'start': 88, 'end': 96, 'tag': 'goblins'}, {'start': 97, 'end': 102, 'tag': 'nfts'}, {'start': 103, 'end': 108, 'tag': 'nfts'}], 'mentions': [{'start': 0, 'end': 12, 'username': 'goblinainft', 'id': '1529682546643963904'}], 'urls': [{'start': 39, 'end': 62, 'url': 'https://t.co/Xj1refGFkX', 'expanded_url': 'http://discord.gg/3vdufGdt', 'display_url': 'discord.gg/3vdufGdt', 'images': [{'url': 'https://pbs.twimg.com/news_img/1536121801545175040/fGplJX_a?format=jpg&name=orig', 'width': 256, 'height': 256}, {'url': 'https://pbs.twimg.com/news_img/1536121801545175040/fGplJX_a?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Join the Robotico Ai Discord Server!', 'description': 'Check out the Robotico Ai community on Discord - hang out with 3 other members and enjoy free voice and text chat.', 'unwound_url': 'https://discord.com/invite/3vdufGdt'}, {'start': 153, 'end': 176, 'url': 'https://t.co/GfAl9Gmm7y', 'expanded_url': 'https://youtu.be/k59IMHiRY_M', 'display_url': 'youtu.be/k59IMHiRY_M', 'images': [{'url': 'https://pbs.twimg.com/news_img/1535881779957051392/PwDxGmzq?format=jpg&name=orig', 'width': 480, 'height': 360}, {'url': 'https://pbs.twimg.com/news_img/1535881779957051392/PwDxGmzq?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Goblin Ai Announcement - Changes - Eggs and Reveal Information', 'description': 'Watch the whole video for an update the Goblin Ai project!Opensea: https://opensea.io/collection/goblinaiTwitter: https://twitter.com/goblinainft', 'unwound_url': 'https://www.youtube.com/watch?v=k59IMHiRY_M&feature=youtu.be'}, {'start': 177, 'end': 200, 'url': 'https://t.co/FyNSxALoYz', 'expanded_url': 'https://twitter.com/goblinainft/status/1536609348327071744/photo/1', 'display_url': 'pic.twitter.com/FyNSxALoYz', 'media_key': '3_1536609278802350080'}]}"
7,1536580062543110144,2022-06-14 05:23:29+00:00,True,"@goblinainft🧹🧹🧹🧹🧹🧹 chart going sideways while ETH dumps... this is good for #gobfam

Discord Join Now: https://t.co/Xj1refGFkX

#goblinai #goblinaainft #goblins #nfts #nfts

If you missed the announcement watch this: https://t.co/GfAl9Gmm7y https://t.co/yjBLP1h93K",62,14,222,0,{'media_keys': ['3_1536580060030742528']},"{'hashtags': [{'start': 76, 'end': 83, 'tag': 'gobfam'}, {'start': 128, 'end': 137, 'tag': 'goblinai'}, {'start': 138, 'end': 151, 'tag': 'goblinaainft'}, {'start': 152, 'end': 160, 'tag': 'goblins'}, {'start': 161, 'end': 166, 'tag': 'nfts'}, {'start': 167, 'end': 172, 'tag': 'nfts'}], 'mentions': [{'start': 0, 'end': 12, 'username': 'goblinainft', 'id': '1529682546643963904'}], 'urls': [{'start': 103, 'end': 126, 'url': 'https://t.co/Xj1refGFkX', 'expanded_url': 'http://discord.gg/3vdufGdt', 'display_url': 'discord.gg/3vdufGdt', 'images': [{'url': 'https://pbs.twimg.com/news_img/1536121801545175040/fGplJX_a?format=jpg&name=orig', 'width': 256, 'height': 256}, {'url': 'https://pbs.twimg.com/news_img/1536121801545175040/fGplJX_a?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Join the Robotico Ai Discord Server!', 'description': 'Check out the Robotico Ai community on Discord - hang out with 3 other members and enjoy free voice and text chat.', 'unwound_url': 'https://discord.com/invite/3vdufGdt'}, {'start': 217, 'end': 240, 'url': 'https://t.co/GfAl9Gmm7y', 'expanded_url': 'https://youtu.be/k59IMHiRY_M', 'display_url': 'youtu.be/k59IMHiRY_M', 'images': [{'url': 'https://pbs.twimg.com/news_img/1535881779957051392/PwDxGmzq?format=jpg&name=orig', 'width': 480, 'height': 360}, {'url': 'https://pbs.twimg.com/news_img/1535881779957051392/PwDxGmzq?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Goblin Ai Announcement - Changes - Eggs and Reveal Information', 'description': 'Watch the whole video for an update the Goblin Ai project!Opensea: https://opensea.io/collection/goblinaiTwitter: https://twitter.com/goblinainft', 'unwound_url': 'https://www.youtube.com/watch?v=k59IMHiRY_M&feature=youtu.be'}, {'start': 241, 'end': 264, 'url': 'https://t.co/yjBLP1h93K', 'expanded_url': 'https://twitter.com/goblinainft/status/1536580062543110144/photo/1', 'display_url': 'pic.twitter.com/yjBLP1h93K', 'media_key': '3_1536580060030742528'}]}"
8,1536561420162064386,2022-06-14 04:09:25+00:00,True,"@goblinainft🧹🧹🧹🧹🧹🧹  #gobfam

Discord Join Now: https://t.co/Xj1refGFkX

#goblinai #goblinaainft #goblins #nfts #nfts

If you missed the announcement watch this: https://t.co/GfAl9Gmm7y https://t.co/3V6NOMJw58",72,10,218,0,{'media_keys': ['3_1536561370056994816']},"{'hashtags': [{'start': 20, 'end': 27, 'tag': 'gobfam'}, {'start': 72, 'end': 81, 'tag': 'goblinai'}, {'start': 82, 'end': 95, 'tag': 'goblinaainft'}, {'start': 96, 'end': 104, 'tag': 'goblins'}, {'start': 105, 'end': 110, 'tag': 'nfts'}, {'start': 111, 'end': 116, 'tag': 'nfts'}], 'mentions': [{'start': 0, 'end': 12, 'username': 'goblinainft', 'id': '1529682546643963904'}], 'urls': [{'start': 47, 'end': 70, 'url': 'https://t.co/Xj1refGFkX', 'expanded_url': 'http://discord.gg/3vdufGdt', 'display_url': 'discord.gg/3vdufGdt', 'images': [{'url': 'https://pbs.twimg.com/news_img/1536121801545175040/fGplJX_a?format=jpg&name=orig', 'width': 256, 'height': 256}, {'url': 'https://pbs.twimg.com/news_img/1536121801545175040/fGplJX_a?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Join the Robotico Ai Discord Server!', 'description': 'Check out the Robotico Ai community on Discord - hang out with 3 other members and enjoy free voice and text chat.', 'unwound_url': 'https://discord.com/invite/3vdufGdt'}, {'start': 161, 'end': 184, 'url': 'https://t.co/GfAl9Gmm7y', 'expanded_url': 'https://youtu.be/k59IMHiRY_M', 'display_url': 'youtu.be/k59IMHiRY_M', 'images': [{'url': 'https://pbs.twimg.com/news_img/1535881779957051392/PwDxGmzq?format=jpg&name=orig', 'width': 480, 'height': 360}, {'url': 'https://pbs.twimg.com/news_img/1535881779957051392/PwDxGmzq?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Goblin Ai Announcement - Changes - Eggs and Reveal Information', 'description': 'Watch the whole video for an update the Goblin Ai project!Opensea: https://opensea.io/collection/goblinaiTwitter: https://twitter.com/goblinainft', 'unwound_url': 'https://www.youtube.com/watch?v=k59IMHiRY_M&feature=youtu.be'}, {'start': 185, 'end': 208, 'url': 'https://t.co/3V6NOMJw58', 'expanded_url': 'https://twitter.com/goblinainft/status/1536561420162064386/photo/1', 'display_url': 'pic.twitter.com/3V6NOMJw58', 'media_key': '3_1536561370056994816'}]}"
9,1536510915486441472,2022-06-14 00:48:43+00:00,True,"@goblinainft🧹🧹🧹🧹🧹🧹 chart going sideways while ETH dumps... this is good for #gobfam

Discord Join Now: https://t.co/Xj1refGFkX

#goblinai #goblinaainft #goblins #nfts #nfts

If you missed the announcement watch this: https://t.co/GfAl9Gmm7y https://t.co/EflQuskwnl",82,15,235,0,{'media_keys': ['3_1536510910507798529']},"{'hashtags': [{'start': 76, 'end': 83, 'tag': 'gobfam'}, {'start': 128, 'end': 137, 'tag': 'goblinai'}, {'start': 138, 'end': 151, 'tag': 'goblinaainft'}, {'start': 152, 'end': 160, 'tag': 'goblins'}, {'start': 161, 'end': 166, 'tag': 'nfts'}, {'start': 167, 'end': 172, 'tag': 'nfts'}], 'mentions': [{'start': 0, 'end': 12, 'username': 'goblinainft', 'id': '1529682546643963904'}], 'urls': [{'start': 103, 'end': 126, 'url': 'https://t.co/Xj1refGFkX', 'expanded_url': 'http://discord.gg/3vdufGdt', 'display_url': 'discord.gg/3vdufGdt', 'images': [{'url': 'https://pbs.twimg.com/news_img/1536121801545175040/fGplJX_a?format=jpg&name=orig', 'width': 256, 'height': 256}, {'url': 'https://pbs.twimg.com/news_img/1536121801545175040/fGplJX_a?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Join the Robotico Ai Discord Server!', 'description': 'Check out the Robotico Ai community on Discord - hang out with 3 other members and enjoy free voice and text chat.', 'unwound_url': 'https://discord.com/invite/3vdufGdt'}, {'start': 217, 'end': 240, 'url': 'https://t.co/GfAl9Gmm7y', 'expanded_url': 'https://youtu.be/k59IMHiRY_M', 'display_url': 'youtu.be/k59IMHiRY_M', 'images': [{'url': 'https://pbs.twimg.com/news_img/1535881779957051392/PwDxGmzq?format=jpg&name=orig', 'width': 480, 'height': 360}, {'url': 'https://pbs.twimg.com/news_img/1535881779957051392/PwDxGmzq?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Goblin Ai Announcement - Changes - Eggs and Reveal Information', 'description': 'Watch the whole video for an update the Goblin Ai project!Opensea: https://opensea.io/collection/goblinaiTwitter: https://twitter.com/goblinainft', 'unwound_url': 'https://www.youtube.com/watch?v=k59IMHiRY_M&feature=youtu.be'}, {'start': 241, 'end': 264, 'url': 'https://t.co/EflQuskwnl', 'expanded_url': 'https://twitter.com/goblinainft/status/1536510915486441472/photo/1', 'display_url': 'pic.twitter.com/EflQuskwnl', 'media_key': '3_1536510910507798529'}]}"
