,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1534724775486050304,2022-06-09 02:31:14+00:00,False,"RT @crypto4nft: @allnick @kumitenft @niftyportal Nᵢcₖ, dₒₑₛ Mᵣ. Pᵤᵣₚₗₑ ₛₑᵣᵥₑ McGₒbₗᵢₙ bᵤᵣgₑᵣ fₒᵣ Nᵢfₜy Pₒᵣₜaₗ'ₛ NFT NYC ₑᵥₑₙₜ? @piovincenzo…",10,0,0,0,,"{'mentions': [{'start': 3, 'end': 14, 'username': 'crypto4nft', 'id': '1431731991502798854'}, {'start': 16, 'end': 24, 'username': 'allnick', 'id': '965651'}, {'start': 25, 'end': 35, 'username': 'kumitenft', 'id': '1499435289252536360'}, {'start': 36, 'end': 48, 'username': 'niftyportal', 'id': '1460263216416792577'}]}"
1,1534724213596213249,2022-06-09 02:29:00+00:00,False,"RT @restinbit: What a busy first day for @urkiwtf at @McGoblinBurger 
He made 7,217 McGoblin Burgers and fukdup 11 of them, not too shabby.…",41,0,0,0,,"{'mentions': [{'start': 3, 'end': 13, 'username': 'restinbit', 'id': '946373301655474176'}, {'start': 41, 'end': 49, 'username': 'urkiwtf', 'id': '1529936081961074705'}, {'start': 53, 'end': 68, 'username': 'McGoblinBurger', 'id': '1528045891239616512'}]}"
2,1534720638954491908,2022-06-09 02:14:48+00:00,False,RT @PapasitoWtf: TenK Ue for Free fiddy burgur @McGoblinBurger @goblintownwtf https://t.co/vbQg4D2kxD,4,0,0,0,"{'media_keys': ['3_1534717286669381638', '3_1534717286669377536']}","{'mentions': [{'start': 3, 'end': 15, 'username': 'PapasitoWtf', 'id': '1433279114052472835'}, {'start': 47, 'end': 62, 'username': 'McGoblinBurger', 'id': '1528045891239616512'}, {'start': 63, 'end': 77, 'username': 'goblintownwtf', 'id': '1524825844677545987'}], 'urls': [{'start': 78, 'end': 101, 'url': 'https://t.co/vbQg4D2kxD', 'expanded_url': 'https://twitter.com/PapasitoWtf/status/1534717299529093120/photo/1', 'display_url': 'pic.twitter.com/vbQg4D2kxD', 'media_key': '3_1534717286669381638'}, {'start': 78, 'end': 101, 'url': 'https://t.co/vbQg4D2kxD', 'expanded_url': 'https://twitter.com/PapasitoWtf/status/1534717299529093120/photo/1', 'display_url': 'pic.twitter.com/vbQg4D2kxD', 'media_key': '3_1534717286669377536'}]}"
3,1534720581207314438,2022-06-09 02:14:34+00:00,False,RT @molly_mccutch: #NewProfilePic https://t.co/KxnUqlkire,26,0,0,0,{'media_keys': ['3_1534715564802904065']},"{'hashtags': [{'start': 19, 'end': 33, 'tag': 'NewProfilePic'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'molly_mccutch', 'id': '2759819482'}], 'urls': [{'start': 34, 'end': 57, 'url': 'https://t.co/KxnUqlkire', 'expanded_url': 'https://twitter.com/molly_mccutch/status/1534715567688523777/photo/1', 'display_url': 'pic.twitter.com/KxnUqlkire', 'media_key': '3_1534715564802904065'}]}"
4,1534714959325712385,2022-06-09 01:52:14+00:00,False,"RT @cryptwizzard: Excuse me ser @urkiwtf there is something on my garlic @McGoblinBurger 

@goblintownwtf https://t.co/H2GgV1lStl",20,0,0,0,{'media_keys': ['7_1534713026695565317']},"{'mentions': [{'start': 3, 'end': 16, 'username': 'cryptwizzard', 'id': '1503723589413257217'}, {'start': 32, 'end': 40, 'username': 'urkiwtf', 'id': '1529936081961074705'}, {'start': 73, 'end': 88, 'username': 'McGoblinBurger', 'id': '1528045891239616512'}, {'start': 91, 'end': 105, 'username': 'goblintownwtf', 'id': '1524825844677545987'}], 'urls': [{'start': 106, 'end': 129, 'url': 'https://t.co/H2GgV1lStl', 'expanded_url': 'https://twitter.com/cryptwizzard/status/1534713062334562305/video/1', 'display_url': 'pic.twitter.com/H2GgV1lStl', 'media_key': '7_1534713026695565317'}]}"
5,1534714805252145153,2022-06-09 01:51:37+00:00,False,"RT @LeaveMeAloneNFT: @beeple HEY HEY HEY LEAVE THE GOBLINS ALONE!
@goblintownwtf https://t.co/7WJWbQCkT1",51,0,0,0,{'media_keys': ['3_1533489377380290564']},"{'mentions': [{'start': 3, 'end': 19, 'username': 'LeaveMeAloneNFT', 'id': '1510395742753542145'}, {'start': 21, 'end': 28, 'username': 'beeple', 'id': '34097500'}, {'start': 66, 'end': 80, 'username': 'goblintownwtf', 'id': '1524825844677545987'}], 'urls': [{'start': 81, 'end': 104, 'url': 'https://t.co/7WJWbQCkT1', 'expanded_url': 'https://twitter.com/LeaveMeAloneNFT/status/1533495548786970627/photo/1', 'display_url': 'pic.twitter.com/7WJWbQCkT1', 'media_key': '3_1533489377380290564'}]}"
6,1534714701229215745,2022-06-09 01:51:13+00:00,False,RT @Wire_lyss: .@molly_mccutch TₑₙKₛ Fᵢᵣ Kaₘᵢₙ!! Wₑ FₑₑXd Yₑᵣ PFP! @goblintownwtf @McGoblinBurger https://t.co/bTx8Bgmwd2,16,0,0,0,"{'media_keys': ['3_1534713358028623873', '3_1534713406346956801']}","{'mentions': [{'start': 3, 'end': 13, 'username': 'Wire_lyss', 'id': '887814866'}, {'start': 16, 'end': 30, 'username': 'molly_mccutch', 'id': '2759819482'}, {'start': 67, 'end': 81, 'username': 'goblintownwtf', 'id': '1524825844677545987'}, {'start': 82, 'end': 97, 'username': 'McGoblinBurger', 'id': '1528045891239616512'}], 'urls': [{'start': 98, 'end': 121, 'url': 'https://t.co/bTx8Bgmwd2', 'expanded_url': 'https://twitter.com/Wire_lyss/status/1534713553579651072/photo/1', 'display_url': 'pic.twitter.com/bTx8Bgmwd2', 'media_key': '3_1534713358028623873'}, {'start': 98, 'end': 121, 'url': 'https://t.co/bTx8Bgmwd2', 'expanded_url': 'https://twitter.com/Wire_lyss/status/1534713553579651072/photo/1', 'display_url': 'pic.twitter.com/bTx8Bgmwd2', 'media_key': '3_1534713406346956801'}]}"
7,1534714556760588288,2022-06-09 01:50:38+00:00,False,RT @FUDdlemint: @SoftExtremities @goblintownwtf I say yes https://t.co/hXNkjsNZqm,4,0,0,0,{'media_keys': ['16_1534713951103205380']},"{'mentions': [{'start': 3, 'end': 14, 'username': 'FUDdlemint', 'id': '1352076383414005760'}, {'start': 16, 'end': 32, 'username': 'SoftExtremities', 'id': '351165431'}, {'start': 33, 'end': 47, 'username': 'goblintownwtf', 'id': '1524825844677545987'}], 'urls': [{'start': 58, 'end': 81, 'url': 'https://t.co/hXNkjsNZqm', 'expanded_url': 'https://twitter.com/FUDdlemint/status/1534713958065655810/photo/1', 'display_url': 'pic.twitter.com/hXNkjsNZqm', 'media_key': '16_1534713951103205380'}]}"
8,1534714120410435586,2022-06-09 01:48:54+00:00,False,RT @undervaluedJPEG: @SlamDiegoZoo @McGoblinBurger @goblintownwtf combo 420 metadata is live but the image is not! https://t.co/7FqnVqJ0Qj,8,0,0,0,{'media_keys': ['3_1534713411623391232']},"{'mentions': [{'start': 3, 'end': 19, 'username': 'undervaluedJPEG', 'id': '1532392476484452353'}, {'start': 21, 'end': 34, 'username': 'SlamDiegoZoo', 'id': '1285294295751114752'}, {'start': 35, 'end': 50, 'username': 'McGoblinBurger', 'id': '1528045891239616512'}, {'start': 51, 'end': 65, 'username': 'goblintownwtf', 'id': '1524825844677545987'}], 'urls': [{'start': 115, 'end': 138, 'url': 'https://t.co/7FqnVqJ0Qj', 'expanded_url': 'https://twitter.com/undervaluedJPEG/status/1534713581748494341/photo/1', 'display_url': 'pic.twitter.com/7FqnVqJ0Qj', 'media_key': '3_1534713411623391232'}]}"
9,1534713378102464512,2022-06-09 01:45:57+00:00,False,"RT @BrazEth: My goblins and burrrrrgussss 😋😋😋
post yours below.👇

#goblintown
#goblintownNFT 
#goblintownwtf
#goblinfollowgoblin https://t.…",5,0,0,0,,"{'hashtags': [{'start': 66, 'end': 77, 'tag': 'goblintown'}, {'start': 78, 'end': 92, 'tag': 'goblintownNFT'}, {'start': 94, 'end': 108, 'tag': 'goblintownwtf'}, {'start': 109, 'end': 128, 'tag': 'goblinfollowgoblin'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'BrazEth', 'id': '957988976274628608'}]}"
