,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1533614536938295296,2022-06-06 00:59:33+00:00,False,"goop

 https://t.co/ca7mj8zTfU",1,0,4,0,,"{'urls': [{'start': 7, 'end': 30, 'url': 'https://t.co/ca7mj8zTfU', 'expanded_url': 'https://twitter.com/i/spaces/1zqKVBEkmzPKB', 'display_url': 'twitter.com/i/spaces/1zqKV…'}]}"
1,1533593503334338561,2022-06-05 23:35:58+00:00,False,goop https://t.co/X793A51RYc,3,2,16,0,,"{'urls': [{'start': 5, 'end': 28, 'url': 'https://t.co/X793A51RYc', 'expanded_url': 'https://twitter.com/goopdoods/status/1532423016063422467', 'display_url': 'twitter.com/goopdoods/stat…'}]}"
2,1533552654726615040,2022-06-05 20:53:39+00:00,False,#lifeisgoop https://t.co/PVz2qUBYDl,9,4,58,0,{'media_keys': ['7_1533552591174520833']},"{'hashtags': [{'start': 0, 'end': 11, 'tag': 'lifeisgoop'}], 'urls': [{'start': 12, 'end': 35, 'url': 'https://t.co/PVz2qUBYDl', 'expanded_url': 'https://twitter.com/goopdoods/status/1533552654726615040/video/1', 'display_url': 'pic.twitter.com/PVz2qUBYDl', 'media_key': '7_1533552591174520833'}]}"
3,1533493925264203776,2022-06-05 17:00:17+00:00,False,"goop morning!

reminder:

twitter space sunday 9:00pm est

nft nyc w/ fetty goop

merch this month

we still goopin or what?!",23,13,103,0,,
4,1533165011052396544,2022-06-04 19:13:18+00:00,False,fetty goop 🫢,11,3,107,1,,
5,1533132204104110084,2022-06-04 17:02:56+00:00,False,"😈

goops only. 
rsvp details in a few days.

let’s get mf lit. https://t.co/IiTxqrdCuK",100,38,345,21,{'media_keys': ['3_1533132198655688704']},"{'urls': [{'start': 63, 'end': 86, 'url': 'https://t.co/IiTxqrdCuK', 'expanded_url': 'https://twitter.com/goopdoods/status/1533132204104110084/photo/1', 'display_url': 'pic.twitter.com/IiTxqrdCuK', 'media_key': '3_1533132198655688704'}]}"
6,1533079848201093122,2022-06-04 13:34:53+00:00,False,"I’m shy, 

goop https://t.co/IB68YSmj11",12,9,88,0,{'media_keys': ['3_1533079794300211202']},"{'urls': [{'start': 16, 'end': 39, 'url': 'https://t.co/IB68YSmj11', 'expanded_url': 'https://twitter.com/goopdoods/status/1533079848201093122/photo/1', 'display_url': 'pic.twitter.com/IB68YSmj11', 'media_key': '3_1533079794300211202'}]}"
7,1532759685438259201,2022-06-03 16:22:40+00:00,False,goop morning?,14,16,124,0,,
8,1532505969942532103,2022-06-02 23:34:30+00:00,False,"RT @grubbsk: I've been collecting @goopdoods for a little while now and here's some of what I've learned.

I don't usually goop threads but…",31,0,0,0,,"{'mentions': [{'start': 3, 'end': 11, 'username': 'grubbsk', 'id': '107467143'}, {'start': 34, 'end': 44, 'username': 'goopdoods', 'id': '1435251083949993984'}]}"
9,1532489666561294336,2022-06-02 22:29:43+00:00,False,RT @oliviapedi: so satisfying 👀 https://t.co/vLGf0Nxgdy,12,0,0,0,{'media_keys': ['3_1532447485133615104']},"{'mentions': [{'start': 3, 'end': 14, 'username': 'oliviapedi', 'id': '3311450117'}], 'urls': [{'start': 32, 'end': 55, 'url': 'https://t.co/vLGf0Nxgdy', 'expanded_url': 'https://twitter.com/oliviapedi/status/1532447494281474049/photo/1', 'display_url': 'pic.twitter.com/vLGf0Nxgdy', 'media_key': '3_1532447485133615104'}]}"
10,1532471509826035713,2022-06-02 21:17:34+00:00,False,https://t.co/vTMvA9KEEA,6,3,54,0,"{'media_keys': ['3_1532471447314128909', '3_1532471447310016512']}","{'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/vTMvA9KEEA', 'expanded_url': 'https://twitter.com/goopdoods/status/1532471509826035713/photo/1', 'display_url': 'pic.twitter.com/vTMvA9KEEA', 'media_key': '3_1532471447314128909'}, {'start': 0, 'end': 23, 'url': 'https://t.co/vTMvA9KEEA', 'expanded_url': 'https://twitter.com/goopdoods/status/1532471509826035713/photo/1', 'display_url': 'pic.twitter.com/vTMvA9KEEA', 'media_key': '3_1532471447310016512'}]}"
11,1532423016063422467,2022-06-02 18:04:52+00:00,False,"*mic drop*

https://t.co/ca7mj8iiom",8,4,37,1,,"{'urls': [{'start': 12, 'end': 35, 'url': 'https://t.co/ca7mj8iiom', 'expanded_url': 'https://twitter.com/i/spaces/1zqKVBEkmzPKB', 'display_url': 'twitter.com/i/spaces/1zqKV…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1532423059126222848/429RhLXG?format=jpg&name=orig', 'width': 1200, 'height': 630}, {'url': 'https://pbs.twimg.com/news_img/1532423059126222848/429RhLXG?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Scheduled: goop?', 'description': 'goopdoods by GOOPDUDE’s space · Where live audio conversations happen', 'unwound_url': 'https://twitter.com/i/spaces/1zqKVBEkmzPKB'}]}"
12,1532378199501459463,2022-06-02 15:06:47+00:00,False,can’t we all goop along?,11,3,79,0,,
13,1532377467968684033,2022-06-02 15:03:53+00:00,False,"RT @thirdcoastr: Woke up feeling goop, no hesitation when I saw this cutie and their goop pal Chuck. I have a feeling that #goopfollowgoop…",10,0,0,0,,"{'hashtags': [{'start': 123, 'end': 138, 'tag': 'goopfollowgoop'}], 'mentions': [{'start': 3, 'end': 15, 'username': 'thirdcoastr', 'id': '1415042623488790533'}], 'annotations': [{'start': 94, 'end': 98, 'probability': 0.9564, 'type': 'Person', 'normalized_text': 'Chuck'}]}"
14,1532228124129349633,2022-06-02 05:10:26+00:00,False,RT @thisiskyleadams: Since I made the fatal error to part ways with @goblintownwtf I decided to pick up another beautiful @goopdoods to mak…,18,0,0,0,,"{'mentions': [{'start': 3, 'end': 19, 'username': 'thisiskyleadams', 'id': '1456389901109248019'}, {'start': 68, 'end': 82, 'username': 'goblintownwtf', 'id': '1524825844677545987'}, {'start': 122, 'end': 132, 'username': 'goopdoods', 'id': '1435251083949993984'}]}"
15,1532088576661389314,2022-06-01 19:55:56+00:00,False,RT @UrMomNFT: FUCK IT https://t.co/dvf19pC4tX,6,0,0,0,,"{'mentions': [{'start': 3, 'end': 12, 'username': 'UrMomNFT', 'id': '246532544'}], 'urls': [{'start': 22, 'end': 45, 'url': 'https://t.co/dvf19pC4tX', 'expanded_url': 'https://twitter.com/i/spaces/1OwxWzdgVVWJQ', 'display_url': 'twitter.com/i/spaces/1OwxW…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1532087925911048196/ObFo5ryx?format=jpg&name=orig', 'width': 1200, 'height': 630}, {'url': 'https://pbs.twimg.com/news_img/1532087925911048196/ObFo5ryx?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Happening now: 15 MINUTE GOOP MEDITATION', 'description': 'barson.eth’s space · 1 listening · Where live audio conversations happen', 'unwound_url': 'https://twitter.com/i/spaces/1OwxWzdgVVWJQ'}]}"
16,1532064450463035392,2022-06-01 18:20:04+00:00,False,RT @1lastkissonmoon: Yo where are Goops? I don't wanna see Goblins full of my timeline. Goop Still Goop. @goopdoods  #goopdoods #goop #nft…,27,0,0,0,,"{'hashtags': [{'start': 117, 'end': 127, 'tag': 'goopdoods'}, {'start': 128, 'end': 133, 'tag': 'goop'}, {'start': 134, 'end': 138, 'tag': 'nft'}], 'mentions': [{'start': 3, 'end': 19, 'username': '1lastkissonmoon', 'id': '1043801573850112000'}, {'start': 105, 'end': 115, 'username': 'goopdoods', 'id': '1435251083949993984'}]}"
17,1532020472602316800,2022-06-01 15:25:18+00:00,False,"RT @sxtvik: underrated and affordable projects I really like because of the team, art, and vibes:
@AviusAnimaeNFT
@memnfts
@tweak_labs
@goo…",69,0,0,0,,"{'mentions': [{'start': 3, 'end': 10, 'username': 'sxtvik', 'id': '731800772174811136'}, {'start': 98, 'end': 113, 'username': 'AviusAnimaeNFT', 'id': '1516508258718134277'}, {'start': 114, 'end': 122, 'username': 'memnfts', 'id': '1474951505174269953'}, {'start': 123, 'end': 134, 'username': 'tweak_labs', 'id': '1362196856063684608'}]}"
18,1532020370240327685,2022-06-01 15:24:54+00:00,False,"RT @ccon_eth: Why GoopDoods will be the most sought after NFT in the space this summer.

a 🧵",14,0,0,0,,"{'mentions': [{'start': 3, 'end': 12, 'username': 'ccon_eth', 'id': '1530676058311122944'}], 'annotations': [{'start': 18, 'end': 26, 'probability': 0.3795, 'type': 'Person', 'normalized_text': 'GoopDoods'}]}"
19,1532016977954361352,2022-06-01 15:11:25+00:00,False,"it’s have a goop morning today, tomorrow, &amp; everyday…not have a good morning.

some exciting stuff coming this month

be on the lookout for a goop space real soon",13,1,73,0,,
20,1532013683534086145,2022-06-01 14:58:20+00:00,False,RT @UrMomNFT: dis is cool 👍 https://t.co/xqlyyhZCLj,19,0,0,0,{'media_keys': ['3_1531744405878603777']},"{'mentions': [{'start': 3, 'end': 12, 'username': 'UrMomNFT', 'id': '246532544'}], 'urls': [{'start': 28, 'end': 51, 'url': 'https://t.co/xqlyyhZCLj', 'expanded_url': 'https://twitter.com/UrMomNFT/status/1531744413034106886/photo/1', 'display_url': 'pic.twitter.com/xqlyyhZCLj', 'media_key': '3_1531744405878603777'}]}"
21,1531768833064706048,2022-05-31 22:45:23+00:00,False,RT @ElSuave88779308: Goopspace with ⁦@toronto_person⁩ the amazing ⁦@goopdoods⁩ artist https://t.co/U2Jn4bIASu,1,0,0,0,,"{'mentions': [{'start': 3, 'end': 19, 'username': 'ElSuave88779308', 'id': '1473841355533266950'}, {'start': 37, 'end': 52, 'username': 'toronto_person', 'id': '1121479288035921920'}, {'start': 67, 'end': 77, 'username': 'goopdoods', 'id': '1435251083949993984'}], 'urls': [{'start': 86, 'end': 109, 'url': 'https://t.co/U2Jn4bIASu', 'expanded_url': 'https://twitter.com/i/spaces/1nAKEYZPZOkKL', 'display_url': 'twitter.com/i/spaces/1nAKE…'}]}"
22,1531691224448610305,2022-05-31 17:37:00+00:00,False,RT @SickOfSeaTea: @goopdoods Gooopp https://t.co/KsB5uTe9ZR,3,0,0,0,{'media_keys': ['3_1531682976966361089']},"{'mentions': [{'start': 3, 'end': 16, 'username': 'SickOfSeaTea', 'id': '1513346130100338691'}, {'start': 18, 'end': 28, 'username': 'goopdoods', 'id': '1435251083949993984'}], 'urls': [{'start': 36, 'end': 59, 'url': 'https://t.co/KsB5uTe9ZR', 'expanded_url': 'https://twitter.com/SickOfSeaTea/status/1531682984339939331/photo/1', 'display_url': 'pic.twitter.com/KsB5uTe9ZR', 'media_key': '3_1531682976966361089'}]}"
23,1531682886646128646,2022-05-31 17:03:52+00:00,False,"she said goop

so I told her goop",8,3,83,0,,
24,1531639970900983809,2022-05-31 14:13:20+00:00,False,"it’s a great day to have a goop morning 🤝

twitter space tomorrow?",8,9,99,1,,
