,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1533896185471193100,2022-06-06 19:38:43+00:00,False,This week is g̴o̴i̶n̵g̶ ̶t̷o̵ ̵b̶e̵ ̴ īn̷t̵e̵r̶e̵s̷t̵i̵n̷g̴ 👀 https://t.co/4V25XEa33V,15,3,50,1,{'media_keys': ['3_1533896181272743936']},"{'urls': [{'start': 62, 'end': 85, 'url': 'https://t.co/4V25XEa33V', 'expanded_url': 'https://twitter.com/iamchillpill/status/1533896185471193100/photo/1', 'display_url': 'pic.twitter.com/4V25XEa33V', 'media_key': '3_1533896181272743936'}]}"
1,1533880227625152512,2022-06-06 18:35:19+00:00,False,RT @omgkirbyDAO: ⚡️⚡️ come vibe with us tonight talking metaverse music w @iamchillpill @sidneyswift @soundmintxyz ⚡️⚡️ https://t.co/Ia3Iml…,7,0,0,0,,"{'mentions': [{'start': 3, 'end': 15, 'username': 'omgkirbyDAO', 'id': '1255710597804482560'}, {'start': 74, 'end': 87, 'username': 'iamchillpill', 'id': '1214757469785747457'}, {'start': 88, 'end': 100, 'username': 'sidneyswift', 'id': '121861258'}, {'start': 101, 'end': 114, 'username': 'soundmintxyz', 'id': '1444172953852080131'}]}"
2,1533250402644381698,2022-06-05 00:52:37+00:00,False,"RT @dragaan_v1: Fun fact: my song ""Call You Mine"" won a sample flip competition in @iamchillpill -- it started with a simple guitar loop th…",14,0,0,0,,"{'annotations': [{'start': 35, 'end': 47, 'probability': 0.9421, 'type': 'Other', 'normalized_text': 'Call You Mine'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'dragaan_v1', 'id': '516201486'}, {'start': 83, 'end': 96, 'username': 'iamchillpill', 'id': '1214757469785747457'}]}"
3,1533250285958733825,2022-06-05 00:52:09+00:00,False,RT @rxJoeDay: The @iamchillpill community gives me life ❤️‍🔥❤️‍🔥❤️‍🔥,7,0,0,0,,"{'mentions': [{'start': 3, 'end': 12, 'username': 'rxJoeDay', 'id': '303431312'}, {'start': 18, 'end': 31, 'username': 'iamchillpill', 'id': '1214757469785747457'}]}"
4,1532852382513627137,2022-06-03 22:31:01+00:00,False,"3rd times a charm… Right?

Hop back in you won’t want to miss this one!! 👇
https://t.co/bVX8NEXJkU",8,1,19,0,,"{'urls': [{'start': 75, 'end': 98, 'url': 'https://t.co/bVX8NEXJkU', 'expanded_url': 'https://twitter.com/i/spaces/1nAKEYZkjvyKL', 'display_url': 'twitter.com/i/spaces/1nAKE…'}]}"
5,1532815162528382982,2022-06-03 20:03:07+00:00,False,"SWEEP ALERT 🧹🧹🧹

@spiritbomb_ai just swept 25 NFTs off the floor and gave us 10 WL to giveaway!

Like, RT &amp; follow to enter 🔥 https://t.co/vhK1jAMKn7",43,10,215,3,{'media_keys': ['3_1532815154697670657']},"{'urls': [{'start': 130, 'end': 153, 'url': 'https://t.co/vhK1jAMKn7', 'expanded_url': 'https://twitter.com/iamchillpill/status/1532815162528382982/photo/1', 'display_url': 'pic.twitter.com/vhK1jAMKn7', 'media_key': '3_1532815154697670657'}], 'mentions': [{'start': 17, 'end': 31, 'username': 'spiritbomb_ai', 'id': '1258887798100094976'}]}"
6,1532763523218083841,2022-06-03 16:37:55+00:00,False,"RT @mintsongs: Going to be one for the books @iamchillpill @SquadOfKnights 🤝

Who’s coming to vibe with us?",14,0,0,0,,"{'mentions': [{'start': 3, 'end': 13, 'username': 'mintsongs', 'id': '1062782217053790214'}, {'start': 45, 'end': 58, 'username': 'iamchillpill', 'id': '1214757469785747457'}, {'start': 59, 'end': 74, 'username': 'SquadOfKnights', 'id': '1382488497018310658'}]}"
7,1532763468033572866,2022-06-03 16:37:42+00:00,False,"RT @SquadOfKnights: 🚨 SQUAD UP and CHILL 🚨

We are honored to partner with @mintsongs and one of the freshest Web3 Music projects @iamchill…",20,0,0,0,,"{'mentions': [{'start': 3, 'end': 18, 'username': 'SquadOfKnights', 'id': '1382488497018310658'}, {'start': 75, 'end': 85, 'username': 'mintsongs', 'id': '1062782217053790214'}]}"
8,1532537401507295233,2022-06-03 01:39:24+00:00,True,Who needs an invite? 🎶👇,4,15,45,0,,
9,1532530974277378078,2022-06-03 01:13:51+00:00,False,It’s official pills — We’re bringing the music to NFT NYC. https://t.co/EZF4Q8FUzK,35,16,171,7,{'media_keys': ['3_1532530968896086028']},"{'urls': [{'start': 59, 'end': 82, 'url': 'https://t.co/EZF4Q8FUzK', 'expanded_url': 'https://twitter.com/iamchillpill/status/1532530974277378078/photo/1', 'display_url': 'pic.twitter.com/EZF4Q8FUzK', 'media_key': '3_1532530968896086028'}], 'annotations': [{'start': 50, 'end': 56, 'probability': 0.8076, 'type': 'Place', 'normalized_text': 'NFT NYC'}]}"
