,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1530941448522113024,2022-05-29 15:57:39+00:00,False,"Our Official Rarity Ranking is live on Rarity Sniper! 💎

Go check your rank here:
https://t.co/CthIvh0MIW

@RaritySniperNFT",1,0,6,0,,"{'mentions': [{'start': 107, 'end': 123, 'username': 'RaritySniperNFT', 'id': '1416070452372459523'}], 'urls': [{'start': 82, 'end': 105, 'url': 'https://t.co/CthIvh0MIW', 'expanded_url': 'https://raritysniper.com/world-of-irukandji', 'display_url': 'raritysniper.com/world-of-iruka…'}]}"
1,1530926613054992384,2022-05-29 14:58:42+00:00,False,"🚀 Red Astro Wars X Irukandji World🚀 

We are excited to partner up with @RedAstroWars an upcoming MMORPG P2E Gaming Ecosystem ⚔️

🎫 Giving away 2x Launch Passes (WL)

To enter:
&gt; Follow @RedAstroWars &amp; @IrukandjiWorld 
&gt; Like ❤️ + RT 🔁
&gt; Tag frens 🧑‍🚀

#NFT #NFTGiveaway https://t.co/2w7Ryszd8Y",26,24,36,0,{'media_keys': ['3_1530926606910337024']},"{'mentions': [{'start': 72, 'end': 85, 'username': 'RedAstroWars', 'id': '1479748277129994242'}, {'start': 189, 'end': 202, 'username': 'RedAstroWars', 'id': '1479748277129994242'}, {'start': 209, 'end': 224, 'username': 'IrukandjiWorld', 'id': '1489944696231436292'}], 'hashtags': [{'start': 266, 'end': 270, 'tag': 'NFT'}, {'start': 271, 'end': 283, 'tag': 'NFTGiveaway'}], 'annotations': [{'start': 100, 'end': 126, 'probability': 0.5351, 'type': 'Product', 'normalized_text': 'MMORPG P2E Gaming Ecosystem'}], 'urls': [{'start': 284, 'end': 307, 'url': 'https://t.co/2w7Ryszd8Y', 'expanded_url': 'https://twitter.com/IrukandjiWorld/status/1530926613054992384/photo/1', 'display_url': 'pic.twitter.com/2w7Ryszd8Y', 'media_key': '3_1530926606910337024'}]}"
2,1530828556074246144,2022-05-29 08:29:03+00:00,False,RT @callmehend: hmmm i guess its 1/1? @vngnc @IrukandjiWorld https://t.co/2O6frD1nxX,6,0,0,0,{'media_keys': ['7_1530540288632053762']},"{'mentions': [{'start': 3, 'end': 14, 'username': 'callmehend', 'id': '1451219020250632194'}, {'start': 38, 'end': 44, 'username': 'vngnc', 'id': '36905540'}, {'start': 45, 'end': 60, 'username': 'IrukandjiWorld', 'id': '1489944696231436292'}], 'urls': [{'start': 61, 'end': 84, 'url': 'https://t.co/2O6frD1nxX', 'expanded_url': 'https://twitter.com/callmehend/status/1530540847833522176/video/1', 'display_url': 'pic.twitter.com/2O6frD1nxX', 'media_key': '7_1530540288632053762'}]}"
3,1530815532143783936,2022-05-29 07:37:18+00:00,False,"RT @cakdolan: Look at that sparkling teeth✨
@IrukandjiWorld @yourbae @vngnc @RajaWidarna @dananantara @Aydenflinz https://t.co/eWHmS3U5z3",1,0,0,0,{'media_keys': ['3_1530658063619084288']},"{'mentions': [{'start': 3, 'end': 12, 'username': 'cakdolan', 'id': '2877842814'}, {'start': 44, 'end': 59, 'username': 'IrukandjiWorld', 'id': '1489944696231436292'}, {'start': 60, 'end': 68, 'username': 'yourbae', 'id': '979237506343346177'}, {'start': 69, 'end': 75, 'username': 'vngnc', 'id': '36905540'}, {'start': 76, 'end': 88, 'username': 'RajaWidarna', 'id': '1660872661'}, {'start': 89, 'end': 101, 'username': 'dananantara', 'id': '964205153497698304'}, {'start': 102, 'end': 113, 'username': 'Aydenflinz', 'id': '1506581471359750148'}], 'urls': [{'start': 114, 'end': 137, 'url': 'https://t.co/eWHmS3U5z3', 'expanded_url': 'https://twitter.com/cakdolan/status/1530659098697793537/photo/1', 'display_url': 'pic.twitter.com/eWHmS3U5z3', 'media_key': '3_1530658063619084288'}]}"
4,1530815130849595392,2022-05-29 07:35:43+00:00,False,"RT @vngnc: Few legendaries were revealed during this @IrukandjiWorld, including The Explorer. https://t.co/oEjhdZrBgr",3,0,0,0,{'media_keys': ['3_1530541935584514049']},"{'mentions': [{'start': 3, 'end': 9, 'username': 'vngnc', 'id': '36905540'}, {'start': 53, 'end': 68, 'username': 'IrukandjiWorld', 'id': '1489944696231436292'}], 'annotations': [{'start': 80, 'end': 91, 'probability': 0.3668, 'type': 'Organization', 'normalized_text': 'The Explorer'}], 'urls': [{'start': 94, 'end': 117, 'url': 'https://t.co/oEjhdZrBgr', 'expanded_url': 'https://twitter.com/vngnc/status/1530542265361637378/photo/1', 'display_url': 'pic.twitter.com/oEjhdZrBgr', 'media_key': '3_1530541935584514049'}]}"
5,1530815019398467584,2022-05-29 07:35:16+00:00,False,"RT @JuneeNFT: !yoshhh ✨ @IrukandjiWorld @yourbae 
@vngnc 

Props to @c0smicbliss @baybaypras @bayumarlin_ @Tibud 🔥 https://t.co/9RYDnkExDV",3,0,0,0,{'media_keys': ['3_1530784388426113026']},"{'mentions': [{'start': 3, 'end': 12, 'username': 'JuneeNFT', 'id': '369863824'}, {'start': 24, 'end': 39, 'username': 'IrukandjiWorld', 'id': '1489944696231436292'}, {'start': 40, 'end': 48, 'username': 'yourbae', 'id': '979237506343346177'}, {'start': 50, 'end': 56, 'username': 'vngnc', 'id': '36905540'}, {'start': 68, 'end': 80, 'username': 'c0smicbliss', 'id': '252970552'}, {'start': 81, 'end': 92, 'username': 'baybaypras', 'id': '574353250'}, {'start': 93, 'end': 105, 'username': 'bayumarlin_', 'id': '1389652839832580099'}, {'start': 106, 'end': 112, 'username': 'tibud', 'id': '71798980'}], 'urls': [{'start': 115, 'end': 138, 'url': 'https://t.co/9RYDnkExDV', 'expanded_url': 'https://twitter.com/JuneeNFT/status/1530784394495279104/photo/1', 'display_url': 'pic.twitter.com/9RYDnkExDV', 'media_key': '3_1530784388426113026'}]}"
6,1530814988813627392,2022-05-29 07:35:09+00:00,False,"RT @ryandri_lowell: Dang, this girl is smokin’ hot 👀

@IrukandjiWorld @vngnc @yourbae https://t.co/qvvTI075iR",2,0,0,0,{'media_keys': ['3_1530541134178656257']},"{'mentions': [{'start': 3, 'end': 18, 'username': 'ryandri_lowell', 'id': '1500495891098132484'}, {'start': 54, 'end': 69, 'username': 'IrukandjiWorld', 'id': '1489944696231436292'}, {'start': 70, 'end': 76, 'username': 'vngnc', 'id': '36905540'}, {'start': 77, 'end': 85, 'username': 'yourbae', 'id': '979237506343346177'}], 'urls': [{'start': 86, 'end': 109, 'url': 'https://t.co/qvvTI075iR', 'expanded_url': 'https://twitter.com/ryandri_lowell/status/1530541153724305408/photo/1', 'display_url': 'pic.twitter.com/qvvTI075iR', 'media_key': '3_1530541134178656257'}]}"
7,1530814945377386496,2022-05-29 07:34:58+00:00,False,"RT @RajaWidarna: @IrukandjiWorld This is mine, where's yours?
I really love this art,thanks @vngnc 💙
Thanks for our capt @yourbae and Team…",3,0,0,0,,"{'mentions': [{'start': 3, 'end': 15, 'username': 'RajaWidarna', 'id': '1660872661'}, {'start': 17, 'end': 32, 'username': 'IrukandjiWorld', 'id': '1489944696231436292'}, {'start': 92, 'end': 98, 'username': 'vngnc', 'id': '36905540'}, {'start': 121, 'end': 129, 'username': 'yourbae', 'id': '979237506343346177'}]}"
8,1530568984093130752,2022-05-28 15:17:37+00:00,False,Definitely! https://t.co/2hIYN6Xi8w,17,2,42,0,,"{'urls': [{'start': 12, 'end': 35, 'url': 'https://t.co/2hIYN6Xi8w', 'expanded_url': 'https://twitter.com/whyarewehere42/status/1530561473059164161', 'display_url': 'twitter.com/whyarewehere42…'}]}"
9,1530568938190667776,2022-05-28 15:17:26+00:00,False,❤️❤️❤️ https://t.co/yoQ5e6vimV,7,1,18,0,,"{'urls': [{'start': 7, 'end': 30, 'url': 'https://t.co/yoQ5e6vimV', 'expanded_url': 'https://twitter.com/KaibaSmith/status/1530563234758922242', 'display_url': 'twitter.com/KaibaSmith/sta…'}]}"
10,1530568902945943558,2022-05-28 15:17:17+00:00,False,RT @feli_cf: Amazing @IrukandjiWorld YOSH!!! https://t.co/1TXs8IsnOR,4,0,0,0,{'media_keys': ['3_1530563832967733248']},"{'mentions': [{'start': 3, 'end': 11, 'username': 'feli_cf', 'id': '80770493'}, {'start': 21, 'end': 36, 'username': 'IrukandjiWorld', 'id': '1489944696231436292'}], 'urls': [{'start': 45, 'end': 68, 'url': 'https://t.co/1TXs8IsnOR', 'expanded_url': 'https://twitter.com/feli_cf/status/1530563838906867713/photo/1', 'display_url': 'pic.twitter.com/1TXs8IsnOR', 'media_key': '3_1530563832967733248'}]}"
11,1530568884495204352,2022-05-28 15:17:13+00:00,False,"RT @aditrinaldi: YOSH!
its my @IrukandjiWorld, whats your?

@vngnc @yourbae https://t.co/pxIJrd5Tms",7,0,0,0,"{'media_keys': ['3_1530564001884606464', '3_1530564005231620096', '3_1530564007899242498']}","{'mentions': [{'start': 3, 'end': 15, 'username': 'aditrinaldi', 'id': '79909582'}, {'start': 30, 'end': 45, 'username': 'IrukandjiWorld', 'id': '1489944696231436292'}, {'start': 60, 'end': 66, 'username': 'vngnc', 'id': '36905540'}, {'start': 67, 'end': 75, 'username': 'yourbae', 'id': '979237506343346177'}], 'urls': [{'start': 76, 'end': 99, 'url': 'https://t.co/pxIJrd5Tms', 'expanded_url': 'https://twitter.com/aditrinaldi/status/1530564010273144832/photo/1', 'display_url': 'pic.twitter.com/pxIJrd5Tms', 'media_key': '3_1530564001884606464'}, {'start': 76, 'end': 99, 'url': 'https://t.co/pxIJrd5Tms', 'expanded_url': 'https://twitter.com/aditrinaldi/status/1530564010273144832/photo/1', 'display_url': 'pic.twitter.com/pxIJrd5Tms', 'media_key': '3_1530564005231620096'}, {'start': 76, 'end': 99, 'url': 'https://t.co/pxIJrd5Tms', 'expanded_url': 'https://twitter.com/aditrinaldi/status/1530564010273144832/photo/1', 'display_url': 'pic.twitter.com/pxIJrd5Tms', 'media_key': '3_1530564007899242498'}]}"
12,1530568866019311620,2022-05-28 15:17:08+00:00,False,"RT @anestya_r: @yourbae So proud can be a part of @IrukandjiWorld 

@yourbae @vngnc https://t.co/GXHX73yhOv",5,0,0,0,{'media_keys': ['7_1530567293742092288']},"{'mentions': [{'start': 3, 'end': 13, 'username': 'anestya_r', 'id': '1390602189316366339'}, {'start': 15, 'end': 23, 'username': 'yourbae', 'id': '979237506343346177'}, {'start': 50, 'end': 65, 'username': 'IrukandjiWorld', 'id': '1489944696231436292'}, {'start': 68, 'end': 76, 'username': 'yourbae', 'id': '979237506343346177'}, {'start': 77, 'end': 83, 'username': 'vngnc', 'id': '36905540'}], 'urls': [{'start': 84, 'end': 107, 'url': 'https://t.co/GXHX73yhOv', 'expanded_url': 'https://twitter.com/anestya_r/status/1530567309776941057/video/1', 'display_url': 'pic.twitter.com/GXHX73yhOv', 'media_key': '7_1530567293742092288'}]}"
13,1530538936283516928,2022-05-28 13:18:13+00:00,False,"Phase 1 reveal is live!

Show us what you got. Tweet and tag us!

Credits to : @fxralyn for showing off your kandjis

!yosh https://t.co/uvejISmmzo",7,5,21,0,{'media_keys': ['16_1530538778447601665']},"{'mentions': [{'start': 79, 'end': 87, 'username': 'fxralyn', 'id': '1427906009788420100'}], 'urls': [{'start': 124, 'end': 147, 'url': 'https://t.co/uvejISmmzo', 'expanded_url': 'https://twitter.com/IrukandjiWorld/status/1530538936283516928/photo/1', 'display_url': 'pic.twitter.com/uvejISmmzo', 'media_key': '16_1530538778447601665'}]}"
14,1530517529033965568,2022-05-28 11:53:09+00:00,False,"Reveal Mechanism Announcement

1️⃣Kandjis minted during this week (from presale until 28th May 12:59PM UTC will be revealed tonight!

2️⃣Kandjis minted after this reveal event will be revealed during the next phase, which is 4th June

Are you lucky enough to get the legendary? https://t.co/obZisHqNQm",11,2,25,0,{'media_keys': ['7_1530517495177547778']},"{'urls': [{'start': 278, 'end': 301, 'url': 'https://t.co/obZisHqNQm', 'expanded_url': 'https://twitter.com/IrukandjiWorld/status/1530517529033965568/video/1', 'display_url': 'pic.twitter.com/obZisHqNQm', 'media_key': '7_1530517495177547778'}]}"
15,1530512087801155584,2022-05-28 11:31:31+00:00,False,"In the spirit of inviting more people into the World of Irukandji, we are making Irukandji more accessible and less risky for everyone to join by lowering the mint price to 0.03 eth and raising the max mint per wallet to 5 NFTs. 

https://t.co/FKGfwliP17

#NFT #NFTCommunity #NFTs https://t.co/BA8bSU63W9",734,236,5857,8,{'media_keys': ['3_1530512080368914433']},"{'hashtags': [{'start': 256, 'end': 260, 'tag': 'NFT'}, {'start': 261, 'end': 274, 'tag': 'NFTCommunity'}, {'start': 275, 'end': 280, 'tag': 'NFTs'}], 'urls': [{'start': 231, 'end': 254, 'url': 'https://t.co/FKGfwliP17', 'expanded_url': 'https://irukandji.gg', 'display_url': 'irukandji.gg'}, {'start': 281, 'end': 304, 'url': 'https://t.co/BA8bSU63W9', 'expanded_url': 'https://twitter.com/IrukandjiWorld/status/1530512087801155584/photo/1', 'display_url': 'pic.twitter.com/BA8bSU63W9', 'media_key': '3_1530512080368914433'}]}"
16,1530488055404314625,2022-05-28 09:56:02+00:00,False,"Friendly reminder for all of you, reveal time! https://t.co/Qs2PRSM8KU",8,3,20,0,,"{'urls': [{'start': 47, 'end': 70, 'url': 'https://t.co/Qs2PRSM8KU', 'expanded_url': 'https://twitter.com/vngnc/status/1530487770141323265', 'display_url': 'twitter.com/vngnc/status/1…'}]}"
17,1530467108521652224,2022-05-28 08:32:48+00:00,False,Have you seen this legendary sneak peek? I guess not :) https://t.co/kiG2vOkHA6,13,11,87,2,{'media_keys': ['7_1530464872240410626']},"{'urls': [{'start': 56, 'end': 79, 'url': 'https://t.co/kiG2vOkHA6', 'expanded_url': 'https://twitter.com/IrukandjiWorld/status/1530467108521652224/video/1', 'display_url': 'pic.twitter.com/kiG2vOkHA6', 'media_key': '7_1530464872240410626'}]}"
18,1529859683657211913,2022-05-26 16:19:06+00:00,True,"Kandjis minted after this reveal event will be revealed during the next phase. 🌖

🌐 https://t.co/VKT5d0SHEw ➡️➡️",5,0,23,0,,"{'urls': [{'start': 84, 'end': 107, 'url': 'https://t.co/VKT5d0SHEw', 'expanded_url': 'https://irukandji.gg/mint', 'display_url': 'irukandji.gg/mint'}]}"
19,1529859217825226755,2022-05-26 16:17:15+00:00,True,@RudLee @dinomilosaurus @yourbae @vngnc @youni_eth @tierison Reveal is coming soon! That's when your NFT transforms into something unique. Check our latest tweet regarding the reveal.,0,0,1,0,,"{'mentions': [{'start': 0, 'end': 7, 'username': 'RudLee', 'id': '149000524'}, {'start': 8, 'end': 23, 'username': 'dinomilosaurus', 'id': '759060762958495745'}, {'start': 24, 'end': 32, 'username': 'yourbae', 'id': '979237506343346177'}, {'start': 33, 'end': 39, 'username': 'vngnc', 'id': '36905540'}, {'start': 40, 'end': 50, 'username': 'youni_eth', 'id': '1155839425831555075'}, {'start': 51, 'end': 60, 'username': 'tierison', 'id': '1154429510550294529'}]}"
20,1529859000484782099,2022-05-26 16:16:23+00:00,False,"✨ Finally, some good news!! ✨
Kandjis minted during this week (from presale until May 28th @ 1pm UTC) will be revealed in the next 48 hours.  💫 Please keep an eye out for this announcement. Are you the lucky ones to mint a legendary? 👀🌈",6,6,38,1,,
21,1529858114509365263,2022-05-26 16:12:52+00:00,False,wen reveal,7,4,28,0,,
22,1529846751640793089,2022-05-26 15:27:43+00:00,True,"For every Kandji NFT you hold before this price update, you will get 2 extra Kandji. (If you had 1 Kandji in your wallet, you'll be airdropped 2. Making you own a total of 1+2 Kandji) In addition to that, you will retain access to PATRON パトロン channel in our Discord server. 💜",8,6,28,2,,
23,1529843429340876800,2022-05-26 15:14:31+00:00,True,"💫 If you own a Kandji during presale and public sale before this update, you will be compensated with extra Kandji NFTs.

📸 Snapshot have been taken prior to this announcement. This bonus NFTs will be airdropped in phases. We'd appreciate your patience during this time.

🌈🌈🌈",9,3,27,0,,
24,1529842533563367424,2022-05-26 15:10:57+00:00,False,"💥 In the spirit of inviting more people into the World of Irukandji, we are making Irukandji more accessible and less risky for everyone to join by lowering the mint price to 0.03 eth and raising the max mint per wallet to 5 NFTs. 👨🏽‍💻

➡️https://t.co/kE9wBzZbe3 🌐",12,3,42,7,,"{'urls': [{'start': 239, 'end': 262, 'url': 'https://t.co/kE9wBzZbe3', 'expanded_url': 'https://irukandji.gg/', 'display_url': 'irukandji.gg'}]}"
25,1529837815412195330,2022-05-26 14:52:12+00:00,False,"Five lucky minters from our presale day have been selected. goodkinkeata, magsyy, Metafizik-Lives-On, starvest, ChrisCL are the lucky winners. Congrats on your extra Kandjis! See you at the reveal day!",5,4,24,1,,
26,1529767893734653952,2022-05-26 10:14:22+00:00,False,"We wanted to thank every one of you that have stood with us since the beginning. It is a rocky road and a rollercoaster ride for all of us. But will stop at nothing to realize the vision and mission of Irukandji.

-YB and the whole Irukandji team.

!yosh",10,5,60,0,,
27,1529767849530896384,2022-05-26 10:14:11+00:00,False,We want to let you all know that we will not and never give up. All the work we have done for the past months will NEVER go to waste. We are doing the best that we can and plan our actions strategically and carefully.,9,3,45,0,,
28,1529767779494416384,2022-05-26 10:13:54+00:00,True,"⟡ The public sale on our website will remain open for people to mint.

⟡ Mint price and max mint per wallet will be readjusted. More details to be announced.

⟡ Those who minted with the previous price point will be compensated for the difference. More details about this soon.",5,1,16,0,,
29,1529767703862718464,2022-05-26 10:13:36+00:00,False,"Hello Kandjis, Sentakus, Kakunin, and everyone else!

We want to make a few announcements regarding our future and a brief overview of our plans. After discussing with the core team and advisors. We have decided to do the following:",6,1,26,1,,"{'annotations': [{'start': 25, 'end': 31, 'probability': 0.4019, 'type': 'Person', 'normalized_text': 'Kakunin'}]}"
30,1529100280230342658,2022-05-24 14:01:30+00:00,False,LFG!! Public mint is now live! All are welcome here. Get your Irukandji on https://t.co/VKT5d0SHEw 🌈 https://t.co/D0ZzfasUoX,24,4,60,2,{'media_keys': ['3_1529100264522670080']},"{'urls': [{'start': 75, 'end': 98, 'url': 'https://t.co/VKT5d0SHEw', 'expanded_url': 'https://irukandji.gg/mint', 'display_url': 'irukandji.gg/mint'}, {'start': 101, 'end': 124, 'url': 'https://t.co/D0ZzfasUoX', 'expanded_url': 'https://twitter.com/IrukandjiWorld/status/1529100280230342658/photo/1', 'display_url': 'pic.twitter.com/D0ZzfasUoX', 'media_key': '3_1529100264522670080'}]}"
31,1529099777824002051,2022-05-24 13:59:30+00:00,False,Presale has ended! Any unminted NFT rolls over the Public Sale adding its supply allocation. https://t.co/59iewziXl8,11,4,37,1,{'media_keys': ['3_1529098615527907328']},"{'annotations': [{'start': 51, 'end': 61, 'probability': 0.5471, 'type': 'Organization', 'normalized_text': 'Public Sale'}], 'urls': [{'start': 93, 'end': 116, 'url': 'https://t.co/59iewziXl8', 'expanded_url': 'https://twitter.com/IrukandjiWorld/status/1529099777824002051/photo/1', 'display_url': 'pic.twitter.com/59iewziXl8', 'media_key': '3_1529098615527907328'}]}"
32,1529079143282774016,2022-05-24 12:37:31+00:00,False,"We will be giving away a total of 5 Irukandji World NFTs to five lucky holders who minted their Kandjis before the public mint! 💫
Snapshot will be taken at exactly 9:00pm JKT / 2:00 pm UTC. 📸

https://t.co/VKT5d0SHEw https://t.co/MgOG06CtLp",25,13,60,1,{'media_keys': ['7_1529078947731759104']},"{'urls': [{'start': 193, 'end': 216, 'url': 'https://t.co/VKT5d0SHEw', 'expanded_url': 'https://irukandji.gg/mint', 'display_url': 'irukandji.gg/mint'}, {'start': 217, 'end': 240, 'url': 'https://t.co/MgOG06CtLp', 'expanded_url': 'https://twitter.com/IrukandjiWorld/status/1529079143282774016/video/1', 'display_url': 'pic.twitter.com/MgOG06CtLp', 'media_key': '7_1529078947731759104'}]}"
33,1529058316688642048,2022-05-24 11:14:45+00:00,False,Wohooo! 💫👁✨ https://t.co/rznlHzkNm4,2,1,11,0,,"{'urls': [{'start': 12, 'end': 35, 'url': 'https://t.co/rznlHzkNm4', 'expanded_url': 'https://twitter.com/dinomilosaurus/status/1529047979952263169', 'display_url': 'twitter.com/dinomilosaurus…'}]}"
34,1529058230948622338,2022-05-24 11:14:25+00:00,False,3 hours away to our public sale! 💫👁✨,3,7,22,0,,
35,1529004946170839041,2022-05-24 07:42:41+00:00,False,6 hours left until presale ends! 💫👁✨ https://t.co/64LCcXfXMO,9,3,36,1,{'media_keys': ['3_1529004934003556358']},"{'urls': [{'start': 37, 'end': 60, 'url': 'https://t.co/64LCcXfXMO', 'expanded_url': 'https://twitter.com/IrukandjiWorld/status/1529004946170839041/photo/1', 'display_url': 'pic.twitter.com/64LCcXfXMO', 'media_key': '3_1529004934003556358'}]}"
36,1529004845109239809,2022-05-24 07:42:17+00:00,False,LFG! 💫👁✨ https://t.co/unhgG8zsCK,2,1,9,0,,"{'urls': [{'start': 9, 'end': 32, 'url': 'https://t.co/unhgG8zsCK', 'expanded_url': 'https://twitter.com/cakdolan/status/1528991758230507521', 'display_url': 'twitter.com/cakdolan/statu…'}]}"
37,1528933153355595776,2022-05-24 02:57:24+00:00,True,"Let us know if you have any questions, we're here to help you mint.",3,1,16,0,,
