,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1530936701899644929,2022-05-29 15:38:47+00:00,False,"LFG

Would love to have you in the community

🤝 https://t.co/UXBTZLFX5e",3,1,25,0,,"{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/UXBTZLFX5e', 'expanded_url': 'https://twitter.com/beastybrudda/status/1530934857953517569', 'display_url': 'twitter.com/beastybrudda/s…'}]}"
1,1530936629422080005,2022-05-29 15:38:30+00:00,False,RT @BeastyBrudda: I won’t lie - I fuck with the art heavy on these fallout freaks @JungleFreaksNFT https://t.co/ec8Dk700Rx,8,0,0,0,{'media_keys': ['3_1530934854178639872']},"{'mentions': [{'start': 3, 'end': 16, 'username': 'BeastyBrudda', 'id': '1427401999184629793'}, {'start': 82, 'end': 98, 'username': 'JungleFreaksNFT', 'id': '295296834'}], 'urls': [{'start': 99, 'end': 122, 'url': 'https://t.co/ec8Dk700Rx', 'expanded_url': 'https://twitter.com/BeastyBrudda/status/1530934857953517569/photo/1', 'display_url': 'pic.twitter.com/ec8Dk700Rx', 'media_key': '3_1530934854178639872'}]}"
2,1530919098242449408,2022-05-29 14:28:50+00:00,False,"RT @JungleFreak3300: Ended up pulling this guy, check out that detail! @JungleFreaksNFT has the best art in the space! https://t.co/TkeYvMj…",6,0,0,0,,"{'mentions': [{'start': 3, 'end': 19, 'username': 'JungleFreak3300', 'id': '1449582428238974979'}, {'start': 71, 'end': 87, 'username': 'JungleFreaksNFT', 'id': '295296834'}]}"
3,1530919032794370050,2022-05-29 14:28:35+00:00,False,"RT @dukeofcrypto_: Just minted my 4th and 5th @JungleFreaksNFT.

#01830 is fire! Finally got Wings (and also a Gold Grendande) 

LFG!!

#JU…",5,0,0,0,,"{'mentions': [{'start': 3, 'end': 17, 'username': 'dukeofcrypto_', 'id': '1456461247600341016'}, {'start': 46, 'end': 62, 'username': 'JungleFreaksNFT', 'id': '295296834'}]}"
4,1530918998610681857,2022-05-29 14:28:27+00:00,True,@dukeofcrypto_ 🔥🔥🔥🔥,0,0,4,0,,"{'mentions': [{'start': 0, 'end': 14, 'username': 'dukeofcrypto_', 'id': '1456461247600341016'}]}"
5,1530918983339327489,2022-05-29 14:28:23+00:00,False,RT @dukeofcrypto_: #NewNFTProfilePic #JUNGLEFREAKS #FALLOUTFREAKS #NFT https://t.co/B5f58z8GzA,7,0,0,0,{'media_keys': ['3_1530916532070633472']},"{'mentions': [{'start': 3, 'end': 17, 'username': 'dukeofcrypto_', 'id': '1456461247600341016'}], 'urls': [{'start': 71, 'end': 94, 'url': 'https://t.co/B5f58z8GzA', 'expanded_url': 'https://twitter.com/dukeofcrypto_/status/1530916535593730048/photo/1', 'display_url': 'pic.twitter.com/B5f58z8GzA', 'media_key': '3_1530916532070633472'}], 'hashtags': [{'start': 19, 'end': 36, 'tag': 'NewNFTProfilePic'}, {'start': 37, 'end': 50, 'tag': 'JUNGLEFREAKS'}, {'start': 51, 'end': 65, 'tag': 'FALLOUTFREAKS'}, {'start': 66, 'end': 70, 'tag': 'NFT'}]}"
6,1530918942369271808,2022-05-29 14:28:13+00:00,False,RT @dp69313764: AAAAAAAAAAOOOOOOOOOOOOO @JungleFreaksNFT @THEPRINCE______ @andremuller_art #FALLOUTFREAKS #JUNGLEFREAKS I THINK I MINTED A…,5,0,0,0,,"{'mentions': [{'start': 3, 'end': 14, 'username': 'dp69313764', 'id': '1368690070862102529'}, {'start': 40, 'end': 56, 'username': 'JungleFreaksNFT', 'id': '295296834'}, {'start': 57, 'end': 73, 'username': 'THEPRINCE______', 'id': '192375911'}, {'start': 74, 'end': 90, 'username': 'andremuller_art', 'id': '1275593686366257153'}], 'hashtags': [{'start': 91, 'end': 105, 'tag': 'FALLOUTFREAKS'}, {'start': 106, 'end': 119, 'tag': 'JUNGLEFREAKS'}]}"
7,1530913959380910082,2022-05-29 14:08:25+00:00,False,"RT @BlockchainApos1: @THEPRINCE______ came through with the early reveal! All 4 I minted are looking sick, the only Gorilla in my tribe is…",5,0,0,0,,"{'mentions': [{'start': 3, 'end': 19, 'username': 'BlockchainApos1', 'id': '1486462244019970052'}, {'start': 21, 'end': 37, 'username': 'THEPRINCE______', 'id': '192375911'}]}"
8,1530913922718507008,2022-05-29 14:08:16+00:00,False,RT @ChudoSasshha: Yoooooooo!🔥💚💛So sick!🤙 @JungleFreaksNFT #JUNGLEFREAKS #NFTCommunity https://t.co/HJnDVaiZL1,6,0,0,0,"{'media_keys': ['3_1530820526532448257', '3_1530820526532435970', '3_1530820578134966274']}","{'mentions': [{'start': 3, 'end': 16, 'username': 'ChudoSasshha', 'id': '1433234003629383681'}, {'start': 41, 'end': 57, 'username': 'JungleFreaksNFT', 'id': '295296834'}], 'urls': [{'start': 86, 'end': 109, 'url': 'https://t.co/HJnDVaiZL1', 'expanded_url': 'https://twitter.com/ChudoSasshha/status/1530820877381664768/photo/1', 'display_url': 'pic.twitter.com/HJnDVaiZL1', 'media_key': '3_1530820526532448257'}, {'start': 86, 'end': 109, 'url': 'https://t.co/HJnDVaiZL1', 'expanded_url': 'https://twitter.com/ChudoSasshha/status/1530820877381664768/photo/1', 'display_url': 'pic.twitter.com/HJnDVaiZL1', 'media_key': '3_1530820526532435970'}, {'start': 86, 'end': 109, 'url': 'https://t.co/HJnDVaiZL1', 'expanded_url': 'https://twitter.com/ChudoSasshha/status/1530820877381664768/photo/1', 'display_url': 'pic.twitter.com/HJnDVaiZL1', 'media_key': '3_1530820578134966274'}], 'hashtags': [{'start': 58, 'end': 71, 'tag': 'JUNGLEFREAKS'}, {'start': 72, 'end': 85, 'tag': 'NFTCommunity'}]}"
9,1530913879676567554,2022-05-29 14:08:06+00:00,True,@ChudoSasshha 🔥🔥🔥,0,1,2,0,,"{'mentions': [{'start': 0, 'end': 13, 'username': 'ChudoSasshha', 'id': '1433234003629383681'}]}"
