,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1538890706051276800,2022-06-20 14:25:10+00:00,False,"RT @NathanHeadPhoto: Besides of the obvious BAYC, CryptoPunks, CLONE X etc etc etc 

What are the other A+/S tier NFTs?",12,0,0,0,,"{'mentions': [{'start': 3, 'end': 19, 'username': 'NathanHeadPhoto', 'id': '2824425018'}]}"
1,1538725664072814593,2022-06-20 03:29:21+00:00,True,@suerte718 bene bet,0,0,3,0,,"{'mentions': [{'start': 0, 'end': 10, 'username': 'suerte718', 'id': '173727252'}]}"
2,1538717907928199168,2022-06-20 02:58:31+00:00,False,iter libertatis https://t.co/Ne9HTp19fP,6,6,75,1,{'media_keys': ['3_1538717897912115200']},"{'urls': [{'start': 16, 'end': 39, 'url': 'https://t.co/Ne9HTp19fP', 'expanded_url': 'https://twitter.com/legiongodlynft/status/1538717907928199168/photo/1', 'display_url': 'pic.twitter.com/Ne9HTp19fP', 'media_key': '3_1538717897912115200'}]}"
3,1538603907307405315,2022-06-19 19:25:32+00:00,False,"Tu oriri aut cadere?

The Fall of Angels website - Soon

#legion #godlylegion #nft #nftart https://t.co/jODBz7GEzx",49,17,159,8,{'media_keys': ['3_1538603342779269124']},"{'hashtags': [{'start': 57, 'end': 64, 'tag': 'legion'}, {'start': 65, 'end': 77, 'tag': 'godlylegion'}, {'start': 78, 'end': 82, 'tag': 'nft'}, {'start': 83, 'end': 90, 'tag': 'nftart'}], 'urls': [{'start': 91, 'end': 114, 'url': 'https://t.co/jODBz7GEzx', 'expanded_url': 'https://twitter.com/legiongodlynft/status/1538603907307405315/photo/1', 'display_url': 'pic.twitter.com/jODBz7GEzx', 'media_key': '3_1538603342779269124'}]}"
4,1538598401939582977,2022-06-19 19:03:39+00:00,False,RT @0xBryanye: #NewNFTProfilePic NFT by godly-legion @legiongodlynft https://t.co/BB6YAGBXFj,9,0,0,0,{'media_keys': ['3_1538598222100213760']},"{'hashtags': [{'start': 15, 'end': 32, 'tag': 'NewNFTProfilePic'}], 'urls': [{'start': 69, 'end': 92, 'url': 'https://t.co/BB6YAGBXFj', 'expanded_url': 'https://twitter.com/0xBryanye/status/1538598230551695360/photo/1', 'display_url': 'pic.twitter.com/BB6YAGBXFj', 'media_key': '3_1538598222100213760'}], 'mentions': [{'start': 3, 'end': 13, 'username': '0xBryanye', 'id': '1532131215360200704'}, {'start': 53, 'end': 68, 'username': 'legiongodlynft', 'id': '1532022949775040516'}]}"
5,1538588963446964224,2022-06-19 18:26:09+00:00,False,RT @hodldam: @legiongodlynft just sniped this new Angel 👁⚔️ https://t.co/Edb3Y17oAa,4,0,0,0,{'media_keys': ['3_1538579528150405121']},"{'urls': [{'start': 60, 'end': 83, 'url': 'https://t.co/Edb3Y17oAa', 'expanded_url': 'https://twitter.com/hodldam/status/1538579530557833217/photo/1', 'display_url': 'pic.twitter.com/Edb3Y17oAa', 'media_key': '3_1538579528150405121'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'hodldam', 'id': '1463323394342998019'}, {'start': 13, 'end': 28, 'username': 'legiongodlynft', 'id': '1532022949775040516'}]}"
6,1538588948225740800,2022-06-19 18:26:05+00:00,False,RT @notashenone: my newest pick ups 🆓 https://t.co/unV2LEnbQF,10,0,0,0,"{'media_keys': ['3_1538585933209120772', '3_1538585933271941120', '3_1538585933204840453', '3_1538585933213204482']}","{'urls': [{'start': 38, 'end': 61, 'url': 'https://t.co/unV2LEnbQF', 'expanded_url': 'https://twitter.com/notashenone/status/1538585946328907782/photo/1', 'display_url': 'pic.twitter.com/unV2LEnbQF', 'media_key': '3_1538585933209120772'}, {'start': 38, 'end': 61, 'url': 'https://t.co/unV2LEnbQF', 'expanded_url': 'https://twitter.com/notashenone/status/1538585946328907782/photo/1', 'display_url': 'pic.twitter.com/unV2LEnbQF', 'media_key': '3_1538585933271941120'}, {'start': 38, 'end': 61, 'url': 'https://t.co/unV2LEnbQF', 'expanded_url': 'https://twitter.com/notashenone/status/1538585946328907782/photo/1', 'display_url': 'pic.twitter.com/unV2LEnbQF', 'media_key': '3_1538585933204840453'}, {'start': 38, 'end': 61, 'url': 'https://t.co/unV2LEnbQF', 'expanded_url': 'https://twitter.com/notashenone/status/1538585946328907782/photo/1', 'display_url': 'pic.twitter.com/unV2LEnbQF', 'media_key': '3_1538585933213204482'}], 'mentions': [{'start': 3, 'end': 15, 'username': 'notashenone', 'id': '2509387159'}]}"
7,1538586873014124544,2022-06-19 18:17:50+00:00,False,"Apple Juice &amp; Egg Sandwich Prayer Hour in Manhattan.
Church Hunt, where will this be?

Official Date and Location to be revealed soon.

#nftnyc #legion #nft #nfts https://t.co/CcneHzsC5t",47,11,142,6,{'media_keys': ['3_1538586537272672257']},"{'hashtags': [{'start': 140, 'end': 147, 'tag': 'nftnyc'}, {'start': 148, 'end': 155, 'tag': 'legion'}, {'start': 156, 'end': 160, 'tag': 'nft'}, {'start': 161, 'end': 166, 'tag': 'nfts'}], 'urls': [{'start': 167, 'end': 190, 'url': 'https://t.co/CcneHzsC5t', 'expanded_url': 'https://twitter.com/legiongodlynft/status/1538586873014124544/photo/1', 'display_url': 'pic.twitter.com/CcneHzsC5t', 'media_key': '3_1538586537272672257'}], 'annotations': [{'start': 0, 'end': 10, 'probability': 0.7458, 'type': 'Product', 'normalized_text': 'Apple Juice'}, {'start': 42, 'end': 50, 'probability': 0.9801, 'type': 'Place', 'normalized_text': 'Manhattan'}]}"
8,1538575788013981702,2022-06-19 17:33:47+00:00,False,RT @Trung12490: new pfp :))) @legiongodlynft https://t.co/u439MXdPBp,6,0,0,0,{'media_keys': ['3_1538574011156033536']},"{'urls': [{'start': 45, 'end': 68, 'url': 'https://t.co/u439MXdPBp', 'expanded_url': 'https://twitter.com/Trung12490/status/1538574126012432384/photo/1', 'display_url': 'pic.twitter.com/u439MXdPBp', 'media_key': '3_1538574011156033536'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'Trung12490', 'id': '1475728639010680833'}, {'start': 29, 'end': 44, 'username': 'legiongodlynft', 'id': '1532022949775040516'}]}"
9,1538560689459142657,2022-06-19 16:33:48+00:00,False,"RT @cryptodarkeryt: Just bought LEGION #123 by @legiongodlynft!

I just joined to the fam 🫡❤️ https://t.co/mvAGY7k7UX",9,0,0,0,{'media_keys': ['3_1538559303023468545']},"{'urls': [{'start': 94, 'end': 117, 'url': 'https://t.co/mvAGY7k7UX', 'expanded_url': 'https://twitter.com/cryptodarkeryt/status/1538559573451280385/photo/1', 'display_url': 'pic.twitter.com/mvAGY7k7UX', 'media_key': '3_1538559303023468545'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'cryptodarkeryt', 'id': '1530882687631769603'}, {'start': 47, 'end': 62, 'username': 'legiongodlynft', 'id': '1532022949775040516'}]}"
10,1538554217983533057,2022-06-19 16:08:05+00:00,False,RT @cryptodarkeryt: Thinking about getting a @legiongodlynft. Should I? 🤔,6,0,0,0,,"{'mentions': [{'start': 3, 'end': 18, 'username': 'cryptodarkeryt', 'id': '1530882687631769603'}, {'start': 45, 'end': 60, 'username': 'legiongodlynft', 'id': '1532022949775040516'}]}"
11,1538374155107807233,2022-06-19 04:12:34+00:00,False,"RT @wesleyryanterry: Sure, the current state of the market is absolutely shit. But guess what.. I will continue to purchase NFT’s that are…",5,0,0,0,,"{'mentions': [{'start': 3, 'end': 19, 'username': 'wesleyryanterry', 'id': '320173191'}]}"
12,1538349593875841025,2022-06-19 02:34:58+00:00,False,RT @JTORR690: How bullish amd awesome is this team? What other nft projects are doing wild shit like this? I only know of one. @legiongodly…,6,0,0,0,,"{'mentions': [{'start': 3, 'end': 12, 'username': 'JTORR690', 'id': '2731232794'}]}"
13,1538326817769242631,2022-06-19 01:04:28+00:00,False,RT @leslie077077: @legiongodlynft Love Legion https://t.co/AnRaUZbR3k,14,0,0,0,{'media_keys': ['3_1538319536100741120']},"{'urls': [{'start': 46, 'end': 69, 'url': 'https://t.co/AnRaUZbR3k', 'expanded_url': 'https://twitter.com/leslie077077/status/1538319781484367872/photo/1', 'display_url': 'pic.twitter.com/AnRaUZbR3k', 'media_key': '3_1538319536100741120'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'leslie077077', 'id': '1379269724958191624'}, {'start': 18, 'end': 33, 'username': 'legiongodlynft', 'id': '1532022949775040516'}]}"
14,1538213864294293504,2022-06-18 17:35:38+00:00,False,"RT @JuzixNFT: @champtgram @legiongodlynft Incredible unique art, super positive and supportive community, talented &amp; highly driven dev - On…",18,0,0,0,,"{'mentions': [{'start': 3, 'end': 12, 'username': 'JuzixNFT', 'id': '1493755753483489281'}, {'start': 14, 'end': 25, 'username': 'champtgram', 'id': '1117809180713324544'}, {'start': 26, 'end': 41, 'username': 'legiongodlynft', 'id': '1532022949775040516'}]}"
15,1538204671910764545,2022-06-18 16:59:06+00:00,False,"RT @DenisKursakov: My friend draws graffiti, the Legion theme obviously got to him and now we have THIS in town!
@legiongodlynft https://t.…",27,0,0,0,,"{'mentions': [{'start': 3, 'end': 17, 'username': 'DenisKursakov', 'id': '1429486176952623111'}, {'start': 113, 'end': 128, 'username': 'legiongodlynft', 'id': '1532022949775040516'}]}"
16,1538196460088573953,2022-06-18 16:26:29+00:00,False,"aliqui angeli merentur mori - DEMONS

Make sure to get an Angel to be able to send him to the pit of fire, soon.

https://t.co/4HflHPFMyL

#nft #nfts #nftart #demon https://t.co/RGn0mcTAKf",48,9,130,3,{'media_keys': ['3_1538195987524734978']},"{'hashtags': [{'start': 139, 'end': 143, 'tag': 'nft'}, {'start': 144, 'end': 149, 'tag': 'nfts'}, {'start': 150, 'end': 157, 'tag': 'nftart'}, {'start': 158, 'end': 164, 'tag': 'demon'}], 'urls': [{'start': 114, 'end': 137, 'url': 'https://t.co/4HflHPFMyL', 'expanded_url': 'https://opensea.io/collection/godly-legion', 'display_url': 'opensea.io/collection/god…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1537203929620090888/qREfEMDN?format=jpg&name=orig', 'width': 1500, 'height': 500}, {'url': 'https://pbs.twimg.com/news_img/1537203929620090888/qREfEMDN?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'GODLY LEGION - Collection | OpenSea', 'description': 'Ascendam super altitudinem nubium, ero similis Altissimo. Tu autem ad inferos deduceris. Ad ima laci.', 'unwound_url': 'https://opensea.io/collection/godly-legion'}, {'start': 165, 'end': 188, 'url': 'https://t.co/RGn0mcTAKf', 'expanded_url': 'https://twitter.com/legiongodlynft/status/1538196460088573953/photo/1', 'display_url': 'pic.twitter.com/RGn0mcTAKf', 'media_key': '3_1538195987524734978'}]}"
17,1538168728231333889,2022-06-18 14:36:17+00:00,False,RT @Urbexilon1: Have u seen a founder ever go all out like this? Lmao,16,0,0,0,,"{'mentions': [{'start': 3, 'end': 14, 'username': 'Urbexilon1', 'id': '1263495424792502272'}]}"
18,1538161063312621569,2022-06-18 14:05:49+00:00,False,quis hanc bestiam vincet? https://t.co/B7Uu1kPqAE,22,9,109,3,{'media_keys': ['3_1538160911168438273']},"{'urls': [{'start': 26, 'end': 49, 'url': 'https://t.co/B7Uu1kPqAE', 'expanded_url': 'https://twitter.com/legiongodlynft/status/1538161063312621569/photo/1', 'display_url': 'pic.twitter.com/B7Uu1kPqAE', 'media_key': '3_1538160911168438273'}]}"
19,1538151600589615104,2022-06-18 13:28:13+00:00,False,"RT @xxxohwatsdis: Since @goblintownwtf appeared on scene many projects followed, some good some just to take people money or to feel that s…",16,0,0,0,,"{'mentions': [{'start': 3, 'end': 16, 'username': 'xxxohwatsdis', 'id': '1486229339012218881'}, {'start': 24, 'end': 38, 'username': 'goblintownwtf', 'id': '1524825844677545987'}]}"
20,1538041658792726529,2022-06-18 06:11:21+00:00,False,"RT @High_Art_Hawaii: This video is the NFT space in a nut shell recently.. 😂
 iungere aut uri! 🔥 #GODLYLEGION #LegioneSumus #NFT #NFTCommun…",14,0,0,0,,"{'hashtags': [{'start': 97, 'end': 109, 'tag': 'GODLYLEGION'}, {'start': 110, 'end': 123, 'tag': 'LegioneSumus'}, {'start': 124, 'end': 128, 'tag': 'NFT'}], 'mentions': [{'start': 3, 'end': 19, 'username': 'High_Art_Hawaii', 'id': '1484750569579315203'}]}"
21,1538035266077839360,2022-06-18 05:45:57+00:00,False,"RT @lumiamax1: @goblintownwtf 你们需要关注一下这个原创NFT，艺术和营销上和哥布林不相上下，但是他的地板价只需要0.025E     冲起来
@legiongodlynft https://t.co/yffNeslvDq",13,0,0,0,{'media_keys': ['3_1538034467167928320']},"{'urls': [{'start': 102, 'end': 125, 'url': 'https://t.co/yffNeslvDq', 'expanded_url': 'https://twitter.com/lumiamax1/status/1538034785414971392/photo/1', 'display_url': 'pic.twitter.com/yffNeslvDq', 'media_key': '3_1538034467167928320'}], 'mentions': [{'start': 3, 'end': 13, 'username': 'lumiamax1', 'id': '1393241868939382785'}, {'start': 15, 'end': 29, 'username': 'goblintownwtf', 'id': '1524825844677545987'}, {'start': 86, 'end': 101, 'username': 'legiongodlynft', 'id': '1532022949775040516'}]}"
22,1538024660700262401,2022-06-18 05:03:48+00:00,False,RT @goblintownwtf: ₒoₒₒ ₑₕₑᵤₐₕₐₕₐ bₑcᵤₘ gₒbₗₒₙᵢ,107,0,0,0,,"{'mentions': [{'start': 3, 'end': 17, 'username': 'goblintownwtf', 'id': '1524825844677545987'}]}"
23,1537993364984844290,2022-06-18 02:59:27+00:00,False,"For the next few episodes, we are looking for a LEGION holder as actor. 

We will fly you to our spot, paid hotel and pocket money to party and food.

We will randomly select a holder that is not listing under 1ETH as the winner during NFT NYC week.

Good Luck.",48,27,180,6,,"{'annotations': [{'start': 236, 'end': 242, 'probability': 0.3576, 'type': 'Organization', 'normalized_text': 'NFT NYC'}]}"
24,1537980624597766145,2022-06-18 02:08:49+00:00,False,RT @leady53: @legiongodlynft @goblintownwtf Great production quality,3,0,0,0,,"{'mentions': [{'start': 3, 'end': 11, 'username': 'leady53', 'id': '400554652'}, {'start': 13, 'end': 28, 'username': 'legiongodlynft', 'id': '1532022949775040516'}, {'start': 29, 'end': 43, 'username': 'goblintownwtf', 'id': '1524825844677545987'}]}"
25,1537980606352543747,2022-06-18 02:08:45+00:00,False,"RT @ladycryptoshop: @legiongodlynft @goblintownwtf Omg!!!! 🔥This was awesome! Dude was so perfectly crusty, and giddy for them goblins, eat…",6,0,0,0,,"{'mentions': [{'start': 3, 'end': 18, 'username': 'ladycryptoshop', 'id': '1477318296831729664'}, {'start': 20, 'end': 35, 'username': 'legiongodlynft', 'id': '1532022949775040516'}, {'start': 36, 'end': 50, 'username': 'goblintownwtf', 'id': '1524825844677545987'}]}"
26,1537980576228970496,2022-06-18 02:08:38+00:00,False,RT @WoodsXNFT: Bought back into @legiongodlynft absolutely love this artwork! https://t.co/F1GDUkV1GC,7,0,0,0,{'media_keys': ['3_1537979091374075904']},"{'urls': [{'start': 78, 'end': 101, 'url': 'https://t.co/F1GDUkV1GC', 'expanded_url': 'https://twitter.com/WoodsXNFT/status/1537979452994424832/photo/1', 'display_url': 'pic.twitter.com/F1GDUkV1GC', 'media_key': '3_1537979091374075904'}], 'mentions': [{'start': 3, 'end': 13, 'username': 'WoodsXNFT', 'id': '1484559204882997251'}, {'start': 32, 'end': 47, 'username': 'legiongodlynft', 'id': '1532022949775040516'}]}"
27,1537970186363342848,2022-06-18 01:27:21+00:00,False,"Daemon possessio has coepi. @goblintownwtf 
Part 1 / 10

Poterimusne hoc malum vincere?

#nft #nfts #nftart #NFTCommunity #goblintownwtf #GoblinTown https://t.co/UoTN2OfjOi",159,56,360,26,{'media_keys': ['7_1537969280506945538']},"{'hashtags': [{'start': 89, 'end': 93, 'tag': 'nft'}, {'start': 94, 'end': 99, 'tag': 'nfts'}, {'start': 100, 'end': 107, 'tag': 'nftart'}, {'start': 108, 'end': 121, 'tag': 'NFTCommunity'}, {'start': 122, 'end': 136, 'tag': 'goblintownwtf'}, {'start': 137, 'end': 148, 'tag': 'GoblinTown'}], 'urls': [{'start': 149, 'end': 172, 'url': 'https://t.co/UoTN2OfjOi', 'expanded_url': 'https://twitter.com/legiongodlynft/status/1537970186363342848/video/1', 'display_url': 'pic.twitter.com/UoTN2OfjOi', 'media_key': '7_1537969280506945538'}], 'mentions': [{'start': 28, 'end': 42, 'username': 'goblintownwtf', 'id': '1524825844677545987'}]}"
28,1537933963162812416,2022-06-17 23:03:24+00:00,False,"RT @itsadamevans: Scooped up another @LegionGodlyNFT 3259 ⚔️👁️ the collection is 💯 
#nfts #nftcommunity #nftcollectors #nftart #godlylegion…",12,0,0,0,,"{'hashtags': [{'start': 84, 'end': 89, 'tag': 'nfts'}, {'start': 90, 'end': 103, 'tag': 'nftcommunity'}, {'start': 104, 'end': 118, 'tag': 'nftcollectors'}, {'start': 119, 'end': 126, 'tag': 'nftart'}, {'start': 127, 'end': 139, 'tag': 'godlylegion'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'itsadamevans', 'id': '247105072'}, {'start': 37, 'end': 52, 'username': 'legiongodlynft', 'id': '1532022949775040516'}]}"
29,1537888081285484544,2022-06-17 20:01:05+00:00,False,"𝔗𝔬𝔡𝔞𝔶 𝔴𝔢 𝔯𝔢𝔩𝔢𝔞𝔰𝔢 𝔭𝔞𝔯𝔱 1 𝔬𝔣 10 𝔬𝔣 𝔱𝔥𝔢 𝔣𝔦𝔯𝔰𝔱 𝔏𝔢𝔤𝔦𝔬𝔫 𝔖𝔥𝔬𝔯𝔱
#nft #nftart #nftseries https://t.co/qOT1hg5lLY",40,15,152,6,{'media_keys': ['3_1537887775290036226']},"{'hashtags': [{'start': 56, 'end': 60, 'tag': 'nft'}, {'start': 61, 'end': 68, 'tag': 'nftart'}, {'start': 69, 'end': 79, 'tag': 'nftseries'}], 'urls': [{'start': 80, 'end': 103, 'url': 'https://t.co/qOT1hg5lLY', 'expanded_url': 'https://twitter.com/legiongodlynft/status/1537888081285484544/photo/1', 'display_url': 'pic.twitter.com/qOT1hg5lLY', 'media_key': '3_1537887775290036226'}]}"
30,1537862547541565440,2022-06-17 18:19:38+00:00,False,RT @raptors_fanclub: @High_Art_Hawaii @Anaya90Cesar @NFTLMW @legiongodlynft WE ARE https://t.co/mxJzangrbN,4,0,0,0,{'media_keys': ['3_1537858570540175360']},"{'urls': [{'start': 83, 'end': 106, 'url': 'https://t.co/mxJzangrbN', 'expanded_url': 'https://twitter.com/raptors_fanclub/status/1537858572083773444/photo/1', 'display_url': 'pic.twitter.com/mxJzangrbN', 'media_key': '3_1537858570540175360'}], 'mentions': [{'start': 3, 'end': 19, 'username': 'raptors_fanclub', 'id': '1497161665'}, {'start': 21, 'end': 37, 'username': 'High_Art_Hawaii', 'id': '1484750569579315203'}, {'start': 38, 'end': 51, 'username': 'Anaya90Cesar', 'id': '1136394055158521856'}, {'start': 52, 'end': 59, 'username': 'NFTLMW', 'id': '1489893126026276864'}, {'start': 60, 'end': 75, 'username': 'legiongodlynft', 'id': '1532022949775040516'}]}"
31,1537859152252481540,2022-06-17 18:06:08+00:00,False,RT @GregWron: @McLeod_Finest @DivaPeriva Join the @legiongodlynft https://t.co/7QU1lpn8If https://t.co/ATSyRxBqhr,3,0,0,0,{'media_keys': ['3_1537856398008143872']},"{'urls': [{'start': 66, 'end': 89, 'url': 'https://t.co/7QU1lpn8If', 'expanded_url': 'https://opensea.io/collection/godly-legion', 'display_url': 'opensea.io/collection/god…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1537203929620090888/qREfEMDN?format=jpg&name=orig', 'width': 1500, 'height': 500}, {'url': 'https://pbs.twimg.com/news_img/1537203929620090888/qREfEMDN?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'GODLY LEGION - Collection | OpenSea', 'description': 'Ascendam super altitudinem nubium, ero similis Altissimo. Tu autem ad inferos deduceris. Ad ima laci.', 'unwound_url': 'https://opensea.io/collection/godly-legion'}, {'start': 90, 'end': 113, 'url': 'https://t.co/ATSyRxBqhr', 'expanded_url': 'https://twitter.com/GregWron/status/1537856401892048901/photo/1', 'display_url': 'pic.twitter.com/ATSyRxBqhr', 'media_key': '3_1537856398008143872'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'GregWron', 'id': '2842771863'}, {'start': 14, 'end': 28, 'username': 'McLeod_Finest', 'id': '124069699'}, {'start': 29, 'end': 40, 'username': 'DivaPeriva', 'id': '111092919'}, {'start': 50, 'end': 65, 'username': 'legiongodlynft', 'id': '1532022949775040516'}]}"
32,1537859133541580800,2022-06-17 18:06:04+00:00,False,RT @ladycryptoshop: @rndmalgo @legiongodlynft My warriors 💗 #HereForTheArt #DopeAF #NFTs #ArtistOnTwitter #FreeMint #NFTDrop #Legion https:…,3,0,0,0,,"{'hashtags': [{'start': 60, 'end': 74, 'tag': 'HereForTheArt'}, {'start': 75, 'end': 82, 'tag': 'DopeAF'}, {'start': 83, 'end': 88, 'tag': 'NFTs'}, {'start': 89, 'end': 105, 'tag': 'ArtistOnTwitter'}, {'start': 106, 'end': 115, 'tag': 'FreeMint'}, {'start': 116, 'end': 124, 'tag': 'NFTDrop'}, {'start': 125, 'end': 132, 'tag': 'Legion'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'ladycryptoshop', 'id': '1477318296831729664'}, {'start': 20, 'end': 29, 'username': 'rndmalgo', 'id': '1030367559827243013'}, {'start': 30, 'end': 45, 'username': 'legiongodlynft', 'id': '1532022949775040516'}]}"
33,1537859118555443200,2022-06-17 18:06:00+00:00,False,"RT @TablepoundK: @FlurETH I don't know if you have seen these, but check out @legiongodlynft, just straight up amazing and extremely inexpe…",3,0,0,0,,"{'mentions': [{'start': 3, 'end': 15, 'username': 'TablepoundK', 'id': '386492564'}, {'start': 17, 'end': 25, 'username': 'FlurETH', 'id': '1496282012067508229'}, {'start': 77, 'end': 92, 'username': 'legiongodlynft', 'id': '1532022949775040516'}]}"
34,1537823667798913027,2022-06-17 15:45:08+00:00,False,"RT @TablepoundK: III Contubernium plus I (#godlylegion) : 
@legiongodlynft https://t.co/LoaX86vLWD",10,0,0,0,{'media_keys': ['3_1537823404346290179']},"{'hashtags': [{'start': 42, 'end': 54, 'tag': 'godlylegion'}], 'urls': [{'start': 75, 'end': 98, 'url': 'https://t.co/LoaX86vLWD', 'expanded_url': 'https://twitter.com/TablepoundK/status/1537823627973906433/photo/1', 'display_url': 'pic.twitter.com/LoaX86vLWD', 'media_key': '3_1537823404346290179'}], 'mentions': [{'start': 3, 'end': 15, 'username': 'TablepoundK', 'id': '386492564'}, {'start': 59, 'end': 74, 'username': 'legiongodlynft', 'id': '1532022949775040516'}]}"
35,1537807405488250881,2022-06-17 14:40:31+00:00,False,"RT @GregWron: Time to start 🧹🧹🧹
@legiongodlynft 
🙌🙏🙌🙏🙌🙏
https://t.co/7QU1lpn8If https://t.co/hOZAW0DDqy",11,0,0,0,{'media_keys': ['3_1537806614610182145']},"{'urls': [{'start': 56, 'end': 79, 'url': 'https://t.co/7QU1lpn8If', 'expanded_url': 'https://opensea.io/collection/godly-legion', 'display_url': 'opensea.io/collection/god…'}, {'start': 80, 'end': 103, 'url': 'https://t.co/hOZAW0DDqy', 'expanded_url': 'https://twitter.com/GregWron/status/1537806910015033344/photo/1', 'display_url': 'pic.twitter.com/hOZAW0DDqy', 'media_key': '3_1537806614610182145'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'GregWron', 'id': '2842771863'}, {'start': 32, 'end': 47, 'username': 'legiongodlynft', 'id': '1532022949775040516'}]}"
