,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1534156958583988225,2022-06-07 12:54:56+00:00,False,"RT @theOutsiderC: Our Weekly Cycle of Music Sharing Spaces Continues!

Cypher Sunday w/ @PapiOshu 06/05/22 8PM ET
Link: https://t.co/RMK43V…",23,0,0,0,,"{'mentions': [{'start': 3, 'end': 16, 'username': 'theOutsiderC', 'id': '1515106398836822019'}, {'start': 88, 'end': 97, 'username': 'PapiOshu', 'id': '1463762366596792325'}]}"
1,1533884802612461576,2022-06-06 18:53:29+00:00,False,"RT @loserlostnfound: next up,
• @bdice 

https://t.co/ETREuiEnr3",12,0,0,0,,"{'urls': [{'start': 41, 'end': 64, 'url': 'https://t.co/ETREuiEnr3', 'expanded_url': 'https://twitter.com/i/spaces/1yNGaYpXOyWGj', 'display_url': 'twitter.com/i/spaces/1yNGa…'}], 'mentions': [{'start': 3, 'end': 19, 'username': 'loserlostnfound', 'id': '1511753377855770630'}, {'start': 32, 'end': 38, 'username': 'bdice', 'id': '1465807461449822210'}]}"
2,1533869286086819845,2022-06-06 17:51:50+00:00,True,@itsjvon 🥹,1,2,17,0,,"{'mentions': [{'start': 0, 'end': 8, 'username': 'itsjvon', 'id': '583415381'}]}"
3,1533869236128473089,2022-06-06 17:51:38+00:00,False,RT @itsjvon: #newnftprofilepic ok the leaf king has surfaced. 🫡🍃💚 https://t.co/pQDG0TVHxg,52,0,0,0,{'media_keys': ['3_1533867490790371328']},"{'urls': [{'start': 66, 'end': 89, 'url': 'https://t.co/pQDG0TVHxg', 'expanded_url': 'https://twitter.com/itsjvon/status/1533867492954677248/photo/1', 'display_url': 'pic.twitter.com/pQDG0TVHxg', 'media_key': '3_1533867490790371328'}], 'hashtags': [{'start': 13, 'end': 30, 'tag': 'newnftprofilepic'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'itsjvon', 'id': '583415381'}]}"
4,1531778490000887810,2022-05-31 23:23:45+00:00,False,"Losers, buckle up. It’s going to be a wild ride 🌎 https://t.co/hY1xIT453E",123,47,437,12,{'media_keys': ['7_1531778178267717633']},"{'urls': [{'start': 50, 'end': 73, 'url': 'https://t.co/hY1xIT453E', 'expanded_url': 'https://twitter.com/loserclubreborn/status/1531778490000887810/video/1', 'display_url': 'pic.twitter.com/hY1xIT453E', 'media_key': '7_1531778178267717633'}]}"
5,1531710299312635908,2022-05-31 18:52:47+00:00,True,@unsignednft https://t.co/JFewkqDHrp,1,1,21,0,{'media_keys': ['16_1531710288835362817']},"{'urls': [{'start': 13, 'end': 36, 'url': 'https://t.co/JFewkqDHrp', 'expanded_url': 'https://twitter.com/loserclubreborn/status/1531710299312635908/photo/1', 'display_url': 'pic.twitter.com/JFewkqDHrp', 'media_key': '16_1531710288835362817'}], 'mentions': [{'start': 0, 'end': 12, 'username': 'unsignednft', 'id': '1478041579239608320'}]}"
6,1531375830059757568,2022-05-30 20:43:44+00:00,False,"RT @loserlostnfound: Next up, 
• @unsignednft 

https://t.co/l7kJYSTmhN",12,0,0,0,,"{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/l7kJYSTmhN', 'expanded_url': 'https://twitter.com/i/spaces/1YqxopjvWqZKv', 'display_url': 'twitter.com/i/spaces/1Yqxo…'}], 'mentions': [{'start': 3, 'end': 19, 'username': 'loserlostnfound', 'id': '1511753377855770630'}, {'start': 33, 'end': 45, 'username': 'unsignednft', 'id': '1478041579239608320'}]}"
7,1531097181205188609,2022-05-30 02:16:29+00:00,True,@andr3w @itsjvon Welcome to the Loser family 💙,11,0,77,0,,"{'mentions': [{'start': 0, 'end': 7, 'username': 'andr3w', 'id': '4911583324'}, {'start': 8, 'end': 16, 'username': 'itsjvon', 'id': '583415381'}]}"
8,1531096249713283075,2022-05-30 02:12:46+00:00,False,RT @andr3w: #NewProfilePic https://t.co/aua2Juy2Mt,169,0,0,0,{'media_keys': ['3_1531088471586131971']},"{'urls': [{'start': 27, 'end': 50, 'url': 'https://t.co/aua2Juy2Mt', 'expanded_url': 'https://twitter.com/andr3w/status/1531088476313206785/photo/1', 'display_url': 'pic.twitter.com/aua2Juy2Mt', 'media_key': '3_1531088471586131971'}], 'hashtags': [{'start': 12, 'end': 26, 'tag': 'NewProfilePic'}], 'mentions': [{'start': 3, 'end': 10, 'username': 'andr3w', 'id': '4911583324'}]}"
9,1531072746775511040,2022-05-30 00:39:23+00:00,True,@itsjvon @vatanashaw Losers love Vatana 💙,0,1,19,0,,"{'mentions': [{'start': 0, 'end': 8, 'username': 'itsjvon', 'id': '583415381'}, {'start': 9, 'end': 20, 'username': 'vatanashaw', 'id': '1601720700'}], 'annotations': [{'start': 33, 'end': 38, 'probability': 0.5162, 'type': 'Person', 'normalized_text': 'Vatana'}]}"
10,1531072165944119297,2022-05-30 00:37:04+00:00,True,@itsjvon @andr3w The @coolcatsnft shirt is everything.,1,1,35,0,,"{'mentions': [{'start': 0, 'end': 8, 'username': 'itsjvon', 'id': '583415381'}, {'start': 9, 'end': 16, 'username': 'andr3w', 'id': '4911583324'}, {'start': 21, 'end': 33, 'username': 'coolcatsnft', 'id': '1395553778187718657'}]}"
11,1531072080774561793,2022-05-30 00:36:44+00:00,False,"RT @itsjvon: thank u for todays sesh.
we gave a couple losers away.
the losers helped me draw a rogue for @andr3w ok it’s his to hex jst te…",95,0,0,0,,"{'mentions': [{'start': 3, 'end': 11, 'username': 'itsjvon', 'id': '583415381'}, {'start': 106, 'end': 113, 'username': 'andr3w', 'id': '4911583324'}]}"
12,1529655781645328386,2022-05-26 02:48:52+00:00,False,🫡🙏💙 https://t.co/rLg2kRJQxv,23,7,134,0,,"{'urls': [{'start': 4, 'end': 27, 'url': 'https://t.co/rLg2kRJQxv', 'expanded_url': 'https://twitter.com/TheSamuraiDojo_/status/1529651250161037314', 'display_url': 'twitter.com/TheSamuraiDojo…'}]}"
