,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1529268216542941187,2022-05-25 01:08:49+00:00,False,GM,0,0,1,0,,
1,1527110965434757127,2022-05-19 02:16:41+00:00,True,@0xgoldisold @zipcy88 @HanzOlo19 @zipcy8888 The one on the left.,0,0,1,0,,"{'mentions': [{'start': 13, 'end': 21, 'username': 'zipcy88', 'id': '153829117'}, {'start': 22, 'end': 32, 'username': 'HanzOlo19', 'id': '1239826573018025984'}, {'start': 33, 'end': 43, 'username': 'zipcy8888', 'id': '1449880746588397568'}]}"
2,1527109855399616513,2022-05-19 02:12:16+00:00,True,@fungibIes Midlife is the type of NFT that doesn’t offer a survey at the end of a call. But we always pick up.,0,0,0,0,,"{'mentions': [{'start': 0, 'end': 10, 'username': 'fungibIes', 'id': '1348433364978692102'}]}"
3,1526892025349644288,2022-05-18 11:46:41+00:00,False,GM!,0,0,0,0,,
4,1525668676145389569,2022-05-15 02:45:32+00:00,False,Tough times in crypto markets. Hang in there everyone!! WAGMI https://t.co/bq1rKDBv5a,2,0,10,0,{'media_keys': ['3_1525668673184317441']},"{'urls': [{'start': 62, 'end': 85, 'url': 'https://t.co/bq1rKDBv5a', 'expanded_url': 'https://twitter.com/midlifenft/status/1525668676145389569/photo/1', 'display_url': 'pic.twitter.com/bq1rKDBv5a', 'media_key': '3_1525668673184317441'}]}"
5,1523473329318809600,2022-05-09 01:22:01+00:00,False,Gm. Happy Mother’s Day !,0,0,2,0,,
6,1522405182935646209,2022-05-06 02:37:35+00:00,False,GM https://t.co/fNvvaUYmK7,3,1,10,0,{'media_keys': ['3_1522405180012212225']},"{'urls': [{'start': 3, 'end': 26, 'url': 'https://t.co/fNvvaUYmK7', 'expanded_url': 'https://twitter.com/midlifenft/status/1522405182935646209/photo/1', 'display_url': 'pic.twitter.com/fNvvaUYmK7', 'media_key': '3_1522405180012212225'}]}"
7,1521909923130527745,2022-05-04 17:49:36+00:00,False,RT @fungibIes: @Captainbootyz @craniumapes You’ve always been a awesome community member. Very cool job on the collection. I wish you Best…,4,0,0,0,,"{'mentions': [{'start': 3, 'end': 13, 'username': 'fungibIes', 'id': '1348433364978692102'}, {'start': 15, 'end': 29, 'username': 'Captainbootyz', 'id': '1466432202183479307'}, {'start': 30, 'end': 42, 'username': 'craniumapes', 'id': '1513221138528284674'}]}"
8,1521267718447681536,2022-05-02 23:17:42+00:00,False,#midlifenft holders - make sure and check out this mint. Awesome artwork. Please show some love for another upcoming collection like ours! https://t.co/8AjvnALGUo,2,1,6,1,,"{'hashtags': [{'start': 0, 'end': 11, 'tag': 'midlifenft'}], 'urls': [{'start': 139, 'end': 162, 'url': 'https://t.co/8AjvnALGUo', 'expanded_url': 'https://twitter.com/313_Project/status/1521206184082092032', 'display_url': 'twitter.com/313_Project/st…'}]}"
9,1521133895516831751,2022-05-02 14:25:56+00:00,False,GM #midlifenft. If you don’t know us please go@check out the collection on opensea. https://t.co/i2G4FVGuOL,1,1,6,2,,"{'hashtags': [{'start': 3, 'end': 14, 'tag': 'midlifenft'}], 'urls': [{'start': 84, 'end': 107, 'url': 'https://t.co/i2G4FVGuOL', 'expanded_url': 'https://opensea.io/collection/midlifenft', 'display_url': 'opensea.io/collection/mid…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1521133955403202566/29RFP51A?format=jpg&name=orig', 'width': 1400, 'height': 1029}, {'url': 'https://pbs.twimg.com/news_img/1521133955403202566/29RFP51A?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Midlife NFT - Collection | OpenSea', 'description': 'MINTED OUT! Collection Size: 1995 Welcome to midlife; a world where dial up modems, movie rental stores, converse chucks and slap-on bracelets still thrive in all their glory Also follow us on Twitter at https://twitter.com/midlifenft Enjoy!', 'unwound_url': 'https://opensea.io/collection/midlifenft'}]}"
