,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1542170411693219840,2022-06-29 15:37:32+00:00,False,"🔥Moon Strike - Devlog Part 1 
✅Here is part 1 where we are showing the latest updates on progress and a sneak preview of the game itself. All of that and more in this special video.
#NFTCommunity #NFTCollection 
https://t.co/jF5oNLkGPa",521,345,1070,2,,"{'hashtags': [{'start': 182, 'end': 195, 'tag': 'NFTCommunity'}, {'start': 196, 'end': 210, 'tag': 'NFTCollection'}], 'urls': [{'start': 212, 'end': 235, 'url': 'https://t.co/jF5oNLkGPa', 'expanded_url': 'https://www.youtube.com/watch?v=ReejVCzvXQA', 'display_url': 'youtube.com/watch?v=ReejVC…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1542170413417074690/imUlCp9V?format=jpg&name=orig', 'width': 480, 'height': 360}, {'url': 'https://pbs.twimg.com/news_img/1542170413417074690/imUlCp9V?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Moon Strike - Devlog Part 1 - Alpha Version And Marketplace', 'description': 'https://twitter.com/moonstrikenft - Today we are happy to start video series about the development of our game Moon Strike. Here is devlog part 1 where we a...', 'unwound_url': 'https://www.youtube.com/watch?v=ReejVCzvXQA'}]}"
1,1541308171192508417,2022-06-27 06:31:18+00:00,False,"🔥🔥🔥 We are super happy to announce that we reached over 75,000 followers on Twitter
🚀Thank you for your support and we will land on the Moon!

#NFTs #Play2Earn #moonstrike  #NFTCommmunity https://t.co/HwwZ78iYXy",502,364,923,7,{'media_keys': ['3_1541307958532968453']},"{'hashtags': [{'start': 143, 'end': 148, 'tag': 'NFTs'}, {'start': 149, 'end': 159, 'tag': 'Play2Earn'}, {'start': 160, 'end': 171, 'tag': 'moonstrike'}, {'start': 173, 'end': 187, 'tag': 'NFTCommmunity'}], 'urls': [{'start': 188, 'end': 211, 'url': 'https://t.co/HwwZ78iYXy', 'expanded_url': 'https://twitter.com/moonstrikenft/status/1541308171192508417/photo/1', 'display_url': 'pic.twitter.com/HwwZ78iYXy', 'media_key': '3_1541307958532968453'}], 'annotations': [{'start': 79, 'end': 85, 'probability': 0.5265, 'type': 'Product', 'normalized_text': 'Twitter'}]}"
2,1539840842176909312,2022-06-23 05:20:40+00:00,False,"🔥SUPER HOT NEWS!
✅Moon Strike Smart Contract is verified now by the famous CERTIK audit company!
🚀Prepare more and more to land on the Moon with Moon Strike!
#NFT #NFTCommunity #PlayToEarn https://t.co/CaFMvdqfHi",492,367,893,3,{'media_keys': ['3_1539840353280344065']},"{'hashtags': [{'start': 158, 'end': 162, 'tag': 'NFT'}, {'start': 163, 'end': 176, 'tag': 'NFTCommunity'}, {'start': 177, 'end': 188, 'tag': 'PlayToEarn'}], 'urls': [{'start': 189, 'end': 212, 'url': 'https://t.co/CaFMvdqfHi', 'expanded_url': 'https://twitter.com/moonstrikenft/status/1539840842176909312/photo/1', 'display_url': 'pic.twitter.com/CaFMvdqfHi', 'media_key': '3_1539840353280344065'}]}"
3,1538474498948837376,2022-06-19 10:51:18+00:00,False,"🔥Attention!!! 
✅Pre-Sale Mint and Public Mint Date Changed!
Due to the latest situation on the market, we decided to change the sale date for the Moon Strike NFT collection.
✅New Dates are:
Pre-sale Date: Oct 23, 2022
Public-sale Date: Oct 28, 2022
#NFTs #NFTProject https://t.co/7cpp5OoqBW",497,310,882,2,{'media_keys': ['3_1538474374042378240']},"{'hashtags': [{'start': 249, 'end': 254, 'tag': 'NFTs'}, {'start': 255, 'end': 266, 'tag': 'NFTProject'}], 'urls': [{'start': 267, 'end': 290, 'url': 'https://t.co/7cpp5OoqBW', 'expanded_url': 'https://twitter.com/moonstrikenft/status/1538474498948837376/photo/1', 'display_url': 'pic.twitter.com/7cpp5OoqBW', 'media_key': '3_1538474374042378240'}]}"
4,1537373825427554305,2022-06-16 09:57:37+00:00,False,"🔥MOON STRIKE NFT CARDS &amp; UTILITY:

✅ Each NFT = Credit in Marketplace
✅ Different types of Rarity 
✅ Renting  &amp; Profit
✅ Whitelist spots in future sales.
✅ Token Allocation 
✅ VIP access to a demo of the game
✅ Private Discord Channels
✅ Staking for tokens
🚀 AND MORE! https://t.co/6Ns3kRGRWC",486,241,891,1,{'media_keys': ['3_1537373552684544004']},"{'urls': [{'start': 277, 'end': 300, 'url': 'https://t.co/6Ns3kRGRWC', 'expanded_url': 'https://twitter.com/moonstrikenft/status/1537373825427554305/photo/1', 'display_url': 'pic.twitter.com/6Ns3kRGRWC', 'media_key': '3_1537373552684544004'}]}"
5,1535139771323924480,2022-06-10 06:00:17+00:00,False,"🔥EPIC NFT CARDS!
Check out one of the cards with Epic hip-hop art animation

✅Real 3D design
✅Manually made
✅Different types of animations
✅Staking is support for NFT holders and more cool features!!!
🚀To the Moon!!!
#NFTGame #NFTArts #NFTCommunity https://t.co/9NyMaNiKf0",517,231,921,0,{'media_keys': ['7_1535139510610186240']},"{'hashtags': [{'start': 217, 'end': 225, 'tag': 'NFTGame'}, {'start': 226, 'end': 234, 'tag': 'NFTArts'}, {'start': 235, 'end': 248, 'tag': 'NFTCommunity'}], 'urls': [{'start': 249, 'end': 272, 'url': 'https://t.co/9NyMaNiKf0', 'expanded_url': 'https://twitter.com/moonstrikenft/status/1535139771323924480/video/1', 'display_url': 'pic.twitter.com/9NyMaNiKf0', 'media_key': '7_1535139510610186240'}]}"
6,1533480525272424448,2022-06-05 16:07:02+00:00,False,"🔥🔥🔥 We are super happy to announce that we reached over 40,000 followers on Twitter
🚀Thank you for your support and we will land on the Moon!
#NFTs #Play2Earn #moonstrike https://t.co/Y0uaEhR6nt",458,343,1128,2,{'media_keys': ['3_1533480499993362433']},"{'hashtags': [{'start': 142, 'end': 147, 'tag': 'NFTs'}, {'start': 148, 'end': 158, 'tag': 'Play2Earn'}, {'start': 159, 'end': 170, 'tag': 'moonstrike'}], 'urls': [{'start': 171, 'end': 194, 'url': 'https://t.co/Y0uaEhR6nt', 'expanded_url': 'https://twitter.com/moonstrikenft/status/1533480525272424448/photo/1', 'display_url': 'pic.twitter.com/Y0uaEhR6nt', 'media_key': '3_1533480499993362433'}], 'annotations': [{'start': 79, 'end': 85, 'probability': 0.531, 'type': 'Product', 'normalized_text': 'Twitter'}]}"
7,1532658070609969152,2022-06-03 09:38:54+00:00,False,"🔥RARE NFT CARDS!
Check out one of the cards with Rare martial art animation

✅Real 3D design
✅Manually made
✅Different types of animations
✅Staking is support for NFT holders and more cool features!!!
🚀To the Moon!!!
#NFTGame #NFTArts #NFTCommunity https://t.co/oN2w0mn37q",431,251,863,5,{'media_keys': ['7_1532658025412059136']},"{'hashtags': [{'start': 217, 'end': 225, 'tag': 'NFTGame'}, {'start': 226, 'end': 234, 'tag': 'NFTArts'}, {'start': 235, 'end': 248, 'tag': 'NFTCommunity'}], 'urls': [{'start': 249, 'end': 272, 'url': 'https://t.co/oN2w0mn37q', 'expanded_url': 'https://twitter.com/moonstrikenft/status/1532658070609969152/video/1', 'display_url': 'pic.twitter.com/oN2w0mn37q', 'media_key': '7_1532658025412059136'}]}"
8,1531504668689547264,2022-05-31 05:15:41+00:00,False,"🔥Are you ready for the Uncommon NFT?
Check out one of the cards with uncommon dance animation

✅Real 3D design
✅Manually made
✅Different types of animations
✅Staking is support for NFT holders and more cool features!!!
🚀To the Moon!!!
#NFTGame #NFTArts #NFTCommunity https://t.co/siwzZn708Q",425,304,716,3,{'media_keys': ['7_1531504588355948544']},"{'hashtags': [{'start': 235, 'end': 243, 'tag': 'NFTGame'}, {'start': 244, 'end': 252, 'tag': 'NFTArts'}, {'start': 253, 'end': 266, 'tag': 'NFTCommunity'}], 'urls': [{'start': 267, 'end': 290, 'url': 'https://t.co/siwzZn708Q', 'expanded_url': 'https://twitter.com/moonstrikenft/status/1531504668689547264/video/1', 'display_url': 'pic.twitter.com/siwzZn708Q', 'media_key': '7_1531504588355948544'}]}"
9,1530787989856690176,2022-05-29 05:47:52+00:00,False,"RT @RaritySniperNFT: Giveaway! 🎉

We're giving away 4x Moon Strike NFTs from @moonstrikenft, worth ~1 ETH! 🌕🚀

To enter:
1. Follow @RarityS…",2736,0,0,0,,"{'mentions': [{'start': 3, 'end': 19, 'username': 'RaritySniperNFT', 'id': '1416070452372459523'}, {'start': 77, 'end': 91, 'username': 'moonstrikenft', 'id': '1486926126454816769'}]}"
