,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1534430924061847553,2022-06-08 07:03:35+00:00,True,@filos GM fren!!! ☀️☕️,0,0,2,0,,"{'mentions': [{'start': 0, 'end': 6, 'username': 'filos', 'id': '788994'}]}"
1,1534353925972692992,2022-06-08 01:57:37+00:00,True,@DarlinMartes @thelonelyaliens Love all of these!!! 😍😍😍,0,0,4,0,,"{'mentions': [{'start': 0, 'end': 13, 'username': 'DarlinMartes', 'id': '1423663044995993617'}, {'start': 14, 'end': 30, 'username': 'thelonelyaliens', 'id': '1404218660260962313'}]}"
2,1534317163040735233,2022-06-07 23:31:32+00:00,True,"@JhonnyWsH @splashyotter @NFTStineMarie @splashyotter You should check out our collection fren! Also, feel free to drop by our Discord for some good vibes! 🤙

https://t.co/cyq1cpChhU",1,0,5,0,,"{'mentions': [{'start': 0, 'end': 10, 'username': 'JhonnyWsH', 'id': '1502152512010293248'}, {'start': 11, 'end': 24, 'username': 'splashyotter', 'id': '1528453117884481536'}, {'start': 25, 'end': 39, 'username': 'NFTStineMarie', 'id': '1489501759017914368'}, {'start': 40, 'end': 53, 'username': 'splashyotter', 'id': '1528453117884481536'}], 'urls': [{'start': 159, 'end': 182, 'url': 'https://t.co/cyq1cpChhU', 'expanded_url': 'http://discord.gg/WWMCjJrT3Y', 'display_url': 'discord.gg/WWMCjJrT3Y', 'images': [{'url': 'https://pbs.twimg.com/news_img/1534317207508856832/u8ipo_W4?format=jpg&name=orig', 'width': 512, 'height': 270}, {'url': 'https://pbs.twimg.com/news_img/1534317207508856832/u8ipo_W4?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Discord - A New Way to Chat with Friends & Communities', 'description': 'Discord is the easiest way to communicate over voice, video, and text. Chat, hang out, and stay close with your friends and communities.', 'unwound_url': 'https://discord.com/invite/WWMCjJrT3Y'}]}"
3,1534259499933966336,2022-06-07 19:42:24+00:00,True,@JhonnyWsH We ready 😎 https://t.co/UobjadH4xe,0,1,3,0,{'media_keys': ['16_1534259490161238017']},"{'mentions': [{'start': 0, 'end': 10, 'username': 'JhonnyWsH', 'id': '1502152512010293248'}], 'urls': [{'start': 22, 'end': 45, 'url': 'https://t.co/UobjadH4xe', 'expanded_url': 'https://twitter.com/myinternetfrens/status/1534259499933966336/photo/1', 'display_url': 'pic.twitter.com/UobjadH4xe', 'media_key': '16_1534259490161238017'}]}"
4,1534258937683402754,2022-06-07 19:40:10+00:00,True,@DominiChiller Amazing pick ups fren!!! 😍😍😍,0,0,2,0,,"{'mentions': [{'start': 0, 'end': 14, 'username': 'DominiChiller', 'id': '940992314960465920'}]}"
5,1534254973185191936,2022-06-07 19:24:25+00:00,True,"@mrbr0own @myinternetfrens for sure! We have a unique collection, an awesome team, and one of the most welcoming communities in the space! 🌐🔥

https://t.co/mzgilkTJV0

@NFTStineMarie #internetfrens #nftcommunity #nftcollection #nft #nfts https://t.co/BsTdscuu4E",1,2,4,0,{'media_keys': ['16_1534254874648408064']},"{'hashtags': [{'start': 183, 'end': 197, 'tag': 'internetfrens'}, {'start': 198, 'end': 211, 'tag': 'nftcommunity'}, {'start': 212, 'end': 226, 'tag': 'nftcollection'}, {'start': 227, 'end': 231, 'tag': 'nft'}, {'start': 232, 'end': 237, 'tag': 'nfts'}], 'mentions': [{'start': 0, 'end': 9, 'username': 'mrbr0own', 'id': '1451970902233657344'}, {'start': 10, 'end': 26, 'username': 'myinternetfrens', 'id': '1480719402009985026'}, {'start': 168, 'end': 182, 'username': 'NFTStineMarie', 'id': '1489501759017914368'}], 'urls': [{'start': 143, 'end': 166, 'url': 'https://t.co/mzgilkTJV0', 'expanded_url': 'https://opensea.io/collection/internetfrens', 'display_url': 'opensea.io/collection/int…'}, {'start': 238, 'end': 261, 'url': 'https://t.co/BsTdscuu4E', 'expanded_url': 'https://twitter.com/myinternetfrens/status/1534254973185191936/photo/1', 'display_url': 'pic.twitter.com/BsTdscuu4E', 'media_key': '16_1534254874648408064'}]}"
6,1534250283647131648,2022-06-07 19:05:47+00:00,True,@averyjerraine @wealthhhhhh ❤️❤️❤️,0,0,5,0,,"{'mentions': [{'start': 0, 'end': 14, 'username': 'averyjerraine', 'id': '1043771990795005953'}, {'start': 15, 'end': 27, 'username': 'wealthhhhhh', 'id': '1286914238401982465'}]}"
7,1534247869464518656,2022-06-07 18:56:11+00:00,True,@JhonnyWsH @NFTStineMarie Nice!!!,0,0,1,0,,"{'mentions': [{'start': 0, 'end': 10, 'username': 'JhonnyWsH', 'id': '1502152512010293248'}, {'start': 11, 'end': 25, 'username': 'NFTStineMarie', 'id': '1489501759017914368'}]}"
8,1534247177458855936,2022-06-07 18:53:26+00:00,True,@AstaNFT @NFTStineMarie 🤣🤣🤣,0,0,2,0,,"{'mentions': [{'start': 0, 'end': 8, 'username': 'AstaNFT', 'id': '1338152503800721410'}, {'start': 9, 'end': 23, 'username': 'NFTStineMarie', 'id': '1489501759017914368'}]}"
9,1534246405480402944,2022-06-07 18:50:22+00:00,True,@AstaNFT @NFTStineMarie A couple hours later... 😂😂😂 https://t.co/6eyxXPKkgv,0,1,2,0,{'media_keys': ['16_1534246399994232832']},"{'mentions': [{'start': 0, 'end': 8, 'username': 'AstaNFT', 'id': '1338152503800721410'}, {'start': 9, 'end': 23, 'username': 'NFTStineMarie', 'id': '1489501759017914368'}], 'urls': [{'start': 52, 'end': 75, 'url': 'https://t.co/6eyxXPKkgv', 'expanded_url': 'https://twitter.com/myinternetfrens/status/1534246405480402944/photo/1', 'display_url': 'pic.twitter.com/6eyxXPKkgv', 'media_key': '16_1534246399994232832'}]}"
