,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1536022175446355968,2022-06-12 16:26:39+00:00,True,@FenixLabsNFT Bring it on. Our #1 priority is to scale out the tool-suite for our holders (beta-testers already benchmarked us against other tools btw). We'll circle back once we sort out our business structure.,9,4,34,2,,"{'mentions': [{'start': 0, 'end': 13, 'username': 'FenixLabsNFT', 'id': '1352320886796406788'}]}"
1,1535781451987562496,2022-06-12 00:30:06+00:00,False,"We're SOLD OUT! 🎉

Access to the most powerful trading suite will unlock tomorrow 🙏 https://t.co/BynPm9yuiQ",49,10,130,8,{'media_keys': ['3_1535781286048321537']},"{'urls': [{'start': 84, 'end': 107, 'url': 'https://t.co/BynPm9yuiQ', 'expanded_url': 'https://twitter.com/nftsenseixyz/status/1535781451987562496/photo/1', 'display_url': 'pic.twitter.com/BynPm9yuiQ', 'media_key': '3_1535781286048321537'}]}"
2,1535751895062482944,2022-06-11 22:32:39+00:00,False,Join us for spaces before our mint begins! https://t.co/AL447pbWzn,9,4,23,0,,"{'urls': [{'start': 43, 'end': 66, 'url': 'https://t.co/AL447pbWzn', 'expanded_url': 'https://twitter.com/i/spaces/1DXxyDeQLvnJM', 'display_url': 'twitter.com/i/spaces/1DXxy…'}]}"
3,1535744613197451264,2022-06-11 22:03:43+00:00,False,The gates are opening ⛩ https://t.co/hJG1fyfu8p,16,6,62,0,{'media_keys': ['3_1535744228353277952']},"{'urls': [{'start': 24, 'end': 47, 'url': 'https://t.co/hJG1fyfu8p', 'expanded_url': 'https://twitter.com/nftsenseixyz/status/1535744613197451264/photo/1', 'display_url': 'pic.twitter.com/hJG1fyfu8p', 'media_key': '3_1535744228353277952'}]}"
4,1535438236935286784,2022-06-11 01:46:17+00:00,False,"RT @Syndicate893: ⛩️ Syndicate893 x NFT Sensei ⛩️

The most powerful trading suite in the space has been kind enough to provide 1x SenseiLi…",208,0,0,0,,"{'mentions': [{'start': 3, 'end': 16, 'username': 'Syndicate893', 'id': '1473703004251566088'}]}"
5,1535397445324394496,2022-06-10 23:04:11+00:00,False,"The final countdown ⏳

Join our Discord before it's too late: https://t.co/bzSjV8FZ93 https://t.co/ieNeN1YS2y",39,20,95,0,{'media_keys': ['7_1535397194706350080']},"{'urls': [{'start': 62, 'end': 85, 'url': 'https://t.co/bzSjV8FZ93', 'expanded_url': 'http://discord.gg/nftsensei', 'display_url': 'discord.gg/nftsensei'}, {'start': 86, 'end': 109, 'url': 'https://t.co/ieNeN1YS2y', 'expanded_url': 'https://twitter.com/nftsenseixyz/status/1535397445324394496/video/1', 'display_url': 'pic.twitter.com/ieNeN1YS2y', 'media_key': '7_1535397194706350080'}]}"
6,1535288274339500032,2022-06-10 15:50:23+00:00,False,"RT @NFTRyRy: ⛩️ Ryry x NFT Sensei ⛩️

The team has been kind enough to provide 1 x WL List spots for us to give away!

To enter:
1️⃣ Follow…",4433,0,0,0,,"{'mentions': [{'start': 3, 'end': 11, 'username': 'NFTRyRy', 'id': '1336800230298308610'}]}"
7,1535277810398687232,2022-06-10 15:08:48+00:00,False,"RT @OriginsNFT: Origins x ⛩️NFT Sensei ⛩️

The most powerful trading suite in the space has been kind enough to provide 2 x SenseiList spot…",228,0,0,0,,"{'mentions': [{'start': 3, 'end': 14, 'username': 'OriginsNFT', 'id': '1439692694880591872'}]}"
8,1535111221355360259,2022-06-10 04:06:50+00:00,False,"RT @NTOutreach: ⛩️ Neo Tokyo Outreach x NFT Sensei ⛩️

The most powerful trading suite in the space has been kind enough to provide 3 x Sen…",3840,0,0,0,,"{'annotations': [{'start': 19, 'end': 52, 'probability': 0.3669, 'type': 'Product', 'normalized_text': 'Neo Tokyo Outreach x NFT Sensei ⛩️'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'NTOutreach', 'id': '1501192529408053253'}]}"
9,1535053249413550080,2022-06-10 00:16:29+00:00,False,"RT @nftsenseixyz: 11th June ⛩
Your weapons are ready. Are you? https://t.co/dEnqfe7siv",943,0,0,0,{'media_keys': ['7_1534178221624729600']},"{'urls': [{'start': 63, 'end': 86, 'url': 'https://t.co/dEnqfe7siv', 'expanded_url': 'https://twitter.com/nftsenseixyz/status/1534178613473333248/video/1', 'display_url': 'pic.twitter.com/dEnqfe7siv', 'media_key': '7_1534178221624729600'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'nftsenseixyz', 'id': '1498160446867935232'}]}"
