,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1536886457910034436,2022-06-15 01:41:00+00:00,False,"RT @Artifaction2: I'm here to support artists.

If you are an artist making 1/1 art, editions, PFP projects, generative art or clay statues…",45,0,0,0,,"{'mentions': [{'start': 3, 'end': 16, 'username': 'Artifaction2', 'id': '1466058924222824450'}]}"
1,1536886402306162689,2022-06-15 01:40:46+00:00,True,@saltymim Check your hidden folder,0,1,0,0,,"{'mentions': [{'start': 0, 'end': 9, 'username': 'saltymim', 'id': '1504515457398853638'}]}"
2,1536883844196052993,2022-06-15 01:30:37+00:00,False,gn https://t.co/sZPYZzJOyQ,2,14,59,0,{'media_keys': ['16_1536883832372269057']},"{'urls': [{'start': 3, 'end': 26, 'url': 'https://t.co/sZPYZzJOyQ', 'expanded_url': 'https://twitter.com/osf_nft/status/1536883844196052993/photo/1', 'display_url': 'pic.twitter.com/sZPYZzJOyQ', 'media_key': '16_1536883832372269057'}]}"
3,1536883461406990337,2022-06-15 01:29:05+00:00,False,"RT @farokh: To whoever is still here, you know the vibes: GM NFTs, 10:30 AM ET. 🫡

Topics:
- Daily market summary 
- Are we going lower aft…",6,0,0,0,,"{'mentions': [{'start': 3, 'end': 10, 'username': 'farokh', 'id': '3369243892'}]}"
4,1536882386134351873,2022-06-15 01:24:49+00:00,True,@awaken_luck awesome thank you!!!,0,0,1,0,,"{'mentions': [{'start': 0, 'end': 12, 'username': 'awaken_luck', 'id': '1089441358501228545'}]}"
5,1536881833471889409,2022-06-15 01:22:37+00:00,False,DAP is on the salesbot now! https://t.co/fODmenijWY,1,0,10,0,,"{'urls': [{'start': 28, 'end': 51, 'url': 'https://t.co/fODmenijWY', 'expanded_url': 'https://twitter.com/DegenzSalesBot/status/1536880343550152705', 'display_url': 'twitter.com/DegenzSalesBot…'}]}"
6,1536881511575834625,2022-06-15 01:21:20+00:00,True,@awaken_luck Thanks!,0,1,1,0,,"{'mentions': [{'start': 0, 'end': 12, 'username': 'awaken_luck', 'id': '1089441358501228545'}]}"
7,1536880686065410048,2022-06-15 01:18:04+00:00,True,@awaken_luck Any idea if there is a code-friendly version that exists?,0,1,1,0,,"{'mentions': [{'start': 0, 'end': 12, 'username': 'awaken_luck', 'id': '1089441358501228545'}]}"
8,1536879626689073154,2022-06-15 01:13:51+00:00,False,"Does a token-gated version of Google forms exist?

Something where you can sign up?",0,6,15,0,,"{'annotations': [{'start': 30, 'end': 35, 'probability': 0.6656, 'type': 'Product', 'normalized_text': 'Google'}]}"
9,1536876124826963969,2022-06-15 00:59:56+00:00,False,"RT @DegenzNFT: Dear @DegenzNFT - the DAP has been airdropped to all wallets!

Please make sure you verify your new role in https://t.co/drE…",7,0,0,0,,"{'mentions': [{'start': 3, 'end': 13, 'username': 'DegenzNFT', 'id': '1402777814223437827'}, {'start': 20, 'end': 30, 'username': 'DegenzNFT', 'id': '1402777814223437827'}]}"
