,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1539066896250724352,2022-06-21 02:05:17+00:00,False,"doubel verifiefried

we are all pablosssss https://t.co/reEIWMGJj7",76,24,203,5,{'media_keys': ['3_1539066893910302722']},"{'urls': [{'start': 43, 'end': 66, 'url': 'https://t.co/reEIWMGJj7', 'expanded_url': 'https://twitter.com/pabloslol/status/1539066896250724352/photo/1', 'display_url': 'pic.twitter.com/reEIWMGJj7', 'media_key': '3_1539066893910302722'}]}"
1,1539066730940706818,2022-06-21 02:04:37+00:00,False,RT @its_ethy: @pabloslol verified on OS LFGGG! https://t.co/aDEoPaPImv,8,0,0,0,{'media_keys': ['3_1539066615144361984']},"{'urls': [{'start': 47, 'end': 70, 'url': 'https://t.co/aDEoPaPImv', 'expanded_url': 'https://twitter.com/its_ethy/status/1539066618688552962/photo/1', 'display_url': 'pic.twitter.com/aDEoPaPImv', 'media_key': '3_1539066615144361984'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'its_ethy', 'id': '1363943000494243841'}, {'start': 14, 'end': 24, 'username': 'pabloslol', 'id': '1531672537188425728'}]}"
2,1539066511792414724,2022-06-21 02:03:45+00:00,False,RT @SlimeySniper: @PuffYatty Them Pablo’s for sure ! @pabloslol https://t.co/uMvW2NQR8R,3,0,0,0,{'media_keys': ['3_1539065905254129665']},"{'urls': [{'start': 64, 'end': 87, 'url': 'https://t.co/uMvW2NQR8R', 'expanded_url': 'https://twitter.com/SlimeySniper/status/1539065915345620992/photo/1', 'display_url': 'pic.twitter.com/uMvW2NQR8R', 'media_key': '3_1539065905254129665'}], 'annotations': [{'start': 34, 'end': 38, 'probability': 0.8595, 'type': 'Person', 'normalized_text': 'Pablo'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'SlimeySniper', 'id': '1144813392168914944'}, {'start': 18, 'end': 28, 'username': 'PuffYatty', 'id': '1379093259776110595'}, {'start': 53, 'end': 63, 'username': 'pabloslol', 'id': '1531672537188425728'}]}"
3,1539061995089055747,2022-06-21 01:45:48+00:00,True,"@thenftmillenni1 once i have sex, so u got forever",0,1,5,0,,"{'mentions': [{'start': 0, 'end': 16, 'username': 'thenftmillenni1', 'id': '1492537882476630016'}]}"
4,1539061346549084160,2022-06-21 01:43:14+00:00,False,RT @MEPMAY: Workin on a remix for you @pabloslol lesgo #pablosLOL https://t.co/73UA547VFH,6,0,0,0,{'media_keys': ['7_1539061110472691713']},"{'urls': [{'start': 66, 'end': 89, 'url': 'https://t.co/73UA547VFH', 'expanded_url': 'https://twitter.com/MEPMAY/status/1539061266052001792/video/1', 'display_url': 'pic.twitter.com/73UA547VFH', 'media_key': '7_1539061110472691713'}], 'mentions': [{'start': 3, 'end': 10, 'username': 'MEPMAY', 'id': '3824926876'}, {'start': 38, 'end': 48, 'username': 'pabloslol', 'id': '1531672537188425728'}], 'hashtags': [{'start': 55, 'end': 65, 'tag': 'pablosLOL'}]}"
5,1539060965102309388,2022-06-21 01:41:43+00:00,False,"RT @dApps911: @basilmountian @pabloslol Pablo punk rock Mohawk = Fire 🔥 

@artsonist666 Can I get a Fire Head Mohawk punkrock Pablo 1/1

#w…",4,0,0,0,,"{'mentions': [{'start': 3, 'end': 12, 'username': 'dApps911', 'id': '2790771542'}, {'start': 14, 'end': 28, 'username': 'basilmountian', 'id': '1363714642414075915'}, {'start': 29, 'end': 39, 'username': 'pabloslol', 'id': '1531672537188425728'}, {'start': 74, 'end': 87, 'username': 'artsonist666', 'id': '1536743468827037701'}]}"
6,1539060745215803392,2022-06-21 01:40:50+00:00,True,@TheeHustleHouse lollllll wtfffff why,2,5,38,1,,"{'mentions': [{'start': 0, 'end': 16, 'username': 'TheeHustleHouse', 'id': '925157550617632768'}]}"
7,1539060508162146304,2022-06-21 01:39:54+00:00,False,"RT @chenyangni2: @pabloslol i get my fuckfiats. count is 7
77 is my lucky number.
lfg~ https://t.co/zmO35sgQxH",3,0,0,0,{'media_keys': ['3_1539060344227651584']},"{'urls': [{'start': 87, 'end': 110, 'url': 'https://t.co/zmO35sgQxH', 'expanded_url': 'https://twitter.com/chenyangni2/status/1539060358177882113/photo/1', 'display_url': 'pic.twitter.com/zmO35sgQxH', 'media_key': '3_1539060344227651584'}], 'mentions': [{'start': 3, 'end': 15, 'username': 'chenyangni2', 'id': '1368765508875554818'}, {'start': 17, 'end': 27, 'username': 'pabloslol', 'id': '1531672537188425728'}]}"
8,1539060483868741633,2022-06-21 01:39:48+00:00,False,RT @this_guysucks: 1 eth = 1 eth @pabloslol #fuckfiat https://t.co/WmNFryhEKF,4,0,0,0,{'media_keys': ['16_1539060255795167233']},"{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/WmNFryhEKF', 'expanded_url': 'https://twitter.com/this_guysucks/status/1539060264737427456/photo/1', 'display_url': 'pic.twitter.com/WmNFryhEKF', 'media_key': '16_1539060255795167233'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'this_guysucks', 'id': '1526316778640621568'}, {'start': 33, 'end': 43, 'username': 'pabloslol', 'id': '1531672537188425728'}], 'hashtags': [{'start': 44, 'end': 53, 'tag': 'fuckfiat'}]}"
9,1539060174308225024,2022-06-21 01:38:34+00:00,True,@MagazinNft lol ok,0,0,17,0,,"{'mentions': [{'start': 0, 'end': 11, 'username': 'MagazinNft', 'id': '1511151348632502273'}]}"
10,1539059546295095296,2022-06-21 01:36:04+00:00,False,"I wud keep pablos,,,, they are genesis. immma arteist and will keep creating.

u konnect the dots anon. https://t.co/ukjnM81JxY",16,7,70,1,{'media_keys': ['3_1539059529035423746']},"{'urls': [{'start': 104, 'end': 127, 'url': 'https://t.co/ukjnM81JxY', 'expanded_url': 'https://twitter.com/pabloslol/status/1539059546295095296/photo/1', 'display_url': 'pic.twitter.com/ukjnM81JxY', 'media_key': '3_1539059529035423746'}]}"
11,1539059401901875201,2022-06-21 01:35:30+00:00,False,RT @dApps911: Only an AI can out learn a human. @elonmusk @pabloslol @artsonist666 To the MARS! https://t.co/ElrxERuO85,8,0,0,0,{'media_keys': ['3_1539058881803993088']},"{'urls': [{'start': 96, 'end': 119, 'url': 'https://t.co/ElrxERuO85', 'expanded_url': 'https://twitter.com/dApps911/status/1539058885641789442/photo/1', 'display_url': 'pic.twitter.com/ElrxERuO85', 'media_key': '3_1539058881803993088'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'dApps911', 'id': '2790771542'}, {'start': 48, 'end': 57, 'username': 'elonmusk', 'id': '44196397'}, {'start': 58, 'end': 68, 'username': 'pabloslol', 'id': '1531672537188425728'}, {'start': 69, 'end': 82, 'username': 'artsonist666', 'id': '1536743468827037701'}]}"
12,1539057783311679489,2022-06-21 01:29:04+00:00,False,RT @dApps911: @elonmusk Only Humans can create beautiful art with Zombies &amp; @Tesla coils @pabloslol @artsonist666 https://t.co/D2g1x8Lj2m,3,0,0,0,{'media_keys': ['3_1539057709701550080']},"{'urls': [{'start': 118, 'end': 141, 'url': 'https://t.co/D2g1x8Lj2m', 'expanded_url': 'https://twitter.com/dApps911/status/1539057713971355649/photo/1', 'display_url': 'pic.twitter.com/D2g1x8Lj2m', 'media_key': '3_1539057709701550080'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'dApps911', 'id': '2790771542'}, {'start': 14, 'end': 23, 'username': 'elonmusk', 'id': '44196397'}, {'start': 80, 'end': 86, 'username': 'Tesla', 'id': '13298072'}, {'start': 93, 'end': 103, 'username': 'pabloslol', 'id': '1531672537188425728'}, {'start': 104, 'end': 117, 'username': 'artsonist666', 'id': '1536743468827037701'}]}"
13,1539057411062890497,2022-06-21 01:27:35+00:00,False,RT @elkiksta: There are many nfts i wished i could have. But tbh none that i could really want to hang in my living room. But this pieces b…,10,0,0,0,,"{'mentions': [{'start': 3, 'end': 12, 'username': 'elkiksta', 'id': '2341987353'}]}"
