,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1536895222071799809,2022-06-15 02:15:49+00:00,False,RT @CristuAlex: @pieceofshit_wtf ok - i got it https://t.co/YyrJmaqzq2,6,0,0,0,{'media_keys': ['3_1536859961917153281']},"{'mentions': [{'start': 3, 'end': 14, 'username': 'CristuAlex', 'id': '1235217928439705602'}, {'start': 16, 'end': 32, 'username': 'pieceofshit_wtf', 'id': '1530839223565430784'}], 'urls': [{'start': 47, 'end': 70, 'url': 'https://t.co/YyrJmaqzq2', 'expanded_url': 'https://twitter.com/CristuAlex/status/1536859991788900354/photo/1', 'display_url': 'pic.twitter.com/YyrJmaqzq2', 'media_key': '3_1536859961917153281'}]}"
1,1536878705594683392,2022-06-15 01:10:11+00:00,False,https://t.co/NRvtZ38ndc,69,41,273,2,{'media_keys': ['3_1536878698787262464']},"{'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/NRvtZ38ndc', 'expanded_url': 'https://twitter.com/pieceofshit_wtf/status/1536878705594683392/photo/1', 'display_url': 'pic.twitter.com/NRvtZ38ndc', 'media_key': '3_1536878698787262464'}]}"
2,1536864860113231872,2022-06-15 00:15:10+00:00,False,RT @Pdog4747: @pieceofshit_wtf I searched for answers in my shit but just found shit💩🧐,7,0,0,0,,"{'mentions': [{'start': 3, 'end': 12, 'username': 'Pdog4747', 'id': '943831916444377088'}, {'start': 14, 'end': 30, 'username': 'pieceofshit_wtf', 'id': '1530839223565430784'}]}"
3,1536864689736409088,2022-06-15 00:14:30+00:00,False,RT @goldbox1512: @pieceofshit_wtf Maybe he used a golden cleaner? https://t.co/y9emHWtAwB,9,0,0,0,{'media_keys': ['3_1536860781400055808']},"{'mentions': [{'start': 3, 'end': 15, 'username': 'goldbox1512', 'id': '1514398561911582720'}, {'start': 17, 'end': 33, 'username': 'pieceofshit_wtf', 'id': '1530839223565430784'}], 'urls': [{'start': 66, 'end': 89, 'url': 'https://t.co/y9emHWtAwB', 'expanded_url': 'https://twitter.com/goldbox1512/status/1536860785028128768/photo/1', 'display_url': 'pic.twitter.com/y9emHWtAwB', 'media_key': '3_1536860781400055808'}]}"
4,1536854356586221568,2022-06-14 23:33:26+00:00,False,Where are our shitty detectives https://t.co/YHnDo38SAa,36,88,158,3,,"{'urls': [{'start': 32, 'end': 55, 'url': 'https://t.co/YHnDo38SAa', 'expanded_url': 'https://twitter.com/pieceofshit_wtf/status/1536754968106962944', 'display_url': 'twitter.com/pieceofshit_wt…'}]}"
5,1536764751555858432,2022-06-14 17:37:23+00:00,False,Shit God loves smart ass shit heads https://t.co/YHnDo38SAa,55,79,265,1,,"{'urls': [{'start': 36, 'end': 59, 'url': 'https://t.co/YHnDo38SAa', 'expanded_url': 'https://twitter.com/pieceofshit_wtf/status/1536754968106962944', 'display_url': 'twitter.com/pieceofshit_wt…'}], 'annotations': [{'start': 5, 'end': 7, 'probability': 0.93, 'type': 'Other', 'normalized_text': 'God'}]}"
6,1536754968106962944,2022-06-14 16:58:30+00:00,False,"Ah shit, we forgot to mention this is an anti-blue-chip mint🤡

#shitchip https://t.co/HXJSRTvid8",68,73,246,4,,"{'hashtags': [{'start': 63, 'end': 72, 'tag': 'shitchip'}], 'urls': [{'start': 73, 'end': 96, 'url': 'https://t.co/HXJSRTvid8', 'expanded_url': 'https://twitter.com/pieceofshit_wtf/status/1536701118914301953', 'display_url': 'twitter.com/pieceofshit_wt…'}]}"
7,1536750642391240704,2022-06-14 16:41:19+00:00,False,quote this https://t.co/3SaRNjwRuh,70,41,269,12,{'media_keys': ['3_1536750355702132739']},"{'urls': [{'start': 11, 'end': 34, 'url': 'https://t.co/3SaRNjwRuh', 'expanded_url': 'https://twitter.com/pieceofshit_wtf/status/1536750642391240704/photo/1', 'display_url': 'pic.twitter.com/3SaRNjwRuh', 'media_key': '3_1536750355702132739'}]}"
8,1536749756118052864,2022-06-14 16:37:47+00:00,False,actually it might take them 1 year to develop what we did https://t.co/5s4SYYY2Aa,82,48,303,10,,"{'urls': [{'start': 58, 'end': 81, 'url': 'https://t.co/5s4SYYY2Aa', 'expanded_url': 'https://twitter.com/pieceofshit_wtf/status/1536749189664608257', 'display_url': 'twitter.com/pieceofshit_wt…'}]}"
9,1536749189664608257,2022-06-14 16:35:32+00:00,False,"coz those blue chip motherfuckers are lazy as shit

which makes you guys feel like these shits should be done in one month

but no

we did all these in fucking 15 days

#shitchip https://t.co/5ekw5dHwSa",108,48,308,10,,"{'hashtags': [{'start': 169, 'end': 178, 'tag': 'shitchip'}], 'urls': [{'start': 179, 'end': 202, 'url': 'https://t.co/5ekw5dHwSa', 'expanded_url': 'https://twitter.com/nonfuntokin/status/1536748666073104385', 'display_url': 'twitter.com/nonfuntokin/st…'}]}"
