,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1525054101289324544,2022-05-13 10:03:26+00:00,False,"The day of battle is finally upon us.

It both ends and begins right here.

Within 24 hours. Open your eyes 👁️ https://t.co/VKidRKHmwR",1097,452,3113,156,{'media_keys': ['3_1525054015293526016']},"{'urls': [{'start': 111, 'end': 134, 'url': 'https://t.co/VKidRKHmwR', 'expanded_url': 'https://twitter.com/projectPXN/status/1525054101289324544/photo/1', 'display_url': 'pic.twitter.com/VKidRKHmwR', 'media_key': '3_1525054015293526016'}]}"
1,1523948055657345025,2022-05-10 08:48:24+00:00,False,"This gun... I know how to use it. It doesn't feel as foreign in my hand as it did before. I no longer feel like an imposter in the ranks - do the others feel the same?

It has only been a few short months, but so much has changed. I have my weapon. And I will protect us. https://t.co/cgaUBnYXtq",733,328,2762,42,{'media_keys': ['3_1523946128055898112']},"{'urls': [{'start': 272, 'end': 295, 'url': 'https://t.co/cgaUBnYXtq', 'expanded_url': 'https://twitter.com/projectPXN/status/1523948055657345025/photo/1', 'display_url': 'pic.twitter.com/cgaUBnYXtq', 'media_key': '3_1523946128055898112'}]}"
2,1523704895643459584,2022-05-09 16:42:10+00:00,False,"""What's with the sudden influx of applicants? Hey! Don't rush in the kitchen, rookie!"" https://t.co/DwmAHdfAvy",1087,342,2868,73,{'media_keys': ['3_1523704281022734336']},"{'urls': [{'start': 87, 'end': 110, 'url': 'https://t.co/DwmAHdfAvy', 'expanded_url': 'https://twitter.com/projectPXN/status/1523704895643459584/photo/1', 'display_url': 'pic.twitter.com/DwmAHdfAvy', 'media_key': '3_1523704281022734336'}]}"
3,1523458535979626496,2022-05-09 00:23:14+00:00,True,"These nights are a blessing. The last moments to reflect. Our last nights of sanctuary, of normality, before the changing of the world.

The city sleeps, but we do not... as we are waiting. We are ready.",100,28,705,3,,
4,1523458534373208064,2022-05-09 00:23:13+00:00,True,"These nights are peaceful. The final moments of calm before the coming storm. We take our watch under moonlight, and await the battles that will soon begin.

The enemy approaches - they shall find us standing in their way.",104,20,717,2,,
5,1523458529834987520,2022-05-09 00:23:12+00:00,False,The city sleeps. https://t.co/H4mbIt9J5h,1217,212,3095,53,{'media_keys': ['7_1523455616580464641']},"{'urls': [{'start': 17, 'end': 40, 'url': 'https://t.co/H4mbIt9J5h', 'expanded_url': 'https://twitter.com/projectPXN/status/1523458529834987520/video/1', 'display_url': 'pic.twitter.com/H4mbIt9J5h', 'media_key': '7_1523455616580464641'}]}"
6,1522773223955476480,2022-05-07 03:00:03+00:00,False,"// !BANG !BANG
You're now part of the gang!

WL minting is over, we have officially sold out! 💣 https://t.co/TSrJ3SVQle",858,273,3261,64,{'media_keys': ['3_1522764336800088064']},"{'urls': [{'start': 96, 'end': 119, 'url': 'https://t.co/TSrJ3SVQle', 'expanded_url': 'https://twitter.com/projectPXN/status/1522773223955476480/photo/1', 'display_url': 'pic.twitter.com/TSrJ3SVQle', 'media_key': '3_1522764336800088064'}]}"
7,1522765753879240704,2022-05-07 02:30:22+00:00,False,"""Last 30 minutes for minting. Ghosts, fight!""

https://t.co/JP4HlzD2QH https://t.co/BY8KJH4Gpm",475,210,1844,31,{'media_keys': ['7_1522765440128516097']},"{'urls': [{'start': 47, 'end': 70, 'url': 'https://t.co/JP4HlzD2QH', 'expanded_url': 'http://www.phantom.sh', 'display_url': 'phantom.sh'}, {'start': 71, 'end': 94, 'url': 'https://t.co/BY8KJH4Gpm', 'expanded_url': 'https://twitter.com/projectPXN/status/1522765753879240704/video/1', 'display_url': 'pic.twitter.com/BY8KJH4Gpm', 'media_key': '7_1522765440128516097'}]}"
8,1522410824265916420,2022-05-06 03:00:00+00:00,False,"Ghostlist minting is now live:

https://t.co/h8wrMaWN0C",225,150,1154,12,,"{'urls': [{'start': 32, 'end': 55, 'url': 'https://t.co/h8wrMaWN0C', 'expanded_url': 'https://www.phantom.sh/', 'display_url': 'phantom.sh'}]}"
9,1522395726524735488,2022-05-06 02:00:00+00:00,False,"""T-60 until Ghostlist Protocol initiates, are ready to goo?""

💦 https://t.co/EGP7WlrcFy",754,337,2649,74,{'media_keys': ['3_1522395154313007104']},"{'urls': [{'start': 64, 'end': 87, 'url': 'https://t.co/EGP7WlrcFy', 'expanded_url': 'https://twitter.com/projectPXN/status/1522395726524735488/photo/1', 'display_url': 'pic.twitter.com/EGP7WlrcFy', 'media_key': '3_1522395154313007104'}]}"
10,1522049447550943232,2022-05-05 03:04:01+00:00,False,"Website experiencing some heavy traffic. Please hold.

We will keep you posted if there are further instructions.",208,333,1471,6,,
11,1522048418180636672,2022-05-05 02:59:55+00:00,True,"We will endeavor to make Discord available to our holders as soon as possible. However, this is a very busy time for the team so we would appreciate your patience in this matter. 👻",92,47,568,1,,
