,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1539039560570527744,2022-06-21 00:16:39+00:00,False,RT @220NFT: It’s not SNIPER SUNDAY @quirkiesnft but I had to pull the trigger on this beautiful ling! This quirkling was def undervalued. B…,26,0,0,0,,"{'mentions': [{'start': 3, 'end': 10, 'username': '220NFT', 'id': '1497350883956473863'}, {'start': 35, 'end': 47, 'username': 'quirkiesnft', 'id': '1478970178931097601'}]}"
1,1539004580373086210,2022-06-20 21:57:39+00:00,False,RT @Non_Fundribble: @quirkiesnft Alpha Set 2841 complete. Thank you @LivApe for making it possible with a smooth trust trade and @jpgPapiii…,19,0,0,0,,"{'mentions': [{'start': 3, 'end': 18, 'username': 'Non_Fundribble', 'id': '1501684582650990597'}, {'start': 20, 'end': 32, 'username': 'quirkiesnft', 'id': '1478970178931097601'}, {'start': 68, 'end': 75, 'username': 'LivApe', 'id': '1478733472273473539'}, {'start': 129, 'end': 139, 'username': 'jpgPapiii', 'id': '1485084019456946181'}]}"
2,1538993385796771840,2022-06-20 21:13:10+00:00,False,"RT @VistoHLK: should i drop that quirk quirkz ⛽️ 
at nft nyc this week? 😎🔥🔥 https://t.co/UdSFS9RmOb",46,0,0,0,"{'media_keys': ['3_1538992347391791106', '3_1538992347387600896']}","{'mentions': [{'start': 3, 'end': 12, 'username': 'VistoHLK', 'id': '760827962'}], 'urls': [{'start': 76, 'end': 99, 'url': 'https://t.co/UdSFS9RmOb', 'expanded_url': 'https://twitter.com/VistoHLK/status/1538992350357098496/photo/1', 'display_url': 'pic.twitter.com/UdSFS9RmOb', 'media_key': '3_1538992347391791106'}, {'start': 76, 'end': 99, 'url': 'https://t.co/UdSFS9RmOb', 'expanded_url': 'https://twitter.com/VistoHLK/status/1538992350357098496/photo/1', 'display_url': 'pic.twitter.com/UdSFS9RmOb', 'media_key': '3_1538992347387600896'}]}"
3,1538992383798480896,2022-06-20 21:09:12+00:00,False,RT @kaittymarie: @quirkiesnft inspired nails for this weeks NYC quirky event 🎭 https://t.co/WKJEdILzyJ,7,0,0,0,"{'media_keys': ['3_1538991183183192064', '3_1538991183191592962']}","{'mentions': [{'start': 3, 'end': 15, 'username': 'kaittymarie', 'id': '2334315919'}, {'start': 17, 'end': 29, 'username': 'quirkiesnft', 'id': '1478970178931097601'}], 'urls': [{'start': 79, 'end': 102, 'url': 'https://t.co/WKJEdILzyJ', 'expanded_url': 'https://twitter.com/kaittymarie/status/1538991187113263107/photo/1', 'display_url': 'pic.twitter.com/WKJEdILzyJ', 'media_key': '3_1538991183183192064'}, {'start': 79, 'end': 102, 'url': 'https://t.co/WKJEdILzyJ', 'expanded_url': 'https://twitter.com/kaittymarie/status/1538991187113263107/photo/1', 'display_url': 'pic.twitter.com/WKJEdILzyJ', 'media_key': '3_1538991183191592962'}], 'annotations': [{'start': 60, 'end': 62, 'probability': 0.7381, 'type': 'Place', 'normalized_text': 'NYC'}]}"
4,1538900406239055875,2022-06-20 15:03:42+00:00,False,RT @SyntribosStable: 👟 🍻 https://t.co/PqXDwDEtB8,97,0,0,0,{'media_keys': ['3_1538900288584617984']},"{'mentions': [{'start': 3, 'end': 19, 'username': 'SyntribosStable', 'id': '1145318075144609794'}], 'urls': [{'start': 25, 'end': 48, 'url': 'https://t.co/PqXDwDEtB8', 'expanded_url': 'https://twitter.com/SyntribosStable/status/1538900309606473728/photo/1', 'display_url': 'pic.twitter.com/PqXDwDEtB8', 'media_key': '3_1538900288584617984'}]}"
5,1538886213813211137,2022-06-20 14:07:19+00:00,False,RT @cheeko95_: #NewProfilePic Where my @quirkiesnft at ?🫣 if you see one of these two ugly mugs in NYC lets have a drink! #quirksmeetquirks…,21,0,0,0,,"{'mentions': [{'start': 3, 'end': 13, 'username': 'cheeko95_', 'id': '1461369554643435525'}, {'start': 39, 'end': 51, 'username': 'quirkiesnft', 'id': '1478970178931097601'}], 'hashtags': [{'start': 15, 'end': 29, 'tag': 'NewProfilePic'}, {'start': 122, 'end': 139, 'tag': 'quirksmeetquirks'}], 'annotations': [{'start': 100, 'end': 102, 'probability': 0.9965, 'type': 'Place', 'normalized_text': 'NYC'}]}"
6,1538882196970172416,2022-06-20 13:51:21+00:00,False,GM New York… https://t.co/E8zor4xkUJ,120,38,403,3,{'media_keys': ['3_1538882172756471814']},"{'urls': [{'start': 13, 'end': 36, 'url': 'https://t.co/E8zor4xkUJ', 'expanded_url': 'https://twitter.com/quirkiesnft/status/1538882196970172416/photo/1', 'display_url': 'pic.twitter.com/E8zor4xkUJ', 'media_key': '3_1538882172756471814'}], 'annotations': [{'start': 3, 'end': 10, 'probability': 0.5512, 'type': 'Place', 'normalized_text': 'New York'}]}"
7,1538837492526460928,2022-06-20 10:53:43+00:00,False,RT @HeisenbergXStu1: I only ride with the best communities so had to add a quirklings to the collection @quirkiesnft 🔥❤️ https://t.co/AyJpl…,33,0,0,0,,"{'mentions': [{'start': 3, 'end': 19, 'username': 'HeisenbergXStu1', 'id': '1473074104936902661'}, {'start': 104, 'end': 116, 'username': 'quirkiesnft', 'id': '1478970178931097601'}]}"
8,1538641237879701505,2022-06-19 21:53:52+00:00,False,"RT @JClutch_eth: S/O to @0xModernTimes for putting this together!

It’s pretty crazy to think after a secondary collection AND a huge marke…",60,0,0,0,,"{'mentions': [{'start': 3, 'end': 15, 'username': 'JClutch_eth', 'id': '1411899484796121089'}, {'start': 24, 'end': 38, 'username': '0xModernTimes', 'id': '1479236215865892865'}]}"
9,1538612284515405824,2022-06-19 19:58:49+00:00,False,"RT @Colby43764173: With the help of this amazing @quirkiesnft community, I was able to match my Quirk set and Alpha Up! Thank you🙏 https://…",33,0,0,0,,"{'mentions': [{'start': 3, 'end': 17, 'username': 'Colby43764173', 'id': '1433906804770041857'}, {'start': 49, 'end': 61, 'username': 'quirkiesnft', 'id': '1478970178931097601'}]}"
