,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1535933657004789760,2022-06-12 10:34:54+00:00,True,"3/3 
6. We are sorry this has happened. We moved as fast we could also thanks to our community members keeping a vigilant eye out and warning fellow members. 

7. Definitely a huge thank you to our community and our team members who reacted fast to mitigate the damage caused!",1,1,27,0,,
1,1535933386895855617,2022-06-12 10:33:50+00:00,True,"2/3 

4. ALWAYS check which links you are clicking and where they lead you too. You will always mint from our website only. 

5. Always check which transactions you sign. An Airdrop does not require gas etc. This is a fundamental rule of Web3.",1,2,24,0,,
2,1535933308130967553,2022-06-12 10:33:31+00:00,False,"1. The discord is open again. https://t.co/RziDGe8YLb

2. WE WILL NEVER DO ANY STEALTH MINTS

3. Everything we do is announced multiple times in our discord and on Twitter @rftpclub various times and way ahead of the time. 

1/3 https://t.co/dZBHZ395sx",30,6,81,0,,"{'urls': [{'start': 30, 'end': 53, 'url': 'https://t.co/RziDGe8YLb', 'expanded_url': 'http://www.discord.gg/unseenuniverse', 'display_url': 'discord.gg/unseenuniverse'}, {'start': 229, 'end': 252, 'url': 'https://t.co/dZBHZ395sx', 'expanded_url': 'https://twitter.com/rftpclub/status/1535896778280771584', 'display_url': 'twitter.com/rftpclub/statu…'}], 'mentions': [{'start': 172, 'end': 181, 'username': 'rftpclub', 'id': '1495419711714123776'}], 'annotations': [{'start': 164, 'end': 170, 'probability': 0.6238, 'type': 'Product', 'normalized_text': 'Twitter'}]}"
3,1535896778280771584,2022-06-12 08:08:22+00:00,False,Our Unseen Universe discord has been hacked. Please do not click on any links that get posted. We will never do any surprise drops. Wait for messages from this account only. Please spread the word to all holders!,49,20,113,4,,
4,1535225088290734081,2022-06-10 11:39:18+00:00,False,"first Unseen Universe snapshot (1 of 5) in 20 min.

more holder informations:
https://t.co/bCdeOiJFBI",24,18,61,1,,"{'urls': [{'start': 78, 'end': 101, 'url': 'https://t.co/bCdeOiJFBI', 'expanded_url': 'http://discord.gg/unseenuniverse', 'display_url': 'discord.gg/unseenuniverse'}]}"
5,1534548984651567106,2022-06-08 14:52:43+00:00,True,@CN_zamas https://t.co/Fz5Xn5xOS0,0,0,1,0,,"{'urls': [{'start': 10, 'end': 33, 'url': 'https://t.co/Fz5Xn5xOS0', 'expanded_url': 'https://discord.gg/unseenuniverse', 'display_url': 'discord.gg/unseenuniverse'}], 'mentions': [{'start': 0, 'end': 9, 'username': 'CN_zamas', 'id': '1281636505748828160'}]}"
6,1534547978941345798,2022-06-08 14:48:43+00:00,True,"2/2
we want to reward our loyal supporters so we recommend being in all snapshots.
be aware that if you move from one wallet to another we can NOT know that it is still yours so it will be counted as a new wallet.",13,0,61,1,,
7,1534547909169098752,2022-06-08 14:48:26+00:00,False,"UU snapshot:
you have not missed it, yet. 
there will be a total of 5 snapshots until the claimable drop is launched. 
the snapshots are there to measure WHICH wallets hold HOW MANY Unseen Universe NFTs and FOR HOW LONG.
1/2",54,11,119,1,,
8,1533483527337017344,2022-06-05 16:18:58+00:00,True,ps: pfp,12,11,76,0,,
9,1533483259442696196,2022-06-05 16:17:54+00:00,True,"2/2 
the number of Unseen Universe NFT you hold equals the number of NFTs you will be able to claim. 
you hold 3 Unseen Universe = You can claim 3 NFTs.
the new collection is not a charity drop.
the first snapshot will be announced 48 hours ahead of it taking place.",19,4,93,0,,
10,1533482971948253184,2022-06-05 16:16:45+00:00,False,"we told you it is only the first step. 

Unseen Universe holders have direct access:
the new collection is a free claim (you only have to pay gas).
your rarity matters.
the snapshots matter.
1/2",73,14,204,5,,
11,1532708844656381955,2022-06-03 13:00:39+00:00,False,"UU update:
a new collection is already in the works, for you.
there will also be a correlation concerning your actual nft.
unique.
more details will be revealed on a step by step basis.
ama, soon.

https://t.co/MoY0GqOvHI

@AudiOfficial",63,12,127,5,,"{'urls': [{'start': 198, 'end': 221, 'url': 'https://t.co/MoY0GqOvHI', 'expanded_url': 'https://opensea.io/collection/unseen-universe-official', 'display_url': 'opensea.io/collection/uns…'}], 'mentions': [{'start': 223, 'end': 236, 'username': 'AudiOfficial', 'id': '29679737'}]}"
12,1531375789400371200,2022-05-30 20:43:34+00:00,False,"we are planning to reveal at 7:30am UTC 31.05.
#TheArtOfProgress 

remember, its the beginning. https://t.co/Uzvgb12SfF",30,24,116,2,,"{'urls': [{'start': 96, 'end': 119, 'url': 'https://t.co/Uzvgb12SfF', 'expanded_url': 'https://twitter.com/AudiOfficial/status/1531276178828533760', 'display_url': 'twitter.com/AudiOfficial/s…'}], 'hashtags': [{'start': 47, 'end': 64, 'tag': 'TheArtOfProgress'}]}"
