,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1527406831450062848,2022-05-19 21:52:21+00:00,True,"Be vigilant because Shamanzs are coming now, are you ready? https://t.co/nbVq5ux81c",10,0,45,0,{'media_keys': ['3_1527406816753242124']},"{'annotations': [{'start': 20, 'end': 27, 'probability': 0.4696, 'type': 'Person', 'normalized_text': 'Shamanzs'}], 'urls': [{'start': 60, 'end': 83, 'url': 'https://t.co/nbVq5ux81c', 'expanded_url': 'https://twitter.com/shamanzs/status/1527406831450062848/photo/1', 'display_url': 'pic.twitter.com/nbVq5ux81c', 'media_key': '3_1527406816753242124'}]}"
1,1527406724382089217,2022-05-19 21:51:55+00:00,True,"those intervals won't be immediate but more every 5-6 hours. 

We can also speed the process up as we see more mints happening.

Since everyone is craving for their Shamanzs, we have put the team to work and found the best solution for the community and the project.",4,1,30,0,,
2,1527406634590425092,2022-05-19 21:51:34+00:00,True,"So anyone who has minted so far, will see their art revealed in the upcoming circa 10-40 min (while the art is uploading to OS).

Then, from there we will be revealing in intervals as you guys keep minting.",2,1,17,0,,
3,1527406578734878724,2022-05-19 21:51:20+00:00,True,"We know how strong our art is, so we have decided (after getting a lot of feedback from the community) that revealing the art partially is the best move to shake things up a little bit.",2,1,22,1,,
4,1527406435268714498,2022-05-19 21:50:46+00:00,False,"We are all expecting more volume and more mints in the upcoming hours. 

Market conditions are tough and we need to adapt and react.

The team is working to move forward, and to help anyone who is still waiting to mint, and to give them even more reasons to do so.",31,1,134,3,,
5,1527273223888457730,2022-05-19 13:01:26+00:00,False,Mint website is open: https://t.co/rWrWb9mykU,44,17,161,3,,"{'urls': [{'start': 22, 'end': 45, 'url': 'https://t.co/rWrWb9mykU', 'expanded_url': 'https://mint.shamanzs.com/#/', 'display_url': 'mint.shamanzs.com/#/'}]}"
6,1527261937234497537,2022-05-19 12:16:35+00:00,False,"Mint website opens in 45min from now!!!!💚

https://t.co/abyTzSgKeX

OpenSea Shamanzs Genesis Collection:

https://t.co/C6WXFZEhGd

See you on the other side: The Shamaverse",96,36,248,9,,"{'urls': [{'start': 43, 'end': 66, 'url': 'https://t.co/abyTzSgKeX', 'expanded_url': 'https://mint.shamanzs.com/', 'display_url': 'mint.shamanzs.com'}, {'start': 106, 'end': 129, 'url': 'https://t.co/C6WXFZEhGd', 'expanded_url': 'https://opensea.io/collection/shamanzs-genesis-official', 'display_url': 'opensea.io/collection/sha…'}]}"
7,1527244515655966722,2022-05-19 11:07:22+00:00,True,"@nftmagicat Do not use VPN sir, that's why",1,1,3,0,,"{'mentions': [{'start': 0, 'end': 11, 'username': 'nftmagicat', 'id': '49333866'}], 'annotations': [{'start': 23, 'end': 25, 'probability': 0.6763, 'type': 'Product', 'normalized_text': 'VPN'}]}"
8,1527241589638275073,2022-05-19 10:55:44+00:00,False,"The @CozomoMedici Shamanzs 💙💛

Who's going to be the lucky one?

Included in the 9898 Shamanzs Genesis collection! https://t.co/dWovigclLb",66,28,283,3,"{'media_keys': ['3_1527241104491421696', '3_1527241159776649216']}","{'mentions': [{'start': 4, 'end': 17, 'username': 'CozomoMedici', 'id': '1432402638868389892'}], 'annotations': [{'start': 83, 'end': 114, 'probability': 0.4368, 'type': 'Product', 'normalized_text': '9898 Shamanzs Genesis collection'}], 'urls': [{'start': 115, 'end': 138, 'url': 'https://t.co/dWovigclLb', 'expanded_url': 'https://twitter.com/shamanzs/status/1527241589638275073/photo/1', 'display_url': 'pic.twitter.com/dWovigclLb', 'media_key': '3_1527241104491421696'}, {'start': 115, 'end': 138, 'url': 'https://t.co/dWovigclLb', 'expanded_url': 'https://twitter.com/shamanzs/status/1527241589638275073/photo/1', 'display_url': 'pic.twitter.com/dWovigclLb', 'media_key': '3_1527241159776649216'}]}"
9,1527215884388950016,2022-05-19 09:13:35+00:00,True,"- Your ShamaPass is currently on V1, soon V2 will come out (animated), and V3 will come in the future and will let you add your personal details.",6,0,45,0,,
10,1527215614128967680,2022-05-19 09:12:31+00:00,True,"- Additionally, being a ShamaPass holder will give you access to The 2036 OG collection, which will be named after the most powerful 1/1 included in the 9898 Genesis Collection (the one you have access thanks to your ShamaPass). The 2036 collection will be called Shadow Shamanzs.",9,1,43,0,,"{'annotations': [{'start': 153, 'end': 175, 'probability': 0.3556, 'type': 'Product', 'normalized_text': '9898 Genesis Collection'}]}"
11,1527215535661977600,2022-05-19 09:12:12+00:00,True,"What do you get as a ShamaPass holder?

- Having access to the 9898 Shamanzs Genesis Collection, you get all the benefits and airdrops associated (as long as you hold), including the 2 airdrops coming up by the end of June.
...",1,1,19,0,,"{'annotations': [{'start': 63, 'end': 94, 'probability': 0.6354, 'type': 'Product', 'normalized_text': '9898 Shamanzs Genesis Collection'}]}"
12,1527215451884879873,2022-05-19 09:11:52+00:00,True,"-To claim the NFTs from the 9898 collection, you will need to do it from MetaMask. So please transfer your ShamaPass to a MetaMask wallet to avoid any issue.",0,4,19,1,,
13,1527215390408990722,2022-05-19 09:11:38+00:00,True,"-Holding the new ShamaPass airdrop, will get you the airdrop of the 2036 OG collection. If you sell before the airdrop, you will lose those rights along with the other utilities associated. The new airdrop has no date yet, will update as soon as we can.",0,1,16,0,,
14,1527215322515783680,2022-05-19 09:11:21+00:00,True,"- Once you claim your Shamanzs from the 9898 collection, you can trade them at will. No need to hold them to get the new ShamaPass airdrop.",0,1,15,0,,
15,1527215239279804417,2022-05-19 09:11:01+00:00,True,- The ShamaPass will get burnt. But no worries since we keep those wallets that claimed and we will airdrop the new ShamaPass (on a new contract) soon. Devs are working at godspeed so we expect it will happen in days and not weeks.,0,1,22,0,,
16,1527215152558485505,2022-05-19 09:10:41+00:00,True,"- If you hold multiple ShamaPass, you can claim them all in 1 transaction so you save a lot in gas fees.

...",1,1,22,0,,
17,1527214990654152705,2022-05-19 09:10:02+00:00,False,"🔮SHAMAPASS HOLDERS GUIDE🔮

- 1 ShamaPass = claim 1 NFT from the 9898 Genesis Collection
- from 3PM (CET) go to https://t.co/abyTzSgKeX and find the top right button ""Claim with ShamaPass""
- You have a 48 hours window to claim starting today 3PM (CET)
....",87,23,233,5,,"{'urls': [{'start': 111, 'end': 134, 'url': 'https://t.co/abyTzSgKeX', 'expanded_url': 'https://mint.shamanzs.com/', 'display_url': 'mint.shamanzs.com'}]}"
18,1527184120329150465,2022-05-19 07:07:22+00:00,True,@Brosmind 🔮🔮🔮,4,3,64,0,,"{'mentions': [{'start': 0, 'end': 9, 'username': 'Brosmind', 'id': '160560074'}]}"
19,1527174793799340035,2022-05-19 06:30:19+00:00,True,@hansbjorg1 @JonMathias81 are the 2 winners! Thanks everyone for participating💜,2,1,21,0,,"{'mentions': [{'start': 0, 'end': 11, 'username': 'hansbjorg1', 'id': '1477957643700473858'}, {'start': 12, 'end': 25, 'username': 'JonMathias81', 'id': '1450470406381580288'}]}"
20,1527166273666400256,2022-05-19 05:56:27+00:00,False,"Our art partnerships have been one of the most fun and rewarding things we've done so far. 
The relationships built with each of them, and their communities are priceless☮️

@KarafuruNFT @foxfamnft @3LandersNFT @ThePossessedNFT @projectPXN @coolcatsnft https://t.co/QuPmstyRnQ",182,30,438,16,{'media_keys': ['3_1527165120425648135']},"{'mentions': [{'start': 174, 'end': 186, 'username': 'KarafuruNFT', 'id': '1478581829271654400'}, {'start': 187, 'end': 197, 'username': 'foxfamnft', 'id': '1385985412284432388'}, {'start': 198, 'end': 210, 'username': '3LandersNFT', 'id': '1440732888522100746'}, {'start': 211, 'end': 227, 'username': 'ThePossessedNFT', 'id': '1485005599054127108'}, {'start': 228, 'end': 239, 'username': 'projectPXN', 'id': '1465940862928658437'}, {'start': 240, 'end': 252, 'username': 'coolcatsnft', 'id': '1395553778187718657'}], 'urls': [{'start': 253, 'end': 276, 'url': 'https://t.co/QuPmstyRnQ', 'expanded_url': 'https://twitter.com/shamanzs/status/1527166273666400256/photo/1', 'display_url': 'pic.twitter.com/QuPmstyRnQ', 'media_key': '3_1527165120425648135'}]}"
21,1526946552819990530,2022-05-18 15:23:22+00:00,False,"Fresh avatar and background for the Shamaganag 💚

Feel free to use ☮️ https://t.co/fhpzO5L38K",113,23,404,4,"{'media_keys': ['3_1526946340592357376', '3_1526946367972773888']}","{'urls': [{'start': 70, 'end': 93, 'url': 'https://t.co/fhpzO5L38K', 'expanded_url': 'https://twitter.com/shamanzs/status/1526946552819990530/photo/1', 'display_url': 'pic.twitter.com/fhpzO5L38K', 'media_key': '3_1526946340592357376'}, {'start': 70, 'end': 93, 'url': 'https://t.co/fhpzO5L38K', 'expanded_url': 'https://twitter.com/shamanzs/status/1526946552819990530/photo/1', 'display_url': 'pic.twitter.com/fhpzO5L38K', 'media_key': '3_1526946367972773888'}]}"
22,1526665928104091649,2022-05-17 20:48:15+00:00,True,@whatthefurr 🔮💚🧪,7,3,88,0,,"{'mentions': [{'start': 0, 'end': 12, 'username': 'whatthefurr', 'id': '37758437'}]}"
23,1526652697922920451,2022-05-17 19:55:41+00:00,False,"🔮Twitter Spaces tomorrow 18th May, 4PM (CET)🔮

All launch details explained ✅ https://t.co/vzjB8CupYA",98,16,266,7,{'media_keys': ['3_1526652548446359553']},"{'annotations': [{'start': 2, 'end': 8, 'probability': 0.4029, 'type': 'Organization', 'normalized_text': 'Twitter'}], 'urls': [{'start': 78, 'end': 101, 'url': 'https://t.co/vzjB8CupYA', 'expanded_url': 'https://twitter.com/shamanzs/status/1526652697922920451/photo/1', 'display_url': 'pic.twitter.com/vzjB8CupYA', 'media_key': '3_1526652548446359553'}]}"
24,1526608261939707904,2022-05-17 16:59:07+00:00,False,"ShamaShadow

There’s nothing evil about the dark side. He became the strongest by mastering the balance between sunshine and blackness, cold and warmth, or happiness and sadness. 
To defeat destructive conflict and let love reign, flirting with shadows is something you must train https://t.co/0dg2ahZTMg",217,80,680,23,{'media_keys': ['3_1526607890089488385']},"{'urls': [{'start': 281, 'end': 304, 'url': 'https://t.co/0dg2ahZTMg', 'expanded_url': 'https://twitter.com/shamanzs/status/1526608261939707904/photo/1', 'display_url': 'pic.twitter.com/0dg2ahZTMg', 'media_key': '3_1526607890089488385'}]}"
25,1526580135654203394,2022-05-17 15:07:21+00:00,False,"1/1 reveal in 1h 😈

Who's ready?",63,46,402,7,,
26,1526302287362154498,2022-05-16 20:43:17+00:00,False,It’s never too late! Thanks @opensea for the blue check 💙 https://t.co/xtL5wMIsFW,140,40,513,12,{'media_keys': ['3_1526302280793960452']},"{'mentions': [{'start': 28, 'end': 36, 'username': 'opensea', 'id': '946213559213555712'}], 'urls': [{'start': 58, 'end': 81, 'url': 'https://t.co/xtL5wMIsFW', 'expanded_url': 'https://twitter.com/shamanzs/status/1526302287362154498/photo/1', 'display_url': 'pic.twitter.com/xtL5wMIsFW', 'media_key': '3_1526302280793960452'}]}"
27,1526230755352920067,2022-05-16 15:59:02+00:00,False,"We've delivered a large amount of announcements lately, and that was somewhat difficult to follow for some.

In order to address that, we've put together all those important announcements in a more digestible format: 

https://t.co/ktZlPLjD6B",77,25,240,2,,"{'urls': [{'start': 219, 'end': 242, 'url': 'https://t.co/ktZlPLjD6B', 'expanded_url': 'https://medium.com/@shamanzs/shamanzs-discord-announcements-92b89d7df07', 'display_url': 'medium.com/@shamanzs/sham…'}]}"
28,1526177520994897923,2022-05-16 12:27:30+00:00,True,"ShamaShadow🤫

There’s nothing evil about the dark side. He became the strongest by mastering the balance between sunshine &amp; blackness, cold &amp; warmth, or happiness &amp; sadness. 

To defeat destructive conflict and let love reign, flirting with shadows is something you must train.",7,4,46,0,,
29,1526177240752525313,2022-05-16 12:26:23+00:00,True,"Shamanati🤫

He is in charge of keeping the community together, strong, united and inseparable. 

The GVO society will spread quietly to every corner ever known, an unstoppable army of Shamanzs, known as the ShamaGang, is ready to erase bad energies for once and for ever.",6,1,44,0,,"{'annotations': [{'start': 185, 'end': 192, 'probability': 0.3528, 'type': 'Person', 'normalized_text': 'Shamanzs'}]}"
30,1526177087387746304,2022-05-16 12:25:47+00:00,True,"ShamaRituals🤫

The master of ceremonies and inner trips, the one who will guide us all to a deeper connection and understanding of one’s true self. Get ready to confront your known and unknown weaknesses, while realizing that what you thought was finite is infinite.",4,2,24,0,,
31,1526176812736335872,2022-05-16 12:24:41+00:00,True,"ShamaSeer 🤫

Capable of seeing beyond the natural, entering into our spiritual world at will to have a close look straight into our souls. 
He can travel into our dreams and nightmares too, he will be the one that knows who you really are and what your destiny has set you for.",3,1,23,0,,
32,1526176511442796545,2022-05-16 12:23:29+00:00,True,"ShamaGVO 🤫

The “Good Vibes Only” master, creator of the path towards inner peace, a guide that leads us to the roots of true happiness. 
He oozes positive energy at all times, as a cry for a cracking good time, teaching us all how to vibe around the Shamaverse.",3,1,27,0,,
33,1526176323550470145,2022-05-16 12:22:45+00:00,True,"ShamaHealer✅

A wounded healer, an old soul that doesn’t belong to this time and place. Capable of feeling others’ emotions, compassionate listener and capable of altering the energy with his wisdom. Reconnect with your soul, focus on a non-physical realm.",4,1,26,0,,
34,1526176221029089281,2022-05-16 12:22:20+00:00,True,"ShamaFlowerPower✅

No other Shamanzs hold the knowledge to restore the tribe’s relationship with nature. Capable of bringing rain after a dry season or sunshine after a dark period. He knows how to work with the spiritual circles that underpin every living thing on Earth.",2,1,23,0,,
35,1526176123855446019,2022-05-16 12:21:57+00:00,True,"ShamaCosmos✅

As an avid astronomer, he's able to read the alignment between Earth and planets, guiding Shamanzs through day and night, as through storms and droughts. We all need spiritual leaders that we can blindly trust, growing together is better than doing it alone.",2,1,20,0,,
36,1526175994838757380,2022-05-16 12:21:26+00:00,True,"ShamaKeeper✅

Shamanizer chose him because he is the one to trust, one of the most appreciated values any Shamanzs can have. The little fella is the wisest of all, he knows who will be on his side whatever happens.",2,1,17,0,,"{'annotations': [{'start': 106, 'end': 113, 'probability': 0.6888, 'type': 'Person', 'normalized_text': 'Shamanzs'}]}"
37,1526175879159853057,2022-05-16 12:20:59+00:00,True,"ShamaHuasker ✅

The potion master, the only one that holds the power of awakening us all. 
ShamaHuasca - The secret ancestral drink of Shamanzs, the Ones Who Know.",4,3,28,0,,
38,1526174831137390592,2022-05-16 12:16:49+00:00,False,"Five 1/1s are still hiding...

Equal shot for anyone minting, including those from the ShamaPass claiming their NFT ☮️ https://t.co/85lkxZUroF",93,25,323,2,{'media_keys': ['3_1526174662618750976']},"{'urls': [{'start': 119, 'end': 142, 'url': 'https://t.co/85lkxZUroF', 'expanded_url': 'https://twitter.com/shamanzs/status/1526174831137390592/photo/1', 'display_url': 'pic.twitter.com/85lkxZUroF', 'media_key': '3_1526174662618750976'}]}"
39,1525837418087194626,2022-05-15 13:56:03+00:00,False,"🔮Shamanzs Relaunch 🔮 

Save the mint dates ☮️ https://t.co/FX4XtiDBYr",226,60,613,17,{'media_keys': ['3_1525836857766027265']},"{'urls': [{'start': 46, 'end': 69, 'url': 'https://t.co/FX4XtiDBYr', 'expanded_url': 'https://twitter.com/shamanzs/status/1525837418087194626/photo/1', 'display_url': 'pic.twitter.com/FX4XtiDBYr', 'media_key': '3_1525836857766027265'}]}"
40,1525066767646736386,2022-05-13 10:53:46+00:00,True,@NFTB0Y Bingo!,1,1,11,0,,"{'mentions': [{'start': 0, 'end': 7, 'username': 'NFTB0Y', 'id': '1491729807209635842'}]}"
41,1525066689271980032,2022-05-13 10:53:27+00:00,True,@R3dr4r Bingo!,0,1,1,0,,"{'mentions': [{'start': 0, 'end': 7, 'username': 'R3dr4r', 'id': '1511704648381566979'}]}"
42,1525066503585931265,2022-05-13 10:52:43+00:00,True,@joie_keita Bingo!,0,1,1,0,,"{'mentions': [{'start': 0, 'end': 11, 'username': 'joie_keita', 'id': '1314215991023337472'}]}"
43,1524853878541385728,2022-05-12 20:47:49+00:00,True,"Celebrating this moment with 2 WL giveaway!

🔮 Follow @shamanzs 
🔮 RT &amp; Like the tweet above
🔮 Tag 5 friends

Giveaway winners in 48H!",242,165,372,1,,"{'mentions': [{'start': 54, 'end': 63, 'username': 'shamanzs', 'id': '1473640616647180294'}]}"
44,1524852588079988745,2022-05-12 20:42:42+00:00,False,"🔥Collection sneak peek 🔥

Guess the rarest of all 👁️ https://t.co/FcPcHalPXP",378,329,912,14,{'media_keys': ['3_1524851863786602498']},"{'urls': [{'start': 53, 'end': 76, 'url': 'https://t.co/FcPcHalPXP', 'expanded_url': 'https://twitter.com/shamanzs/status/1524852588079988745/photo/1', 'display_url': 'pic.twitter.com/FcPcHalPXP', 'media_key': '3_1524851863786602498'}]}"
45,1524778539098185738,2022-05-12 15:48:27+00:00,True,"Congrats to @Andrebarrosa199 !

Thanks everyone for taking part of it 💕",1,3,37,0,,"{'mentions': [{'start': 12, 'end': 28, 'username': 'Andrebarrosa199', 'id': '1464669112068714508'}]}"
46,1524672505704861698,2022-05-12 08:47:07+00:00,False,"🔮WE ARE SHAMANZS🔮

Take a break + enjoy real life💜
Release your mind 🧘‍♀️🧘 
We are here to stay, we're in this together ☮️ https://t.co/PydfqaW5pM",104,22,373,1,{'media_keys': ['16_1524672341090918401']},"{'urls': [{'start': 123, 'end': 146, 'url': 'https://t.co/PydfqaW5pM', 'expanded_url': 'https://twitter.com/shamanzs/status/1524672505704861698/photo/1', 'display_url': 'pic.twitter.com/PydfqaW5pM', 'media_key': '16_1524672341090918401'}]}"
47,1524474258881134599,2022-05-11 19:39:21+00:00,True,"This is how the team delivers 🔮

We put our community at the forefront 💜

WE ARE SHAMANZS!",26,12,136,3,,
48,1524474053670715393,2022-05-11 19:38:32+00:00,True,"Once you get the ShamaPass airdroped on the new contract, you'll be able to trade again at will. Hower selling the ShamaPass, as expected, will make you lose all the benefits involved.",14,2,78,0,,
49,1524473982430453760,2022-05-11 19:38:15+00:00,True,"As we mentioned, days after (once the new contract for the new ShamaPass is available) the new ShamaPass (with the new animated design) will get airdropped (gas on us) to every saved wallet.",10,1,57,0,,"{'annotations': [{'start': 63, 'end': 71, 'probability': 0.3017, 'type': 'Organization', 'normalized_text': 'ShamaPass'}]}"
50,1524473924066680832,2022-05-11 19:38:01+00:00,True,"Those ShamaPasses that already claimed the NFT, will get burnt and trades won’t be available. 

But chill, you'll get your new ShamaPass right away, it prevails and benefits expand.",10,2,47,0,,
