,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1536731233002176514,2022-06-14 15:24:11+00:00,False,"Join @JackCKTang @Mikesi30 and Cubs community to talk about mint, utility and next steps! 

https://t.co/anJzPom5KY",43,8,58,6,,"{'mentions': [{'start': 5, 'end': 16, 'username': 'JackCKTang', 'id': '436811051'}, {'start': 17, 'end': 26, 'username': 'Mikesi30', 'id': '947892535153786880'}], 'urls': [{'start': 92, 'end': 115, 'url': 'https://t.co/anJzPom5KY', 'expanded_url': 'https://twitter.com/i/spaces/1OyKADYByQLxb', 'display_url': 'twitter.com/i/spaces/1OyKA…'}], 'annotations': [{'start': 31, 'end': 34, 'probability': 0.9363, 'type': 'Organization', 'normalized_text': 'Cubs'}]}"
1,1536699384280272897,2022-06-14 13:17:38+00:00,False,"🟢 Cublist (Allow List) Mint OPENS IN 15 MINS! 🟢
For the next 24H, Cublist can mint on a FCFS basis.

Highlights so far:
💪 Over 2.2K minted or pledged (33% gone)
🔥 Over 5.4K WL are eligible to mint

➡️ https://t.co/HRMPfhlfXS
0.13 ETH (max 3) https://t.co/DwK5w2WMxH",30,7,83,3,{'media_keys': ['3_1536699371210809344']},"{'urls': [{'start': 201, 'end': 224, 'url': 'https://t.co/HRMPfhlfXS', 'expanded_url': 'http://culturecubs.pledgemint.io', 'display_url': 'culturecubs.pledgemint.io'}, {'start': 242, 'end': 265, 'url': 'https://t.co/DwK5w2WMxH', 'expanded_url': 'https://twitter.com/snobietyclub/status/1536699384280272897/photo/1', 'display_url': 'pic.twitter.com/DwK5w2WMxH', 'media_key': '3_1536699371210809344'}]}"
2,1536680740628443138,2022-06-14 12:03:33+00:00,False,"RT @willdoyle: Culture Cubs by @snobietyclub 

A thread on why I'm so bullish on this project 🧵",32,0,0,0,,"{'mentions': [{'start': 3, 'end': 13, 'username': 'willdoyle', 'id': '274809797'}, {'start': 31, 'end': 44, 'username': 'snobietyclub', 'id': '1488888890421395456'}], 'annotations': [{'start': 15, 'end': 26, 'probability': 0.3573, 'type': 'Organization', 'normalized_text': 'Culture Cubs'}]}"
3,1536385517167722496,2022-06-13 16:30:26+00:00,False,"RT @RaritySniperNFT: Culture Cubs X Rarity Sniper 🐻

We've partnered with @snobietyclub to be their Exclusive Rarity Partner! 

And... We'r…",575,0,0,0,,"{'mentions': [{'start': 3, 'end': 19, 'username': 'RaritySniperNFT', 'id': '1416070452372459523'}, {'start': 74, 'end': 87, 'username': 'snobietyclub', 'id': '1488888890421395456'}]}"
4,1536336556000169986,2022-06-13 13:15:53+00:00,False,"Prepare for a war on the Open Seas, cubs.

With over 185 ETH pledged, Phase 1 has started. 

Our first-ever Culture Cub NFTs have minted. ø

⛵️ Official Opensea: https://t.co/4OXSGAkIzm https://t.co/aiM4Fhm8sk",65,13,158,14,{'media_keys': ['3_1536332934227140608']},"{'urls': [{'start': 162, 'end': 185, 'url': 'https://t.co/4OXSGAkIzm', 'expanded_url': 'https://opensea.io/collection/culturecubs-official', 'display_url': 'opensea.io/collection/cul…'}, {'start': 186, 'end': 209, 'url': 'https://t.co/aiM4Fhm8sk', 'expanded_url': 'https://twitter.com/snobietyclub/status/1536336556000169986/photo/1', 'display_url': 'pic.twitter.com/aiM4Fhm8sk', 'media_key': '3_1536332934227140608'}], 'annotations': [{'start': 25, 'end': 33, 'probability': 0.473, 'type': 'Organization', 'normalized_text': 'Open Seas'}]}"
5,1536128493943197697,2022-06-12 23:29:07+00:00,False,RT @Kershaw1Mark: @snobietyclub have concluded the first ever NFT Pledge Mint raising over 170 eth (over 22% of supply) prior to the mint w…,24,0,0,0,,"{'mentions': [{'start': 3, 'end': 16, 'username': 'Kershaw1Mark', 'id': '2661438404'}, {'start': 18, 'end': 31, 'username': 'snobietyclub', 'id': '1488888890421395456'}], 'annotations': [{'start': 62, 'end': 76, 'probability': 0.6614, 'type': 'Product', 'normalized_text': 'NFT Pledge Mint'}]}"
6,1535922142537302017,2022-06-12 09:49:09+00:00,False,"Smashing through 157 ETH pledged via our innovative Pledge Mint! 🪓

Pledge Mint and Wallet Registration will close in 3 hours: https://t.co/cCpYp7zWfa 

OG Mint starts on 13 June, 2PM BST (9AM EST)
Cublist Mint starts on 14 June, 2PM BST (9AM EST) https://t.co/rj2oojdnrA",58,27,141,13,{'media_keys': ['3_1535919893425577991']},"{'urls': [{'start': 127, 'end': 150, 'url': 'https://t.co/cCpYp7zWfa', 'expanded_url': 'https://culturecubs.pledgemint.io/', 'display_url': 'culturecubs.pledgemint.io'}, {'start': 248, 'end': 271, 'url': 'https://t.co/rj2oojdnrA', 'expanded_url': 'https://twitter.com/snobietyclub/status/1535922142537302017/photo/1', 'display_url': 'pic.twitter.com/rj2oojdnrA', 'media_key': '3_1535919893425577991'}]}"
7,1535665214057848832,2022-06-11 16:48:12+00:00,False,"Cubs glow in the dark. ø

128 ETH already committed through our Pledge Mint! Guarantee your gas-free Culture Cubs mint using https://t.co/cCpYp7zWfa - closes in 20 hours. https://t.co/TBNnLS0A7C",51,20,142,8,{'media_keys': ['3_1535661924414803968']},"{'urls': [{'start': 125, 'end': 148, 'url': 'https://t.co/cCpYp7zWfa', 'expanded_url': 'https://culturecubs.pledgemint.io/', 'display_url': 'culturecubs.pledgemint.io'}, {'start': 171, 'end': 194, 'url': 'https://t.co/TBNnLS0A7C', 'expanded_url': 'https://twitter.com/snobietyclub/status/1535665214057848832/photo/1', 'display_url': 'pic.twitter.com/TBNnLS0A7C', 'media_key': '3_1535661924414803968'}]}"
8,1535626400538968066,2022-06-11 14:13:59+00:00,False,"We’ll be revealing our first Icon Partner with a very special guest. 

Learn about their NFT collection which will debut exclusively with CCubs

Probably nothing… 👀

https://t.co/cUSMnkirzd",29,11,81,13,,"{'urls': [{'start': 166, 'end': 189, 'url': 'https://t.co/cUSMnkirzd', 'expanded_url': 'https://twitter.com/i/spaces/1nAKEYdlarbKL', 'display_url': 'twitter.com/i/spaces/1nAKE…'}], 'annotations': [{'start': 138, 'end': 142, 'probability': 0.4354, 'type': 'Person', 'normalized_text': 'CCubs'}]}"
9,1535611783511171072,2022-06-11 13:15:54+00:00,True,"@KiloKathy No, OGs, WL holders and Mater Cubs are able to pledge until tomorrow 2pm BST- come join our discord!",0,1,1,0,,"{'mentions': [{'start': 0, 'end': 10, 'username': 'KiloKathy', 'id': '1246573748985016320'}], 'annotations': [{'start': 35, 'end': 44, 'probability': 0.9056, 'type': 'Organization', 'normalized_text': 'Mater Cubs'}]}"
