,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1533411924918120451,2022-06-05 11:34:26+00:00,False,"RT @Toerwoud: Kami is one of the first nft projects I entered, before AR.

Devs kind of rugged it but a new owner stepped in and is turning…",10,0,0,0,,"{'mentions': [{'start': 3, 'end': 12, 'username': 'Toerwoud', 'id': '359550805'}]}"
1,1533215820330967040,2022-06-04 22:35:11+00:00,True,@Archerman799 🔥,0,0,0,0,,"{'mentions': [{'start': 0, 'end': 13, 'username': 'Archerman799', 'id': '1485018809765408774'}]}"
2,1533206987437133825,2022-06-04 22:00:06+00:00,False,"July. 

Join discord for more details. 

https://t.co/bO8mrGGG6g https://t.co/pOBEzvZflw",29,2,44,5,{'media_keys': ['3_1533206982932500481']},"{'urls': [{'start': 41, 'end': 64, 'url': 'https://t.co/bO8mrGGG6g', 'expanded_url': 'https://discord.gg/kamiofficial', 'display_url': 'discord.gg/kamiofficial', 'images': [{'url': 'https://pbs.twimg.com/news_img/1533440681263476737/hVSy2v4h?format=jpg&name=orig', 'width': 512, 'height': 288}, {'url': 'https://pbs.twimg.com/news_img/1533440681263476737/hVSy2v4h?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Discord - A New Way to Chat with Friends & Communities', 'description': 'Discord is the easiest way to communicate over voice, video, and text. Chat, hang out, and stay close with your friends and communities.', 'unwound_url': 'https://discord.com/invite/kamiofficial'}, {'start': 65, 'end': 88, 'url': 'https://t.co/pOBEzvZflw', 'expanded_url': 'https://twitter.com/TheKamiOfficial/status/1533206987437133825/photo/1', 'display_url': 'pic.twitter.com/pOBEzvZflw', 'media_key': '3_1533206982932500481'}]}"
3,1532745968961060866,2022-06-03 15:28:10+00:00,False,"Kami,

Head over to discord to see the latest sneak peek. https://t.co/sGev0aOlAF",13,2,25,0,{'media_keys': ['3_1532745964217303041']},"{'urls': [{'start': 58, 'end': 81, 'url': 'https://t.co/sGev0aOlAF', 'expanded_url': 'https://twitter.com/TheKamiOfficial/status/1532745968961060866/photo/1', 'display_url': 'pic.twitter.com/sGev0aOlAF', 'media_key': '3_1532745964217303041'}]}"
4,1532307716273741826,2022-06-02 10:26:43+00:00,True,@JeremyHerbst1 @CoLabsLLC 👀🔥✌️,0,0,2,0,,"{'mentions': [{'start': 0, 'end': 14, 'username': 'JeremyHerbst1', 'id': '965016966154113024'}, {'start': 15, 'end': 25, 'username': 'CoLabsLLC', 'id': '1470547778233413635'}]}"
5,1532237900175245312,2022-06-02 05:49:17+00:00,True,@Peter67004351 We are! 🔥,0,0,0,0,,"{'mentions': [{'start': 0, 'end': 14, 'username': 'Peter67004351', 'id': '1379739849993945089'}]}"
6,1531970493846257671,2022-06-01 12:06:43+00:00,True,@opensea 🔥✌️ https://t.co/9ny4UV93bP,5,0,16,0,{'media_keys': ['3_1531970489865871361']},"{'urls': [{'start': 13, 'end': 36, 'url': 'https://t.co/9ny4UV93bP', 'expanded_url': 'https://twitter.com/TheKamiOfficial/status/1531970493846257671/photo/1', 'display_url': 'pic.twitter.com/9ny4UV93bP', 'media_key': '3_1531970489865871361'}], 'mentions': [{'start': 0, 'end': 8, 'username': 'opensea', 'id': '946213559213555712'}]}"
7,1531952540878884864,2022-06-01 10:55:22+00:00,False,"Kamily,

We are returning.

https://t.co/bO8mrGGG6g https://t.co/Fazg7196d7",43,5,64,4,{'media_keys': ['3_1531952536411852800']},"{'urls': [{'start': 28, 'end': 51, 'url': 'https://t.co/bO8mrGGG6g', 'expanded_url': 'https://discord.gg/kamiofficial', 'display_url': 'discord.gg/kamiofficial', 'images': [{'url': 'https://pbs.twimg.com/news_img/1533440681263476737/hVSy2v4h?format=jpg&name=orig', 'width': 512, 'height': 288}, {'url': 'https://pbs.twimg.com/news_img/1533440681263476737/hVSy2v4h?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Discord - A New Way to Chat with Friends & Communities', 'description': 'Discord is the easiest way to communicate over voice, video, and text. Chat, hang out, and stay close with your friends and communities.', 'unwound_url': 'https://discord.com/invite/kamiofficial'}, {'start': 52, 'end': 75, 'url': 'https://t.co/Fazg7196d7', 'expanded_url': 'https://twitter.com/TheKamiOfficial/status/1531952540878884864/photo/1', 'display_url': 'pic.twitter.com/Fazg7196d7', 'media_key': '3_1531952536411852800'}]}"
8,1531264717796397056,2022-05-30 13:22:12+00:00,False,"Join the Discord for the full work-in-progress sneak peek. 

https://t.co/bO8mrGGG6g https://t.co/nxqmfEIXVe",16,0,28,2,{'media_keys': ['3_1531264713945923585']},"{'urls': [{'start': 61, 'end': 84, 'url': 'https://t.co/bO8mrGGG6g', 'expanded_url': 'https://discord.gg/kamiofficial', 'display_url': 'discord.gg/kamiofficial', 'images': [{'url': 'https://pbs.twimg.com/news_img/1533440681263476737/hVSy2v4h?format=jpg&name=orig', 'width': 512, 'height': 288}, {'url': 'https://pbs.twimg.com/news_img/1533440681263476737/hVSy2v4h?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Discord - A New Way to Chat with Friends & Communities', 'description': 'Discord is the easiest way to communicate over voice, video, and text. Chat, hang out, and stay close with your friends and communities.', 'unwound_url': 'https://discord.com/invite/kamiofficial'}, {'start': 85, 'end': 108, 'url': 'https://t.co/nxqmfEIXVe', 'expanded_url': 'https://twitter.com/TheKamiOfficial/status/1531264717796397056/photo/1', 'display_url': 'pic.twitter.com/nxqmfEIXVe', 'media_key': '3_1531264713945923585'}]}"
9,1530541325543739393,2022-05-28 13:27:42+00:00,True,@0xFiro @opensea 💙 https://t.co/saFXL4d0fX,0,2,3,1,{'media_keys': ['3_1530541321324216321']},"{'urls': [{'start': 19, 'end': 42, 'url': 'https://t.co/saFXL4d0fX', 'expanded_url': 'https://twitter.com/TheKamiOfficial/status/1530541325543739393/photo/1', 'display_url': 'pic.twitter.com/saFXL4d0fX', 'media_key': '3_1530541321324216321'}], 'mentions': [{'start': 0, 'end': 7, 'username': '0xFiro', 'id': '1473299910158168065'}, {'start': 8, 'end': 16, 'username': 'opensea', 'id': '946213559213555712'}]}"
