,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1530945547191844864,2022-05-29 16:13:56+00:00,False,RT @Ralu_Elena00: Minted my first NFT yesterday. Can’t wait for the big reveal! The level of artwork is incredible with this project @third…,2,0,0,0,,"{'mentions': [{'start': 3, 'end': 16, 'username': 'Ralu_Elena00', 'id': '1512912631857926148'}]}"
1,1530943331060133888,2022-05-29 16:05:08+00:00,False,"We will reveal in less than 24h 👁️

From there, minting will be instant reveal ✨

🎟️ Mint Website : https://t.co/Ptak4UXgcw
⛵ Opensea: https://t.co/Bh1BJ6cpnu https://t.co/75hSnj9iY5",36,12,95,7,{'media_keys': ['3_1530942245045682180']},"{'urls': [{'start': 100, 'end': 123, 'url': 'https://t.co/Ptak4UXgcw', 'expanded_url': 'https://mint.thirdeyeclub.io/', 'display_url': 'mint.thirdeyeclub.io', 'status': 200, 'title': 'Third Eye Club - DApp', 'unwound_url': 'https://mint.thirdeyeclub.io/'}, {'start': 135, 'end': 158, 'url': 'https://t.co/Bh1BJ6cpnu', 'expanded_url': 'https://opensea.io/collection/thirdeyeclub', 'display_url': 'opensea.io/collection/thi…'}, {'start': 159, 'end': 182, 'url': 'https://t.co/75hSnj9iY5', 'expanded_url': 'https://twitter.com/thirdeyeclubnft/status/1530943331060133888/photo/1', 'display_url': 'pic.twitter.com/75hSnj9iY5', 'media_key': '3_1530942245045682180'}]}"
2,1530943134749827077,2022-05-29 16:04:21+00:00,False,RT @CustomFitC12: @thirdeyeclubnft I cannot wait to have these bad boys revealed! https://t.co/jRmLXPLnzZ,2,0,0,0,{'media_keys': ['3_1530941214660481025']},"{'mentions': [{'start': 3, 'end': 16, 'username': 'CustomFitC12', 'id': '1474607506655784970'}, {'start': 18, 'end': 34, 'username': 'thirdeyeclubnft', 'id': '1473382057929854983'}], 'urls': [{'start': 82, 'end': 105, 'url': 'https://t.co/jRmLXPLnzZ', 'expanded_url': 'https://twitter.com/CustomFitC12/status/1530941217764167681/photo/1', 'display_url': 'pic.twitter.com/jRmLXPLnzZ', 'media_key': '3_1530941214660481025'}]}"
3,1530930578257858560,2022-05-29 15:14:27+00:00,False,"RT @thirdeyeclubnft: With the current state of the market and in view of the development of the situation, the Club has decided to cut the…",75,0,0,0,,"{'mentions': [{'start': 3, 'end': 19, 'username': 'thirdeyeclubnft', 'id': '1473382057929854983'}]}"
4,1530930403900538880,2022-05-29 15:13:46+00:00,False,"RT @primecraze: Can’t wait for reveal! Minting is live too! @thirdeyeclubnft 

#eth #minting #thirdeyeclubnft #NFTCommumity https://t.co/oP…",4,0,0,0,,"{'mentions': [{'start': 3, 'end': 14, 'username': 'primecraze', 'id': '1118953183194288128'}, {'start': 60, 'end': 76, 'username': 'thirdeyeclubnft', 'id': '1473382057929854983'}], 'hashtags': [{'start': 79, 'end': 83, 'tag': 'eth'}, {'start': 84, 'end': 92, 'tag': 'minting'}, {'start': 93, 'end': 109, 'tag': 'thirdeyeclubnft'}, {'start': 110, 'end': 123, 'tag': 'NFTCommumity'}]}"
5,1530597448766349313,2022-05-28 17:10:43+00:00,False,RT @Zedem78: @thirdeyeclubnft 👁👁👁 https://t.co/acQ9P3XGdR,6,0,0,0,{'media_keys': ['3_1530584881318739968']},"{'mentions': [{'start': 3, 'end': 11, 'username': 'Zedem78', 'id': '1526543588682768385'}, {'start': 13, 'end': 29, 'username': 'thirdeyeclubnft', 'id': '1473382057929854983'}], 'urls': [{'start': 34, 'end': 57, 'url': 'https://t.co/acQ9P3XGdR', 'expanded_url': 'https://twitter.com/Zedem78/status/1530584886008070145/photo/1', 'display_url': 'pic.twitter.com/acQ9P3XGdR', 'media_key': '3_1530584881318739968'}]}"
6,1530597418529603586,2022-05-28 17:10:36+00:00,False,RT @TheoC0920: @thirdeyeclubnft Hoping for something good. My first ever NFT https://t.co/QTtjnifQQc,6,0,0,0,{'media_keys': ['3_1530590555071303683']},"{'mentions': [{'start': 3, 'end': 13, 'username': 'TheoC0920', 'id': '1471236011648761856'}, {'start': 15, 'end': 31, 'username': 'thirdeyeclubnft', 'id': '1473382057929854983'}], 'urls': [{'start': 77, 'end': 100, 'url': 'https://t.co/QTtjnifQQc', 'expanded_url': 'https://twitter.com/TheoC0920/status/1530590559366160385/photo/1', 'display_url': 'pic.twitter.com/QTtjnifQQc', 'media_key': '3_1530590555071303683'}]}"
7,1530590074714341378,2022-05-28 16:41:25+00:00,False,RT @561hersh: @thirdeyeclubnft Lfggg https://t.co/XvV9fylEFQ,5,0,0,0,{'media_keys': ['3_1530585099682603009']},"{'mentions': [{'start': 3, 'end': 12, 'username': '561hersh', 'id': '3150308818'}, {'start': 14, 'end': 30, 'username': 'thirdeyeclubnft', 'id': '1473382057929854983'}], 'urls': [{'start': 37, 'end': 60, 'url': 'https://t.co/XvV9fylEFQ', 'expanded_url': 'https://twitter.com/561hersh/status/1530585102551601157/photo/1', 'display_url': 'pic.twitter.com/XvV9fylEFQ', 'media_key': '3_1530585099682603009'}]}"
8,1530564136861634560,2022-05-28 14:58:21+00:00,False,RT @kickzness: @thirdeyeclubnft 🫶🏻 https://t.co/KgLWI9Y7Tj,6,0,0,0,{'media_keys': ['3_1530552866540331009']},"{'mentions': [{'start': 3, 'end': 13, 'username': 'kickzness', 'id': '1362323824155504640'}, {'start': 15, 'end': 31, 'username': 'thirdeyeclubnft', 'id': '1473382057929854983'}], 'urls': [{'start': 35, 'end': 58, 'url': 'https://t.co/KgLWI9Y7Tj', 'expanded_url': 'https://twitter.com/kickzness/status/1530552871153975296/photo/1', 'display_url': 'pic.twitter.com/KgLWI9Y7Tj', 'media_key': '3_1530552866540331009'}]}"
9,1530501488522543104,2022-05-28 10:49:24+00:00,True,"The collection looks amazing. The art will be even more good as the collection is smaller. All the rare and 1/1 will remain in the collection.

We will reveal by phase. First phase starts in 48h.",7,3,69,0,,
