,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1530962718341189634,2022-05-29 17:22:10+00:00,True,@GoatWith3Horns @dstprNFT @koetsu_io We will not open for more allow list or waitlist if that answers your question,0,0,0,0,,"{'mentions': [{'start': 0, 'end': 15, 'username': 'GoatWith3Horns', 'id': '1256279658481541120'}, {'start': 16, 'end': 25, 'username': 'dstprNFT', 'id': '1511650606800424960'}, {'start': 26, 'end': 36, 'username': 'koetsu_io', 'id': '1494568388059975710'}]}"
1,1530959433005670401,2022-05-29 17:09:07+00:00,False,RT @terpynfts: #NewNFTProfilePic So hyped for the @tigerbobNFT reveal this is my pfp until then https://t.co/lVxSYi9FYp,1,0,0,0,{'media_keys': ['3_1530958812148006913']},"{'mentions': [{'start': 3, 'end': 13, 'username': 'terpynfts', 'id': '1452224913696305165'}, {'start': 50, 'end': 62, 'username': 'tigerbobNFT', 'id': '1465589544187834371'}], 'urls': [{'start': 96, 'end': 119, 'url': 'https://t.co/lVxSYi9FYp', 'expanded_url': 'https://twitter.com/terpynfts/status/1530958814513700866/photo/1', 'display_url': 'pic.twitter.com/lVxSYi9FYp', 'media_key': '3_1530958812148006913'}], 'hashtags': [{'start': 15, 'end': 32, 'tag': 'NewNFTProfilePic'}]}"
2,1530958640840163331,2022-05-29 17:05:58+00:00,True,@dstprNFT @koetsu_io We will announce the next steps if that becomes reality.,0,3,2,0,,"{'mentions': [{'start': 0, 'end': 9, 'username': 'dstprNFT', 'id': '1511650606800424960'}, {'start': 10, 'end': 20, 'username': 'koetsu_io', 'id': '1494568388059975710'}]}"
3,1530955460421079043,2022-05-29 16:53:20+00:00,True,@chadmuskashorty @koetsu_io I don't think you'll be disappointed 🤝🐯,1,0,3,0,,"{'mentions': [{'start': 0, 'end': 16, 'username': 'chadmuskashorty', 'id': '1529333998710759424'}, {'start': 17, 'end': 27, 'username': 'koetsu_io', 'id': '1494568388059975710'}]}"
4,1530955343794163712,2022-05-29 16:52:52+00:00,True,@dstprNFT @koetsu_io Sometime on Monday May 30~ after all are minted out,0,1,2,0,,"{'mentions': [{'start': 0, 'end': 9, 'username': 'dstprNFT', 'id': '1511650606800424960'}, {'start': 10, 'end': 20, 'username': 'koetsu_io', 'id': '1494568388059975710'}]}"
5,1530951792028450817,2022-05-29 16:38:45+00:00,True,@YungShow hi,0,2,9,0,,"{'mentions': [{'start': 0, 'end': 9, 'username': 'YungShow', 'id': '1354108716992393217'}]}"
6,1530951133530923008,2022-05-29 16:36:08+00:00,False,"RT @koetsu_io: I did it again! Told to myself not to buy on secondary before the reveal, usually was't lucky with the rarity... But #2 mint…",8,0,0,0,,"{'mentions': [{'start': 3, 'end': 13, 'username': 'koetsu_io', 'id': '1494568388059975710'}]}"
7,1530949381620367360,2022-05-29 16:29:10+00:00,True,@Petergarcia82 @kevinrose @proof_xyz no worries fren :) thanks for picking up a tigerbob and supporting the project!,0,0,3,0,,"{'mentions': [{'start': 0, 'end': 14, 'username': 'Petergarcia82', 'id': '35543901'}, {'start': 15, 'end': 25, 'username': 'kevinrose', 'id': '657863'}, {'start': 26, 'end': 36, 'username': 'proof_xyz', 'id': '1420417970749149188'}]}"
8,1530947940021329920,2022-05-29 16:23:27+00:00,False,"RT @tigerbobNFT: 🐯 gm 🐯
❣️
If you are on Allow List you have until 05/30/22 12:00 PM to mint. After this your tigerbob will NOT be reserved…",17,0,0,0,,"{'mentions': [{'start': 3, 'end': 15, 'username': 'tigerbobNFT', 'id': '1465589544187834371'}]}"
9,1530947842763894784,2022-05-29 16:23:04+00:00,True,@Petergarcia82 @kevinrose @proof_xyz To clarify allow list (wl) is closed but allow list is still able to mint until 12pm tomorrow~ then waitlist can mint for 6 hours~,1,2,11,0,,"{'mentions': [{'start': 0, 'end': 14, 'username': 'Petergarcia82', 'id': '35543901'}, {'start': 15, 'end': 25, 'username': 'kevinrose', 'id': '657863'}, {'start': 26, 'end': 36, 'username': 'proof_xyz', 'id': '1420417970749149188'}]}"
