,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1538936594358407168,2022-06-20 17:27:30+00:00,False,Me when the VIVID fit comes in... https://t.co/brdkkGU0tS,10,9,98,1,{'media_keys': ['3_1538935920019132416']},"{'urls': [{'start': 34, 'end': 57, 'url': 'https://t.co/brdkkGU0tS', 'expanded_url': 'https://twitter.com/vividcojp/status/1538936594358407168/photo/1', 'display_url': 'pic.twitter.com/brdkkGU0tS', 'media_key': '3_1538935920019132416'}]}"
1,1538547557495885824,2022-06-19 15:41:37+00:00,False,RT @DUDU__JAY: GOLD ✅@vividcojp https://t.co/TmPydRLFNl,10,0,0,0,"{'media_keys': ['3_1538492026194259970', '3_1538492026198454272']}","{'urls': [{'start': 32, 'end': 55, 'url': 'https://t.co/TmPydRLFNl', 'expanded_url': 'https://twitter.com/DUDU__JAY/status/1538492035337814018/photo/1', 'display_url': 'pic.twitter.com/TmPydRLFNl', 'media_key': '3_1538492026194259970'}, {'start': 32, 'end': 55, 'url': 'https://t.co/TmPydRLFNl', 'expanded_url': 'https://twitter.com/DUDU__JAY/status/1538492035337814018/photo/1', 'display_url': 'pic.twitter.com/TmPydRLFNl', 'media_key': '3_1538492026198454272'}], 'mentions': [{'start': 3, 'end': 13, 'username': 'DUDU__JAY', 'id': '267520433'}, {'start': 21, 'end': 31, 'username': 'vividcojp', 'id': '1508545790284906503'}]}"
2,1538285943446048768,2022-06-18 22:22:03+00:00,False,"\V/

Thanks to everyone whose hanging out and letting us build in the background, here's a few things we'd like to share with you while we execute on our roadmap.

Read Here: https://t.co/ml9RqSlhEs https://t.co/3EKvgnU2jo",49,11,233,4,{'media_keys': ['3_1538285464292995072']},"{'urls': [{'start': 175, 'end': 198, 'url': 'https://t.co/ml9RqSlhEs', 'expanded_url': 'https://discord.com/channels/943251819373678633/955107438158295051/984572465533562960', 'display_url': 'discord.com/channels/94325…'}, {'start': 199, 'end': 222, 'url': 'https://t.co/3EKvgnU2jo', 'expanded_url': 'https://twitter.com/vividcojp/status/1538285943446048768/photo/1', 'display_url': 'pic.twitter.com/3EKvgnU2jo', 'media_key': '3_1538285464292995072'}]}"
3,1538284456254902272,2022-06-18 22:16:08+00:00,False,RT @morris0617: @vividcojp I knew it is not only the clothes!!! It’s Web 3.0! I am buying https://t.co/aVY8suyII6,10,0,0,0,{'media_keys': ['3_1538269623380246528']},"{'urls': [{'start': 90, 'end': 113, 'url': 'https://t.co/aVY8suyII6', 'expanded_url': 'https://twitter.com/morris0617/status/1538269635908636677/photo/1', 'display_url': 'pic.twitter.com/aVY8suyII6', 'media_key': '3_1538269623380246528'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'morris0617', 'id': '1426457152990838793'}, {'start': 16, 'end': 26, 'username': 'vividcojp', 'id': '1508545790284906503'}]}"
4,1537854387204259841,2022-06-17 17:47:12+00:00,False,What city wants a VIVID pop-up?,15,53,135,0,,
5,1537313786687725568,2022-06-16 05:59:03+00:00,True,@whaaawhaaasan 🫡🫡🫡,3,0,26,0,,"{'mentions': [{'start': 0, 'end': 14, 'username': 'whaaawhaaasan', 'id': '1434366391935590402'}]}"
6,1537081371457228800,2022-06-15 14:35:31+00:00,False,GM VIVID 🔆🔆🔆,14,42,203,0,,
7,1536890665472167936,2022-06-15 01:57:43+00:00,True,@Golanv13 @twinflame432 🔥🔥🔥,0,0,5,0,,"{'mentions': [{'start': 0, 'end': 9, 'username': 'Golanv13', 'id': '431230600'}, {'start': 10, 'end': 23, 'username': 'twinflame432', 'id': '1432167890011271175'}]}"
8,1536596354302062592,2022-06-14 06:28:14+00:00,False,"Digital World 🤝 Physical World

\V/",34,19,174,2,,
9,1536443894165958656,2022-06-13 20:22:24+00:00,True,"@fanglurker 🗣🗣🗣
VIVID WORLDWIDE",2,1,16,0,,"{'mentions': [{'start': 0, 'end': 11, 'username': 'fanglurker', 'id': '753660054'}]}"
