,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1536825946958970880,2022-06-14 21:40:33+00:00,False,RT @atom_chaser: @2291995Solana @zombiestownwtf OMG that NFT collection is actually incredible 🤯,8,0,0,0,,"{'mentions': [{'start': 3, 'end': 15, 'username': 'atom_chaser', 'id': '1509519262347501569'}, {'start': 17, 'end': 31, 'username': '2291995Solana', 'id': '1531686756957016068'}, {'start': 32, 'end': 47, 'username': 'zombiestownwtf', 'id': '1515493199871188998'}]}"
1,1536825891791200256,2022-06-14 21:40:20+00:00,False,"RT @in_devol: @2291995Solana @zombiestownwtf Gosh, this is exactly what I look for in a great NFT art 🔥 I think that this team will moon!",8,0,0,0,,"{'mentions': [{'start': 3, 'end': 12, 'username': 'in_devol', 'id': '1509615228191125505'}, {'start': 14, 'end': 28, 'username': '2291995Solana', 'id': '1531686756957016068'}, {'start': 29, 'end': 44, 'username': 'zombiestownwtf', 'id': '1515493199871188998'}]}"
2,1536825729513660416,2022-06-14 21:39:41+00:00,False,"RT @Hitmon_Bran: #zombieland in less than 48 hours! #zombiescrypt 👀

#zumbis #zombiestownwtf",12,0,0,0,,"{'mentions': [{'start': 3, 'end': 15, 'username': 'Hitmon_Bran', 'id': '1303893763065024512'}], 'hashtags': [{'start': 17, 'end': 28, 'tag': 'zombieland'}, {'start': 52, 'end': 65, 'tag': 'zombiescrypt'}, {'start': 69, 'end': 76, 'tag': 'zumbis'}, {'start': 77, 'end': 92, 'tag': 'zombiestownwtf'}]}"
3,1536789504496910336,2022-06-14 19:15:44+00:00,False,"RT @2291995Solana: Woww what an firee announcement🔥🔥
@zombiestownwtf 🔥🔥🔥

Better buy #zombiestownwtf 🤟🚀

Readreadreadreadreadreadreadread🙏🙏…",23,0,0,0,,"{'mentions': [{'start': 3, 'end': 17, 'username': '2291995Solana', 'id': '1531686756957016068'}, {'start': 53, 'end': 68, 'username': 'zombiestownwtf', 'id': '1515493199871188998'}], 'hashtags': [{'start': 85, 'end': 100, 'tag': 'zombiestownwtf'}]}"
4,1536788497410973696,2022-06-14 19:11:44+00:00,False,RT @0xFeur: Let's fucking go ! 😎Blue Chip,11,0,0,0,,"{'mentions': [{'start': 3, 'end': 10, 'username': '0xFeur', 'id': '1461791514229624835'}]}"
5,1536787347022532608,2022-06-14 19:07:10+00:00,True,"mint price
- holders' sale(snapshot in Discord): free
- public sale: 0.01 ETH per 1 zombiesland",4,1,17,0,,
6,1536786755357220864,2022-06-14 19:04:49+00:00,False,"ₜₕₑ ZₒₘBᵢₑₛₗₐₙD ₘᵢₙₜ
mint will be split in 2 parts 
- holders' sale: 6768 NFTs
- 15th june 5AM - 11AM EDT 
- public sale: 1009 NFTs + NFTs left from the holders' sale
- 15th june 11AM EDT
1 zombiestown + 1 zombiesland = &lt;secret&gt; 1 zombiescrypt
#zumbis #zgmi https://t.co/Eu2wj89SCF",69,14,131,5,{'media_keys': ['3_1536786687539523585']},"{'urls': [{'start': 264, 'end': 287, 'url': 'https://t.co/Eu2wj89SCF', 'expanded_url': 'https://twitter.com/zombiestownwtf/status/1536786755357220864/photo/1', 'display_url': 'pic.twitter.com/Eu2wj89SCF', 'media_key': '3_1536786687539523585'}], 'hashtags': [{'start': 250, 'end': 257, 'tag': 'zumbis'}, {'start': 258, 'end': 263, 'tag': 'zgmi'}]}"
7,1536578488928555010,2022-06-14 05:17:14+00:00,False,RT @jussmurr: @zombiestownwtf ˡᵉᵗ ᵘˢ ʳⁱˢᵉ! ᵃʰʰᵍ ʰᵃʰᵍ https://t.co/1OdfVDE6AE,15,0,0,0,{'media_keys': ['3_1536486924084465666']},"{'urls': [{'start': 53, 'end': 76, 'url': 'https://t.co/1OdfVDE6AE', 'expanded_url': 'https://twitter.com/jussmurr/status/1536486926307426305/photo/1', 'display_url': 'pic.twitter.com/1OdfVDE6AE', 'media_key': '3_1536486924084465666'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'jussmurr', 'id': '1225913108989972482'}, {'start': 14, 'end': 29, 'username': 'zombiestownwtf', 'id': '1515493199871188998'}]}"
8,1536578415981219841,2022-06-14 05:16:57+00:00,False,"RT @erikrojas84: @opensea #zombiestownwtf @zombiestownwtf 
We will rise from the dead! https://t.co/FdDUpcnNHM",12,0,0,0,"{'media_keys': ['3_1536490118495739905', '3_1536490123290112000', '3_1536490129438949376', '3_1536490137189769217']}","{'urls': [{'start': 87, 'end': 110, 'url': 'https://t.co/FdDUpcnNHM', 'expanded_url': 'https://twitter.com/erikrojas84/status/1536490141652500480/photo/1', 'display_url': 'pic.twitter.com/FdDUpcnNHM', 'media_key': '3_1536490118495739905'}, {'start': 87, 'end': 110, 'url': 'https://t.co/FdDUpcnNHM', 'expanded_url': 'https://twitter.com/erikrojas84/status/1536490141652500480/photo/1', 'display_url': 'pic.twitter.com/FdDUpcnNHM', 'media_key': '3_1536490123290112000'}, {'start': 87, 'end': 110, 'url': 'https://t.co/FdDUpcnNHM', 'expanded_url': 'https://twitter.com/erikrojas84/status/1536490141652500480/photo/1', 'display_url': 'pic.twitter.com/FdDUpcnNHM', 'media_key': '3_1536490129438949376'}, {'start': 87, 'end': 110, 'url': 'https://t.co/FdDUpcnNHM', 'expanded_url': 'https://twitter.com/erikrojas84/status/1536490141652500480/photo/1', 'display_url': 'pic.twitter.com/FdDUpcnNHM', 'media_key': '3_1536490137189769217'}], 'mentions': [{'start': 3, 'end': 15, 'username': 'erikrojas84', 'id': '466106442'}, {'start': 17, 'end': 25, 'username': 'opensea', 'id': '946213559213555712'}, {'start': 42, 'end': 57, 'username': 'zombiestownwtf', 'id': '1515493199871188998'}], 'hashtags': [{'start': 26, 'end': 41, 'tag': 'zombiestownwtf'}]}"
9,1536454350431784961,2022-06-13 21:03:57+00:00,False,ʷhᴬᵗ ᶦ$ ᵈᴱᵃᵈ mᵃʸ nᵉᵛᴱᴿ ᴰiᵉ..,27,2,90,0,,
10,1536453035395846144,2022-06-13 20:58:44+00:00,False,"ⁿᵉᵂ ᵐiᴺᵗ ᵈᵃᵀᵉ &amp; ᵗᶦᵐᴱ ᵗʰᶦˢ ʷeᴱᵏ
ˢᵀᵃy ᵗᵁⁿᵉᵈ 🔔

#zumbis #NFTs https://t.co/5VkTW1GwR2",59,6,143,6,{'media_keys': ['3_1536452897260593154']},"{'urls': [{'start': 63, 'end': 86, 'url': 'https://t.co/5VkTW1GwR2', 'expanded_url': 'https://twitter.com/zombiestownwtf/status/1536453035395846144/photo/1', 'display_url': 'pic.twitter.com/5VkTW1GwR2', 'media_key': '3_1536452897260593154'}], 'hashtags': [{'start': 49, 'end': 56, 'tag': 'zumbis'}, {'start': 57, 'end': 62, 'tag': 'NFTs'}]}"
