Project Name,Twitter,Opensea Link,Type of art,Current FP (as of 3/17),Total trade volume,Collection Size,Launch date,Floor price immediately before reveal,Trade volume for 24 hours post reveal,Peak floor price within 24 hours of reveal,Mint price
3lander,https://twitter.com/3landersNFT,https://opensea.io/collection/3landers,Doodle,1.69,24400,10000,2/19/2022,1.4,4539,2,
ALINFT,https://twitter.com/0xALINFT,https://opensea.io/collection/alinft-official,Cartoon,0.035,2100,8100,2/14/2022,0.22,140,0.148,
AlleyKatzOffocial,https://twitter.com/Alleykatznft,https://opensea.io/collection/alleykatzofficial,Cartoon,0.013,191,5600,1/30/2022,0.02,141,0.06,
Antonym GENESIS,https://twitter.com/AntonymNFT,https://opensea.io/collection/antonymgenesis,3D,0.438,8300,8900,3/2/2022,0.617,1815,0.75,
Booze Bears Official,https://twitter.com/BoozeBears,https://opensea.io/collection/boozebears,Cartoon,0.03,39.9,3300,2/22/2022,0.03,10,0.05,
Candy Hunters,https://twitter.com/CandyHuntersNFT,https://opensea.io/collection/candy-hunters,Cartoon,0.04,1000,10000,2/16/2022,0.075,240,0.13,
CartoonsNFT,https://twitter.com/cartoonsnft,https://opensea.io/collection/cartoonsnft,Doodle,0.05,1300,7800,3/1/2022,0.1,267,0.07,
CatBlox,https://twitter.com/CatBloxStudios,https://opensea.io/collection/catbloxgenesis,3D,0.358,7800,10000,2/17/2022,0.61,657,0.42,
CHILL RX,https://twitter.com/iamchillpill,https://opensea.io/collection/chillrx,3D,0.055,559,9900,2/18/2022,0.08,156,0.1,
Clay Friends,https://twitter.com/ClayFriendsNFT,https://opensea.io/collection/clayfriends,3D,0.145,1100,5000,3/4/2022,0.287,196,0.219,
Cosmiqs,https://twitter.com/CosmiqsNFT,https://opensea.io/collection/cosmiqs-official,3D,0.047,407,5600,3/11/2022,0.061,130,0.075,
CryptoWhales (Official),https://twitter.com/whales_nft,https://opensea.io/collection/cryptowhalesnftofficial,Cartoon,0.037,10.1,1700,3/11/2022,0.05,,,0.045
Dented Feels,https://twitter.com/DentedFeelsNFT,https://opensea.io/collection/dentedfeelsnft,Cartoon/Doodle,0.143,4100,11100,2/23/2022,0.09,1138,0.5,
Dippies,https://twitter.com/DippiesNFT,https://opensea.io/collection/dippies,Doodle,0.328,7100,8900,3/2/2022,0.51,2268,0.75,
Drug Receipts,https://twitter.com/DrugReceipts,https://opensea.io/collection/drugreceipts,Cartoon,0.099,1100,10000,3/8/2022,0.16,346,0.2,
Edenhorde,https://twitter.com/Edenhorde,https://opensea.io/collection/edenhorde-official,Cartoon,0.38,8500,8700,2/16/2022,1.1,2234,1.38,
Floppy Collection,https://twitter.com/NftFloppy,https://opensea.io/collection/floppycollection,Cartoon,0.042,1200,10000,2/19/2022,0.12,233,0.07,
Fortune Friends Club official NFT,https://twitter.com/FortuneFriends_,https://opensea.io/collection/fortune-friends-club-official-nft,Doodle,0.04,1300,8900,2/7/2022,0.05,,,
Frenly Pandas,https://twitter.com/frenlypandas,https://opensea.io/collection/frenlypandas,Doodle,0.095,409,10000,3/5/2022,0.003,,,
Goopdoods,https://twitter.com/goopdoods,https://opensea.io/collection/g00p,Doodle,0.065,245,8000,3/15/2022,0.05,257,0.09,
"I like you, you're weird",https://twitter.com/ILYYWNFT,https://opensea.io/collection/ilyyw,Cartoon,0.22,3100,10000,3/8/2022,0.24,485,0.24,
InternetFrens,https://twitter.com/myinternetfrens,https://opensea.io/collection/internetfrens,Doodle,0.017,114,10000,3/8/2022,0.002,71.5,0.02,
Kamitribe,https://twitter.com/KamiTribe,https://opensea.io/collection/kamitribe,Anime,0.014,251,2900,2/18/2022,0.075,23,0.05,0.069
Loser Club Official,https://twitter.com/loserclubreborn,https://opensea.io/collection/loser-club-official,Doodle,0.4,4400,10000,3/4/2022,0.148,558,0.4,
Midlife NFT,https://twitter.com/midlifenft,https://opensea.io/collection/midlifenft,Doodle,0.007,3.3,2000,3/1/2022,0.005,3.22,0.007,
OfficialRuggies,https://twitter.com/RuggiesOfficial,https://opensea.io/collection/officialruggies,3D,0.029,39.2,2200,3/6/2022,0.06,5,0.12,
Planktoons,https://twitter.com/PlanktoonsNFT,https://opensea.io/collection/planktoons,Doodle,0.035,783,4400,2/12/2022,0.1,,,
Roborovski,https://twitter.com/RoborovskiNFT,https://opensea.io/collection/roborovski-nft,Cartoon,0.039,808,7800,2/19/2022,0.14,97,0.12,0.165
Rollbots,https://twitter.com/rollbitcom,https://opensea.io/collection/rollbots,3D,1.45,708,10000,2/25/2022,1.5,84,1.75,
Rubber Duck Bath Party,https://twitter.com/RubberDuckBP,https://opensea.io/collection/rubber-duck-bath-party,Doodle,0.12,1600,10000,3/1/2022,0.15,244,0.12,
Sad Bots Genesis,https://twitter.com/SadBotsNFT,https://opensea.io/collection/sad-bots-genesis,3D,0.038,383,3100,2/18/2022,0.07,0.9,0.1,
Satoshi Runners,https://twitter.com/SatoshiRunnerz,https://opensea.io/collection/satoshirunnersofficial,Pixel,0.13,1800,7800,2/28/2022,0.168,275,0.15,
Skelet Guys,https://twitter.com/SkeletGuys,https://opensea.io/collection/skelet-guys,Doodle,0.059,529,5000,3/3/2022,0.02,190,0.07,
Starcatchers,https://twitter.com/StarcatchersNFT,https://opensea.io/collection/starcatchersnft,Doodle,0.238,7400,10000,2/22/2022,0.67,2182,0.75,
Super Ordinary Villains,https://twitter.com/SOVillains,https://opensea.io/collection/super-ordinary-villains-genesis,Cartoon,0.11,1800,8900,3/8/2022,0.14,447,0.2,
Tales of Tsuki Genesis,https://twitter.com/TsukiNFT,https://opensea.io/collection/tales-of-tsuki-genesis,Anime,0.018,2200,10000,2/20/2022,0.11,143,0.085,
Tasty Bones,https://twitter.com/TastyBonesNFT,https://opensea.io/collection/tastybonesxyz,Doodle,0.54,10000,5000,2/12/2022,1,2583,0.75,
The sunnies collection,https://twitter.com/thesunniesnft,https://opensea.io/collection/thesunniesnft,Doodle,0.084,1300,9100,2/28/2022,0.08,130,0.088,
Wabi Sabi Collective Genesis,https://twitter.com/WabiSabiNFT,https://opensea.io/collection/wabi-sabi-official,Anime,0.088,791,5700,3/3/2022,0.125,154,0.1,
Wave Catchers Official,https://twitter.com/WaveCatchersNFT,https://opensea.io/collection/wavecatchersofficial,Pixel,0.157,583,3300,3/3/2022,0.05,106,0.12,
Wonderpals,https://twitter.com/WonderPals,https://opensea.io/collection/wonderpals,Doodle,0.529,9200,10000,2/26/2022,0.75,1132,0.8,
